https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume LTC
1662249600000,2022-09-04 00:00:00,LTC/USD,66.219281,67.105036,64.558902,67.087076,436547.0637508574,6507.17082603
1662163200000,2022-09-03 00:00:00,LTC/USD,67.277276,68.51561,65.6991,66.339581,422660.6065843955,6371.16786409
1662076800000,2022-09-02 00:00:00,LTC/USD,63.478663,68.542409,62.449876,67.289827,478131.12607385207,7105.54845198
1661990400000,2022-09-01 00:00:00,LTC/USD,59.82753,63.618064,58.954218,63.479237,431777.40611384687,6801.86824101
1661904000000,2022-08-31 00:00:00,LTC/USD,58.652886,60.891421,58.652886,59.832868,367297.37219346984,6138.722486
1661817600000,2022-08-30 00:00:00,LTC/USD,61.574761,61.926235,57.52672,58.598991,377062.37118606,6434.62224778
1661731200000,2022-08-29 00:00:00,LTC/USD,59.007008,62.544994,58.177012,61.605979,403808.60827921424,6554.6983399
1661644800000,2022-08-28 00:00:00,LTC/USD,58.532165,61.558916,58.049765,58.967237,390373.174524704,6620.17069792
1661558400000,2022-08-27 00:00:00,LTC/USD,58.184636,58.889585,57.25372,58.556749,391929.99056224077,6693.1651305
1661472000000,2022-08-26 00:00:00,LTC/USD,62.306878,63.954836,57.721573,58.184367,375444.4375753234,6452.66859353
1661385600000,2022-08-25 00:00:00,LTC/USD,62.092799,63.294976,61.557248,62.33256,386082.18993396254,6193.90876829
1661299200000,2022-08-24 00:00:00,LTC/USD,62.849695,63.284512,61.306001,62.069648,382513.5770015922,6162.65097881
1661212800000,2022-08-23 00:00:00,LTC/USD,63.093011,63.430168,59.522732,62.807514,394890.2323398317,6287.30875003
1661126400000,2022-08-22 00:00:00,LTC/USD,60.969086,61.029495,60.121791,60.126941,20620.499686027608,342.94942239
1661040000000,2022-08-21 00:00:00,LTC/USD,59.694569,61.449058,56.32,60.890033,705886.9457109321,11592.81594922
1660953600000,2022-08-20 00:00:00,LTC/USD,59.367288,61.102224,58.154993,59.723952,370360.49787780765,6201.20547076
1660867200000,2022-08-19 00:00:00,LTC/USD,65.139216,65.232727,58.72756,59.3324,407178.17657444294,6862.66148975
1660780800000,2022-08-18 00:00:00,LTC/USD,65.518857,66.818856,64.585155,65.13878,400590.6880445106,6149.80335899
1660694400000,2022-08-17 00:00:00,LTC/USD,65.886111,69.328677,64.750001,65.485489,455753.03355315514,6959.60342532
1660608000000,2022-08-16 00:00:00,LTC/USD,64.898472,66.19387,64.261956,65.874011,417652.1868791274,6340.16633478
1660521600000,2022-08-15 00:00:00,LTC/USD,67.066055,69.052079,63.883489,64.970538,460703.4491175669,7090.95943022
1660435200000,2022-08-14 00:00:00,LTC/USD,67.603349,69.727022,66.522356,67.113702,433412.0095670298,6457.87665784
1660348800000,2022-08-13 00:00:00,LTC/USD,66.720436,69.499758,66.565702,67.621121,439425.5052037438,6498.34694701
1660262400000,2022-08-12 00:00:00,LTC/USD,65.635705,66.853476,64.218601,66.715194,418106.1456895333,6267.03035128
