https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1673740800,2023-01-15,SOL/USD,23.8424,24.8,21.3001,22.8001,1020.477267,23266.9837353267
1673654400,2023-01-14,SOL/USD,18.7597,24.8,18.6599,24.7999,3935.776903,97606.87361670971
1673568000,2023-01-13,SOL/USD,16.4903,18.9652,16.2701,18.0801,1010.52799,18270.447111999
1673481600,2023-01-12,SOL/USD,16.4401,16.7266,15.6,16.6496,257.644807,4289.6829786272
1673395200,2023-01-11,SOL/USD,16.2799,16.5999,15.21,16.5199,539.443003,8911.5444652597
1673308800,2023-01-10,SOL/USD,16.6199,16.6199,15.72,16.2401,249.281927,4048.3634226727004
1673222400,2023-01-09,SOL/USD,14.9699,17.4899,14.6301,16.9125,1669.1713,28229.85961125
1673136000,2023-01-08,SOL/USD,13.27,14.74,12.8003,14.66,1150.189953,16861.784710980002
1673049600,2023-01-07,SOL/USD,13.3343,13.44,12.9806,12.9806,150.418691,1952.5248603946
1672963200,2023-01-06,SOL/USD,13.45,13.9998,12.7001,13.51,890.875785,12035.731855349999
1672876800,2023-01-05,SOL/USD,13.2201,13.9499,12.8703,13.9399,479.789397,6688.2162152403
1672790400,2023-01-04,SOL/USD,13.6699,14.3199,13.0,13.5,672.172105,9074.3234175
1672704000,2023-01-03,SOL/USD,11.29,13.8665,11.1308,13.6154,2872.771279,39113.9300720966
1672617600,2023-01-02,SOL/USD,9.9049,11.7799,9.9049,11.36,1827.580491,20761.314377759998
1672531200,2023-01-01,SOL/USD,9.9301,10.09,9.6701,10.065,340.445353,3426.582477945
1672444800,2022-12-31,SOL/USD,10.0487,10.2198,9.701,10.1699,303.125806,3082.7591344394
1672358400,2022-12-30,SOL/USD,9.65,10.0897,9.0535,9.8191,1900.554191,18661.7316568481
1672272000,2022-12-29,SOL/USD,9.8248,10.626,8.1002,9.55,2557.215549,24421.408492950002
1672185600,2022-12-28,SOL/USD,11.0958,11.0958,9.4992,9.8181,3877.712609,38071.7701664229
1672099200,2022-12-27,SOL/USD,11.319,11.4226,10.7332,11.1049,3629.825278,40308.8467296622
1672012800,2022-12-26,SOL/USD,11.4248,11.5172,11.1612,11.3051,384.138629,4342.7256147079
1671926400,2022-12-25,SOL/USD,11.4762,11.5447,11.3337,11.4378,879.930518,10064.4692787804
1671840000,2022-12-24,SOL/USD,11.8465,11.89,11.2553,11.4904,1400.693178,16094.5248924912
1671753600,2022-12-23,SOL/USD,11.7924,12.4635,11.7501,11.8614,749.080207,8885.1399673098
1671667200,2022-12-22,SOL/USD,12.1423,12.6078,11.7697,11.7789,443.462553,5223.5010655317
1671580800,2022-12-21,SOL/USD,12.2864,12.7945,11.9092,12.1284,303.171145,3676.980915018
1671494400,2022-12-20,SOL/USD,11.936,12.4347,11.9213,12.2897,214.679071,2638.3413788687
1671408000,2022-12-19,SOL/USD,12.4333,12.5678,11.836,11.9398,2079.18041,24824.998259318
1671321600,2022-12-18,SOL/USD,12.502,12.6905,12.3423,12.4338,419.78715,5219.54946567
1671235200,2022-12-17,SOL/USD,12.2762,12.6734,12.0381,12.5059,1948.927098,24373.0873948782
1671148800,2022-12-16,SOL/USD,14.0255,14.1635,12.1338,12.2902,2117.086021,26019.4106152942
1671062400,2022-12-15,SOL/USD,14.1557,14.4474,13.8437,14.0525,1907.85527,26810.136181675
1670976000,2022-12-14,SOL/USD,13.8881,14.9746,13.881,14.1396,2479.954773,35065.5685083108
1670889600,2022-12-13,SOL/USD,13.3229,14.0652,12.8669,13.8697,1249.981287,17336.8654563039
1670803200,2022-12-12,SOL/USD,13.4528,13.4528,12.9471,13.3174,1384.546732,18438.5626487368
1670716800,2022-12-11,SOL/USD,13.5969,13.8257,13.4589,13.4787,327.058098,4408.3179855126
1670630400,2022-12-10,SOL/USD,13.5919,14.0057,13.3201,13.6137,628.6876,8558.76438012
