https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1554595200,2019-04-07,ETH/USD,166.51,176.25,165.78,174.99,1777.199437,310992.12948063004
1554508800,2019-04-06,ETH/USD,166.29,173.99,161.6,166.24,1491.948172,248021.46411328003
1554422400,2019-04-05,ETH/USD,159.56,169.25,158.83,166.12,1533.686181,254775.94838772
1554336000,2019-04-04,ETH/USD,161.17,165.89,154.34,159.4,2809.254867,447795.2257998
1554249600,2019-04-03,ETH/USD,165.32,179.39,153.0,161.7,9054.889954,1464175.7055618
1554163200,2019-04-02,ETH/USD,142.83,167.73,142.82,164.56,7320.914674,1204729.71875344
1554076800,2019-04-01,ETH/USD,142.7,144.77,141.5,143.6,1315.061036,188842.7647696
1553990400,2019-03-31,ETH/USD,143.7,143.7,141.94,142.91,565.861885,80867.32198535
1553904000,2019-03-30,ETH/USD,144.32,146.55,141.73,143.64,1027.307186,147562.40419703998
1553817600,2019-03-29,ETH/USD,139.78,144.26,139.21,144.26,1484.626108,214172.16234008
1553731200,2019-03-28,ETH/USD,140.5,140.5,138.49,139.66,1068.445602,149219.11277531998
1553644800,2019-03-27,ETH/USD,135.47,140.99,135.47,140.97,1163.521625,164021.64347625
1553558400,2019-03-26,ETH/USD,135.42,136.39,133.64,135.1,783.932715,105909.3097965
1553472000,2019-03-25,ETH/USD,137.28,138.01,133.56,135.47,926.856484,125561.24788748
1553385600,2019-03-24,ETH/USD,138.54,138.75,136.72,136.89,743.751738,101812.17541482
1553299200,2019-03-23,ETH/USD,137.23,139.49,137.22,138.88,637.671323,88559.79333824001
1553212800,2019-03-22,ETH/USD,136.46,138.91,136.16,137.49,1149.425153,158034.46428597
1553126400,2019-03-21,ETH/USD,140.57,140.99,134.75,136.83,2026.312496,277260.33882768004
1553040000,2019-03-20,ETH/USD,140.62,140.99,138.4,140.41,1038.238248,145779.03240168002
1552953600,2019-03-19,ETH/USD,139.09,140.7,138.95,140.48,973.709792,136786.75158016
1552867200,2019-03-18,ETH/USD,140.48,142.55,138.33,139.37,2012.889465,280536.40473705
1552780800,2019-03-17,ETH/USD,141.99,141.99,138.1,140.55,1018.777145,143189.12772975
1552694400,2019-03-16,ETH/USD,138.3,145.0,138.3,142.2,1826.946164,259791.74452079998
1552608000,2019-03-15,ETH/USD,134.07,138.79,133.68,138.29,1057.125803,146189.92729686998
1552521600,2019-03-14,ETH/USD,133.75,136.88,131.0,134.0,1528.596175,204831.88744999998
1552435200,2019-03-13,ETH/USD,135.35,135.35,132.93,133.71,715.755559,95703.67579389
1552348800,2019-03-12,ETH/USD,135.05,136.5,131.3,134.98,1578.33144,213043.17777119996
1552262400,2019-03-11,ETH/USD,136.45,137.11,132.69,133.8,1301.763282,174175.9271316
1552176000,2019-03-10,ETH/USD,138.18,138.49,135.19,136.09,1820.554645,247759.28163805
1552089600,2019-03-09,ETH/USD,134.18,139.6,133.82,138.48,1669.998951,231261.45473447998
1552003200,2019-03-08,ETH/USD,137.75,139.99,131.31,134.57,2468.43576,332177.4002232
1551916800,2019-03-07,ETH/USD,138.91,140.55,136.5,137.29,1957.984468,268811.68761172
1551830400,2019-03-06,ETH/USD,138.26,141.89,135.73,139.32,3052.260386,425240.91697752
1551744000,2019-03-05,ETH/USD,128.35,139.13,127.52,137.94,4134.669914,570336.36793716
1551657600,2019-03-04,ETH/USD,132.22,132.98,125.31,127.59,3769.570675,480959.52242325
1551571200,2019-03-03,ETH/USD,134.59,136.33,129.87,132.0,1371.820944,181080.364608
1551484800,2019-03-02,ETH/USD,136.88,137.31,132.03,134.13,2443.870121,327796.29932973
1551398400,2019-03-01,ETH/USD,137.0,139.41,136.25,136.78,1358.387851,185800.29025977998
1551312000,2019-02-28,ETH/USD,136.34,140.0,133.99,136.65,2980.293892,407257.1603418
1551225600,2019-02-27,ETH/USD,137.83,141.37,126.24,136.27,4211.762619,573936.89209113
1551139200,2019-02-26,ETH/USD,139.34,139.7,136.0,137.86,2110.152825,290905.66845450003
1551052800,2019-02-25,ETH/USD,132.7,142.54,132.69,139.56,4658.517082,650142.6439639201
1550966400,2019-02-24,ETH/USD,157.7,165.5,132.67,132.7,11775.597883,1562621.8390741
1550880000,2019-02-23,ETH/USD,147.11,159.0,146.0,157.36,3951.802876,621855.70056736
1550793600,2019-02-22,ETH/USD,145.11,148.2,144.0,147.69,1893.875284,279706.44069396
1550707200,2019-02-21,ETH/USD,149.0,150.48,144.01,145.03,3968.802615,575595.44325345
1550620800,2019-02-20,ETH/USD,145.06,150.0,141.12,148.98,3883.900098,578623.43660004
1550534400,2019-02-19,ETH/USD,146.05,149.83,144.37,144.37,3610.267512,521214.32070744
1550448000,2019-02-18,ETH/USD,134.33,148.99,132.66,146.0,9308.234238,1359002.198748
1550361600,2019-02-17,ETH/USD,125.23,135.96,125.03,134.01,8119.611775,1088109.17396775
1550275200,2019-02-16,ETH/USD,124.89,127.0,124.39,125.27,2099.76219,263037.20954129996
1550188800,2019-02-15,ETH/USD,123.04,126.19,123.04,124.73,2150.723949,268259.79815877
