https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USD
1699660800000,2023-11-11 00:00:00,FIL/USD,4.5906,4.8849,4.4731,4.7268,25784.118531,121876.3714723308
1699574400000,2023-11-10 00:00:00,FIL/USD,4.4911,4.6329,4.3882,4.5906,19316.343908,88673.60834406479
1699488000000,2023-11-09 00:00:00,FIL/USD,4.455,4.6999,4.2048,4.4911,50442.555311,226542.5601572321
1699401600000,2023-11-08 00:00:00,FIL/USD,4.2223,4.491,4.1928,4.455,24346.460271,108463.48050730501
1699315200000,2023-11-07 00:00:00,FIL/USD,4.3489,4.3489,4.0638,4.2223,15770.347326,66587.1375145698
1699228800000,2023-11-06 00:00:00,FIL/USD,4.1137,4.3936,4.065,4.3489,24963.657653,108564.4507671317
1699142400000,2023-11-05 00:00:00,FIL/USD,4.0013,4.1999,3.9648,4.1137,4776.349451,19648.4687365787
1699056000000,2023-11-04 00:00:00,FIL/USD,3.9213,4.0245,3.8794,4.0013,5311.939856,21254.664945812798
1698969600000,2023-11-03 00:00:00,FIL/USD,4.0905,4.0905,3.8429,3.9213,9987.700797,39164.771135276096
1698883200000,2023-11-02 00:00:00,FIL/USD,3.9998,4.16,3.828,4.0905,23513.447313,96181.7562338265
1698796800000,2023-11-01 00:00:00,FIL/USD,3.8303,3.9998,3.75,3.9998,10908.60534,43632.239638932
1698710400000,2023-10-31 00:00:00,FIL/USD,3.9236,3.9799,3.76,3.8303,4891.569785,18736.179747485498
1698624000000,2023-10-30 00:00:00,FIL/USD,3.8267,3.98,3.7934,3.9236,7192.321265,28219.791715353997
1698537600000,2023-10-29 00:00:00,FIL/USD,3.9798,3.98,3.682,3.8267,6399.686373,24489.6798435591
1698451200000,2023-10-28 00:00:00,FIL/USD,3.5973,3.98,3.5973,3.9798,1338.118442,5325.4437754716
1698364800000,2023-10-27 00:00:00,FIL/USD,3.7584,3.8029,3.5679,3.5973,5928.852612,21327.8615011476
1698278400000,2023-10-26 00:00:00,FIL/USD,3.7656,3.847,3.604,3.7584,12426.855513,46705.0937600592
1698192000000,2023-10-25 00:00:00,FIL/USD,3.8333,3.99,3.7176,3.7656,14264.827458,53715.6342758448
1698105600000,2023-10-24 00:00:00,FIL/USD,3.8388,4.0,3.7176,3.8333,27847.780634,106748.89750431219
1698019200000,2023-10-23 00:00:00,FIL/USD,3.3975,3.9318,3.3975,3.8388,35698.706837,137040.19580587558
1697932800000,2023-10-22 00:00:00,FIL/USD,3.3558,3.42,3.3257,3.3975,4306.846018,14632.509346155
1697846400000,2023-10-21 00:00:00,FIL/USD,3.2105,3.3771,3.2068,3.3558,8507.880406,28550.7450664548
1697760000000,2023-10-20 00:00:00,FIL/USD,3.1941,3.2724,3.1904,3.2105,34522.499065,110834.48324818251
1697673600000,2023-10-19 00:00:00,FIL/USD,3.1728,3.2001,3.1313,3.1941,3670.735542,11724.6963947022
1697587200000,2023-10-18 00:00:00,FIL/USD,3.1797,3.2316,3.1579,3.1728,7831.428304,24847.5557229312
1697500800000,2023-10-17 00:00:00,FIL/USD,3.2563,3.2563,3.1259,3.1797,3580.294523,11384.2624947831
1697414400000,2023-10-16 00:00:00,FIL/USD,3.2046,3.3569,3.2046,3.2563,7711.439144,25110.7592846072
1697328000000,2023-10-15 00:00:00,FIL/USD,3.2164,3.2471,3.1998,3.2046,11336.261248,36328.18279534081
1697241600000,2023-10-14 00:00:00,FIL/USD,3.201,3.2251,3.201,3.2164,3351.345558,10779.2678527512
1697155200000,2023-10-13 00:00:00,FIL/USD,3.2005,3.2355,3.1784,3.201,10817.534565,34626.928142565
1697068800000,2023-10-12 00:00:00,FIL/USD,3.1683,3.2238,3.1278,3.2005,3320.581712,10627.521769256
1696982400000,2023-10-11 00:00:00,FIL/USD,3.1935,3.2007,3.1089,3.1683,2026.193671,6419.5894078292995
1696896000000,2023-10-10 00:00:00,FIL/USD,3.2279,3.2308,3.1762,3.1935,3839.887283,12262.6800382605
1696809600000,2023-10-09 00:00:00,FIL/USD,3.3898,3.4233,3.1615,3.2279,8301.303264,26795.7768058656
1696723200000,2023-10-08 00:00:00,FIL/USD,3.4412,3.4412,3.3838,3.3898,1294.21457,4387.1285493860005
1696636800000,2023-10-07 00:00:00,FIL/USD,3.331,3.4412,3.3293,3.4412,5460.98636,18792.346262032
1696550400000,2023-10-06 00:00:00,FIL/USD,3.2612,3.3619,3.2607,3.331,27465.674704,91488.162439024
1696464000000,2023-10-05 00:00:00,FIL/USD,3.3125,3.3254,3.2466,3.2612,5031.414199,16408.4479857788
1696377600000,2023-10-04 00:00:00,FIL/USD,3.3007,3.3166,3.2137,3.3125,697.502073,2310.4756168125
1696291200000,2023-10-03 00:00:00,FIL/USD,3.327,3.3577,3.2833,3.3007,2977.610888,9828.200258021601
1696204800000,2023-10-02 00:00:00,FIL/USD,3.4617,3.4617,3.3066,3.327,16533.970235,55008.518971845
1696118400000,2023-10-01 00:00:00,FIL/USD,3.3711,3.4719,3.23,3.4617,13139.11504,45483.674533968006
1696032000000,2023-09-30 00:00:00,FIL/USD,3.3358,3.3711,3.302,3.3711,1736.253692,5853.084821101201
1695945600000,2023-09-29 00:00:00,FIL/USD,3.304,3.3646,3.2975,3.3358,23422.465869,78132.66164581019
1695859200000,2023-09-28 00:00:00,FIL/USD,3.2095,3.3256,3.2095,3.304,4512.202769,14908.317948776
1695772800000,2023-09-27 00:00:00,FIL/USD,3.1366,3.2683,3.1366,3.2095,2092.704794,6716.536036343
1695686400000,2023-09-26 00:00:00,FIL/USD,3.2024,3.2188,3.1155,3.1366,3195.363487,10022.5771133242
1695600000000,2023-09-25 00:00:00,FIL/USD,3.1948,3.2426,3.1831,3.2024,1227.325529,3930.3872740695997
1695513600000,2023-09-24 00:00:00,FIL/USD,3.2466,3.2636,3.1948,3.1948,1957.406873,6253.523477860399
1695427200000,2023-09-23 00:00:00,FIL/USD,3.2263,3.2476,3.2031,3.2466,1946.305173,6318.8743746618
1695340800000,2023-09-22 00:00:00,FIL/USD,3.218,3.2321,3.1053,3.2263,10411.40535,33590.317080705005
1695254400000,2023-09-21 00:00:00,FIL/USD,3.3485,3.377,3.1972,3.218,7341.895263,23626.218956334
1695168000000,2023-09-20 00:00:00,FIL/USD,3.3715,3.4133,3.3272,3.3485,1879.231104,6292.605351744
1695081600000,2023-09-19 00:00:00,FIL/USD,3.3301,3.4152,3.3104,3.3715,2254.094671,7599.6801832764995
1694995200000,2023-09-18 00:00:00,FIL/USD,3.3839,3.4302,3.3182,3.3301,9297.632455,30962.0458383955
1694908800000,2023-09-17 00:00:00,FIL/USD,3.3181,3.49,3.2337,3.3839,2679.185776,9066.0967474064
1694822400000,2023-09-16 00:00:00,FIL/USD,3.3679,3.445,3.3181,3.3181,1204.308465,3996.0159177165
1694736000000,2023-09-15 00:00:00,FIL/USD,3.24,3.3729,3.24,3.3679,15539.902887,52336.8389331273
1694649600000,2023-09-14 00:00:00,FIL/USD,3.1685,3.2459,3.1543,3.24,6170.670604,19992.97275696
1694563200000,2023-09-13 00:00:00,FIL/USD,3.1036,3.2269,3.0845,3.1685,8610.075373,27281.0238193505
1694476800000,2023-09-12 00:00:00,FIL/USD,3.0298,3.1872,3.0298,3.1036,5047.833085,15666.454762606001
1694390400000,2023-09-11 00:00:00,FIL/USD,3.1216,3.1216,2.9699,3.0298,13012.28809,39424.630455082
1694304000000,2023-09-10 00:00:00,FIL/USD,3.2452,3.2452,3.0177,3.1216,6588.18412,20565.675548992
1694217600000,2023-09-09 00:00:00,FIL/USD,3.231,3.2596,3.2218,3.2452,2247.472748,7293.498561809601
1694131200000,2023-09-08 00:00:00,FIL/USD,3.2574,3.27,3.1896,3.231,2730.505388,8822.262908628
1694044800000,2023-09-07 00:00:00,FIL/USD,3.2372,3.2707,3.1998,3.2574,18024.438076,58712.804588762396
1693958400000,2023-09-06 00:00:00,FIL/USD,3.2391,3.3014,3.1927,3.2372,5201.013845,16836.722019034
1693872000000,2023-09-05 00:00:00,FIL/USD,3.1645,3.2435,3.16,3.2391,1562.30472,5060.461218552
1693785600000,2023-09-04 00:00:00,FIL/USD,3.1663,3.2892,3.1283,3.1645,4207.688776,13315.231131651999
