https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XLM
1701648000000,2023-12-04 00:00:00,XLM/USD,0.12186,0.12529,0.11897,0.12208,299902.97930351796,2456610.24986499
1701561600000,2023-12-03 00:00:00,XLM/USD,0.12152,0.123,0.12078,0.12191,72160.74614213916,591918.18671265
1701475200000,2023-12-02 00:00:00,XLM/USD,0.11982,0.12175,0.11931,0.12163,92689.97468278708,762065.07179797
1701388800000,2023-12-01 00:00:00,XLM/USD,0.11814,0.11996,0.11786,0.11975,101476.70632163735,847404.64569217
1701302400000,2023-11-30 00:00:00,XLM/USD,0.11846,0.11967,0.11788,0.11836,62203.32994947776,525543.51089454
1701216000000,2023-11-29 00:00:00,XLM/USD,0.11834,0.12006,0.11801,0.11852,65997.19167803413,556844.34422911
1701129600000,2023-11-28 00:00:00,XLM/USD,0.1166,0.11887,0.11515,0.11857,63654.72404429139,536853.53836798
1701043200000,2023-11-27 00:00:00,XLM/USD,0.11984,0.12044,0.11476,0.1166,155518.52511557052,1333778.08846973
1700956800000,2023-11-26 00:00:00,XLM/USD,0.12062,0.12341,0.11903,0.11984,129940.66608917045,1084284.59687225
1700870400000,2023-11-25 00:00:00,XLM/USD,0.11773,0.12138,0.11759,0.121,145504.47246502343,1202516.30136383
1700784000000,2023-11-24 00:00:00,XLM/USD,0.11734,0.11914,0.11676,0.11796,144380.5653971487,1223979.0216781
1700697600000,2023-11-23 00:00:00,XLM/USD,0.11819,0.1188,0.11545,0.11723,124547.25318350374,1062417.92359894
1700611200000,2023-11-22 00:00:00,XLM/USD,0.11344,0.11847,0.11338,0.11825,81654.31580021592,690522.75518153
1700524800000,2023-11-21 00:00:00,XLM/USD,0.11972,0.12031,0.11273,0.11371,273911.4016161206,2408859.39333498
1700438400000,2023-11-20 00:00:00,XLM/USD,0.12104,0.12197,0.118,0.11962,61449.94159401112,513709.59366336
1700352000000,2023-11-19 00:00:00,XLM/USD,0.1193,0.12134,0.11764,0.12123,65115.062588261724,537120.04114709
1700265600000,2023-11-18 00:00:00,XLM/USD,0.11815,0.11948,0.11444,0.11918,214881.17799078336,1802996.96250028
1700179200000,2023-11-17 00:00:00,XLM/USD,0.11838,0.12043,0.11447,0.11845,181365.04113269562,1531152.73223044
1700092800000,2023-11-16 00:00:00,XLM/USD,0.12151,0.1232,0.11691,0.11843,168379.75536292573,1421766.06740628
1700006400000,2023-11-15 00:00:00,XLM/USD,0.11793,0.12182,0.11704,0.12145,158277.51934147053,1303231.94188119
1699920000000,2023-11-14 00:00:00,XLM/USD,0.12222,0.12264,0.11416,0.11789,271025.66691174166,2298970.79406007
1699833600000,2023-11-13 00:00:00,XLM/USD,0.12417,0.13825,0.11945,0.12239,435890.05038130796,3561484.19300031
1699747200000,2023-11-12 00:00:00,XLM/USD,0.12508,0.12672,0.12215,0.12408,210941.43727333573,1700043.82070709
1699660800000,2023-11-11 00:00:00,XLM/USD,0.12383,0.12735,0.12066,0.12515,274212.46972742275,2191070.47325148
1699574400000,2023-11-10 00:00:00,XLM/USD,0.12299,0.12433,0.12026,0.12378,317450.92401544255,2564638.26155633
1699488000000,2023-11-09 00:00:00,XLM/USD,0.12753,0.13042,0.11511,0.12303,681858.3562020672,5542212.11250969
1699401600000,2023-11-08 00:00:00,XLM/USD,0.1266,0.12884,0.12571,0.12764,97154.77893700157,761162.4799201
1699315200000,2023-11-07 00:00:00,XLM/USD,0.13106,0.13106,0.12243,0.12656,179586.06339315,1418979.64122274
1699228800000,2023-11-06 00:00:00,XLM/USD,0.12561,0.13497,0.12551,0.13121,270388.5863294074,2060731.5473623
1699142400000,2023-11-05 00:00:00,XLM/USD,0.12376,0.12861,0.1231,0.12594,158721.73210257836,1260296.42768444
1699056000000,2023-11-04 00:00:00,XLM/USD,0.12227,0.12446,0.12122,0.12363,90816.5614581794,734583.5271227
1698969600000,2023-11-03 00:00:00,XLM/USD,0.11959,0.1244,0.11618,0.1227,118719.8163820624,967561.66570548
1698883200000,2023-11-02 00:00:00,XLM/USD,0.12279,0.12365,0.11729,0.11975,85123.06800126398,710839.81629448
1698796800000,2023-11-01 00:00:00,XLM/USD,0.12118,0.12313,0.11768,0.12245,126304.87400706726,1031481.20871431
1698710400000,2023-10-31 00:00:00,XLM/USD,0.11903,0.125,0.11563,0.12126,161878.0986428286,1334967.00183761
1698624000000,2023-10-30 00:00:00,XLM/USD,0.11586,0.12009,0.11473,0.11905,201109.51544136665,1689286.1439846
1698537600000,2023-10-29 00:00:00,XLM/USD,0.11417,0.117,0.11279,0.11599,108974.09331735576,939512.83142819
1698451200000,2023-10-28 00:00:00,XLM/USD,0.1119,0.11443,0.1119,0.11422,60990.117961533484,533970.56523843
1698364800000,2023-10-27 00:00:00,XLM/USD,0.11303,0.11361,0.11024,0.11201,108304.79720345227,966920.78567496
1698278400000,2023-10-26 00:00:00,XLM/USD,0.11423,0.11686,0.11071,0.11316,92537.36625170785,817756.85977119
1698192000000,2023-10-25 00:00:00,XLM/USD,0.11446,0.11578,0.11221,0.11434,96321.22279186713,842410.55441549
1698105600000,2023-10-24 00:00:00,XLM/USD,0.11629,0.12052,0.11238,0.11451,237298.99258967984,2072299.29778779
1698019200000,2023-10-23 00:00:00,XLM/USD,0.11082,0.11617,0.10994,0.11611,215389.82971055596,1855049.77788783
1697932800000,2023-10-22 00:00:00,XLM/USD,0.11088,0.11205,0.10767,0.11079,109234.87614984257,985963.31934148
1697846400000,2023-10-21 00:00:00,XLM/USD,0.10756,0.1127,0.10755,0.11075,218611.11621925014,1973915.27060271
1697760000000,2023-10-20 00:00:00,XLM/USD,0.10772,0.11015,0.1064,0.10757,105184.55350221293,977824.24005032
1697673600000,2023-10-19 00:00:00,XLM/USD,0.10328,0.10786,0.10221,0.10744,89683.1926414156,834728.15191191
1697587200000,2023-10-18 00:00:00,XLM/USD,0.10297,0.10472,0.10255,0.10323,37114.853619928144,359535.53831181
1697500800000,2023-10-17 00:00:00,XLM/USD,0.10739,0.10757,0.10302,0.1031,51009.557757338414,494758.07718078
1697414400000,2023-10-16 00:00:00,XLM/USD,0.10628,0.11126,0.10619,0.10757,82592.89470935936,767806.03057878
1697328000000,2023-10-15 00:00:00,XLM/USD,0.10433,0.10645,0.1041,0.10637,72040.35389699937,677261.95259001
1697241600000,2023-10-14 00:00:00,XLM/USD,0.10317,0.10462,0.10317,0.10432,30463.218656709374,292017.0500068
1697155200000,2023-10-13 00:00:00,XLM/USD,0.10269,0.10368,0.10226,0.10297,34371.26573216753,333798.83201095
1697068800000,2023-10-12 00:00:00,XLM/USD,0.10328,0.10333,0.10114,0.10242,33813.15120792544,330142.07389109
1696982400000,2023-10-11 00:00:00,XLM/USD,0.1043,0.10498,0.10185,0.10333,39206.36182670137,379428.64440822
1696896000000,2023-10-10 00:00:00,XLM/USD,0.10622,0.10622,0.1036,0.10431,49121.90237391536,470922.27374092
1696809600000,2023-10-09 00:00:00,XLM/USD,0.11063,0.11104,0.10356,0.10607,178115.67019596772,1679227.58740424
1696723200000,2023-10-08 00:00:00,XLM/USD,0.11123,0.11148,0.11037,0.11071,28354.155148597936,256111.96051484
1696636800000,2023-10-07 00:00:00,XLM/USD,0.11186,0.11212,0.11046,0.11112,13960.216549372377,125631.89839248
1696550400000,2023-10-06 00:00:00,XLM/USD,0.11078,0.11233,0.10955,0.11185,61950.49632268463,553871.22326942
1696464000000,2023-10-05 00:00:00,XLM/USD,0.11242,0.11248,0.11037,0.11064,55863.22958114449,504909.88413905
1696377600000,2023-10-04 00:00:00,XLM/USD,0.11442,0.11529,0.111,0.11269,103472.70062418471,918206.58997413
1696291200000,2023-10-03 00:00:00,XLM/USD,0.11159,0.11641,0.11,0.11419,110259.14563439661,965576.19436375
1696204800000,2023-10-02 00:00:00,XLM/USD,0.11452,0.11525,0.11034,0.11183,256223.22338718988,2291185.04325485
1696118400000,2023-10-01 00:00:00,XLM/USD,0.11235,0.1148,0.11198,0.11452,71374.75054436721,623251.40188934
1696032000000,2023-09-30 00:00:00,XLM/USD,0.11285,0.11293,0.11093,0.11234,90893.70705482263,809094.77527882
1695945600000,2023-09-29 00:00:00,XLM/USD,0.11448,0.11881,0.11272,0.11274,124923.16112342486,1108064.22852071
1695859200000,2023-09-28 00:00:00,XLM/USD,0.11255,0.1147,0.11239,0.1143,77462.58733263664,677712.92504494
1695772800000,2023-09-27 00:00:00,XLM/USD,0.11201,0.11454,0.11151,0.11271,59939.251448826275,531800.65166202
1695686400000,2023-09-26 00:00:00,XLM/USD,0.11299,0.11299,0.11103,0.11201,29201.01865150534,260700.10402201
1695600000000,2023-09-25 00:00:00,XLM/USD,0.11228,0.11358,0.11097,0.11309,150342.38633626205,1329404.7779314
1695513600000,2023-09-24 00:00:00,XLM/USD,0.11416,0.11416,0.11209,0.11236,23844.930796192228,212219.03520997
1695427200000,2023-09-23 00:00:00,XLM/USD,0.11484,0.11538,0.11313,0.11424,19263.994946858387,168627.40674771
1695340800000,2023-09-22 00:00:00,XLM/USD,0.11401,0.11573,0.11363,0.11436,47641.479804940755,416592.16338703
1695254400000,2023-09-21 00:00:00,XLM/USD,0.11677,0.11699,0.11168,0.11392,96658.98235274642,848481.23554026
1695168000000,2023-09-20 00:00:00,XLM/USD,0.11836,0.11933,0.11608,0.11701,47505.604863029694,405996.11027288
1695081600000,2023-09-19 00:00:00,XLM/USD,0.1182,0.12019,0.11751,0.11855,57686.13530981126,486597.51421182
1694995200000,2023-09-18 00:00:00,XLM/USD,0.11631,0.1196,0.11543,0.118,66769.34377310432,565841.89638224
1694908800000,2023-09-17 00:00:00,XLM/USD,0.11927,0.11927,0.11541,0.11615,158558.19336662063,1365115.74142592
1694822400000,2023-09-16 00:00:00,XLM/USD,0.12049,0.12142,0.1181,0.1194,70514.62388688413,590574.73942114
1694736000000,2023-09-15 00:00:00,XLM/USD,0.12071,0.12199,0.11775,0.12052,94701.35628776839,785772.95293535
1694649600000,2023-09-14 00:00:00,XLM/USD,0.12094,0.12187,0.11828,0.12029,99995.60083397239,831287.72827311
1694563200000,2023-09-13 00:00:00,XLM/USD,0.1213,0.12265,0.11943,0.12086,130024.79833650083,1075829.87205445
1694476800000,2023-09-12 00:00:00,XLM/USD,0.12864,0.13223,0.12059,0.12154,186735.47841522796,1536411.70326829
