https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1697241600,2023-10-14,LTC/USD,61.461,61.843,61.461,61.767,4.24349633,262.10803781511004
1697155200,2023-10-13,LTC/USD,61.186,62.02,61.186,61.404,18.78335213,1153.3729541905202
1697068800,2023-10-12,LTC/USD,61.462,61.462,60.709,61.182,23.07629428,1411.85383663896
1696982400,2023-10-11,LTC/USD,63.611,63.611,61.261,61.517,22.441858,1380.555778586
1696896000,2023-10-10,LTC/USD,63.077,63.669,62.675,63.669,16.56693298,1054.80005590362
1696809600,2023-10-09,LTC/USD,65.264,65.287,61.749,63.032,169.95775398,10712.77714886736
1696723200,2023-10-08,LTC/USD,65.454,65.858,65.179,65.296,10.9240316,713.2955673536001
1696636800,2023-10-07,LTC/USD,65.585,66.153,65.142,65.412,8.60730441,563.02099606692
1696550400,2023-10-06,LTC/USD,64.921,65.821,64.543,65.564,17.06339288,1118.7442907843197
1696464000,2023-10-05,LTC/USD,64.59,65.124,63.964,64.98,27.31188432,1774.7262431136
1696377600,2023-10-04,LTC/USD,65.474,65.474,63.583,64.55,23.12281231,1492.5775346105
1696291200,2023-10-03,LTC/USD,66.063,66.799,65.474,65.533,19.58569902,1283.50961387766
1696204800,2023-10-02,LTC/USD,68.113,68.113,65.235,65.982,41.05679544,2709.0094767220803
1696118400,2023-10-01,LTC/USD,66.127,68.543,65.943,68.197,55.91279237,3813.08470125689
1696032000,2023-09-30,LTC/USD,65.534,66.43,65.453,66.106,9.51278708,628.85230271048
1695945600,2023-09-29,LTC/USD,65.355,66.34,65.04,65.542,30.78164774,2017.4907561750802
1695859200,2023-09-28,LTC/USD,63.482,65.637,63.246,65.436,31.293919,2047.7488836840002
1695772800,2023-09-27,LTC/USD,63.775,65.221,63.13,63.447,28.47100039,1806.3995617443302
1695686400,2023-09-26,LTC/USD,64.28,64.876,63.225,63.696,18.31179471,1166.38807584816
1695600000,2023-09-25,LTC/USD,63.453,64.864,62.819,64.325,23.72767651,1526.2827915057499
1695513600,2023-09-24,LTC/USD,65.002,65.002,63.531,63.531,14.55371581,924.61211912511
1695427200,2023-09-23,LTC/USD,64.36,65.14,64.36,65.077,55.09060447,3585.13126709419
1695340800,2023-09-22,LTC/USD,64.642,65.657,64.154,64.301,34.57032506,2222.9064716830603
1695254400,2023-09-21,LTC/USD,64.487,65.047,63.086,64.669,33.71704399,2180.44751778931
1695168000,2023-09-20,LTC/USD,67.292,67.64,63.618,64.467,85.94702112,5540.74661054304
1695081600,2023-09-19,LTC/USD,65.877,68.262,65.855,67.314,39.53027587,2660.9409899131797
1694995200,2023-09-18,LTC/USD,63.586,67.657,63.253,65.802,165.50322208,10890.44301930816
1694908800,2023-09-17,LTC/USD,65.206,65.206,62.785,63.508,119.88764694,7613.82468186552
1694822400,2023-09-16,LTC/USD,65.947,66.842,64.613,65.265,28.57122585,1864.7010551002502
1694736000,2023-09-15,LTC/USD,62.765,66.131,62.688,66.029,100.40811467,6629.84740354543
1694649600,2023-09-14,LTC/USD,62.054,63.239,62.054,62.843,55.21009521,3469.5680132820303
1694563200,2023-09-13,LTC/USD,60.028,62.671,59.855,62.034,308.95627065,19165.7932935021
1694476800,2023-09-12,LTC/USD,58.783,61.235,58.783,60.009,65.32139943,3919.87185839487
1694390400,2023-09-11,LTC/USD,61.13,61.505,57.774,58.711,171.10034062,10045.472098140819
1694304000,2023-09-10,LTC/USD,63.089,63.089,60.312,61.11,67.28938553,4112.0543497383005
1694217600,2023-09-09,LTC/USD,62.609,63.147,62.609,63.147,3.41042571,215.35815230937
1694131200,2023-09-08,LTC/USD,63.562,63.955,61.803,62.551,23.30813176,1457.94694971976
1694044800,2023-09-07,LTC/USD,62.854,64.18,62.597,63.548,24.10100427,1531.57061934996
1693958400,2023-09-06,LTC/USD,63.062,63.678,61.894,62.815,51.19787691,3215.99463810165
1693872000,2023-09-05,LTC/USD,63.555,63.555,62.7,63.004,18.89330454,1190.35375923816
1693785600,2023-09-04,LTC/USD,63.956,64.767,63.252,63.576,22.1404578,1407.6017450928
1693699200,2023-09-03,LTC/USD,64.543,64.702,63.865,63.903,11.18242745,714.5906613373501
1693612800,2023-09-02,LTC/USD,63.054,64.602,63.054,64.464,20.04742751,1292.3373670046399
1693526400,2023-09-01,LTC/USD,64.05,64.155,62.096,63.014,42.05209279,2649.87057506906
1693440000,2023-08-31,LTC/USD,67.483,68.216,63.396,63.977,105.68225226,6761.23345283802
1693353600,2023-08-30,LTC/USD,68.802,68.802,66.605,67.575,61.58383382,4161.5275703865
1693267200,2023-08-29,LTC/USD,65.486,70.461,64.85,68.828,227.14585795,15633.9951109826
1693180800,2023-08-28,LTC/USD,65.157,65.507,64.193,65.507,19.74544671,1293.46497763197
1693094400,2023-08-27,LTC/USD,65.021,65.771,64.941,65.184,8.04375159,524.3239036425599
1693008000,2023-08-26,LTC/USD,65.148,65.665,64.94,65.071,15.76308659,1025.71980749789
1692921600,2023-08-25,LTC/USD,64.703,65.141,63.671,65.073,47.47419326,3089.2881780079797
1692835200,2023-08-24,LTC/USD,65.596,65.752,64.048,64.724,18.65257411,1207.2692066956402
1692748800,2023-08-23,LTC/USD,64.772,66.728,64.206,65.617,45.43054079,2981.0157950174303
1692662400,2023-08-22,LTC/USD,66.965,67.048,62.281,64.751,121.83561222,7888.977726857221
1692576000,2023-08-21,LTC/USD,65.303,67.0,64.659,66.883,476.45197621,31866.53752485343
1692489600,2023-08-20,LTC/USD,63.947,65.787,63.947,65.276,17.77748288,1160.44297247488
1692403200,2023-08-19,LTC/USD,64.073,64.642,63.66,63.914,24.80046476,1585.09690467064
1692316800,2023-08-18,LTC/USD,64.908,65.786,63.617,64.052,105.32218795,6746.096782573401
1692230400,2023-08-17,LTC/USD,74.247,75.551,58.631,64.988,1376.64950761,89465.69820055868
1692144000,2023-08-16,LTC/USD,79.391,79.391,73.166,74.338,168.53491593,12528.54858040434
1692057600,2023-08-15,LTC/USD,82.003,82.003,77.525,79.489,83.07848938,6603.82604232682
1691971200,2023-08-14,LTC/USD,81.848,82.753,81.756,82.066,12.16627507,998.43752989462
