Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1573603200.0,2019-11-13,BTCUSD,8643.38,8761.8,8620,8759.1,2.595,22534.5
1573516800.0,2019-11-12,BTCUSD,8735.73,8759.9,8600,8643.38,1.602,13952.18
1573430400.0,2019-11-11,BTCUSD,9059.79,9059.79,8650,8735.73,2.855,24970.15
1573344000.0,2019-11-10,BTCUSD,8795.31,9073.5,8750,9059.79,1.565,13855.62
1573257600.0,2019-11-09,BTCUSD,8801,8861.3,8756.73,8795.31,1.324,11663.1
1573171200.0,2019-11-08,BTCUSD,9217.34,9217.34,8707.2,8801,2.139,19100.87
1573084800.0,2019-11-07,BTCUSD,9351.97,9360.72,9100.01,9217.34,1.935,17870.79
1572998400.0,2019-11-06,BTCUSD,9328.33,9434.6,9285,9351.97,2.782,25984.66
1572912000.0,2019-11-05,BTCUSD,9313.58,9469.91,9214.5,9328.33,3.806,35487.63
1572825600.0,2019-11-04,BTCUSD,9207.88,9492.25,9134.06,9313.58,5.878,55153.43
1572739200.0,2019-11-03,BTCUSD,9316.37,9375.41,9078.09,9207.88,2.413,22271.27
1572652800.0,2019-11-02,BTCUSD,9246.9,9363.31,9215.2,9316.37,2.771,25728.24
1572566400.0,2019-11-01,BTCUSD,9195,9292,9076.73,9246.9,3.187,29242.31
1572480000.0,2019-10-31,BTCUSD,9203.53,9401.84,8981.31,9195,4.947,45171.46
1572393600.0,2019-10-30,BTCUSD,9449.75,9449.75,9010.58,9203.53,4.774,43867.35
1572307200.0,2019-10-29,BTCUSD,9237.9,9539.26,9129.21,9449.75,13.66,127758.35
1572220800.0,2019-10-28,BTCUSD,9489.84,9868.05,9214.93,9237.9,18.18,170792.7
1572134400.0,2019-10-27,BTCUSD,9174.45,9790,9128.37,9489.84,10.75,101258.66
1572048000.0,2019-10-26,BTCUSD,8633.86,10230,8633.86,9174.45,43.25,402049.53
1571961600.0,2019-10-25,BTCUSD,7456.96,8800,7431.95,8633.86,13.55,112675.72
1571875200.0,2019-10-24,BTCUSD,7439.9,7495.73,7400,7456.96,0.2783,2072.9
1571788800.0,2019-10-23,BTCUSD,8041.4,8064.29,7437.58,7439.9,17.34,135833.47
1571702400.0,2019-10-22,BTCUSD,8217.79,8300.09,8038.01,8041.4,2.826,23328.96
1571616000.0,2019-10-21,BTCUSD,8221.7,8300,8188.9,8217.79,3.091,25437.16
1571529600.0,2019-10-20,BTCUSD,7935.64,8258,7920,8221.7,5.622,45644.39
1571443200.0,2019-10-19,BTCUSD,7978.8,8040.25,7935.64,7935.64,2.098,16798.1
1571356800.0,2019-10-18,BTCUSD,8072.9,8106.4,7877.66,7978.8,6.088,48607.99
1571270400.0,2019-10-17,BTCUSD,8010.9,8124.36,7969.98,8072.9,6.311,50921.49
1571184000.0,2019-10-16,BTCUSD,8167.36,8187.7,7926.91,8010.9,7.15,57250.37
1571097600.0,2019-10-15,BTCUSD,8312.59,8360.9,8152.78,8167.36,2.588,21492.94
1571011200.0,2019-10-14,BTCUSD,8271.92,8370.11,8271.92,8312.59,2.784,23186.11
1570924800.0,2019-10-13,BTCUSD,8318.79,8456.64,8208.3,8271.92,4.268,35825.36
1570838400.0,2019-10-12,BTCUSD,8300,8384.3,8281.4,8318.79,1.51,12609.87
1570752000.0,2019-10-11,BTCUSD,8574.5,8756.78,8300,8300,4.373,36828.13
1570665600.0,2019-10-10,BTCUSD,8593.13,8641.5,8463.01,8574.5,3.192,27388.86
1570579200.0,2019-10-09,BTCUSD,8197.8,8650.04,8005,8593.13,2.114,17843.6
1570492800.0,2019-10-08,BTCUSD,8280.47,8320.59,8150.76,8197.8,0.7345,6023.89
1570406400.0,2019-10-07,BTCUSD,7828.07,8290.8,7814.9,8280.47,8.719,71040.71
1570320000.0,2019-10-06,BTCUSD,8193.64,8193.64,7828.07,7828.07,2.459,19599.04
1570233600.0,2019-10-05,BTCUSD,8205.41,8205.41,8040,8193.64,2.429,19751.75
1570147200.0,2019-10-04,BTCUSD,8272.6,8272.6,8100,8205.41,1.428,11655.53
1570060800.0,2019-10-03,BTCUSD,8371.81,8408.36,8091.3,8272.6,2.884,23775.63
1569974400.0,2019-10-02,BTCUSD,8307.1,8371.81,8193.83,8371.81,2.484,20554.87
1569888000.0,2019-10-01,BTCUSD,8296.79,8649.99,8228.01,8307.1,6.098,51086.6
1569801600.0,2019-09-30,BTCUSD,7950,8410,7751.62,8296.79,2.455,20063.77
1569715200.0,2019-09-29,BTCUSD,7973.93,8150.6,7950,7950,0.2187,1759.47
1569628800.0,2019-09-28,BTCUSD,8223.76,8300,7973.93,7973.93,0.2937,2406.52
1569542400.0,2019-09-27,BTCUSD,8117.81,8223.76,7700,8223.76,2.545,20299.55
1569456000.0,2019-09-26,BTCUSD,8542.61,8604.41,7777,8117.81,6.866,55658.99
1569369600.0,2019-09-25,BTCUSD,8618.09,8652.41,8246.44,8542.61,4.392,37052.4
