https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume FIL,Volume USDT,tradecount
1697500800000,2023-10-17,FILUSDT,3.25,3.259,3.121,3.206,2648532.05,8500187.51301,33433
1697414400000,2023-10-16,FILUSDT,3.225,3.368,3.204,3.249,3440570.43,11243813.38344,50148
1697328000000,2023-10-15,FILUSDT,3.213,3.238,3.197,3.225,964889.54,3101873.44129,15814
1697241600000,2023-10-14,FILUSDT,3.208,3.237,3.202,3.212,668374.2,2151993.48805,11793
1697155200000,2023-10-13,FILUSDT,3.21,3.245,3.174,3.208,1417844.65,4552065.12238,20273
1697068800000,2023-10-12,FILUSDT,3.176,3.242,3.126,3.21,1827343.04,5812504.33588,27103
1696982400000,2023-10-11,FILUSDT,3.195,3.208,3.112,3.176,1779802.82,5615347.32369,28571
1696896000000,2023-10-10,FILUSDT,3.226,3.238,3.166,3.195,1736391.41,5574249.87304,28422
1696809600000,2023-10-09,FILUSDT,3.394,3.428,3.155,3.226,4046641.68,13307111.42328,58998
1696723200000,2023-10-08,FILUSDT,3.448,3.45,3.374,3.394,2298946.45,7844946.55048,30728
1696636800000,2023-10-07,FILUSDT,3.335,3.45,3.32,3.447,1873625.4,6329927.73323,28253
1696550400000,2023-10-06,FILUSDT,3.259,3.374,3.244,3.335,1318344.12,4353016.01774,20672
1696464000000,2023-10-05,FILUSDT,3.31,3.328,3.246,3.258,1656105.23,5448239.84039,24418
1696377600000,2023-10-04,FILUSDT,3.309,3.33,3.213,3.311,1882007.15,6179999.98569,30630
1696291200000,2023-10-03,FILUSDT,3.332,3.362,3.282,3.309,1183108.02,3927395.34919,22051
1696204800000,2023-10-02,FILUSDT,3.466,3.468,3.29,3.331,2204369.69,7489058.70405,37603
1696118400000,2023-10-01,FILUSDT,3.354,3.479,3.339,3.465,2181991.62,7409013.91063,35822
1696032000000,2023-09-30,FILUSDT,3.336,3.38,3.306,3.354,1407996.05,4702004.32768,21460
1695945600000,2023-09-29,FILUSDT,3.312,3.371,3.277,3.336,1891233.22,6288755.74509,29253
1695859200000,2023-09-28,FILUSDT,3.211,3.315,3.208,3.313,1827613.39,5958812.58472,27035
1695772800000,2023-09-27,FILUSDT,3.172,3.283,3.169,3.211,2198978.87,7068214.56682,28878
1695686400000,2023-09-26,FILUSDT,3.212,3.228,3.103,3.171,1771294.15,5638891.10201,20679
1695600000000,2023-09-25,FILUSDT,3.21,3.246,3.165,3.211,1700628.05,5459512.62416,22548
1695513600000,2023-09-24,FILUSDT,3.242,3.268,3.174,3.21,1724733.46,5591333.32041,22602
1695427200000,2023-09-23,FILUSDT,3.224,3.249,3.193,3.241,1362182.4,4392116.83724,24646
1695340800000,2023-09-22,FILUSDT,3.214,3.243,3.186,3.223,1723161.23,5548119.7005,25616
1695254400000,2023-09-21,FILUSDT,3.365,3.389,3.187,3.214,2931081.33,9603075.40891,39244
1695168000000,2023-09-20,FILUSDT,3.368,3.418,3.307,3.366,2880129.65,9699387.22638,35608
1695081600000,2023-09-19,FILUSDT,3.33,3.411,3.307,3.368,2213474.69,7437330.00668,33370
1694995200000,2023-09-18,FILUSDT,3.329,3.433,3.288,3.331,3657123.39,12296870.77624,46203
1694908800000,2023-09-17,FILUSDT,3.322,3.415,3.236,3.329,2901761.51,9617774.07531,45298
1694822400000,2023-09-16,FILUSDT,3.367,3.46,3.304,3.322,3645110.5,12352187.73109,45913
1694736000000,2023-09-15,FILUSDT,3.233,3.388,3.216,3.367,3445278.34,11392181.97694,53861
1694649600000,2023-09-14,FILUSDT,3.174,3.251,3.152,3.233,2545017.72,8163445.92254,45843
1694563200000,2023-09-13,FILUSDT,3.087,3.228,3.077,3.174,3377543.85,10614884.99148,40723
1694476800000,2023-09-12,FILUSDT,3.026,3.199,3.018,3.089,3190831.2,9953805.96535,37569
1694390400000,2023-09-11,FILUSDT,3.113,3.127,2.95,3.026,4242416.56,12896771.03108,50216
1694304000000,2023-09-10,FILUSDT,3.241,3.245,3.0,3.113,4325831.04,13490467.84964,55617
1694217600000,2023-09-09,FILUSDT,3.227,3.271,3.213,3.24,1163049.83,3769297.70163,15755
1694131200000,2023-09-08,FILUSDT,3.266,3.287,3.174,3.227,2503326.26,8089925.87977,25476
1694044800000,2023-09-07,FILUSDT,3.245,3.284,3.203,3.265,2506504.39,8118078.85092,24204
1693958400000,2023-09-06,FILUSDT,3.239,3.31,3.174,3.246,3621624.27,11738892.91185,34510
1693872000000,2023-09-05,FILUSDT,3.177,3.264,3.143,3.236,2442816.97,7825299.60844,25716
1693785600000,2023-09-04,FILUSDT,3.167,3.32,3.118,3.178,3169803.77,10140748.16618,35587
1693699200000,2023-09-03,FILUSDT,3.189,3.196,3.107,3.166,1461182.69,4626661.49738,20073
1693612800000,2023-09-02,FILUSDT,3.173,3.24,3.133,3.188,2042379.92,6500255.3775,24658
1693526400000,2023-09-01,FILUSDT,3.216,3.235,3.107,3.173,3105447.03,9904890.58565,34308
1693440000000,2023-08-31,FILUSDT,3.416,3.443,3.1,3.214,7379956.92,24380790.90517,74318
1693353600000,2023-08-30,FILUSDT,3.499,3.503,3.364,3.416,2682243.39,9206781.73201,28988
1693267200000,2023-08-29,FILUSDT,3.395,3.578,3.294,3.498,6966706.81,23898001.90569,77005
1693180800000,2023-08-28,FILUSDT,3.317,3.396,3.274,3.395,5824819.18,19450626.40345,49489
1693094400000,2023-08-27,FILUSDT,3.261,3.319,3.218,3.318,2586144.75,8441232.85145,24783
1693008000000,2023-08-26,FILUSDT,3.237,3.283,3.221,3.26,1364398.08,4440536.4055,16240
1692921600000,2023-08-25,FILUSDT,3.3,3.3,3.183,3.237,3722169.81,12065463.57438,43320
1692835200000,2023-08-24,FILUSDT,3.452,3.468,3.249,3.3,4688285.96,15795028.50959,46458
1692748800000,2023-08-23,FILUSDT,3.392,3.489,3.364,3.452,2825497.6,9653498.18583,34610
1692662400000,2023-08-22,FILUSDT,3.414,3.426,3.202,3.393,2659753.76,8918146.18977,38471
1692576000000,2023-08-21,FILUSDT,3.565,3.578,3.345,3.415,4605672.27,15926557.76869,48477
1692489600000,2023-08-20,FILUSDT,3.57,3.59,3.518,3.564,1088357.4,3872631.24949,16652
1692403200000,2023-08-19,FILUSDT,3.5,3.618,3.491,3.571,1563844.76,5531823.88474,22309
1692316800000,2023-08-18,FILUSDT,3.437,3.527,3.418,3.501,3339157.47,11606195.65343,45229
1692230400000,2023-08-17,FILUSDT,3.729,3.792,3.033,3.438,6667133.26,23561801.61724,98034
1692144000000,2023-08-16,FILUSDT,3.855,3.871,3.61,3.729,3582218.81,13469213.533,52157
1692057600000,2023-08-15,FILUSDT,4.076,4.084,3.622,3.857,5013440.39,19435621.80608,63042
1691971200000,2023-08-14,FILUSDT,4.096,4.125,4.042,4.077,1543494.41,6314570.86308,19656
1691884800000,2023-08-13,FILUSDT,4.129,4.177,4.059,4.096,1499594.82,6179241.84419,20473
1691798400000,2023-08-12,FILUSDT,4.11,4.141,4.095,4.129,947823.61,3900648.9843,12344
1691712000000,2023-08-11,FILUSDT,4.142,4.16,4.092,4.11,1087770.84,4488548.53732,14943
1691625600000,2023-08-10,FILUSDT,4.153,4.162,4.091,4.141,1650156.94,6815959.16587,20603
1691539200000,2023-08-09,FILUSDT,4.143,4.2,4.105,4.15,1821817.93,7562735.26041,24987
1691452800000,2023-08-08,FILUSDT,4.105,4.213,4.069,4.143,2270207.29,9364234.2233,32089
1691366400000,2023-08-07,FILUSDT,4.165,4.219,4.0,4.107,2480779.46,10211634.07945,34924
1691280000000,2023-08-06,FILUSDT,4.103,4.179,4.096,4.164,1541092.74,6378865.94183,20010
1691193600000,2023-08-05,FILUSDT,4.094,4.132,4.023,4.102,2071426.28,8420379.72325,25131
1691107200000,2023-08-04,FILUSDT,4.108,4.158,4.045,4.095,2521161.08,10372459.04052,31459
1691020800000,2023-08-03,FILUSDT,4.261,4.297,4.06,4.106,2928422.01,12320067.34001,34598
1690934400000,2023-08-02,FILUSDT,4.281,4.328,4.196,4.261,4430584.65,18830337.61467,43010
1690848000000,2023-08-01,FILUSDT,4.258,4.291,4.1,4.282,3099834.89,13045278.18113,40444
1690761600000,2023-07-31,FILUSDT,4.314,4.365,4.197,4.258,2723657.74,11692619.37455,37603
1690675200000,2023-07-30,FILUSDT,4.419,4.443,4.181,4.314,2714189.97,11784117.33788,41114
1690588800000,2023-07-29,FILUSDT,4.393,4.445,4.376,4.419,2284607.35,10075358.29391,30845
1690502400000,2023-07-28,FILUSDT,4.431,4.487,4.371,4.394,2993368.29,13243508.5053,38257
1690416000000,2023-07-27,FILUSDT,4.329,4.434,4.306,4.431,3544900.28,15518559.4319,46342
1690329600000,2023-07-26,FILUSDT,4.401,4.404,4.239,4.331,4641346.11,20069011.39129,68246
1690243200000,2023-07-25,FILUSDT,4.521,4.554,4.372,4.402,3279457.5,14670513.82513,56590
1690156800000,2023-07-24,FILUSDT,4.561,4.6,4.301,4.523,5815145.13,26009655.5449,86750
1690070400000,2023-07-23,FILUSDT,4.456,4.675,4.436,4.562,4863178.48,22331933.88973,70213
1689984000000,2023-07-22,FILUSDT,4.477,4.572,4.386,4.457,4172125.43,18774869.8232,55282
1689897600000,2023-07-21,FILUSDT,4.441,4.55,4.396,4.477,4790232.58,21488198.59847,60082
1689811200000,2023-07-20,FILUSDT,4.258,4.588,4.238,4.44,8885866.85,39305918.19942,100603
1689724800000,2023-07-19,FILUSDT,4.28,4.395,4.216,4.259,1980780.98,8541970.12229,32662
1689638400000,2023-07-18,FILUSDT,4.346,4.389,4.172,4.28,2477611.29,10612387.23975,38530
1689552000000,2023-07-17,FILUSDT,4.354,4.484,4.211,4.345,4461747.8,19345923.39106,65840
1689465600000,2023-07-16,FILUSDT,4.436,4.465,4.308,4.355,3494580.06,15377365.38493,44536
1689379200000,2023-07-15,FILUSDT,4.437,4.506,4.376,4.436,3392994.87,15023421.24083,37639
1689292800000,2023-07-14,FILUSDT,4.672,4.742,4.3,4.438,8649539.59,39537897.71789,123686
1689206400000,2023-07-13,FILUSDT,4.236,4.73,4.181,4.672,7879172.23,35065608.78676,118954
1689120000000,2023-07-12,FILUSDT,4.296,4.364,4.18,4.236,3555160.29,15216412.11653,51121
1689033600000,2023-07-11,FILUSDT,4.32,4.349,4.214,4.296,2555384.83,10972783.82809,44746
1688947200000,2023-07-10,FILUSDT,4.335,4.42,4.142,4.321,5262818.34,22405165.56311,73136
1688860800000,2023-07-09,FILUSDT,4.337,4.43,4.314,4.335,2997736.67,13072081.42223,38926
1688774400000,2023-07-08,FILUSDT,4.404,4.436,4.22,4.338,2769692.72,12052544.03037,37073
1688688000000,2023-07-07,FILUSDT,4.317,4.458,4.26,4.403,3671119.91,16128134.94042,57140
1688601600000,2023-07-06,FILUSDT,4.599,4.687,4.31,4.318,7601823.69,34270527.717,110740
1688515200000,2023-07-05,FILUSDT,4.547,4.87,4.321,4.6,14798522.19,68318751.13541,231720
1688428800000,2023-07-04,FILUSDT,4.737,4.766,4.417,4.546,7988349.41,36782592.68153,114197
1688342400000,2023-07-03,FILUSDT,4.11,5.0,4.074,4.734,28961489.98,135886030.63387,454529
1688256000000,2023-07-02,FILUSDT,4.106,4.13,3.935,4.109,4937993.31,20037950.81649,65809
1688169600000,2023-07-01,FILUSDT,3.948,4.259,3.906,4.107,6623940.12,26837330.35713,83606
1688083200000,2023-06-30,FILUSDT,3.833,4.04,3.561,3.948,7697657.75,29987346.01229,114453
1687996800000,2023-06-29,FILUSDT,3.771,3.896,3.764,3.832,2519689.76,9650527.23143,36197
1687910400000,2023-06-28,FILUSDT,4.027,4.05,3.642,3.771,4179031.75,16215932.29479,62563
1687824000000,2023-06-27,FILUSDT,3.958,4.082,3.942,4.028,2518689.16,10127599.34333,37213
1687737600000,2023-06-26,FILUSDT,4.121,4.155,3.888,3.956,4040557.12,16244341.12626,63126
1687651200000,2023-06-25,FILUSDT,3.928,4.274,3.913,4.121,5814155.45,23746077.34422,85476
1687564800000,2023-06-24,FILUSDT,4.042,4.071,3.815,3.927,3826684.68,15173699.33092,55507
1687478400000,2023-06-23,FILUSDT,3.921,4.148,3.919,4.042,4515261.3,18135819.60328,68886
1687392000000,2023-06-22,FILUSDT,3.923,4.091,3.84,3.921,4588286.46,18207867.07048,69491
1687305600000,2023-06-21,FILUSDT,3.785,3.975,3.746,3.921,7439188.09,28642776.59546,101373
1687219200000,2023-06-20,FILUSDT,3.688,3.815,3.588,3.785,3519623.14,13025438.46298,49927
1687132800000,2023-06-19,FILUSDT,3.681,3.703,3.58,3.688,2598296.11,9493582.74889,36033
1687046400000,2023-06-18,FILUSDT,3.708,3.756,3.628,3.681,2079207.19,7672678.55601,31118
1686960000000,2023-06-17,FILUSDT,3.694,3.82,3.658,3.708,2839038.29,10604822.61711,41739
1686873600000,2023-06-16,FILUSDT,3.661,3.749,3.534,3.694,2839177.04,10339791.4419,43016
1686787200000,2023-06-15,FILUSDT,3.564,3.72,3.47,3.661,4200251.94,15017739.92991,60230
1686700800000,2023-06-14,FILUSDT,3.658,3.76,3.458,3.565,3843224.06,13918583.33974,57703
1686614400000,2023-06-13,FILUSDT,3.527,3.745,3.495,3.658,6182171.39,22470341.7643,85188
1686528000000,2023-06-12,FILUSDT,3.428,3.612,3.294,3.526,4642423.59,15973995.35824,67626
1686441600000,2023-06-11,FILUSDT,3.485,3.502,3.347,3.429,3932186.98,13439753.87656,58219
1686355200000,2023-06-10,FILUSDT,4.033,4.041,2.7,3.485,25714218.04,85147717.17549,359478
1686268800000,2023-06-09,FILUSDT,4.093,4.146,3.956,4.032,3080898.33,12502009.18342,50775
1686182400000,2023-06-08,FILUSDT,4.137,4.179,4.077,4.093,2492885.92,10286710.20051,40021
1686096000000,2023-06-07,FILUSDT,4.4,4.4,4.05,4.138,4135018.02,17474929.22843,64732
1686009600000,2023-06-06,FILUSDT,4.216,4.442,4.143,4.399,4885043.91,20863337.7159,70368
1685923200000,2023-06-05,FILUSDT,4.661,4.663,4.002,4.216,8788471.16,38504755.73425,134315
1685836800000,2023-06-04,FILUSDT,4.855,4.895,4.613,4.661,5828437.7,27648416.5393,84685
1685750400000,2023-06-03,FILUSDT,4.963,4.988,4.802,4.854,2648817.68,12994867.70095,40216
1685664000000,2023-06-02,FILUSDT,4.698,5.027,4.677,4.963,6396047.89,31540544.91661,103385
1685577600000,2023-06-01,FILUSDT,4.693,4.757,4.613,4.697,2337558.7,10941833.50413,38372
1685491200000,2023-05-31,FILUSDT,4.824,4.887,4.606,4.692,4124831.02,19413675.32803,57509
1685404800000,2023-05-30,FILUSDT,4.634,4.909,4.597,4.825,5517647.48,26473166.17799,81167
1685318400000,2023-05-29,FILUSDT,4.66,4.721,4.586,4.633,3080686.57,14323411.15964,42113
1685232000000,2023-05-28,FILUSDT,4.479,4.707,4.469,4.66,3493538.41,15996486.55724,44478
1685145600000,2023-05-27,FILUSDT,4.441,4.51,4.409,4.479,1858493.78,8281813.43492,23245
1685059200000,2023-05-26,FILUSDT,4.416,4.46,4.372,4.44,1635703.55,7223567.82844,25981
1684972800000,2023-05-25,FILUSDT,4.46,4.476,4.333,4.416,2317113.04,10224421.30229,34180
1684886400000,2023-05-24,FILUSDT,4.521,4.528,4.335,4.46,4248893.31,18829885.47035,56040
1684800000000,2023-05-23,FILUSDT,4.411,4.528,4.395,4.521,2757249.44,12367267.4775,36483
1684713600000,2023-05-22,FILUSDT,4.376,4.438,4.3,4.41,2255817.62,9899054.30226,33184
1684627200000,2023-05-21,FILUSDT,4.511,4.529,4.332,4.376,2004464.49,8887632.7134,32020
1684540800000,2023-05-20,FILUSDT,4.493,4.534,4.453,4.511,1493131.29,6702202.57918,35826
1684454400000,2023-05-19,FILUSDT,4.459,4.513,4.424,4.495,2476900.81,11065940.63649,33916
1684368000000,2023-05-18,FILUSDT,4.546,4.672,4.389,4.459,5807741.42,26340500.69727,70265
1684281600000,2023-05-17,FILUSDT,4.427,4.61,4.381,4.546,6646494.79,29820545.64084,99361
1684195200000,2023-05-16,FILUSDT,4.453,4.492,4.372,4.427,4034632.44,17849271.17977,57750
1684108800000,2023-05-15,FILUSDT,4.45,4.54,4.365,4.453,4047087.22,18111953.88206,53171
1684022400000,2023-05-14,FILUSDT,4.384,4.493,4.325,4.45,2291422.59,10127158.70057,34969
1683936000000,2023-05-13,FILUSDT,4.438,4.442,4.334,4.384,2704107.92,11857474.98592,36976
1683849600000,2023-05-12,FILUSDT,4.353,4.446,4.196,4.437,5854780.26,25242610.27335,78403
1683763200000,2023-05-11,FILUSDT,4.598,4.605,4.205,4.352,7397145.57,32685750.65144,97807
1683676800000,2023-05-10,FILUSDT,4.546,4.737,4.365,4.598,8805547.77,40299118.46128,113488
1683590400000,2023-05-09,FILUSDT,4.536,4.604,4.488,4.545,4480843.91,20405934.13883,55932
1683504000000,2023-05-08,FILUSDT,5.031,5.075,4.332,4.535,9792865.43,45977822.01084,141551
1683417600000,2023-05-07,FILUSDT,5.047,5.131,5.003,5.031,2843315.82,14426129.2461,37308
1683331200000,2023-05-06,FILUSDT,5.264,5.295,4.993,5.046,4371529.48,22373242.60579,59074
1683244800000,2023-05-05,FILUSDT,5.265,5.327,5.1,5.263,4142202.99,21690561.8039,58438
1683158400000,2023-05-04,FILUSDT,5.345,5.366,5.23,5.265,2711048.58,14384679.8357,36435
1683072000000,2023-05-03,FILUSDT,5.282,5.384,5.2,5.345,4281571.45,22540069.2927,62048
1682985600000,2023-05-02,FILUSDT,5.301,5.325,5.214,5.282,2720023.91,14357181.48063,45157
1682899200000,2023-05-01,FILUSDT,5.417,5.461,5.19,5.301,4329205.28,23055873.70352,64898
