https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume USDT,tradecount
1596326400000,2020-08-02,ADAUSDT,0.14415,0.1485,0.1258,0.13375,557443813.3,76039339.167855,165614
1596240000000,2020-08-01,ADAUSDT,0.13876,0.14691,0.13814,0.1441,428476131.0,60702230.235242,116125
1596153600000,2020-07-31,ADAUSDT,0.14056,0.14133,0.13552,0.13878,257426976.7,35768909.728134,69041
1596067200000,2020-07-30,ADAUSDT,0.13976,0.1426,0.13687,0.1406,320531544.9,44798051.823315,84190
1595980800000,2020-07-29,ADAUSDT,0.14904,0.14998,0.138,0.13972,537845004.2,77021419.237423,136306
1595894400000,2020-07-28,ADAUSDT,0.13861,0.15101,0.13399,0.14904,715760829.0,101485354.075165,187266
1595808000000,2020-07-27,ADAUSDT,0.14847,0.14983,0.13,0.13859,1006112609.6,140173714.161824,242476
1595721600000,2020-07-26,ADAUSDT,0.14368,0.15464,0.14131,0.14849,971402952.6,143551304.780496,223732
1595635200000,2020-07-25,ADAUSDT,0.122,0.14588,0.12195,0.14362,851485004.5,114672675.127496,193325
1595548800000,2020-07-24,ADAUSDT,0.1242,0.12437,0.12053,0.12197,185179301.2,22702498.285806,47519
1595462400000,2020-07-23,ADAUSDT,0.12385,0.12607,0.12333,0.12422,233344422.6,29116173.639153,56808
1595376000000,2020-07-22,ADAUSDT,0.1232,0.12466,0.12032,0.1238,167277837.9,20426754.270616,47690
1595289600000,2020-07-21,ADAUSDT,0.11772,0.12468,0.11671,0.12321,260880715.5,31840419.192397,73111
1595203200000,2020-07-20,ADAUSDT,0.12401,0.12431,0.11465,0.11771,253190451.2,30501268.997381,69196
1595116800000,2020-07-19,ADAUSDT,0.12267,0.12475,0.12113,0.12402,172079009.8,21174528.340071,45835
1595030400000,2020-07-18,ADAUSDT,0.12224,0.12475,0.11823,0.1227,275326072.2,33425718.039014,74210
1594944000000,2020-07-17,ADAUSDT,0.12605,0.12671,0.12163,0.12224,269816299.8,33494705.572252,76214
1594857600000,2020-07-16,ADAUSDT,0.13071,0.13333,0.11829,0.12602,607317645.2,76191690.708722,162808
1594771200000,2020-07-15,ADAUSDT,0.13254,0.13283,0.12732,0.13069,370682346.2,48321002.170055,98285
1594684800000,2020-07-14,ADAUSDT,0.12426,0.135,0.1208,0.13256,573751827.4,73662902.884092,165839
1594598400000,2020-07-13,ADAUSDT,0.12689,0.136,0.12078,0.12427,688293154.1,89791806.234021,196971
1594512000000,2020-07-12,ADAUSDT,0.12519,0.12849,0.12036,0.12685,416611565.9,51745214.429524,111398
1594425600000,2020-07-11,ADAUSDT,0.11843,0.12726,0.11767,0.12523,460447487.7,56058359.526915,123800
1594339200000,2020-07-10,ADAUSDT,0.12401,0.12428,0.11026,0.11846,808057758.1,94252583.899036,192793
1594252800000,2020-07-09,ADAUSDT,0.12992,0.12993,0.11744,0.12403,893825632.2,109551339.263616,219974
1594166400000,2020-07-08,ADAUSDT,0.11764,0.13877,0.1147,0.12993,1587749613.1,204957288.841269,394118
1594080000000,2020-07-07,ADAUSDT,0.10512,0.11916,0.10289,0.11764,775869735.0,85913288.313825,186335
1593993600000,2020-07-06,ADAUSDT,0.09815,0.10676,0.09722,0.10512,473375192.5,47783980.610853,118533
1593907200000,2020-07-05,ADAUSDT,0.10005,0.10005,0.0942,0.09813,397913451.9,38453072.74795,100450
1593820800000,2020-07-04,ADAUSDT,0.09652,0.10118,0.09591,0.10005,490805389.1,48478371.467822,103311
1593734400000,2020-07-03,ADAUSDT,0.09291,0.1021,0.09221,0.09655,690799829.5,67173609.519036,137709
1593648000000,2020-07-02,ADAUSDT,0.09685,0.09685,0.08742,0.09291,745942280.8,69432388.956379,155953
1593561600000,2020-07-01,ADAUSDT,0.083,0.09708,0.0824,0.09681,627920438.9,56678215.985084,109932
1593475200000,2020-06-30,ADAUSDT,0.08394,0.0847,0.08181,0.08299,196547531.1,16362429.51071,42492
1593388800000,2020-06-29,ADAUSDT,0.08026,0.08444,0.08026,0.08392,322000901.7,26538377.186221,61013
1593302400000,2020-06-28,ADAUSDT,0.07738,0.08109,0.0762,0.08028,230373628.4,18248575.428394,41854
1593216000000,2020-06-27,ADAUSDT,0.08063,0.081,0.07453,0.07738,239980469.3,18753839.169293,49985
1593129600000,2020-06-26,ADAUSDT,0.08166,0.08181,0.07934,0.08062,189443293.9,15262822.94874,41167
