https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1698451200000,2023-10-28 00:00:00,SOL/USD,31.772,32.521,31.4,31.731,18450.681412,585458.571884172
1698364800000,2023-10-27 00:00:00,SOL/USD,32.812,33.344,31.087,31.772,24269.651124,771095.355511728
1698278400000,2023-10-26 00:00:00,SOL/USD,32.446,33.295,30.743,32.812,24923.122097,817777.4822467639
1698192000000,2023-10-25 00:00:00,SOL/USD,30.201,33.834,30.055,32.446,36819.014217,1194629.735284782
1698105600000,2023-10-24 00:00:00,SOL/USD,32.0,32.663,29.546,30.201,29918.574297,903570.862343697
1698019200000,2023-10-23 00:00:00,SOL/USD,29.08,33.484,28.795,32.0,54848.394721,1755148.631072
1697932800000,2023-10-22 00:00:00,SOL/USD,29.4,29.996,28.144,29.08,21560.167651,626969.6752910799
1697846400000,2023-10-21 00:00:00,SOL/USD,27.023,30.256,26.665,29.4,55936.710313,1644539.2832022
1697760000000,2023-10-20 00:00:00,SOL/USD,24.983,27.5,24.76,27.023,44359.417187,1198724.5306443009
1697673600000,2023-10-19 00:00:00,SOL/USD,23.41,25.737,23.165,24.983,19591.143765,489445.54468099505
1697587200000,2023-10-18 00:00:00,SOL/USD,24.011,24.41,23.4,23.41,27585.730779,645781.95753639
1697500800000,2023-10-17 00:00:00,SOL/USD,23.951,24.528,23.472,24.011,18206.329444,437152.17627988395
1697414400000,2023-10-16 00:00:00,SOL/USD,21.917,24.857,21.917,23.951,22151.298881,530545.759498831
1697328000000,2023-10-15 00:00:00,SOL/USD,22.002,22.158,21.686,21.917,3773.546745,82704.82401016502
1697241600000,2023-10-14 00:00:00,SOL/USD,21.841,22.259,21.797,22.002,3133.629786,68946.122551572
1697155200000,2023-10-13 00:00:00,SOL/USD,21.268,22.189,21.121,21.841,8967.720782,195863.98959966202
1697068800000,2023-10-12 00:00:00,SOL/USD,22.004,22.038,21.0,21.268,8369.170228,177995.51240910403
1696982400000,2023-10-11 00:00:00,SOL/USD,22.091,22.407,21.642,22.004,8720.793692,191892.344398768
1696896000000,2023-10-10 00:00:00,SOL/USD,22.168,22.461,21.706,22.091,6868.262234,151726.781011294
1696809600000,2023-10-09 00:00:00,SOL/USD,23.225,23.349,21.733,22.168,9594.285931,212686.130518408
1696723200000,2023-10-08 00:00:00,SOL/USD,23.323,23.63,22.899,23.225,6364.193857,147808.402328825
1696636800000,2023-10-07 00:00:00,SOL/USD,23.44,24.197,23.092,23.323,5880.416386,137148.951370678
1696550400000,2023-10-06 00:00:00,SOL/USD,22.733,23.766,22.697,23.44,9990.547252,234178.42758688002
1696464000000,2023-10-05 00:00:00,SOL/USD,23.175,23.767,22.573,22.733,7740.459992,175963.876998136
1696377600000,2023-10-04 00:00:00,SOL/USD,23.588,23.802,22.6,23.175,12884.75369,298604.16676575
1696291200000,2023-10-03 00:00:00,SOL/USD,23.409,24.74,23.23,23.588,13859.077285,326907.91499858
1696204800000,2023-10-02 00:00:00,SOL/USD,23.82,24.709,22.933,23.409,19316.777513,452186.444801817
1696118400000,2023-10-01 00:00:00,SOL/USD,21.38,24.5,21.146,23.82,22550.121372,537143.89108104
1696032000000,2023-09-30 00:00:00,SOL/USD,20.308,21.799,20.076,21.38,7869.016495,168239.5726631
1695945600000,2023-09-29 00:00:00,SOL/USD,20.014,20.43,19.865,20.308,7860.307307,159627.120790556
1695859200000,2023-09-28 00:00:00,SOL/USD,19.137,20.014,19.116,20.014,9823.778281,196613.09851593402
1695772800000,2023-09-27 00:00:00,SOL/USD,19.207,19.46,18.74,19.137,6017.635665,115159.493721105
1695686400000,2023-09-26 00:00:00,SOL/USD,19.36,19.498,18.75,19.207,6696.762168,128624.710960776
1695600000000,2023-09-25 00:00:00,SOL/USD,19.28,19.738,19.104,19.36,4888.949175,94650.05602799999
1695513600000,2023-09-24 00:00:00,SOL/USD,19.481,19.667,19.213,19.28,2152.822851,41506.42456728
1695427200000,2023-09-23 00:00:00,SOL/USD,19.436,19.556,19.285,19.481,5821.154119,113401.90339223901
1695340800000,2023-09-22 00:00:00,SOL/USD,19.445,19.755,19.17,19.436,3759.814883,73075.762065988
1695254400000,2023-09-21 00:00:00,SOL/USD,20.286,20.299,19.297,19.445,11337.948455,220466.407707475
1695168000000,2023-09-20 00:00:00,SOL/USD,20.041,20.511,19.82,20.286,7950.86303,161291.20742658002
1695081600000,2023-09-19 00:00:00,SOL/USD,19.63,20.383,19.59,20.041,9131.89603,183012.32833723
1694995200000,2023-09-18 00:00:00,SOL/USD,18.805,20.15,18.617,19.63,14861.00179,291721.46513769997
1694908800000,2023-09-17 00:00:00,SOL/USD,19.12,19.85,18.672,18.805,3569.290954,67120.51638997
1694822400000,2023-09-16 00:00:00,SOL/USD,19.187,19.449,18.885,19.12,4718.933814,90226.01452368
1694736000000,2023-09-15 00:00:00,SOL/USD,18.893,19.467,18.567,19.187,9661.097427,185367.47633184903
1694649600000,2023-09-14 00:00:00,SOL/USD,18.402,19.281,18.402,18.893,9986.244103,188670.10983797902
1694563200000,2023-09-13 00:00:00,SOL/USD,18.012,18.577,17.726,18.402,19391.479196,356842.000164792
1694476800000,2023-09-12 00:00:00,SOL/USD,17.717,18.75,17.577,18.012,7686.044161,138441.027427932
1694390400000,2023-09-11 00:00:00,SOL/USD,18.317,18.429,17.381,17.717,28030.324117,496613.25238088897
1694304000000,2023-09-10 00:00:00,SOL/USD,19.46,19.46,17.85,18.317,22091.356131,404647.370251527
1694217600000,2023-09-09 00:00:00,SOL/USD,19.604,19.611,19.389,19.46,3561.078584,69298.58924464
1694131200000,2023-09-08 00:00:00,SOL/USD,19.893,20.264,19.4,19.604,5575.92846,109310.50152984
1694044800000,2023-09-07 00:00:00,SOL/USD,19.604,19.989,19.333,19.893,7843.628768,156033.307081824
