https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1638921600,2021-12-08,DAI/USD,1.0007,1.0009,1.0007,1.0008,4002.461935,4005.6639045479997
1638835200,2021-12-07,DAI/USD,1.0011,1.0012,1.0007,1.0007,4000.111815,4002.9118932705
1638748800,2021-12-06,DAI/USD,1.0008,1.0011,1.0008,1.0011,2888.169511,2891.3464974621
1638662400,2021-12-05,DAI/USD,1.0007,1.0017,1.0007,1.0011,7337.436718,7345.507898389801
1638576000,2021-12-04,DAI/USD,0.9999,1.0017,0.9999,1.0007,17421.510971,17433.7060286797
1638489600,2021-12-03,DAI/USD,1.0004,1.0004,1.0,1.0,1346.149506,1346.149506
1638403200,2021-12-02,DAI/USD,1.0,1.0004,1.0,1.0004,363.909805,364.055368922
1638316800,2021-12-01,DAI/USD,1.0004,1.0004,1.0001,1.0003,4146.277706,4147.521589311799
1638230400,2021-11-30,DAI/USD,1.0002,1.0003,1.0,1.0003,3184.295784,3185.2510727351996
1638144000,2021-11-29,DAI/USD,0.9999,1.0002,0.9999,1.0002,32.540834,32.54734216679999
1638057600,2021-11-28,DAI/USD,0.9999,1.0002,0.9999,1.0002,261.434981,261.4872679962
1637971200,2021-11-27,DAI/USD,1.0002,1.0002,0.9999,1.0002,1070.942713,1071.1569015425998
1637884800,2021-11-26,DAI/USD,1.0,1.0002,0.9999,0.9999,606.95424,606.8935445760001
1637798400,2021-11-25,DAI/USD,1.0002,1.0003,0.9999,1.0003,578.555324,578.7288905972
1637712000,2021-11-24,DAI/USD,0.9999,1.0002,0.9999,1.0,2624.88899,2624.88899
1637625600,2021-11-23,DAI/USD,1.0003,1.0003,0.9999,1.0002,1020.625625,1020.829750125
1637539200,2021-11-22,DAI/USD,1.0003,1.0003,1.0,1.0,71.665135,71.665135
1637452800,2021-11-21,DAI/USD,1.0,1.0003,1.0,1.0003,731.643579,731.8630720737
1637366400,2021-11-20,DAI/USD,1.0002,1.0003,1.0002,1.0003,887.430342,887.6965711025999
1637280000,2021-11-19,DAI/USD,1.0002,1.0002,0.9998,1.0002,4035.3054,4036.1124610800002
1637193600,2021-11-18,DAI/USD,1.0,1.0002,1.0,1.0001,4421.506396,4421.9485466396
1637107200,2021-11-17,DAI/USD,0.9999,1.0003,0.9999,1.0003,2078.787937,2079.4115733811
1637020800,2021-11-16,DAI/USD,1.0002,1.0005,0.9995,0.9999,7237.85439,7237.130604561001
1636934400,2021-11-15,DAI/USD,1.0003,1.0006,1.0001,1.0003,3634.784372,3635.8748073116
1636848000,2021-11-14,DAI/USD,1.0002,1.0004,1.0,1.0004,1716.595971,1717.2826093883998
1636761600,2021-11-13,DAI/USD,1.0004,1.0004,1.0002,1.0002,2722.275088,2722.8195430175997
1636675200,2021-11-12,DAI/USD,1.0002,1.0004,1.0001,1.0004,5422.898824,5425.0679835296
1636588800,2021-11-11,DAI/USD,1.0002,1.0004,1.0002,1.0002,849.353536,849.5234067071999
1636502400,2021-11-10,DAI/USD,1.0004,1.0004,1.0002,1.0002,3516.039766,3516.7429739532
1636416000,2021-11-09,DAI/USD,1.0005,1.0005,1.0002,1.0002,3043.837963,3044.4467305926
1636329600,2021-11-08,DAI/USD,1.0009,1.0011,1.0002,1.0008,4376.709433,4380.2108005464
1636243200,2021-11-07,DAI/USD,1.0006,1.0016,1.0006,1.0009,7268.310243,7274.851722218699
1636156800,2021-11-06,DAI/USD,1.0001,1.001,0.9998,1.0006,6160.828783,6164.5252802698
1636070400,2021-11-05,DAI/USD,1.0001,1.0002,0.9998,0.9998,681.84651,681.710140698
1635984000,2021-11-04,DAI/USD,1.0002,1.0002,0.9999,0.9999,1298.789425,1298.6595460575
1635897600,2021-11-03,DAI/USD,1.0002,1.0003,0.9999,1.0002,2751.349604,2751.8998739208
1635811200,2021-11-02,DAI/USD,1.0003,1.0004,0.9999,0.9999,5371.300902,5370.7637719098
1635724800,2021-11-01,DAI/USD,1.0008,1.0008,0.9996,1.0003,19604.743471,19610.624894041302
1635638400,2021-10-31,DAI/USD,1.0004,1.0007,1.0003,1.0005,3733.842402,3735.709323201
1635552000,2021-10-30,DAI/USD,1.0007,1.0007,1.0004,1.0007,391.484178,391.75821692459994
1635465600,2021-10-29,DAI/USD,1.0007,1.0007,1.0004,1.0004,48.69453,48.714007812
1635379200,2021-10-28,DAI/USD,1.0018,1.0021,1.0,1.0006,23103.936806,23117.7991680836
1635292800,2021-10-27,DAI/USD,1.002,1.0021,1.0014,1.0021,9525.514765,9545.5183460065
1635206400,2021-10-26,DAI/USD,1.0027,1.0029,1.002,1.002,7075.961321,7090.113243641999
1635120000,2021-10-25,DAI/USD,1.002,1.0034,1.002,1.0027,24366.452731,24432.2421533737
1635033600,2021-10-24,DAI/USD,1.0016,1.0019,1.0016,1.0018,3259.556414,3265.4236155452004
1634947200,2021-10-23,DAI/USD,1.0019,1.0019,1.0019,1.0019,137.848088,138.1099993672
1634860800,2021-10-22,DAI/USD,1.0016,1.0019,1.0016,1.0019,572.940617,574.0292041723
1634774400,2021-10-21,DAI/USD,1.0017,1.0019,1.0016,1.0016,1253.246534,1255.2517284544
1634688000,2021-10-20,DAI/USD,1.0006,1.0038,1.0003,1.0019,66744.236423,66871.0504722037
1634601600,2021-10-19,DAI/USD,1.0004,1.0004,1.0004,1.0004,30.927629,30.9400000516
1634515200,2021-10-18,DAI/USD,1.0006,1.0007,1.0004,1.0004,121.326068,121.3745984272
1634428800,2021-10-17,DAI/USD,1.0006,1.0006,1.0004,1.0004,2618.88357,2619.931123428
1634342400,2021-10-16,DAI/USD,1.0008,1.0009,1.0006,1.0009,885.063863,885.8604204766999
1634256000,2021-10-15,DAI/USD,1.0015,1.0015,1.0002,1.0008,23520.763525,23539.580135819997
1634169600,2021-10-14,DAI/USD,1.0014,1.0019,1.0014,1.0016,12457.050623,12476.9819039968
1634083200,2021-10-13,DAI/USD,1.0015,1.0015,1.0012,1.0014,1213.95278,1215.6523138920002
1633996800,2021-10-12,DAI/USD,1.0014,1.0014,1.0011,1.0014,858.19468,859.396152552
1633910400,2021-10-11,DAI/USD,1.0012,1.0015,1.0011,1.0011,1082.74159,1083.9326057490002
1633824000,2021-10-10,DAI/USD,1.0014,1.0015,1.0014,1.0015,1097.283834,1098.9297597510001
