https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1637798400000,2021-11-25 00:00:00,ETH/USDT,4271.2375917,4550.56103713,4249.52138943,4520.66362482,27305448.86686728,6285.50241227,0,0,0,4344.19511375
1637712000000,2021-11-24 00:00:00,ETH/USDT,4338.15725728,4371.97931251,4169.13589631,4271.1308712,15689685.72395862,3678.92318698,0,0,0,4264.74947329
1637625600000,2021-11-23 00:00:00,ETH/USDT,4086.9162395,4385.25,4062.15400149,4339.24286306,23057887.02868423,5467.78767768,0,0,0,4217.04140466
1637539200000,2021-11-22 00:00:00,ETH/USDT,4257.81744157,4320.61905052,4025.58915249,4086.72050058,23905514.79232921,5729.82712622,0,0,0,4172.11798292
1637452800000,2021-11-21 00:00:00,ETH/USDT,4412.18300629,4424.04790568,4227.56000001,4257.4148704,12057190.99882953,2775.28390212,0,0,0,4344.4892213
1637366400000,2021-11-20 00:00:00,ETH/USDT,4294.67872451,4434.09949762,4193.0892,4411.30173586,13398205.02305688,3104.13075768,0,0,0,4316.25020624
1637280000000,2021-11-19 00:00:00,ETH/USDT,3996.33774244,4307.58832522,3975.60686902,4294.46334468,17760187.87978293,4284.74195376,0,0,0,4144.98424209
1637193600000,2021-11-18 00:00:00,ETH/USDT,4287.88308798,4342.40429428,3955.54001002,4000.3694276,27762215.68482707,6765.64953326,0,0,0,4103.40730011
1637107200000,2021-11-17 00:00:00,ETH/USDT,4208.9876973,4297.5748827,4058.38617565,4288.00474728,23148039.80112584,5536.60086326,0,0,0,4180.91178555
1637020800000,2021-11-16 00:00:00,ETH/USDT,4564.11078737,4564.64345129,4104,4210.81341376,41315865.66232211,9629.31553164,0,0,0,4290.63369318
1636934400000,2021-11-15 00:00:00,ETH/USDT,4630,4768.39159967,4543.04543676,4564.3505301,16294043.15215478,3498.10951173,0,0,0,4657.95684712
1636848000000,2021-11-14 00:00:00,ETH/USDT,4644.60522749,4694,4515,4630,9862295.39929141,2142.83671213,0,0,0,4602.44840097
1636761600000,2021-11-13 00:00:00,ETH/USDT,4669.7841665,4706.14764566,4584.11241523,4644.34396531,8939853.66314624,1923.18764108,0,0,0,4648.45627758
1636675200000,2021-11-12 00:00:00,ETH/USDT,4718.56220401,4806.09104006,4510,4666.71634888,16064694.28984154,3465.87593611,0,0,0,4635.10367537
1636588800000,2021-11-11 00:00:00,ETH/USDT,4629.03691114,4777.95391716,4577.28392466,4720.32008533,10688850.24890985,2277.2062713,0,0,0,4693.84367311
1636502400000,2021-11-10 00:00:00,ETH/USDT,4734.80361356,4865.22682041,4466,4631.35692603,44210555.13824371,9416.81959116,0,0,0,4694.84996609
1636416000000,2021-11-09 00:00:00,ETH/USDT,4808.2487188,4836.49346628,4718.77462623,4732.20640136,23669339.66762666,4956.33350343,0,0,0,4775.57445463
1636329600000,2021-11-08 00:00:00,ETH/USDT,4614.07113279,4820,4608.16194221,4808.29917347,29266114.3282799,6174.63640741,0,0,0,4739.73079502
1636243200000,2021-11-07 00:00:00,ETH/USDT,4518.52629534,4634.46459239,4503.6727636,4612.94411908,16777420.84644631,3659.48101173,0,0,0,4584.64486976
1636156800000,2021-11-06 00:00:00,ETH/USDT,4474.05808885,4530,4327.73123556,4517.21424553,14539540.14629261,3284.86864908,0,0,0,4426.21660088
1636070400000,2021-11-05 00:00:00,ETH/USDT,4534.31283562,4569.38875812,4441.22212482,4474.8802361,10489680.72564107,2329.85409465,0,0,0,4502.29083002
1635984000000,2021-11-04 00:00:00,ETH/USDT,4600.91207127,4605.23848562,4420.17153219,4534.17029935,14020558.67082404,3106.57439959,0,0,0,4513.18940652
