https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USD
1701129600,2023-11-28 00:00:00,UNI/USD,6.27000,6.56579,6.08402,6.17000,54268.64540350,334837.54213959497
1701043200,2023-11-27 00:00:00,UNI/USD,6.22300,6.31400,5.95207,6.29000,57793.71589768,363522.4729964072
1700956800,2023-11-26 00:00:00,UNI/USD,6.17600,6.17600,5.86398,6.16793,11014.59191414,67937.23190498154
1700870400,2023-11-25 00:00:00,UNI/USD,6.22803,6.29068,6.10643,6.18600,2593.11826238,16041.02957108268
1700784000,2023-11-24 00:00:00,UNI/USD,6.36823,6.58000,6.13101,6.18874,16109.53051522,99697.69588076262
1700697600,2023-11-23 00:00:00,UNI/USD,6.08800,6.39800,6.08800,6.35400,9410.18996078,59792.347010796126
1700611200,2023-11-22 00:00:00,UNI/USD,4.91324,6.26045,4.91324,6.13000,45743.45383676,280407.3720193388
1700524800,2023-11-21 00:00:00,UNI/USD,5.18298,5.18298,4.85000,4.89898,4488.55021852,21989.31774952511
1700438400,2023-11-20 00:00:00,UNI/USD,5.23445,5.34601,5.15401,5.16300,7627.54987982,39381.04002951066
1700352000,2023-11-19 00:00:00,UNI/USD,5.06000,5.24106,4.98000,5.24106,4022.50634869,21082.19712386521
1700265600,2023-11-18 00:00:00,UNI/USD,5.09397,5.14108,4.82410,5.04801,5060.26111647,25544.248718551724
1700179200,2023-11-17 00:00:00,UNI/USD,5.25200,5.37827,4.84691,5.09771,24587.34135464,125339.13589696189
1700092800,2023-11-16 00:00:00,UNI/USD,5.42782,5.54403,5.14401,5.15991,4649.87605904,23992.941975801084
1700006400,2023-11-15 00:00:00,UNI/USD,5.13172,5.38000,5.13172,5.36998,2515.89759677,13510.319776702963
1699920000,2023-11-14 00:00:00,UNI/USD,5.18000,5.28000,4.85473,5.03252,32545.96600081,163788.22481839632
1699833600,2023-11-13 00:00:00,UNI/USD,5.46811,5.62794,5.22327,5.28138,21848.20490157,115388.67240305377
1699747200,2023-11-12 00:00:00,UNI/USD,5.29400,5.50289,5.21215,5.41698,5013.45051258,27157.761157635607
1699660800,2023-11-11 00:00:00,UNI/USD,5.31099,5.51700,5.26994,5.43900,6595.87989583,35874.99075341937
1699574400,2023-11-10 00:00:00,UNI/USD,5.11700,5.31200,5.11423,5.31200,15305.00886771,81300.20710527552
1699488000,2023-11-09 00:00:00,UNI/USD,5.16601,5.38116,4.82300,5.14787,39349.85765969,202567.95175058837
1699401600,2023-11-08 00:00:00,UNI/USD,4.96100,5.25826,4.92701,5.18100,10069.17289949,52168.38479225769
1699315200,2023-11-07 00:00:00,UNI/USD,5.08060,5.08800,4.82611,4.92201,6429.08844281,31644.03760639525
1699228800,2023-11-06 00:00:00,UNI/USD,4.77821,5.11101,4.75499,5.11101,20587.83887815,105224.65038461343
1699142400,2023-11-05 00:00:00,UNI/USD,4.82585,4.89001,4.66001,4.82200,4060.40677553,19579.28147160566
1699056000,2023-11-04 00:00:00,UNI/USD,4.63600,4.75608,4.63600,4.67300,1208.64570335,5648.001371754551
1698969600,2023-11-03 00:00:00,UNI/USD,4.53504,4.67400,4.50670,4.65400,6582.49257433,30634.92044093182
1698883200,2023-11-02 00:00:00,UNI/USD,4.85199,4.86400,4.52602,4.67900,13425.26972192,62816.83702886368
1698796800,2023-11-01 00:00:00,UNI/USD,4.17499,4.83199,4.02700,4.78803,18062.88773938,86485.64838278362
1698710400,2023-10-31 00:00:00,UNI/USD,4.21100,4.23298,3.99300,4.14800,2950.92910489,12240.45392708372
1698624000,2023-10-30 00:00:00,UNI/USD,4.15779,4.20599,4.08000,4.16400,4583.07643937,19083.93029353668
1698537600,2023-10-29 00:00:00,UNI/USD,4.07501,4.20799,4.07501,4.18399,4332.71729078,18128.045817450613
1698451200,2023-10-28 00:00:00,UNI/USD,4.04140,4.09998,4.04140,4.09998,236.51453860,969.7048779692282
1698364800,2023-10-27 00:00:00,UNI/USD,4.11396,4.12100,3.99156,4.01701,4046.91744849,16256.507859758814
1698278400,2023-10-26 00:00:00,UNI/USD,4.15513,4.34507,4.04173,4.12695,8051.30297854,33227.32482728565
1698192000,2023-10-25 00:00:00,UNI/USD,4.31100,4.31625,4.16300,4.17200,6524.44314311,27219.97679305492
1698105600,2023-10-24 00:00:00,UNI/USD,4.38798,4.44440,4.13000,4.17701,13360.42539715,55806.63048814952
