https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1701129600000,2023-11-28 00:00:00,DAI/USD,1.00066,1.00066,0.96103,0.99859,108394.055322,108241.21970399597
1701043200000,2023-11-27 00:00:00,DAI/USD,0.99623,1.00099,0.99002,1.00066,49418.09437,49450.7103122842
1700956800000,2023-11-26 00:00:00,DAI/USD,0.99931,0.99931,0.99623,0.99623,6892.153024,6866.169607099519
1700870400000,2023-11-25 00:00:00,DAI/USD,0.9999,0.9999,0.99767,0.99931,6779.037122,6774.35958638582
1700784000000,2023-11-24 00:00:00,DAI/USD,0.99931,1.00296,0.99722,0.9999,38469.419627,38465.5726850373
1700697600000,2023-11-23 00:00:00,DAI/USD,0.999,0.9999,0.99722,0.99931,6773.469093,6768.79539932583
1700611200000,2023-11-22 00:00:00,DAI/USD,0.9999,1.0,0.99766,0.999,16041.028076,16024.987047924
1700524800000,2023-11-21 00:00:00,DAI/USD,1.01909,1.01909,0.99669,0.9999,234863.990476,234840.5040769524
1700438400000,2023-11-20 00:00:00,DAI/USD,0.9997,1.01909,0.99854,1.01909,35269.435941,35942.72947311369
1700352000000,2023-11-19 00:00:00,DAI/USD,0.9999,1.00514,0.99921,0.9997,23113.136069,23106.202128179302
1700265600000,2023-11-18 00:00:00,DAI/USD,1.00064,1.00064,0.99921,0.9999,3081.952468,3081.6442727532
1700179200000,2023-11-17 00:00:00,DAI/USD,1.0011,1.00179,0.99655,1.00064,104039.381809,104105.96701335776
1700092800000,2023-11-16 00:00:00,DAI/USD,0.9999,1.0011,0.9997,1.0011,35330.25111,35369.114386221
1700006400000,2023-11-15 00:00:00,DAI/USD,0.99969,1.00046,0.99927,0.9999,9860.85283,9859.866744717
1699920000000,2023-11-14 00:00:00,DAI/USD,1.00051,1.0024,0.99813,0.99969,242853.055305,242777.77085785542
1699833600000,2023-11-13 00:00:00,DAI/USD,1.0005,1.00535,1.0005,1.00051,23084.675473,23096.44865749123
