https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1693094400000,2023-08-27 00:00:00,BTC/USD,26046,26198,25997,26121,3230639.84996652,123.67979212
1693008000000,2023-08-26 00:00:00,BTC/USD,26079,26192,26018,26045,5464262.2193824,209.80081472
1692921600000,2023-08-25 00:00:00,BTC/USD,26201,26326,25816,26079,33222820.338822633,1273.92999497
1692835200000,2023-08-24 00:00:00,BTC/USD,26457,26599,25900,26199,21795671.71140219,831.92761981
1692748800000,2023-08-23 00:00:00,BTC/USD,26066,26840,25840,26461,31494052.04548531,1190.20641871
1692662400000,2023-08-22 00:00:00,BTC/USD,26144,26156,25387,26061,27766808.72923041,1065.45446181
1692576000000,2023-08-21 00:00:00,BTC/USD,26213,26279,25834,26144,23503379.07833888,898.99705777
1692489600000,2023-08-20 00:00:00,BTC/USD,26111,26314,26001,26215,15741717.034128748,600.48510525
1692403200000,2023-08-19 00:00:00,BTC/USD,26071,26288,25812,26115,8586844.787543101,328.80891394
1692316800000,2023-08-18 00:00:00,BTC/USD,26634,26829,25655,26066,53131282.054103896,2038.33660915
1692230400000,2023-08-17 00:00:00,BTC/USD,28729,28779,24713,26634,132027614.78255244,4957.10801166
1692144000000,2023-08-16 00:00:00,BTC/USD,29200,29255,28728,28730,30630591.151049502,1066.15353815
1692057600000,2023-08-15 00:00:00,BTC/USD,29444,29499,29077,29200,14414545.159144,493.64880682
1691971200000,2023-08-14 00:00:00,BTC/USD,29315,29689,29103,29445,23227352.0623014,788.83858252
1691884800000,2023-08-13 00:00:00,BTC/USD,29445,29477,29296,29314,7986184.089175501,272.43583575
1691798400000,2023-08-12 00:00:00,BTC/USD,29434,29497,29393,29445,5792863.74011475,196.73505655
1691712000000,2023-08-11 00:00:00,BTC/USD,29459,29557,29250,29434,32479840.52682818,1103.48034677
1691625600000,2023-08-10 00:00:00,BTC/USD,29597,29745,29340,29458,42334217.671088204,1437.1042729
1691539200000,2023-08-09 00:00:00,BTC/USD,29790,30170,29393,29597,36038880.28380567,1217.65315011
1691452800000,2023-08-08 00:00:00,BTC/USD,29226,30284,29164,29796,40456710.67493016,1357.7899944600001
1691366400000,2023-08-07 00:00:00,BTC/USD,29095,29289,28716,29223,29964252.07746765,1025.36536555
1691280000000,2023-08-06 00:00:00,BTC/USD,29074,29198,29007,29095,11477192.96990915,394.47303557
1691193600000,2023-08-05 00:00:00,BTC/USD,29118,29153,28992,29075,12005117.936983999,412.90173472
1691107200000,2023-08-04 00:00:00,BTC/USD,29206,29337,28821,29119,17099713.99664956,587.23561924
1691020800000,2023-08-03 00:00:00,BTC/USD,29207,29442,28988,29206,18074704.62228396,618.86956866
1690934400000,2023-08-02 00:00:00,BTC/USD,29733,30076,28957,29197,34352658.73343234,1176.58179722
1690848000000,2023-08-01 00:00:00,BTC/USD,29272,29755,28637,29733,48686762.57494632,1637.46552904
1690761600000,2023-07-31 00:00:00,BTC/USD,29315,29560,29148,29273,13155787.31775421,449.41711877
1690675200000,2023-07-30 00:00:00,BTC/USD,29402,29488,29091,29315,14431140.5953715,492.2783761
1690588800000,2023-07-29 00:00:00,BTC/USD,29364,29444,29305,29402,4490829.8066955,152.73892275
1690502400000,2023-07-28 00:00:00,BTC/USD,29259,29578,29169,29365,9476394.6729263,322.71052862
1690416000000,2023-07-27 00:00:00,BTC/USD,29392,29601,29123,29260,18102121.927843798,618.66445413
1690329600000,2023-07-26 00:00:00,BTC/USD,29269,29721,29149,29390,21981984.0358589,747.94093351
1690243200000,2023-07-25 00:00:00,BTC/USD,29222,29404,29101,29272,10910983.3091888,372.7447154
1690156800000,2023-07-24 00:00:00,BTC/USD,30117,30125,28924,29224,47436937.99545688,1623.21851887
1690070400000,2023-07-23 00:00:00,BTC/USD,29821,30380,29776,30122,15040140.67826124,499.30750542
1689984000000,2023-07-22 00:00:00,BTC/USD,29940,30035,29667,29821,5678426.892781501,190.4170515
1689897600000,2023-07-21 00:00:00,BTC/USD,29841,30091,29770,29940,33404046.145257004,1115.69960405
1689811200000,2023-07-20 00:00:00,BTC/USD,29935,30438,29565,29839,39036736.7792513,1308.2454767
1689724800000,2023-07-19 00:00:00,BTC/USD,29874,30221,29804,29939,15096197.31493601,504.23184859
1689638400000,2023-07-18 00:00:00,BTC/USD,30173,30269,29543,29888,38458345.02724352,1286.74869604
1689552000000,2023-07-17 00:00:00,BTC/USD,30262,30353,29700,30172,39987401.72218888,1325.31491854
1689465600000,2023-07-16 00:00:00,BTC/USD,30316,30484,30101,30262,16084244.442814259,531.49971723
1689379200000,2023-07-15 00:00:00,BTC/USD,30342,30419,30283,30310,11519841.825269401,380.06736474
1689292800000,2023-07-14 00:00:00,BTC/USD,31501,31663,29929,30343,73082350.34206574,2408.54069611
1689206400000,2023-07-13 00:00:00,BTC/USD,30421,31845,30307,31500,91758054.188115,2912.95410121
1689120000000,2023-07-12 00:00:00,BTC/USD,30656,30999,30260,30428,32628127.58355844,1072.30602023
1689033600000,2023-07-11 00:00:00,BTC/USD,30445,30836,30338,30654,21900970.23264072,714.45717468
1688947200000,2023-07-10 00:00:00,BTC/USD,30188,31060,29975,30445,39083071.54092855,1283.72709939
1688860800000,2023-07-09 00:00:00,BTC/USD,30318,30474,30081,30188,23465585.808364123,777.31501949
1688774400000,2023-07-08 00:00:00,BTC/USD,30370,30406,30086,30318,13947193.81362528,460.03014096
1688688000000,2023-07-07 00:00:00,BTC/USD,29929,30469,29750,30370,36034771.566133,1186.5252409
1688601600000,2023-07-06 00:00:00,BTC/USD,30525,31553,29875,29931,69210418.7504344,2312.33232269
1688515200000,2023-07-05 00:00:00,BTC/USD,30783,30898,30232,30526,38235029.39876344,1252.53978244
1688428800000,2023-07-04 00:00:00,BTC/USD,31182,31347,30655,30782,51353771.28850422,1668.30522021
1688342400000,2023-07-03 00:00:00,BTC/USD,30655,31416,30606,31177,42496983.38158638,1363.08764094
1688256000000,2023-07-02 00:00:00,BTC/USD,30607,30830,30193,30649,21497344.12344171,701.40442179
1688169600000,2023-07-01 00:00:00,BTC/USD,30499,30689,30356,30607,28994245.344553098,947.3076533
1688083200000,2023-06-30 00:00:00,BTC/USD,30471,31300,29508,30500,98293265.97783001,3222.73003206
1687996800000,2023-06-29 00:00:00,BTC/USD,30091,30849,30056,30471,29869683.18715752,980.26593112
1687910400000,2023-06-28 00:00:00,BTC/USD,30715,30731,29842,30091,36353032.63711954,1208.10317494
1687824000000,2023-06-27 00:00:00,BTC/USD,30282,31018,30246,30711,31168582.79858772,1014.89963852
1687737600000,2023-06-26 00:00:00,BTC/USD,30488,30685,29957,30287,31337481.112580292,1034.68422467
1687651200000,2023-06-25 00:00:00,BTC/USD,30551,31070,30316,30488,19801856.0481408,649.4967216
1687564800000,2023-06-24 00:00:00,BTC/USD,30713,30820,30278,30556,22235615.96588144,727.70048324
1687478400000,2023-06-23 00:00:00,BTC/USD,29912,31430,29835,30712,70379623.75551097,2291.60014833
1687392000000,2023-06-22 00:00:00,BTC/USD,30017,30527,29587,29919,50380148.89378422,1683.88478538
