https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SHIB,Volume USD
1682121600,2023-04-22,SHIB/USD,1.004e-05,1.056e-05,1.003e-05,1.016e-05,150879945,1532.9402412
1682035200,2023-04-21,SHIB/USD,1.068e-05,1.068e-05,1.003e-05,1.038e-05,178054587,1848.20661306
1681948800,2023-04-20,SHIB/USD,1.08e-05,1.114e-05,1.04e-05,1.041e-05,532431647,5542.61344527
1681862400,2023-04-19,SHIB/USD,1.131e-05,1.131e-05,1.06e-05,1.06e-05,779960748,8267.5839288
1681776000,2023-04-18,SHIB/USD,1.116e-05,1.17e-05,1.116e-05,1.13e-05,104938499,1185.8050387
1681689600,2023-04-17,SHIB/USD,1.136e-05,1.183e-05,1.107e-05,1.116e-05,726662905,8109.5580198
1681603200,2023-04-16,SHIB/USD,1.16e-05,1.185e-05,1.133e-05,1.136e-05,583967786,6633.8740489599995
1681516800,2023-04-15,SHIB/USD,1.1e-05,1.155e-05,1.1e-05,1.155e-05,464389178,5363.6950059
1681430400,2023-04-14,SHIB/USD,1.117e-05,1.148e-05,1.093e-05,1.12e-05,258943400,2900.16608
1681344000,2023-04-13,SHIB/USD,1.1e-05,1.126e-05,1.09e-05,1.117e-05,198876721,2221.45297357
1681257600,2023-04-12,SHIB/USD,1.119e-05,1.119e-05,1.055e-05,1.09e-05,554128846,6040.0044214
1681171200,2023-04-11,SHIB/USD,1.114e-05,1.127e-05,1.068e-05,1.085e-05,1542875077,16740.19458545
1681084800,2023-04-10,SHIB/USD,1.055e-05,1.109e-05,1.055e-05,1.067e-05,509103482,5432.13415294
1680998400,2023-04-09,SHIB/USD,1.089e-05,1.097e-05,1.028e-05,1.095e-05,354694635,3883.90625325
1680912000,2023-04-08,SHIB/USD,1.095e-05,1.115e-05,1.006e-05,1.028e-05,504023107,5181.3575399599995
1680825600,2023-04-07,SHIB/USD,1.059e-05,1.124e-05,1.058e-05,1.095e-05,115306190,1262.6027805
1680739200,2023-04-06,SHIB/USD,1.129e-05,1.13e-05,1.053e-05,1.059e-05,214350052,2269.96705068
1680652800,2023-04-05,SHIB/USD,1.15e-05,1.17e-05,1.041e-05,1.125e-05,440402075,4954.52334375
1680566400,2023-04-04,SHIB/USD,1.193e-05,1.198e-05,1.025e-05,1.178e-05,901601198,10620.862112440002
1680480000,2023-04-03,SHIB/USD,1.092e-05,1.2e-05,1.06e-05,1.193e-05,1253798621,14957.81754853
1680393600,2023-04-02,SHIB/USD,1.11e-05,1.14e-05,1.07e-05,1.092e-05,435231734,4752.73053528
1680307200,2023-04-01,SHIB/USD,1.088e-05,1.148e-05,1.06e-05,1.141e-05,1073882105,12252.99481805
1680220800,2023-03-31,SHIB/USD,1.022e-05,1.09e-05,1.022e-05,1.09e-05,248404702,2707.6112518
1680134400,2023-03-30,SHIB/USD,1.055e-05,1.082e-05,1.05e-05,1.072e-05,81134622,869.7631478400001
1680048000,2023-03-29,SHIB/USD,1.07e-05,1.089e-05,9.1e-06,1.085e-05,555993651,6032.53111335
1679961600,2023-03-28,SHIB/USD,1.078e-05,1.078e-05,1e-05,1.07e-05,3042111916,32550.597501199998
1679875200,2023-03-27,SHIB/USD,1.108e-05,1.108e-05,1.007e-05,1.078e-05,578194648,6232.9383054400005
1679788800,2023-03-26,SHIB/USD,1.123e-05,1.123e-05,1.055e-05,1.056e-05,267659867,2826.4881955200003
1679702400,2023-03-25,SHIB/USD,1.045e-05,1.124e-05,1.04e-05,1.124e-05,192931543,2168.55054332
1679616000,2023-03-24,SHIB/USD,1.129e-05,1.129e-05,1.04e-05,1.1e-05,344827615,3793.103765
1679529600,2023-03-23,SHIB/USD,1.099e-05,1.129e-05,1.03e-05,1.129e-05,517379307,5841.21237603
1679443200,2023-03-22,SHIB/USD,1.07e-05,1.157e-05,1.017e-05,1.099e-05,433496172,4764.12293028
1679356800,2023-03-21,SHIB/USD,1.088e-05,1.129e-05,1.05e-05,1.125e-05,352162802,3961.8315225
1679270400,2023-03-20,SHIB/USD,1.08e-05,1.179e-05,1.009e-05,1.019e-05,343421515,3499.4652378500004
1679184000,2023-03-19,SHIB/USD,1.09e-05,1.17e-05,1.079e-05,1.079e-05,74972437,808.95259523
1679097600,2023-03-18,SHIB/USD,1.189e-05,1.235e-05,1.077e-05,1.077e-05,611576492,6586.6788188400005
1679011200,2023-03-17,SHIB/USD,1.051e-05,1.35e-05,1.051e-05,1.189e-05,2429925251,28891.81123439
