https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AVAX,Volume USDT,tradecount
1650067200000,2022-04-16,AVAXUSDT,77.44,78.26,76.5,77.74,616267.4,47650208.097,79050
1649980800000,2022-04-15,AVAXUSDT,76.8,78.53,74.75,77.43,1318038.23,101105439.9883,168686
1649894400000,2022-04-14,AVAXUSDT,80.2,81.87,76.16,76.81,1741713.69,137665312.2971,246886
1649808000000,2022-04-13,AVAXUSDT,76.32,80.65,75.8,80.2,1680567.89,131776613.7994,271729
1649721600000,2022-04-12,AVAXUSDT,74.35,79.5,73.88,76.31,2146833.6,164615852.7866,347797
1649635200000,2022-04-11,AVAXUSDT,81.0,81.54,72.73,74.35,3030700.6,232945107.7488,381289
1649548800000,2022-04-10,AVAXUSDT,84.57,85.66,80.67,81.01,1119413.47,93634764.7743,183036
1649462400000,2022-04-09,AVAXUSDT,83.66,85.56,81.88,84.55,1368929.8,114362501.9627,208349
1649376000000,2022-04-08,AVAXUSDT,87.56,90.56,82.69,83.66,3189742.2,279883276.9184,452858
1649289600000,2022-04-07,AVAXUSDT,82.94,88.66,81.34,87.55,3392547.98,287533326.7425,463282
1649203200000,2022-04-06,AVAXUSDT,91.07,91.11,82.63,82.94,3526547.24,306773293.5584,458964
1649116800000,2022-04-05,AVAXUSDT,96.16,97.7,90.6,91.06,2436266.33,231181134.8174,345111
1649030400000,2022-04-04,AVAXUSDT,98.02,98.08,90.81,96.16,2600693.06,246731044.3401,299116
1648944000000,2022-04-03,AVAXUSDT,96.25,100.09,94.41,98.05,2729825.05,266967348.6056,331240
1648857600000,2022-04-02,AVAXUSDT,96.81,103.62,95.73,96.25,3326092.55,331193208.9511,509367
1648771200000,2022-04-01,AVAXUSDT,97.43,99.8,90.26,96.83,3360841.07,319999605.5586,486329
1648684800000,2022-03-31,AVAXUSDT,95.57,101.98,93.68,97.41,4416636.71,432476993.4168,697779
1648598400000,2022-03-30,AVAXUSDT,92.73,100.48,89.5,95.58,3528529.66,336542961.0929,521269
1648512000000,2022-03-29,AVAXUSDT,89.57,96.46,89.27,92.74,2945036.4,275198995.9314,408554
