https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USD
1695254400000,2023-09-21 00:00:00,UNI/USD,4.3555,4.3746,4.2092,4.2357,4335.541292,18364.052250524397
1695168000000,2023-09-20 00:00:00,UNI/USD,4.4089,4.5111,4.1372,4.3555,20543.538881,89477.3835961955
1695081600000,2023-09-19 00:00:00,UNI/USD,4.3558,4.4819,4.3558,4.4089,1951.178158,8602.5493808062
1694995200000,2023-09-18 00:00:00,UNI/USD,4.2829,4.4707,4.2521,4.3558,7227.513685,31481.604109123004
1694908800000,2023-09-17 00:00:00,UNI/USD,4.3357,4.3813,4.2384,4.2829,1422.284519,6091.502366425099
1694822400000,2023-09-16 00:00:00,UNI/USD,4.3671,4.4098,4.3077,4.3357,883.369334,3830.0244214238
1694736000000,2023-09-15 00:00:00,UNI/USD,4.2659,4.3671,4.235,4.3671,2550.506278,11138.3159666538
1694649600000,2023-09-14 00:00:00,UNI/USD,4.2626,4.3551,4.26,4.2659,5477.835679,23367.8992230461
1694563200000,2023-09-13 00:00:00,UNI/USD,4.2107,4.3211,4.2107,4.2626,3688.693444,15723.4246743944
1694476800000,2023-09-12 00:00:00,UNI/USD,4.0995,4.3108,4.0995,4.2107,5263.311698,22162.2265667686
1694390400000,2023-09-11 00:00:00,UNI/USD,4.2282,4.2829,4.0716,4.0995,4443.066252,18214.350100074
1694304000000,2023-09-10 00:00:00,UNI/USD,4.3608,4.3608,4.1947,4.2282,2510.280742,10613.9690333244
1694217600000,2023-09-09 00:00:00,UNI/USD,4.3896,4.3896,4.3116,4.3608,1941.069348,8464.615212758401
1694131200000,2023-09-08 00:00:00,UNI/USD,4.5155,4.5155,4.3208,4.3896,1065.651435,4677.783539076
1694044800000,2023-09-07 00:00:00,UNI/USD,4.4748,4.5155,4.4217,4.5155,1899.394324,8576.715070022
1693958400000,2023-09-06 00:00:00,UNI/USD,4.3812,4.4989,4.3482,4.4748,6336.404694,28354.1437247112
1693872000000,2023-09-05 00:00:00,UNI/USD,4.4216,4.4492,4.3045,4.3812,2252.525424,9868.764387628798
1693785600000,2023-09-04 00:00:00,UNI/USD,4.4303,4.49,4.3796,4.4216,1459.992745,6455.503921292
1693699200000,2023-09-03 00:00:00,UNI/USD,4.3691,4.45,4.3691,4.4303,1446.232931,6407.2457542093
1693612800000,2023-09-02 00:00:00,UNI/USD,4.2553,4.4039,4.2553,4.3691,2302.743119,10060.914961222901
1693526400000,2023-09-01 00:00:00,UNI/USD,4.3939,4.4423,4.2411,4.2553,6614.549824,28146.8938660672
1693440000000,2023-08-31 00:00:00,UNI/USD,4.6652,4.6806,4.3764,4.3939,6566.999888,28854.740807883205
1693353600000,2023-08-30 00:00:00,UNI/USD,4.8181,4.822,4.6385,4.6652,3528.230553,16459.901175855597
1693267200000,2023-08-29 00:00:00,UNI/USD,4.6745,4.8906,4.5743,4.8181,5454.04429,26278.130793649
1693180800000,2023-08-28 00:00:00,UNI/USD,4.7007,4.7262,4.5933,4.6745,4027.663379,18827.3124651355
1693094400000,2023-08-27 00:00:00,UNI/USD,4.6084,4.7152,4.6081,4.7007,3192.974343,15009.2144941401
