https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AAVE,Volume USDT,tradecount
1674777600000,2023-01-27,AAVEUSDT,88.8,89.7,85.2,87.2,154505.255,13475057.5822,48261
1674691200000,2023-01-26,AAVEUSDT,85.7,90.7,85.1,88.8,226599.703,19811611.9152,69662
1674604800000,2023-01-25,AAVEUSDT,79.9,87.6,78.1,85.7,187792.423,15421481.0796,61883
1674518400000,2023-01-24,AAVEUSDT,86.6,88.5,78.8,79.9,188893.013,15935081.5966,54707
1674432000000,2023-01-23,AAVEUSDT,85.3,90.2,84.5,86.6,165259.17,14366733.0083,54460
1674345600000,2023-01-22,AAVEUSDT,84.5,90.2,83.4,85.4,194156.227,16855600.502,63716
1674259200000,2023-01-21,AAVEUSDT,87.6,89.2,84.1,84.5,167010.363,14474756.8759,53027
1674172800000,2023-01-20,AAVEUSDT,81.2,88.5,79.7,87.6,176045.827,14741344.1434,51955
1674086400000,2023-01-19,AAVEUSDT,82.0,83.7,77.7,81.3,176307.813,14137710.5828,45889
1674000000000,2023-01-18,AAVEUSDT,85.6,90.7,77.3,81.9,395265.09,33026097.4269,104640
1673913600000,2023-01-17,AAVEUSDT,80.6,91.3,78.5,85.6,418816.125,35965744.7202,107152
1673827200000,2023-01-16,AAVEUSDT,79.3,82.6,76.4,80.5,245922.65,19581387.2656,69491
1673740800000,2023-01-15,AAVEUSDT,75.8,82.9,72.8,79.2,361135.537,28158180.0574,90563
1673654400000,2023-01-14,AAVEUSDT,71.2,81.2,71.1,75.9,388827.373,29743043.6981,98335
1673568000000,2023-01-13,AAVEUSDT,67.7,73.2,66.7,71.1,194695.408,13459644.5749,45593
1673481600000,2023-01-12,AAVEUSDT,64.1,68.6,63.4,67.8,280684.821,18657326.2678,61584
1673395200000,2023-01-11,AAVEUSDT,61.9,64.7,59.9,64.2,88200.147,5464478.032,21478
1673308800000,2023-01-10,AAVEUSDT,61.2,62.9,59.6,61.9,113253.41,6956468.5825,21912
1673222400000,2023-01-09,AAVEUSDT,59.3,63.1,59.0,61.1,200379.193,12311809.6298,32154
1673136000000,2023-01-08,AAVEUSDT,56.0,59.7,55.3,59.3,129194.411,7492075.4322,25308
1673049600000,2023-01-07,AAVEUSDT,56.4,56.9,55.7,56.0,61934.253,3480506.6556,12184
1672963200000,2023-01-06,AAVEUSDT,55.4,56.8,54.0,56.4,81416.289,4504549.8811,17417
1672876800000,2023-01-05,AAVEUSDT,56.8,57.0,54.9,55.4,77565.32,4315664.4254,15460
1672790400000,2023-01-04,AAVEUSDT,53.1,58.1,52.6,56.9,190267.266,10643928.8471,30860
1672704000000,2023-01-03,AAVEUSDT,52.9,53.6,52.1,53.0,44009.777,2324404.175,11134
1672617600000,2023-01-02,AAVEUSDT,52.2,54.1,51.3,53.0,77655.562,4134302.5581,13562
1672531200000,2023-01-01,AAVEUSDT,52.0,52.4,51.1,52.2,37387.113,1934278.6284,6314
1672444800000,2022-12-31,AAVEUSDT,52.5,53.4,51.6,52.0,61852.716,3235242.6762,8575
1672358400000,2022-12-30,AAVEUSDT,54.5,54.8,51.4,52.4,162992.997,8568037.4214,16673
1672272000000,2022-12-29,AAVEUSDT,53.8,55.0,53.5,54.5,54957.204,2985662.9314,10367
1672185600000,2022-12-28,AAVEUSDT,57.5,57.8,53.2,53.8,75188.811,4157631.1584,15135
1672099200000,2022-12-27,AAVEUSDT,55.9,58.3,55.5,57.5,85177.536,4856029.9935,16914
1672012800000,2022-12-26,AAVEUSDT,54.5,56.1,54.2,56.0,32855.905,1819934.7604,6367
1671926400000,2022-12-25,AAVEUSDT,54.3,55.5,53.8,54.4,62436.694,3409566.3489,10496
1671840000000,2022-12-24,AAVEUSDT,54.6,54.8,54.1,54.4,14562.215,792358.557,3359
1671753600000,2022-12-23,AAVEUSDT,55.7,56.2,54.2,54.6,38115.439,2101732.0888,8369
1671667200000,2022-12-22,AAVEUSDT,56.0,56.1,53.6,55.7,50998.146,2806161.9607,11580
1671580800000,2022-12-21,AAVEUSDT,55.7,56.5,54.7,56.0,67834.068,3770874.0724,10798
1671494400000,2022-12-20,AAVEUSDT,53.8,56.3,53.1,55.7,113843.754,6281042.2196,18400
1671408000000,2022-12-19,AAVEUSDT,55.9,56.6,53.0,53.7,69955.397,3841940.5582,16556
1671321600000,2022-12-18,AAVEUSDT,55.6,56.6,54.8,55.8,34034.889,1894949.0786,9207
1671235200000,2022-12-17,AAVEUSDT,54.7,55.9,53.1,55.5,88781.868,4857979.3694,20531
1671148800000,2022-12-16,AAVEUSDT,60.9,61.2,53.7,54.8,130649.161,7494312.8271,28935
1671062400000,2022-12-15,AAVEUSDT,62.6,63.1,60.5,60.9,84783.066,5230924.2172,14467
1670976000000,2022-12-14,AAVEUSDT,62.0,63.5,61.1,62.6,95833.182,5988562.476,19759
1670889600000,2022-12-13,AAVEUSDT,60.2,63.9,58.1,62.0,146228.951,8952378.1217,25849
1670803200000,2022-12-12,AAVEUSDT,59.6,60.9,58.1,60.1,84621.673,5014726.0924,13304
1670716800000,2022-12-11,AAVEUSDT,61.4,61.6,59.2,59.6,44747.72,2716619.2141,8134
1670630400000,2022-12-10,AAVEUSDT,61.5,62.1,61.1,61.4,31571.55,1947420.9916,6083
1670544000000,2022-12-09,AAVEUSDT,62.9,63.4,61.0,61.5,92191.065,5745601.7932,14092
1670457600000,2022-12-08,AAVEUSDT,61.4,63.5,60.4,62.8,78099.435,4824845.5937,12509
1670371200000,2022-12-07,AAVEUSDT,64.0,64.1,60.1,61.4,138823.25,8613585.0618,24959
1670284800000,2022-12-06,AAVEUSDT,64.4,65.6,62.7,64.0,77089.109,4915192.7131,14702
1670198400000,2022-12-05,AAVEUSDT,64.4,67.3,63.8,64.4,114181.533,7457402.6005,24043
1670112000000,2022-12-04,AAVEUSDT,62.7,64.6,62.7,64.4,61920.918,3953705.5515,10482
1670025600000,2022-12-03,AAVEUSDT,65.7,66.4,62.5,62.8,87857.443,5650582.3333,15111
