https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1659225600,2022-07-31,AAVE/USD,94.86,108.89,94.7,98.06,174.427802,17104.39026412
1659139200,2022-07-30,AAVE/USD,96.05,100.25,94.21,94.9,97.550422,9257.5350478
1659052800,2022-07-29,AAVE/USD,100.34,101.91,94.44,96.05,168.82949,16216.0725145
1658966400,2022-07-28,AAVE/USD,94.38,103.07,90.38,100.39,171.871826,17254.21261214
1658880000,2022-07-27,AAVE/USD,80.94,95.11,78.09,94.46,145.640033,13757.157517179998
1658793600,2022-07-26,AAVE/USD,81.92,82.48,77.03,80.95,147.993717,11980.091391150001
1658707200,2022-07-25,AAVE/USD,90.81,91.02,82.08,82.08,165.136179,13554.37757232
1658620800,2022-07-24,AAVE/USD,89.49,93.1,88.72,90.76,120.588172,10944.58249072
1658534400,2022-07-23,AAVE/USD,89.41,92.58,85.62,89.44,86.081082,7699.091974079999
1658448000,2022-07-22,AAVE/USD,95.42,96.02,88.8,89.51,68.496843,6131.15241693
1658361600,2022-07-21,AAVE/USD,90.89,97.16,87.37,95.53,178.502535,17052.34716855
1658275200,2022-07-20,AAVE/USD,96.0,100.95,90.01,90.82,180.118647,16358.37552054
1658188800,2022-07-19,AAVE/USD,96.65,101.86,92.69,96.09,177.541994,17060.01020346
1658102400,2022-07-18,AAVE/USD,88.31,98.94,88.21,96.7,159.230187,15397.559082900001
1658016000,2022-07-17,AAVE/USD,92.48,92.53,85.0,88.41,169.535291,14988.61507731
1657929600,2022-07-16,AAVE/USD,89.0,95.65,89.0,95.0,7.00665,665.63175
1657843200,2022-07-15,AAVE/USD,90.6,97.0,87.35,91.58,9.220804,844.4412303199999
1657756800,2022-07-14,AAVE/USD,79.49,93.14,77.34,90.97,66.736412,6071.0113996400005
1657670400,2022-07-13,AAVE/USD,68.0,83.32,68.0,77.97,8.739501,681.41889297
1657584000,2022-07-12,AAVE/USD,69.03,70.64,66.99,69.0,11.009848,759.679512
1657497600,2022-07-11,AAVE/USD,77.46,77.9,65.32,65.32,140.687103,9189.68156796
1657411200,2022-07-10,AAVE/USD,79.68,90.0,71.82,77.53,89.838855,6965.20642815
1657324800,2022-07-09,AAVE/USD,76.0,89.8,75.12,82.9,31.02946,2572.342234
