https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALA,Volume USD
1697587200,2023-10-18 00:00:00,GALA/USD,0.01313,0.01325,0.01289,0.01291,388226.60027988,5012.005409613251
1697500800,2023-10-17 00:00:00,GALA/USD,0.01411,0.01411,0.01313,0.01313,775797.19145622,10186.217123820168
1697414400,2023-10-16 00:00:00,GALA/USD,0.01382,0.01441,0.01361,0.01390,1212587.65155278,16854.968356583642
1697328000,2023-10-15 00:00:00,GALA/USD,0.01432,0.01432,0.01353,0.01369,99877.60582828,1367.3244237891531
1697241600,2023-10-14 00:00:00,GALA/USD,0.01446,0.01446,0.01356,0.01361,2394034.67168453,32582.811881626458
1697155200,2023-10-13 00:00:00,GALA/USD,0.01354,0.01463,0.01347,0.01369,269101.14992399,3683.9947424594234
1697068800,2023-10-12 00:00:00,GALA/USD,0.01323,0.01490,0.01323,0.01344,280278.29405495,3766.940272098528
1696982400,2023-10-11 00:00:00,GALA/USD,0.01368,0.01368,0.01286,0.01302,859942.36918726,11196.449646818126
1696896000,2023-10-10 00:00:00,GALA/USD,0.01367,0.01369,0.01330,0.01354,457621.40867620,6196.193873475749
1696809600,2023-10-09 00:00:00,GALA/USD,0.01502,0.01502,0.01315,0.01346,1770711.52755653,23833.777160910893
1696723200,2023-10-08 00:00:00,GALA/USD,0.01466,0.01471,0.01416,0.01441,476158.46815161,6861.4435260647
1696636800,2023-10-07 00:00:00,GALA/USD,0.01503,0.01505,0.01456,0.01463,99282.50600338,1452.5030628294494
1696550400,2023-10-06 00:00:00,GALA/USD,0.01444,0.01490,0.01444,0.01463,844744.04399484,12358.60536364451
1696464000,2023-10-05 00:00:00,GALA/USD,0.01568,0.01633,0.01422,0.01452,2929639.72639587,42538.36882726803
1696377600,2023-10-04 00:00:00,GALA/USD,0.01555,0.01623,0.01486,0.01542,822618.84281450,12684.782556199589
1696291200,2023-10-03 00:00:00,GALA/USD,0.01481,0.01634,0.01481,0.01524,3579874.31104539,54557.28450033174
1696204800,2023-10-02 00:00:00,GALA/USD,0.01525,0.01700,0.01454,0.01490,2405543.19763709,35842.59364479264
1696118400,2023-10-01 00:00:00,GALA/USD,0.01430,0.01670,0.01430,0.01501,939216.17740944,14097.634822915696
1696032000,2023-09-30 00:00:00,GALA/USD,0.01461,0.01466,0.01414,0.01418,108240.18393036,1534.8458081325048
1695945600,2023-09-29 00:00:00,GALA/USD,0.01368,0.01476,0.01368,0.01446,847473.92297621,12254.472926235998
1695859200,2023-09-28 00:00:00,GALA/USD,0.01370,0.01400,0.01331,0.01354,682174.77588537,9236.64646548791
1695772800,2023-09-27 00:00:00,GALA/USD,0.01427,0.01428,0.01318,0.01325,220463.19076047,2921.1372775762275
1695686400,2023-09-26 00:00:00,GALA/USD,0.01358,0.01363,0.01309,0.01319,68916.57815326,909.0096658414993
1695600000,2023-09-25 00:00:00,GALA/USD,0.01334,0.01438,0.01332,0.01348,668749.38956842,9014.741771382302
1695513600,2023-09-24 00:00:00,GALA/USD,0.01337,0.01460,0.01331,0.01334,751159.37215587,10020.466024559304
1695427200,2023-09-23 00:00:00,GALA/USD,0.01359,0.01359,0.01326,0.01341,257719.00671031,3456.011879985257
1695340800,2023-09-22 00:00:00,GALA/USD,0.01327,0.01354,0.01327,0.01354,62354.32307745,844.2775344686729
1695254400,2023-09-21 00:00:00,GALA/USD,0.01442,0.01442,0.01298,0.01303,793932.28099761,10344.937621398858
1695168000,2023-09-20 00:00:00,GALA/USD,0.01533,0.01533,0.01364,0.01386,636013.21768094,8815.14319705783
1695081600,2023-09-19 00:00:00,GALA/USD,0.01573,0.01573,0.01432,0.01437,276369.72442941,3971.432940050622
1694995200,2023-09-18 00:00:00,GALA/USD,0.01420,0.01576,0.01408,0.01435,2457229.39562735,35261.241827252474
