https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume USD
1679875200,2023-03-27,AVAX/USD,16.1001,16.1001,16.1001,16.1001,2.10766,33.933536766
1679788800,2023-03-26,AVAX/USD,17.7353,17.7353,17.7353,17.7353,2.10766,37.379982397999996
1679702400,2023-03-25,AVAX/USD,17.23,17.23,16.7,16.8566,37.390293,630.2732129838
1679616000,2023-03-24,AVAX/USD,16.7001,16.7001,16.7001,16.7001,0.715739,11.952912873899999
1679529600,2023-03-23,AVAX/USD,18.7596,18.7596,16.6501,18.3921,17.232708,316.9456888068
1679443200,2023-03-22,AVAX/USD,16.9911,17.67,16.92,16.92,129.517032,2191.42818144
1679356800,2023-03-21,AVAX/USD,16.77,18.8989,16.7301,18.8989,11.633916,219.8682150924
1679270400,2023-03-20,AVAX/USD,17.0002,17.0002,17.0,17.0,9.814,166.838
1679184000,2023-03-19,AVAX/USD,18.8989,18.8989,18.8989,18.8989,1.09583,20.709981587
1679097600,2023-03-18,AVAX/USD,18.0,18.9999,18.0,18.9999,8.378568,159.1919541432
1679011200,2023-03-17,AVAX/USD,15.85,17.6111,15.85,17.6111,36.750097,647.2096332767
1678924800,2023-03-16,AVAX/USD,15.75,18.0972,15.75,15.8659,62.902545,998.0054887155001
1678838400,2023-03-15,AVAX/USD,16.5111,16.5111,15.8659,15.8659,40.688314,645.5567210926
1678752000,2023-03-14,AVAX/USD,15.4899,17.6111,15.4899,16.85,94.783944,1597.1094564000002
1678665600,2023-03-13,AVAX/USD,16.5,16.9999,15.2721,16.5521,11.407803,188.82309603629997
1678579200,2023-03-12,AVAX/USD,15.6743,16.357,14.1668,16.357,68.80298,1125.41034386
1678492800,2023-03-11,AVAX/USD,15.7315,15.7315,14.15,15.6866,10.152196,159.2534377736
1678406400,2023-03-10,AVAX/USD,16.5099,16.5099,14.0003,14.0003,113.31177,1586.398773531
1678320000,2023-03-09,AVAX/USD,16.5099,16.5099,14.4,14.4,131.900843,1899.3721392000002
1678233600,2023-03-08,AVAX/USD,17.4821,17.4821,15.0,15.0,106.154456,1592.31684
1678147200,2023-03-07,AVAX/USD,16.3001,16.3001,16.3,16.3,7.132132,116.25375160000002
1678060800,2023-03-06,AVAX/USD,16.028,17.8568,15.9301,15.9301,3.42916,54.626861716
1677888000,2023-03-04,AVAX/USD,16.9,17.9028,16.0016,16.0016,430.945209,6895.8128563344
1677801600,2023-03-03,AVAX/USD,17.2142,17.2142,16.0,16.1303,146.64565,2365.4383281949995
1677715200,2023-03-02,AVAX/USD,18.9999,18.9999,18.9999,18.9999,1.967378,37.3799852622
1677628800,2023-03-01,AVAX/USD,17.5,17.5,17.5,17.5,0.572357,10.0162475
1677542400,2023-02-28,AVAX/USD,17.7,17.7,17.001,17.001,41.17567,700.02756567
1677456000,2023-02-27,AVAX/USD,17.9999,18.0,17.9999,18.0,118.911889,2140.414002
1677369600,2023-02-26,AVAX/USD,17.6111,18.4,17.6111,18.4,21.870454,402.4163535999999
