Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
1589155200.0,2020-05-11,LTCUSD,42.11,43.43,40.63,41.94,112.2,4707.43
1589068800.0,2020-05-10,LTCUSD,47,47,41,42.11,855.16,36695.21
1588982400.0,2020-05-09,LTCUSD,47.04,48.82,46.5,47,168.49,8052.26
1588896000.0,2020-05-08,LTCUSD,47.4,47.8,45.46,47.04,74.26,3474.05
1588809600.0,2020-05-07,LTCUSD,45.28,48,45.21,47.4,228.32,10546.83
1588723200.0,2020-05-06,LTCUSD,47.07,47.58,45.28,45.28,558.57,26084.93
1588636800.0,2020-05-05,LTCUSD,47.61,47.69,46,47.07,93.67,4412.68
1588550400.0,2020-05-04,LTCUSD,48.39,48.39,45.94,47.61,92.67,4321.36
1588464000.0,2020-05-03,LTCUSD,48.87,49.5,47.35,48.39,68.45,3321.28
1588377600.0,2020-05-02,LTCUSD,47.26,49.5,46.88,48.87,78.19,3744.02
1588291200.0,2020-05-01,LTCUSD,47.38,48.1,46.53,47.26,94.67,4500.11
1588204800.0,2020-04-30,LTCUSD,48.5,50.7,46,47.38,236.71,11397.3
1588118400.0,2020-04-29,LTCUSD,45.85,49.49,45.67,48.5,494.51,23475.17
1588032000.0,2020-04-28,LTCUSD,44.59,46.22,44,45.85,137.58,6207.68
1587945600.0,2020-04-27,LTCUSD,45.09,45.2,43.54,44.59,122.16,5440.46
1587859200.0,2020-04-26,LTCUSD,44.77,45.67,44.44,45.09,72.27,3257.01
1587772800.0,2020-04-25,LTCUSD,44.5,45.35,44,44.77,49.58,2225.0
1587686400.0,2020-04-24,LTCUSD,43.3,44.98,42.67,44.5,127.09,5636.13
1587600000.0,2020-04-23,LTCUSD,41.52,43.52,41.3,43.3,111.0,4751.62
1587513600.0,2020-04-22,LTCUSD,41,42.28,40.9,41.52,73.4,3049.68
1587427200.0,2020-04-21,LTCUSD,41,41.8,40.25,41,77.71,3170.49
1587340800.0,2020-04-20,LTCUSD,43.03,43.85,40.8,41,108.96,4609.41
1587254400.0,2020-04-19,LTCUSD,44.82,44.98,42.5,43.03,59.57,2576.25
1587168000.0,2020-04-18,LTCUSD,42.78,44.83,42.57,44.82,92.75,4047.32
1587081600.0,2020-04-17,LTCUSD,43.27,43.59,42.37,42.78,18.54,795.62
1586995200.0,2020-04-16,LTCUSD,41.31,45,40.72,43.27,148.5,6354.77
1586908800.0,2020-04-15,LTCUSD,43.18,43.29,41.31,41.31,66.46,2803.69
1586822400.0,2020-04-14,LTCUSD,43.76,43.76,42.35,43.18,71.34,3050.33
1586736000.0,2020-04-13,LTCUSD,44.26,44.26,42.12,43.76,148.27,6357.86
1586649600.0,2020-04-12,LTCUSD,44.24,46.3,43.76,44.26,128.85,5805.34
1586563200.0,2020-04-11,LTCUSD,44.29,45.13,43.08,44.24,93.94,4163.28
1586476800.0,2020-04-10,LTCUSD,47.68,47.68,43.09,44.29,218.03,9844.04
1586390400.0,2020-04-09,LTCUSD,46.54,47.68,46.37,47.68,156.05,7366.24
1586304000.0,2020-04-08,LTCUSD,45.81,47.48,45,46.54,165.11,7711.58
1586217600.0,2020-04-07,LTCUSD,45,47.63,44.67,45.81,190.77,8827.24
1586131200.0,2020-04-06,LTCUSD,41.67,45.44,41.67,45,251.76,10952.75
1586044800.0,2020-04-05,LTCUSD,42.1,42.37,41.6,41.67,88.61,3724.74
1585958400.0,2020-04-04,LTCUSD,41.65,42.14,40.94,42.1,236.82,9921.66
1585872000.0,2020-04-03,LTCUSD,41,41.97,40.28,41.65,39.56,1630.06
1585785600.0,2020-04-02,LTCUSD,40.54,43,39.97,41,181.06,7481.55
1585699200.0,2020-04-01,LTCUSD,40.41,41,39,40.54,89.78,3616.48
1585612800.0,2020-03-31,LTCUSD,41.98,41.98,40.06,40.41,20.06,814.84
1585526400.0,2020-03-30,LTCUSD,39.95,41.99,39.18,41.98,62.6,2553.91
1585440000.0,2020-03-29,LTCUSD,40.6,40.73,39.09,39.95,57.28,2283.82
1585353600.0,2020-03-28,LTCUSD,40.82,41.62,39.37,40.6,114.7,4622.04
1585267200.0,2020-03-27,LTCUSD,41.5,42.68,40.56,40.82,88.53,3694.53
1585180800.0,2020-03-26,LTCUSD,40.93,41.5,40.11,41.5,33.64,1376.81
1585094400.0,2020-03-25,LTCUSD,41.29,43.43,39.4,40.93,149.56,6109.06
1585008000.0,2020-03-24,LTCUSD,41,42,39.77,41.29,113.26,4607.47
1584921600.0,2020-03-23,LTCUSD,37.59,41.39,37.08,41,140.11,5498.87
1584835200.0,2020-03-22,LTCUSD,40.72,41.21,37.45,37.59,106.02,4177.44
1584748800.0,2020-03-21,LTCUSD,39.78,42.22,38.4,40.72,240.98,9756.57
1584662400.0,2020-03-20,LTCUSD,42.3,46,37.5,39.78,570.4,24176.18
1584576000.0,2020-03-19,LTCUSD,36.5,42.31,36.5,42.3,383.78,15175.79
1584489600.0,2020-03-18,LTCUSD,37.39,37.39,35.13,36.5,305.63,11043.32
1584403200.0,2020-03-17,LTCUSD,34.54,38.58,34.19,37.39,149.56,5507.93
1584316800.0,2020-03-16,LTCUSD,39.04,40,32.51,34.54,768.64,27898.88
1584230400.0,2020-03-15,LTCUSD,38.35,41,37.98,39.04,151.62,5934.02
1584144000.0,2020-03-14,LTCUSD,41.91,41.91,37.12,38.35,147.34,5754.26
1584057600.0,2020-03-13,LTCUSD,38.35,44,35.1,41.91,1933.0,73224.42
1583971200.0,2020-03-12,LTCUSD,51.36,51.36,36.39,38.35,1193.82,47311.35
1583884800.0,2020-03-11,LTCUSD,52.32,53.2,48.22,51.36,64.12,3217.74
1583798400.0,2020-03-10,LTCUSD,50.38,55,49.36,52.32,111.97,5825.69
1583712000.0,2020-03-09,LTCUSD,54.5,55.35,49.16,50.38,334.11,17048.7
1583625600.0,2020-03-08,LTCUSD,62.71,62.71,54.5,54.5,269.22,15981.11
1583539200.0,2020-03-07,LTCUSD,64,66,62.71,62.71,37.73,2409.41
1583452800.0,2020-03-06,LTCUSD,63.3,65,61.74,64,28.46,1817.26
1583366400.0,2020-03-05,LTCUSD,63,65,62.09,63.3,55.95,3565.77
1583280000.0,2020-03-04,LTCUSD,63.45,63.59,62,63,50.94,3187.84
1583193600.0,2020-03-03,LTCUSD,63.68,65.99,62.37,63.45,164.78,10470.93
1583107200.0,2020-03-02,LTCUSD,60.1,64,59.25,63.68,142.22,8756.93
1583020800.0,2020-03-01,LTCUSD,61.2,62.39,58.65,60.1,53.98,3265.87
1582934400.0,2020-02-29,LTCUSD,63.03,63.23,60.15,61.2,46.58,2885.17
1582848000.0,2020-02-28,LTCUSD,65.96,66.27,60,63.03,109.2,6859.73
1582761600.0,2020-02-27,LTCUSD,63.99,67.93,61.1,65.96,138.82,8890.13
1582675200.0,2020-02-26,LTCUSD,73.68,73.68,62,63.99,189.28,12567.06
1582588800.0,2020-02-25,LTCUSD,76.47,76.95,72.48,73.68,80.93,5981.28
1582502400.0,2020-02-24,LTCUSD,79.98,79.98,73,76.47,202.36,15366.11
1582416000.0,2020-02-23,LTCUSD,76.41,80.6,76.41,79.98,96.97,7674.45
1582329600.0,2020-02-22,LTCUSD,74.65,77.99,73.44,76.41,74.76,5723.21
1582243200.0,2020-02-21,LTCUSD,71.5,76,70.29,74.65,122.57,9116.62
1582156800.0,2020-02-20,LTCUSD,73.24,73.24,68.9,71.5,132.63,9476.56
1582070400.0,2020-02-19,LTCUSD,77.66,78.71,72,73.24,231.4,17503.15
1581984000.0,2020-02-18,LTCUSD,73.7,78.8,71.04,77.66,145.06,10813.97
1581897600.0,2020-02-17,LTCUSD,76.21,76.21,69,73.7,179.46,12906.64
1581811200.0,2020-02-16,LTCUSD,77.6,80.97,69,76.21,123.39,9332.31
1581724800.0,2020-02-15,LTCUSD,83,83,74.5,77.6,299.24,23719.16
1581638400.0,2020-02-14,LTCUSD,80.75,83,79.67,83,149.87,12335.77
1581552000.0,2020-02-13,LTCUSD,82.15,85,78.1,80.75,243.25,19884.56
1581465600.0,2020-02-12,LTCUSD,76.94,83.89,76.07,82.15,379.15,30075.76
1581379200.0,2020-02-11,LTCUSD,74.3,77.25,73,76.94,155.72,11836.93
1581292800.0,2020-02-10,LTCUSD,77.06,77.07,72.5,74.3,143.87,10692.01
1581206400.0,2020-02-09,LTCUSD,77,78.55,75.3,77.06,485.82,37550.44
1581120000.0,2020-02-08,LTCUSD,74.31,78,72.3,77,124.85,9469.99
1581033600.0,2020-02-07,LTCUSD,73.04,74.99,72.99,74.31,130.99,9701.71
1580947200.0,2020-02-06,LTCUSD,71.53,74.37,71.11,73.04,90.49,6636.15
1580860800.0,2020-02-05,LTCUSD,68.99,72.57,68.03,71.53,136.51,9717.61
1580774400.0,2020-02-04,LTCUSD,69.57,70.4,67.1,68.99,99.72,6847.47
1580688000.0,2020-02-03,LTCUSD,70.28,72.34,69,69.57,146.76,10315.66
1580601600.0,2020-02-02,LTCUSD,71.94,72.5,68.5,70.28,93.37,6647.45
1580515200.0,2020-02-01,LTCUSD,67.49,72.5,67.49,71.94,123.62,8815.4
1580428800.0,2020-01-31,LTCUSD,68,69.91,66.28,67.49,95.32,6448.91
1580342400.0,2020-01-30,LTCUSD,60,70.15,58.01,68,285.07,18184.34
1580256000.0,2020-01-29,LTCUSD,60,61.48,59,60,118.26,7159.38
1580169600.0,2020-01-28,LTCUSD,58.8,61.21,58.3,60,237.26,14001.49
1580083200.0,2020-01-27,LTCUSD,55.61,59.84,55.61,58.8,103.24,5980.05
1579996800.0,2020-01-26,LTCUSD,53.8,57,52.91,55.61,108.7,5997.15
1579910400.0,2020-01-25,LTCUSD,54.64,54.8,52.7,53.8,56.89,3055.8
1579824000.0,2020-01-24,LTCUSD,55.47,56.05,51.4,54.64,75.22,4038.62
1579737600.0,2020-01-23,LTCUSD,58,58.28,53.85,55.47,57.4,3220.18
1579651200.0,2020-01-22,LTCUSD,57,58.85,57,58,40.22,2342.65
1579564800.0,2020-01-21,LTCUSD,58.17,58.28,56.5,57,43.17,2482.73
1579478400.0,2020-01-20,LTCUSD,57.13,58.6,56.54,58.17,60.25,3467.17
1579392000.0,2020-01-19,LTCUSD,59.77,61.92,56.43,57.13,91.57,5392.09
1579305600.0,2020-01-18,LTCUSD,61.02,61.89,59.1,59.77,90.09,5454.05
1579219200.0,2020-01-17,LTCUSD,58.1,62.88,56.78,61.02,162.34,9811.74
1579132800.0,2020-01-16,LTCUSD,58.4,58.5,55.35,58.1,73.61,4190.92
1579046400.0,2020-01-15,LTCUSD,58.54,59.84,55.95,58.4,110.95,6477.11
1578960000.0,2020-01-14,LTCUSD,51.75,61,51.75,58.54,166.39,9345.56
1578873600.0,2020-01-13,LTCUSD,51.9,51.99,50.18,51.75,65.81,3367.23
1578787200.0,2020-01-12,LTCUSD,51.28,52.49,50.03,51.9,99.54,5127.59
1578700800.0,2020-01-11,LTCUSD,49.16,52.54,47,51.28,147.59,7453.95
1578614400.0,2020-01-10,LTCUSD,46.21,50.1,45.13,49.16,145.06,6909.11
1578528000.0,2020-01-09,LTCUSD,46.65,46.65,45.12,46.21,114.19,5240.23
1578441600.0,2020-01-08,LTCUSD,46.22,48.7,45,46.65,159.71,7475.71
1578355200.0,2020-01-07,LTCUSD,45.36,47.1,44.83,46.22,145.35,6667.92
1578268800.0,2020-01-06,LTCUSD,43.93,45.8,43.48,45.36,65.26,2932.44
1578182400.0,2020-01-05,LTCUSD,43.07,44.76,42.45,43.93,210.82,9194.91
1578096000.0,2020-01-04,LTCUSD,42.04,43.1,41.84,43.07,41.88,1788.94
1578009600.0,2020-01-03,LTCUSD,40.52,42.4,40,42.04,118.55,4930.2
