https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEAR,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1697414400000,2023-10-16 00:00:00,NEAR/USDT,1.027,1.067,1.019,1.032,2930707.122,2836658.58772,1537172.362,1487912.00509,70551,1.033
1697328000000,2023-10-15 00:00:00,NEAR/USDT,1.01,1.035,1.007,1.026,1117947.721,1095642.25854,592477.787,580620.54596,27602,1.02
1697241600000,2023-10-14 00:00:00,NEAR/USDT,1.009,1.018,1.003,1.01,1454457.316,1439774.45488,760698.49,753004.35879,35697,1.01
1697155200000,2023-10-13 00:00:00,NEAR/USDT,1.013,1.02,0.998,1.009,1799094.646,1785915.45371,934154.59,927300.33718,42845,1.007
1697068800000,2023-10-12 00:00:00,NEAR/USDT,1.029,1.029,1,1.012,1992473.42,1968071.31162,1008031.061,995594.02043,46895,1.012
1696982400000,2023-10-11 00:00:00,NEAR/USDT,1.043,1.046,1.007,1.029,51222.02,49981.30283,21043.242,20485.14964,2775,1.024
1696896000000,2023-10-10 00:00:00,NEAR/USDT,1.039,1.058,1.032,1.044,49245.48,47218.61476,21290.69,20429.94372,2528,1.042
1696809600000,2023-10-09 00:00:00,NEAR/USDT,1.093,1.097,1.025,1.038,468741.492,433089.35682,223542.606,206365.18577,12944,1.082
1696723200000,2023-10-08 00:00:00,NEAR/USDT,1.089,1.1,1.075,1.093,3039770.083,2791605.40203,1516802.69,1392845.25521,73483,1.088
1696636800000,2023-10-07 00:00:00,NEAR/USDT,1.092,1.105,1.083,1.09,3836592.051,3512664.52098,1942043.445,1778057.15205,93288,1.092
1696550400000,2023-10-06 00:00:00,NEAR/USDT,1.071,1.144,1.069,1.091,5049404.685,4645427.78688,2672953.581,2459043.14226,122084,1.086
1696464000000,2023-10-05 00:00:00,NEAR/USDT,1.098,1.109,1.069,1.071,5328923.067,4892872.39669,2843662.849,2611306.21391,124506,1.089
1696377600000,2023-10-04 00:00:00,NEAR/USDT,1.099,1.104,1.061,1.097,6388115.16,5876055.24144,3448058.04,3171779.1293,147262,1.087
1696291200000,2023-10-03 00:00:00,NEAR/USDT,1.112,1.121,1.091,1.098,7461109.458,6733507.15925,4070076.098,3673853.96821,166922,1.108
1696204800000,2023-10-02 00:00:00,NEAR/USDT,1.159,1.168,1.105,1.113,3026864.844,2659436.27929,1624098.364,1427108.51125,75971,1.138
1696118400000,2023-10-01 00:00:00,NEAR/USDT,1.131,1.165,1.124,1.158,1698217.555,1489826.43504,895895.855,786001.49923,40346,1.139
1696032000000,2023-09-30 00:00:00,NEAR/USDT,1.118,1.144,1.116,1.131,1709881.993,1513042.21603,914886.039,809488.71793,42752,1.13
1695945600000,2023-09-29 00:00:00,NEAR/USDT,1.105,1.125,1.094,1.118,2981189.075,2696821.50119,1606891.469,1453637.29729,71811,1.105
1695859200000,2023-09-28 00:00:00,NEAR/USDT,1.072,1.107,1.07,1.105,2975127.861,2740039.82801,1580681.469,1455895.96297,68321,1.085
1695772800000,2023-09-27 00:00:00,NEAR/USDT,1.081,1.105,1.054,1.072,1783736.333,1657951.3509,968544.409,900882.49298,40866,1.075
1695686400000,2023-09-26 00:00:00,NEAR/USDT,1.103,1.108,1.075,1.082,1149846.159,1050832.87621,584084.554,533909.4127,28551,1.094
1695600000000,2023-09-25 00:00:00,NEAR/USDT,1.095,1.12,1.09,1.103,1230979.123,1112575.65647,609437.031,550854.73732,30795,1.106
1695513600000,2023-09-24 00:00:00,NEAR/USDT,1.115,1.116,1.093,1.096,565385.852,510644.04588,267040.429,241175.29031,14408,1.107
1695427200000,2023-09-23 00:00:00,NEAR/USDT,1.123,1.125,1.107,1.116,845427.947,758441.8461,426055.36,382195.65746,21015,1.114
1695340800000,2023-09-22 00:00:00,NEAR/USDT,1.124,1.133,1.103,1.122,1056310.807,945191.95967,521205.279,466411.20446,25808,1.117
1695254400000,2023-09-21 00:00:00,NEAR/USDT,1.122,1.151,1.103,1.125,1390813.099,1233306.20041,696115.091,617188.72174,32133,1.127
1695168000000,2023-09-20 00:00:00,NEAR/USDT,1.122,1.131,1.1,1.12,1079151.842,968819.0764,545389.181,489632.61456,25974,1.113
1695081600000,2023-09-19 00:00:00,NEAR/USDT,1.101,1.131,1.091,1.121,961731.39,862113.21158,473213.669,424133.88667,24186,1.115
1694995200000,2023-09-18 00:00:00,NEAR/USDT,1.094,1.126,1.079,1.1,928659.079,836519.54591,473599.955,426592.46319,22151,1.11
1694908800000,2023-09-17 00:00:00,NEAR/USDT,1.128,1.128,1.08,1.095,503114.47,454009.29527,239338.267,216107.70888,17067,1.108
1694822400000,2023-09-16 00:00:00,NEAR/USDT,1.13,1.141,1.117,1.129,925447.378,821031.41059,460711.238,408757.32142,26444,1.127
1694736000000,2023-09-15 00:00:00,NEAR/USDT,1.108,1.132,1.1,1.129,1063015.22,954875.41265,538413.185,483643.25389,26862,1.113
1694649600000,2023-09-14 00:00:00,NEAR/USDT,1.091,1.115,1.086,1.108,1299221.138,1180007.22569,659400.389,598752.90482,32796,1.101
1694563200000,2023-09-13 00:00:00,NEAR/USDT,1.071,1.1,1.07,1.091,926639.702,853935.69277,458300.635,422278.17924,24704,1.085
1694476800000,2023-09-12 00:00:00,NEAR/USDT,1.104,1.131,1.069,1.071,936595.48,849082.66417,464205.996,420732.6446,22920,1.103
1694390400000,2023-09-11 00:00:00,NEAR/USDT,1.153,1.156,1.086,1.103,967679.312,862659.11619,480794.705,428763.30302,22120,1.121
1694304000000,2023-09-10 00:00:00,NEAR/USDT,1.166,1.169,1.124,1.154,1088335.996,947867.00595,535941.439,466777.35964,25796,1.148
1694217600000,2023-09-09 00:00:00,NEAR/USDT,1.153,1.188,1.15,1.166,1614901.83,1390066.06497,788470.316,678694.75497,35876,1.161
1694131200000,2023-09-08 00:00:00,NEAR/USDT,1.153,1.163,1.127,1.153,2950080.795,2568614.47838,1538458.825,1339606.63411,65831,1.148
1694044800000,2023-09-07 00:00:00,NEAR/USDT,1.131,1.155,1.124,1.153,2606974.46,2292678.28497,1324743.897,1165103.91687,62107,1.137
1693958400000,2023-09-06 00:00:00,NEAR/USDT,1.127,1.189,1.108,1.131,2772173.907,2459756.98615,1358104.338,1205156.06556,60360,1.127
1693872000000,2023-09-05 00:00:00,NEAR/USDT,1.125,1.15,1.111,1.127,3561318.456,3159916.24587,1780459.301,1579766.38517,75282,1.127
1693785600000,2023-09-04 00:00:00,NEAR/USDT,1.125,1.147,1.116,1.125,10795258.52,9545356.53696,5572954.611,4927636.67846,238580,1.13
1693699200000,2023-09-03 00:00:00,NEAR/USDT,1.121,1.135,1.114,1.125,11234155.552,9998367.83663,5769269.36,5134716.25151,230391,1.123
1693612800000,2023-09-02 00:00:00,NEAR/USDT,1.128,1.135,1.108,1.121,14506988.333,12890455.51419,7496303.126,6660922.81743,321876,1.125
1693526400000,2023-09-01 00:00:00,NEAR/USDT,1.154,1.187,1.121,1.13,9322599.441,8162344.88358,4725674.795,4138007.85262,207480,1.142
1693440000000,2023-08-31 00:00:00,NEAR/USDT,1.206,1.207,1.143,1.156,5865739.677,4939633.95509,3099613.08,2611032.79213,135581,1.187
1693353600000,2023-08-30 00:00:00,NEAR/USDT,1.23,1.233,1.194,1.207,8218015.013,6796631.85145,4323304.608,3576452.54498,164677,1.209
1693267200000,2023-08-29 00:00:00,NEAR/USDT,1.198,1.266,1.166,1.229,5460853.183,4507274.629,2781411.465,2295825.20926,137850,1.212
1693180800000,2023-08-28 00:00:00,NEAR/USDT,1.18,1.203,1.151,1.197,6437390.206,5458647.05049,3294196.196,2793555.00269,149152,1.179
1693094400000,2023-08-27 00:00:00,NEAR/USDT,1.194,1.233,1.173,1.18,12435720.778,10412884.61237,6339696.122,5307121.08189,302974,1.194
1693008000000,2023-08-26 00:00:00,NEAR/USDT,1.195,1.21,1.19,1.194,11828757.062,9860878.48577,6160936.049,5135631.32171,250611,1.199
1692921600000,2023-08-25 00:00:00,NEAR/USDT,1.198,1.239,1.163,1.197,6728442.981,5665751.88362,3516532.448,2960962.42721,147942,1.187
1692835200000,2023-08-24 00:00:00,NEAR/USDT,1.214,1.225,1.174,1.199,7229386.414,6031368.52217,3710149.197,3096427.1516,152418,1.198
1692748800000,2023-08-23 00:00:00,NEAR/USDT,1.176,1.249,1.154,1.216,9267908.498,7767505.84902,4875628.989,4086742.06985,211352,1.193
1692662400000,2023-08-22 00:00:00,NEAR/USDT,1.138,1.201,1.107,1.176,10594512.014,9327548.61332,5785819.12,5094126.10483,229414,1.135
1692576000000,2023-08-21 00:00:00,NEAR/USDT,1.18,1.189,1.129,1.136,3127461.748,2711654.45752,1742834.906,1510735.64739,72524,1.153
1692489600000,2023-08-20 00:00:00,NEAR/USDT,1.164,1.187,1.148,1.176,1823534.723,1564349.03773,1113464.269,955174.24897,49133,1.165
1692403200000,2023-08-19 00:00:00,NEAR/USDT,1.148,1.21,1.119,1.164,8517364.723,7406007.453,4937968.779,4292580.78228,403229,1.15
1692316800000,2023-08-18 00:00:00,NEAR/USDT,1.184,1.321,1.115,1.14,8625816.026,7525140.02654,4967525.221,4333891.42445,498723,1.146
1692230400000,2023-08-17 00:00:00,NEAR/USDT,1.202,1.356,1.144,1.185,11808886.086,9726105.29046,6814777.997,5612179.53054,703227,1.214
1692144000000,2023-08-16 00:00:00,NEAR/USDT,1.277,1.289,1.18,1.209,8790679.067,7063335.02602,4971138.216,3995161.43384,513465,1.245
1692057600000,2023-08-15 00:00:00,NEAR/USDT,1.334,1.342,1.188,1.281,7306585.739,5534694.47787,3999052.054,3030225.29525,349954,1.32
1691971200000,2023-08-14 00:00:00,NEAR/USDT,1.345,1.358,1.332,1.334,12875791.719,9587951.28552,7089424.749,5279175.56414,403752,1.342
1691884800000,2023-08-13 00:00:00,NEAR/USDT,1.346,1.361,1.335,1.348,16853838.517,12498257.15258,9339929.099,6926258.17618,597066,1.348
1691798400000,2023-08-12 00:00:00,NEAR/USDT,1.334,1.375,1.327,1.347,15920703.247,11845757.42544,8802267.164,6549389.89236,589584,1.344
1691712000000,2023-08-11 00:00:00,NEAR/USDT,1.341,1.348,1.322,1.334,13342441.055,10023366.66188,7344831.225,5517782.64847,491386,1.331
1691625600000,2023-08-10 00:00:00,NEAR/USDT,1.33,1.391,1.32,1.342,9461559.485,7059601.31131,5204251.537,3883077.16403,356464,1.34
1691539200000,2023-08-09 00:00:00,NEAR/USDT,1.359,1.391,1.318,1.339,10811157.486,7991870.24884,5949813.646,4398253.29276,417803,1.352
1691452800000,2023-08-08 00:00:00,NEAR/USDT,1.338,1.39,1.321,1.363,4872416.263,3588439.20481,2668122.519,1964913.01442,173137,1.357
1691366400000,2023-08-07 00:00:00,NEAR/USDT,1.335,1.391,1.298,1.337,11459409.475,8522897.61459,6237102.162,4638924.82291,482525,1.344
1691280000000,2023-08-06 00:00:00,NEAR/USDT,1.353,1.385,1.308,1.337,7094861.3,5277459.30541,3896542.753,2898456.12053,823773,1.344
1691193600000,2023-08-05 00:00:00,NEAR/USDT,1.353,1.391,1.29,1.352,3903649.704,2890084.96684,2129558.255,1576606.41999,473191,1.35
1691107200000,2023-08-04 00:00:00,NEAR/USDT,1.359,1.384,1.317,1.356,3883916.096,2866456.95299,2103706.478,1552614.96816,438554,1.354
1691020800000,2023-08-03 00:00:00,NEAR/USDT,1.391,1.423,1.351,1.359,3602664.314,2625352.12524,1973641.048,1438340.00986,194661,1.372
1690934400000,2023-08-02 00:00:00,NEAR/USDT,1.415,1.438,1.37,1.397,2006476.563,1434742.00463,1087062.756,777341.07981,95366,1.398
1690848000000,2023-08-01 00:00:00,NEAR/USDT,1.37,1.42,1.328,1.414,26899.41,19644.79397,13954.762,10198.94822,3404,1.369
1690761600000,2023-07-31 00:00:00,NEAR/USDT,1.398,1.416,1.334,1.366,35295.972,25519.03452,17463.207,12631.52941,4173,1.383
1690675200000,2023-07-30 00:00:00,NEAR/USDT,1.408,1.419,1.369,1.394,43106.184,30693.96523,21418.084,15249.73654,5393,1.404
1690588800000,2023-07-29 00:00:00,NEAR/USDT,1.389,1.443,1.381,1.409,43141.042,30736.11197,22013.227,15685.45294,5500,1.403
1690502400000,2023-07-28 00:00:00,NEAR/USDT,1.377,1.425,1.366,1.387,47071.027,33977.37301,22774.315,16441.14075,6209,1.385
1690416000000,2023-07-27 00:00:00,NEAR/USDT,1.364,1.472,1.338,1.377,49075.973,35850.52776,24618.573,17988.50443,6251,1.368
1690329600000,2023-07-26 00:00:00,NEAR/USDT,1.338,1.403,1.321,1.366,52852.158,39443.90598,26519.176,19784.17087,6560,1.34
1690243200000,2023-07-25 00:00:00,NEAR/USDT,1.472,1.75,1.326,1.347,52006.677,38184.91554,27540.236,20154.32817,6386,1.363
1690156800000,2023-07-24 00:00:00,NEAR/USDT,1.467,1.497,1.352,1.379,47908.585,34019.50743,23880.287,16969.08708,6087,1.409
1690070400000,2023-07-23 00:00:00,NEAR/USDT,1.454,1.519,1.436,1.466,53045.59,36376.31827,26126.613,17918.27304,6875,1.458
1689984000000,2023-07-22 00:00:00,NEAR/USDT,1.486,1.548,1.432,1.455,49544.104,33716.20857,24446.79,16639.37162,5924,1.469
1689897600000,2023-07-21 00:00:00,NEAR/USDT,1.531,1.547,1.482,1.494,44085.337,29280.91951,21864.793,14518.10014,5545,1.505
1689811200000,2023-07-20 00:00:00,NEAR/USDT,1.478,1.743,1.466,1.536,47998.407,31321.69892,24394.933,15927.45746,6006,1.533
1689724800000,2023-07-19 00:00:00,NEAR/USDT,1.475,1.554,1.466,1.48,50628.025,33978.14009,24913.237,16718.89406,5988,1.49
1689638400000,2023-07-18 00:00:00,NEAR/USDT,1.498,1.51,1.446,1.478,48438.234,32891.47511,24131.226,16388.21536,5820,1.472
1689552000000,2023-07-17 00:00:00,NEAR/USDT,1.445,1.528,1.428,1.498,53239.442,36152.39381,26035.069,17675.5162,6379,1.472
1689465600000,2023-07-16 00:00:00,NEAR/USDT,1.507,1.541,1.432,1.448,47940.364,32306.12585,24197.85,16311.34193,5820,1.484
1689379200000,2023-07-15 00:00:00,NEAR/USDT,1.5,1.592,1.432,1.509,48771.127,32636.54325,23378.458,15653.98859,5580,1.494
1689292800000,2023-07-14 00:00:00,NEAR/USDT,1.481,1.699,1.444,1.5,50157.752,32954.05941,24531.435,16113.15954,5925,1.523
1689206400000,2023-07-13 00:00:00,NEAR/USDT,1.328,1.483,1.299,1.468,49450.405,36297.65633,25270.797,18576.66673,6061,1.364
1689120000000,2023-07-12 00:00:00,NEAR/USDT,1.328,1.367,1.298,1.329,54752.66,40958.74335,27874.544,20862.45039,6675,1.336
1689033600000,2023-07-11 00:00:00,NEAR/USDT,1.34,1.381,1.288,1.325,53593.259,40416.74887,27205.855,20516.23442,6742,1.326
1688947200000,2023-07-10 00:00:00,NEAR/USDT,1.326,1.326,1.278,1.305,9424.011,7233.98595,4403.452,3381.52407,1098,1.302
1688860800000,2023-07-09 00:00:00,NEAR/USDT,1.382,1.39,1.297,1.325,49329.66,36702.16013,24281.26,18067.67331,6414,1.344
1688774400000,2023-07-08 00:00:00,NEAR/USDT,1.339,1.396,1.325,1.38,54451.09,39880.27607,28336.613,20764.03646,6842,1.365
1688688000000,2023-07-07 00:00:00,NEAR/USDT,1.347,1.405,1.317,1.347,49591.065,36921.59591,25770.269,19188.92977,6169,1.343
1688601600000,2023-07-06 00:00:00,NEAR/USDT,1.353,1.437,1.297,1.348,38386.526,28301.46525,18566.164,13693.69989,4744,1.356
1688515200000,2023-07-05 00:00:00,NEAR/USDT,1.39,1.421,1.331,1.355,37295.968,27352.75722,17869.214,13109.69101,4515,1.363
1688428800000,2023-07-04 00:00:00,NEAR/USDT,1.454,1.47,1.356,1.381,39731.973,27980.20403,20099.018,14160.63538,5444,1.42
1688342400000,2023-07-03 00:00:00,NEAR/USDT,1.466,1.487,1.353,1.454,45738.343,31432.99107,22295.419,15321.63384,5664,1.455
1688256000000,2023-07-02 00:00:00,NEAR/USDT,1.493,1.496,1.421,1.465,43168.069,29593.9333,22238.423,15247.79814,5409,1.458
1688169600000,2023-07-01 00:00:00,NEAR/USDT,1.381,1.498,1.341,1.493,44690.311,31603.46804,22845.306,16169.0982,5456,1.414
1688083200000,2023-06-30 00:00:00,NEAR/USDT,1.35,1.463,1.3,1.387,44602.505,32373.70609,21032.257,15265.35737,5299,1.378
1687996800000,2023-06-29 00:00:00,NEAR/USDT,1.36,1.395,1.337,1.346,50446.002,37158.45283,25504.902,18786.39438,6279,1.357
1687910400000,2023-06-28 00:00:00,NEAR/USDT,1.48,1.48,1.328,1.36,46613.028,33339.74627,23053.434,16505.02433,5658,1.398
1687824000000,2023-06-27 00:00:00,NEAR/USDT,1.489,1.503,1.438,1.48,47077.121,31782.30143,22946.689,15494.50171,5809,1.481
1687737600000,2023-06-26 00:00:00,NEAR/USDT,1.4,1.75,1.35,1.486,51192.593,33814.39029,25976.028,17116.20955,6078,1.518
1687651200000,2023-06-25 00:00:00,NEAR/USDT,1.424,1.473,1.397,1.403,48176.446,33769.23296,24049.169,16866.32115,5848,1.426
1687564800000,2023-06-24 00:00:00,NEAR/USDT,1.384,1.459,1.363,1.41,47124.458,33429.52074,24233.849,17199.03661,5507,1.409
1687478400000,2023-06-23 00:00:00,NEAR/USDT,1.32,1.449,1.3,1.384,48435.644,35761.46123,24054.178,17778.41947,5830,1.355
1687392000000,2023-06-22 00:00:00,NEAR/USDT,1.336,1.41,1.299,1.322,43714.241,32481.08112,22468.788,16706.66819,5429,1.346
1687305600000,2023-06-21 00:00:00,NEAR/USDT,1.294,1.439,1.282,1.335,43954.571,33306.02967,21725.788,16466.13814,5219,1.319
