https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1578096000000,2020-01-04 00:00:00,BTC/USDT,7344.65455073,7403.0402129,7274.12349904,7352.47412649,31022711.57165996,4231.47838825,0,0,0,7331.41203268
1578009600000,2020-01-03 00:00:00,BTC/USDT,6964.86861392,7402,6870.86130202,7344.84012792,36080284.81427481,5002.01858339,0,0,0,7213.14489595
1577923200000,2020-01-02 00:00:00,BTC/USDT,7198.22265759,7211.745123,6933.79000002,6965.96577138,25562358.87402523,3595.46984614,0,0,0,7109.60179556
1577836800000,2020-01-01 00:00:00,BTC/USDT,7193.73694432,7254.49896,7174.93259693,7201.56316558,24533598.09772313,3398.56056942,0,0,0,7218.82032013
1577750400000,2019-12-31 00:00:00,BTC/USDT,7243.50000036,7320,7147,7193.73694432,17306811.52321404,2393.54532267,0,0,0,7230.61784512
1577664000000,2019-12-30 00:00:00,BTC/USDT,7386.60000001,7411.99999998,7218.5920766,7247.29999972,25268745.46908788,3456.21649708,0,0,0,7311.10030012
1577577600000,2019-12-29 00:00:00,BTC/USDT,7313.34693001,7528.25637694,7286.38170034,7387.99915743,29476619.00244423,3996.84145977,0,0,0,7374.97829201
1577491200000,2019-12-28 00:00:00,BTC/USDT,7252.53502329,7361.29,7238.35184736,7312.3992537,20844252.07072772,2851.33671959,0,0,0,7310.34392659
1577404800000,2019-12-27 00:00:00,BTC/USDT,7202,7270.59247604,7085.1,7252.83578941,27954044.09612221,3878.57709538,0,0,0,7207.29365658
1577318400000,2019-12-26 00:00:00,BTC/USDT,7204.52901002,7440,7158.56862047,7203.89999999,19233169.3404292,2662.37853417,0,0,0,7224.05514226
1577232000000,2019-12-25 00:00:00,BTC/USDT,7255.53890602,7275.37969754,7130,7204.72901002,22948822.59917098,3177.13573382,0,0,0,7223.11683283
1577145600000,2019-12-24 00:00:00,BTC/USDT,7318.37302392,7432.79842367,7162.60243496,7261.87639205,16298932.35406403,2221.88910096,0,0,0,7335.61920215
1577059200000,2019-12-23 00:00:00,BTC/USDT,7495.00000001,7689.43591786,7263.64039015,7319.38131499,27878142.79749976,3710.05078902,0,0,0,7514.22133627
1576972800000,2019-12-22 00:00:00,BTC/USDT,7132.45499582,7504.89202303,7125,7495,21765160.58122625,3020.61335388,0,0,0,7205.54338848
1576886400000,2019-12-21 00:00:00,BTC/USDT,7188.89846906,7189.61999772,7113.65808884,7134.399912,9269957.12612613,1298.19593443,0,0,0,7140.64563004
1576800000000,2019-12-20 00:00:00,BTC/USDT,7151.110308,7213.4689183,7080.45633248,7188.89846906,19277876.05347557,2696.16136788,0,0,0,7150.11953035
1576713600000,2019-12-19 00:00:00,BTC/USDT,7272.86824896,7359.89999996,7047,7152.2481114,18900031.426398,2645.90004545,0,0,0,7143.138857
1576627200000,2019-12-18 00:00:00,BTC/USDT,6623.7141566,7427.01557005,6434.30002004,7276.50377392,30932975.53404984,4589.94902098,0,0,0,6739.28520614
1576540800000,2019-12-17 00:00:00,BTC/USDT,6893.14644093,6942.24048899,6562.72317261,6619.32500006,29688791.43634091,4376.07583612,0,0,0,6784.34116504
1576454400000,2019-12-16 00:00:00,BTC/USDT,7118.24828854,7152.353207,6839.92242351,6895.70300803,29835652.99189893,4244.10132931,0,0,0,7029.91061637
1576368000000,2019-12-15 00:00:00,BTC/USDT,7065.19879489,7220,7010.99753589,7118.24828854,28221863.39747723,3978.27849676,0,0,0,7093.98887495
1576281600000,2019-12-14 00:00:00,BTC/USDT,7256.999939,7271.82789068,7010.79260392,7063.74028007,27829836.64538259,3892.31858438,0,0,0,7149.93802333
1576195200000,2019-12-13 00:00:00,BTC/USDT,7197.40412184,7313.12351695,7192.34021609,7254.89688,23809451.51113576,3290.33105533,0,0,0,7236.18721361
1576108800000,2019-12-12 00:00:00,BTC/USDT,7213.41250734,7286.09660931,7085,7197.40412184,26931190.72482875,3752.26372856,0,0,0,7177.31819324
1576022400000,2019-12-11 00:00:00,BTC/USDT,7222.34121454,7272.99999999,7139.33836561,7210.272498,32546738.18309478,4510.27090748,0,0,0,7216.13819895
