https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1699315200000,2023-11-07 00:00:00,AAVE/USDT,100.31,103.42,96.24,97.8,3946086.46,40159.907682,2127249.56,21649.362476,56791,98.27
1699228800000,2023-11-06 00:00:00,AAVE/USDT,89.97,100.2,88.22,100.08,1178743.74,13003.152943,636328.6,7023.910038,16922,90.7
1699142400000,2023-11-05 00:00:00,AAVE/USDT,90.11,92.28,88.13,90.13,3987678.75,44297.761993,2143934.12,23818.178414,57034,90.02
1699056000000,2023-11-04 00:00:00,AAVE/USDT,90.09,92.33,88.18,90.09,4275653.5,47603.648404,2324828.59,25881.29128,60961,89.82
1698969600000,2023-11-03 00:00:00,AAVE/USDT,91.68,93.03,88.03,90.17,6026920.52,66668.762457,3352595.79,37086.942355,85981,90.4
1698883200000,2023-11-02 00:00:00,AAVE/USDT,88.89,101.9,87.33,91.67,6003454.1,64389.505685,3348521.7,35929.594963,88703,93.31
1698796800000,2023-11-01 00:00:00,AAVE/USDT,81.2,90.55,80.66,88.77,4682203.27,56264.83219,2621005.91,31488.77916,67032,83.32
1698710400000,2023-10-31 00:00:00,AAVE/USDT,83.5,84.53,79.69,81.24,8718279.23,107030.992008,4754737.37,58378.857788,127643,81.46
1698624000000,2023-10-30 00:00:00,AAVE/USDT,84.23,84.99,81.21,83.52,628966.27,7557.107465,325749.77,3913.459484,15358,83.23
1698537600000,2023-10-29 00:00:00,AAVE/USDT,79.65,85.56,78.93,84.22,611951.35,7416.701095,322006.36,3900.933237,13943,82.56
1698451200000,2023-10-28 00:00:00,AAVE/USDT,79.52,80.83,77.9,79.61,772031.31,9688.002691,413865.88,5193.183685,18816,79.69
1698364800000,2023-10-27 00:00:00,AAVE/USDT,80.55,80.55,76.06,78.72,997872.66,12754.593675,536754.67,6861.219781,24728,78.24
1698278400000,2023-10-26 00:00:00,AAVE/USDT,85.59,87.6,77.91,80.58,737365.45,9155.948028,394558.32,4898.26969,17851,80.56
1698192000000,2023-10-25 00:00:00,AAVE/USDT,83.18,85.94,81.39,85.44,82570.7,991.650705,39637.34,476.083463,1197,83.27
1698105600000,2023-10-24 00:00:00,AAVE/USDT,84.23,90,81,83.15,110155.29,1302.090064,56168.81,662.668365,1591,84.63
1698019200000,2023-10-23 00:00:00,AAVE/USDT,79.14,85.64,78.13,84.21,440045.91,5392.065898,218303.98,2674.722707,9982,81.65
1697932800000,2023-10-22 00:00:00,AAVE/USDT,70.12,79.65,69.08,79.14,652519.02,8696.933618,326795.07,4355.837171,16123,75.09
1697846400000,2023-10-21 00:00:00,AAVE/USDT,65.94,70.81,65.35,70.17,645545.22,9557.830654,332343.95,4921.469625,16371,67.58
1697760000000,2023-10-20 00:00:00,AAVE/USDT,63.96,69.9,63.4,65.93,932614.83,14239.702542,443544.84,6758.793879,21265,65.51
1697673600000,2023-10-19 00:00:00,AAVE/USDT,62.05,65.32,61.22,63.96,944698.56,14970.968032,450863.23,7141.25803,17487,63.12
1697587200000,2023-10-18 00:00:00,AAVE/USDT,62.77,66.25,61.92,62.11,988260.54,15751.095802,500950.96,7986.447907,18460,62.74
1697500800000,2023-10-17 00:00:00,AAVE/USDT,65.01,71.5,62.5,62.81,1064677.01,16695.236883,391581.89,6141.533056,17512,63.78
1697414400000,2023-10-16 00:00:00,AAVE/USDT,64.03,71.77,63.83,65.04,665675.14,10216.492071,293562.5,4500.792271,8461,65.16
1697328000000,2023-10-15 00:00:00,AAVE/USDT,64.27,64.69,63.8,64.05,973829.59,15167.249208,443312,6905.31992,10313,64.2
1697241600000,2023-10-14 00:00:00,AAVE/USDT,63.7,64.94,63.6,64.24,628490.98,9754.586632,399043.64,6192.976494,12420,64.43
1697155200000,2023-10-13 00:00:00,AAVE/USDT,62.91,64.79,62.85,63.71,910094.53,14335.638894,475140.57,7481.844295,14366,63.48
1697068800000,2023-10-12 00:00:00,AAVE/USDT,63.15,64.01,61.86,62.95,965821.85,15405.020523,421323.14,6721.835373,15825,62.69
1696982400000,2023-10-11 00:00:00,AAVE/USDT,63.89,64.32,62.56,63.15,957981.23,15154.205185,526173.49,8328.630401,18023,63.21
1696896000000,2023-10-10 00:00:00,AAVE/USDT,63.31,64.89,63.01,63.88,1013324.07,15866.724596,493721.64,7732.956557,22528,63.86
1696809600000,2023-10-09 00:00:00,AAVE/USDT,66.08,66.61,62.69,63.24,1263715.47,19642.513832,680188.89,10580.080074,27976,64.35
1696723200000,2023-10-08 00:00:00,AAVE/USDT,66.79,67.42,65.22,66.08,1339556.45,20268.34455,721554.5,10917.501333,27547,66.09
1696636800000,2023-10-07 00:00:00,AAVE/USDT,68.89,69.21,65.94,66.83,1427697.5,21247.048305,749181.37,11143.176217,37881,67.2
1696550400000,2023-10-06 00:00:00,AAVE/USDT,67,69.75,66.99,68.89,1677043.04,24545.396519,842993.21,12339.23824,44457,68.33
1696464000000,2023-10-05 00:00:00,AAVE/USDT,66.72,72.33,66.32,67.03,1535666.3,22371.414568,788244.23,11478.721566,40616,68.66
1696377600000,2023-10-04 00:00:00,AAVE/USDT,65.16,66.85,63.46,66.71,1708114.78,26270.560649,872883.67,13424.658033,44665,65.02
1696291200000,2023-10-03 00:00:00,AAVE/USDT,69.23,70.27,64.72,65.23,2075164.7,30605.455829,1069897.98,15777.046873,54416,67.86
1696204800000,2023-10-02 00:00:00,AAVE/USDT,72.24,72.27,68.41,69.21,1214183.45,17326.977392,615521.7,8784.998571,25289,70.08
1696118400000,2023-10-01 00:00:00,AAVE/USDT,67.56,72.33,67.35,72.21,1017748.52,14714.021385,513310.61,7419.547072,13923,69.18
1696032000000,2023-09-30 00:00:00,AAVE/USDT,66.09,68.6,66.04,67.58,577537.98,8589.765511,282359.83,4200.092297,13633,67.24
1695945600000,2023-09-29 00:00:00,AAVE/USDT,65.64,67.74,64.99,66.1,976892.26,14802.786313,552997.42,8377.108103,21486,65.99
1695859200000,2023-09-28 00:00:00,AAVE/USDT,60.58,66.76,60.5,65.65,999425.91,15814.165972,559439.38,8871.089991,21308,63.26
1695772800000,2023-09-27 00:00:00,AAVE/USDT,61.1,62.72,59.92,60.64,758322.25,12450.773691,396185.11,6503.343023,16309,60.91
1695686400000,2023-09-26 00:00:00,AAVE/USDT,62.17,62.26,60.26,61.08,735187.65,11976.300979,428988.88,6982.606168,13232,61.38
