https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1635897600000,2021-11-03 00:00:00,DOT/USDT,51.64174184,54.45423135,49.153943,53.33114115,884954.21555658,17095.02738515,0,0,0,51.76676208
1635811200000,2021-11-02 00:00:00,DOT/USDT,49.95749441,53.28590395,48.06215806,51.58997401,1293262.72453363,25540.38576436,0,0,0,50.63599024
1635724800000,2021-11-01 00:00:00,DOT/USDT,42.7373765,51.47431174,41.74901018,50.01872347,1149942.1929743,24255.11238773,0,0,0,47.41030157
1635638400000,2021-10-31 00:00:00,DOT/USDT,42.70156352,43.32355159,41.05577124,42.73172162,426086.87059597,10143.20918106,0,0,0,42.00710672
1635552000000,2021-10-30 00:00:00,DOT/USDT,44.0994178,44.26780355,42.15007739,42.69383227,214522.99613312,4986.0441293,0,0,0,43.02468862
1635465600000,2021-10-29 00:00:00,DOT/USDT,41.8,44.32491577,41.63545307,44.08607921,330561.67135895,7615.33864309,0,0,0,43.40735019
1635379200000,2021-10-28 00:00:00,DOT/USDT,40.37038241,43.08289534,39.8720512,41.8,504925.35929185,12098.56787923,0,0,0,41.73430808
1635292800000,2021-10-27 00:00:00,DOT/USDT,44.99271514,45.74049675,40.02,40.36280306,1009588.45855857,24198.00606323,0,0,0,41.72196898
1635206400000,2021-10-26 00:00:00,DOT/USDT,44.58611776,45.99497627,43.40477794,44.87204976,640956.7852427,14392.00688193,0,0,0,44.53560858
1635120000000,2021-10-25 00:00:00,DOT/USDT,42.35607121,44.75731185,42.14437396,44.51988377,297660.36897342,6783.20145771,0,0,0,43.88198859
1635033600000,2021-10-24 00:00:00,DOT/USDT,43.93514633,44.15985036,41.36301946,42.31598561,396779.76782427,9322.39285557,0,0,0,42.56200891
