https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1699056000000,2023-11-04 00:00:00,LINK/USDT,11.4535,11.6248,11.1468,11.5029,4315999.52,380797.40365,1995088.5,176030.56233,62021,11.3345
1698969600000,2023-11-03 00:00:00,LINK/USDT,11.0063,11.5942,10.5395,11.4615,6248699.035,566204.72616,2903912.452,263225.48177,89458,11.0403
1698883200000,2023-11-02 00:00:00,LINK/USDT,11.6314,11.7374,10.8092,11.0066,6743955.053,603545.76916,3257526.646,291424.4896,99302,11.1777
1698796800000,2023-11-01 00:00:00,LINK/USDT,11.3496,11.7592,10.6898,11.6323,5346129.4,477807.47522,2685230.055,240001.26397,77165,11.1934
1698710400000,2023-10-31 00:00:00,LINK/USDT,11.2232,12,10.9471,11.3631,9500075.318,836662.9162,4770845.154,420102.96495,135315,11.3565
1698624000000,2023-10-30 00:00:00,LINK/USDT,11.0826,11.4807,11.0518,11.2212,1104934.201,98386.15851,550701.105,49038.49783,15697,11.2314
1698537600000,2023-10-29 00:00:00,LINK/USDT,10.9235,11.2811,10.7331,11.0798,1082893.628,98250.48622,540802.971,49056.18868,15247,11.023
1698451200000,2023-10-28 00:00:00,LINK/USDT,11.1828,11.6418,10.8293,10.9235,1414672.307,125971.94896,713120.382,63504.8738,20297,11.2334
1698364800000,2023-10-27 00:00:00,LINK/USDT,10.9233,11.4193,10.6219,11.182,1973406.515,179679.73869,1028955.567,93659.18064,26091,10.9851
1698278400000,2023-10-26 00:00:00,LINK/USDT,11.0491,11.3893,10.4,10.9233,2126599.432,195614.02058,1064157.133,97870.69846,28959,10.876
1698192000000,2023-10-25 00:00:00,LINK/USDT,10.3718,11.7,10.3416,11.0384,2165763.937,194542.89337,1078653.232,96889.49964,29752,11.1372
1698105600000,2023-10-24 00:00:00,LINK/USDT,10.5716,11.1175,9.7224,10.3843,2037642.604,198997.39382,1017876.836,99343.47326,29279,10.244
1698019200000,2023-10-23 00:00:00,LINK/USDT,10.1897,10.983,9.7935,10.5538,1816699.064,175628.04321,911982.837,88166.47333,25030,10.3503
1697932800000,2023-10-22 00:00:00,LINK/USDT,8.9193,10.2264,8.8407,10.1815,1358265.989,145111.97836,705758.383,75264.20427,18504,9.3666
1697846400000,2023-10-21 00:00:00,LINK/USDT,7.5699,9.1458,7.5163,8.9095,1316027.943,162155.35611,657934.499,81067.25133,18554,8.1542
1697760000000,2023-10-20 00:00:00,LINK/USDT,7.3034,7.7,7.2621,7.5703,1606924.245,212640.11564,791726.935,104766.99743,22655,7.5585
1697673600000,2023-10-19 00:00:00,LINK/USDT,7.3572,7.4287,7.2353,7.3025,1180427.644,160964.55121,602081.983,82098.74002,17566,7.3336
1697587200000,2023-10-18 00:00:00,LINK/USDT,7.3206,7.4768,7.2801,7.3568,1244279.791,168760.25847,624636.64,84705.48061,19083,7.3732
1697500800000,2023-10-17 00:00:00,LINK/USDT,7.5237,7.5614,7.2764,7.3214,1748785.037,235502.50341,863541.563,116253.1399,26234,7.4264
1697414400000,2023-10-16 00:00:00,LINK/USDT,7.4202,7.8298,7.4119,7.5243,1552970.934,206698.8596,762857.391,101538.74222,22106,7.5136
