https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ATOM
1667952000000,2022-11-09 00:00:00,ATOM/USD,12.229486,12.999999,10.05,10.78744,6041.427536091401,560.0427475
1667865600000,2022-11-08 00:00:00,ATOM/USD,14.289296,14.472822,11.800001,12.257689,24375.75781573676,1988.6095834
1667779200000,2022-11-07 00:00:00,ATOM/USD,14.493889,14.966576,14.0,14.33943,4043.737393643178,282.0012646
1667692800000,2022-11-06 00:00:00,ATOM/USD,15.422323,15.442242,14.507182,14.536448,5867.365699729846,403.63132037
1667606400000,2022-11-05 00:00:00,ATOM/USD,15.101766,15.815342,15.078013,15.4604,4335.3687545261155,280.41763179
1667520000000,2022-11-04 00:00:00,ATOM/USD,13.599999,15.237954,13.540805,15.172474,9689.643879826437,638.63308514
1667433600000,2022-11-03 00:00:00,ATOM/USD,13.334311,13.971783,13.334018,13.590549,3325.7222141436114,244.70845248
1667347200000,2022-11-02 00:00:00,ATOM/USD,14.101811,14.213699,13.100356,13.360219,4939.314926610245,369.70314084
1667260800000,2022-11-01 00:00:00,ATOM/USD,14.446462,14.570297,13.820701,14.083701,4621.181851501372,328.12268959
1667174400000,2022-10-31 00:00:00,ATOM/USD,14.11255,14.5,13.778348,14.063348,4393.597692588058,312.41477439
1667088000000,2022-10-30 00:00:00,ATOM/USD,13.596073,14.213456,13.428384,14.100716,3735.8838654676547,264.94284868
1667001600000,2022-10-29 00:00:00,ATOM/USD,13.690995,13.986,13.000013,13.576255,4717.909410614558,347.51184407
1666915200000,2022-10-28 00:00:00,ATOM/USD,12.894769,13.935418,12.871964,13.681202,3857.36106837013,281.946065
1666828800000,2022-10-27 00:00:00,ATOM/USD,12.488581,13.426932,12.488581,12.893962,3450.0973063407655,267.57464512
1666742400000,2022-10-26 00:00:00,ATOM/USD,12.193811,12.692174,11.700007,12.478095,2772.8297493503355,222.2157909
1666656000000,2022-10-25 00:00:00,ATOM/USD,12.059202,12.573912,11.600134,12.232766,2754.053198349992,225.13740542
1666569600000,2022-10-24 00:00:00,ATOM/USD,12.517166,12.692173,11.9,12.048826,3188.5501394686544,264.63575285
1666483200000,2022-10-23 00:00:00,ATOM/USD,12.090834,12.5474,11.766942,12.523641,3157.746936376199,252.14288212
1666396800000,2022-10-22 00:00:00,ATOM/USD,12.090509,12.259415,11.818753,12.101917,3253.8276635659117,268.86878034
1666310400000,2022-10-21 00:00:00,ATOM/USD,12.032635,12.95,11.2712,12.166036,3855.903087292127,316.9399702
1666224000000,2022-10-20 00:00:00,ATOM/USD,12.936689,13.158499,11.929,12.042231,4058.7385288066394,337.04207541
1666137600000,2022-10-19 00:00:00,ATOM/USD,13.805946,14.498572,12.9,12.985237,3265.5521125749774,251.48190307
1666051200000,2022-10-18 00:00:00,ATOM/USD,13.627911,14.47,13.316339,13.797199,4666.7735415206835,338.24064881
1665964800000,2022-10-17 00:00:00,ATOM/USD,13.489134,13.9,12.957601,13.522278,3298.9312702377433,243.96268663
1665878400000,2022-10-16 00:00:00,ATOM/USD,12.719466,13.488657,12.671668,13.328494,4174.63816587499,313.21154257
1665792000000,2022-10-15 00:00:00,ATOM/USD,12.768329,14.05,12.600001,12.722402,3016.8496080220175,237.12893273
1665705600000,2022-10-14 00:00:00,ATOM/USD,12.466708,15.411859,12.46039,12.791952,4941.264847612836,386.27918926
1665619200000,2022-10-13 00:00:00,ATOM/USD,13.98261,14.120601,12.500011,12.500011,7488.366351381591,599.06878093
1665532800000,2022-10-12 00:00:00,ATOM/USD,14.587664,14.659913,13.91628,14.033971,6478.13391212757,461.60376932
1665446400000,2022-10-11 00:00:00,ATOM/USD,14.75517,14.999999,14.537243,14.611071,5307.0872226811625,363.22369679
1665360000000,2022-10-10 00:00:00,ATOM/USD,15.41677,15.500804,14.733785,14.757615,8058.28986322531,546.04283031
1665273600000,2022-10-09 00:00:00,ATOM/USD,15.169213,15.494665,15.133865,15.494665,6991.7460498409355,451.23570273
1665187200000,2022-10-08 00:00:00,ATOM/USD,15.0,15.29598,14.985928,15.145941,7012.4877515515145,462.99452451
1665100800000,2022-10-07 00:00:00,ATOM/USD,14.58572,14.979252,14.474764,14.979252,5672.353014193292,378.6806587
1665014400000,2022-10-06 00:00:00,ATOM/USD,14.632564,15.165073,14.482484,14.6267,7226.71763412093,494.0771079
1664928000000,2022-10-05 00:00:00,ATOM/USD,14.532292,14.729382,14.233505,14.597542,7281.729745241383,498.83259423
1664841600000,2022-10-04 00:00:00,ATOM/USD,14.380871,14.843714,13.976348,14.549481,8694.827965247792,597.60399462
1664755200000,2022-10-03 00:00:00,ATOM/USD,13.429827,14.450635,13.4,14.395498,9108.139835433994,632.70751977
1664668800000,2022-10-02 00:00:00,ATOM/USD,14.183026,14.404356,13.425034,13.425034,6376.500750279781,474.97092002
1664582400000,2022-10-01 00:00:00,ATOM/USD,14.478039,14.590242,14.04577,14.164327,6026.690570310305,425.48372191
1664496000000,2022-09-30 00:00:00,ATOM/USD,14.14066,14.705185,14.021641,14.483563,7497.1548907099395,517.63194531
1664409600000,2022-09-29 00:00:00,ATOM/USD,14.48,14.59348,13.872431,14.212296,9786.999837797215,688.62904613
1664323200000,2022-09-28 00:00:00,ATOM/USD,14.985874,15.543476,14.118756,14.498235,5848.481611676481,403.39266205
1664236800000,2022-09-27 00:00:00,ATOM/USD,15.401071,16.323795,14.708681,15.047429,12513.752793247493,831.62065714
1664150400000,2022-09-26 00:00:00,ATOM/USD,15.468946,16.476857,15.333528,15.457436,11574.708571889001,748.81167691
1664064000000,2022-09-25 00:00:00,ATOM/USD,15.071587,16.4,15.053761,15.519249,12440.862146142212,801.64073314
1663977600000,2022-09-24 00:00:00,ATOM/USD,15.73681,15.73681,15.016758,15.071312,4633.951013389875,307.46832216
1663891200000,2022-09-23 00:00:00,ATOM/USD,16.233672,16.75,14.918447,15.725985,7607.922545951413,483.78035118
1663804800000,2022-09-22 00:00:00,ATOM/USD,14.953695,16.542337,14.875,16.215762,15920.360776798409,981.78308098
1663718400000,2022-09-21 00:00:00,ATOM/USD,15.463635,16.594214,14.5,15.060164,16219.208019110452,1076.96091617
1663632000000,2022-09-20 00:00:00,ATOM/USD,17.204977,17.419001,15.317955,15.377774,11598.409415028402,754.23201141
1663545600000,2022-09-19 00:00:00,ATOM/USD,16.451564,18.536667,16.030501,17.199414,10382.549109290449,603.65714258
1663459200000,2022-09-18 00:00:00,ATOM/USD,18.16687,18.16687,16.180233,16.254366,10967.500117433958,674.7417966
1663372800000,2022-09-17 00:00:00,ATOM/USD,18.319851,19.260392,17.4817,18.173469,80676.88459239507,4439.26718627
1663286400000,2022-09-16 00:00:00,ATOM/USD,16.522795,18.344991,16.166382,18.263021,15995.403214416836,875.83555943
1663200000000,2022-09-15 00:00:00,ATOM/USD,15.324046,17.041836,14.622107,16.457496,13907.832567872463,845.07585892
1663113600000,2022-09-14 00:00:00,ATOM/USD,15.1115,15.801919,14.755292,15.346321,7846.013768781768,511.26349884
