https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1696550400,2023-10-06,XRP/USD,0.52362,0.52867,0.51761,0.52615,76034.351767,40005.47418220705
1696464000,2023-10-05,XRP/USD,0.53235,0.53235,0.51646,0.5236,172288.47082,90210.24332135198
1696377600,2023-10-04,XRP/USD,0.53934,0.54157,0.52016,0.53236,384302.124843,204587.0791814195
1696291200,2023-10-03,XRP/USD,0.51263,0.54686,0.50609,0.53935,392354.426247,211616.35979631945
1696204800,2023-10-02,XRP/USD,0.52397,0.52561,0.51036,0.51272,173871.32809,89147.30733830479
1696118400,2023-10-01,XRP/USD,0.51544,0.52502,0.51544,0.52398,68501.755703,35893.54995325794
1696032000,2023-09-30,XRP/USD,0.52108,0.52108,0.5148,0.51532,70710.58804,36438.5802287728
1695945600,2023-09-29,XRP/USD,0.50889,0.54772,0.50663,0.52109,620690.846545,323435.7932261341
1695859200,2023-09-28,XRP/USD,0.49946,0.50918,0.49542,0.50912,96716.918673,49240.51763479776
1695772800,2023-09-27,XRP/USD,0.50121,0.50546,0.49739,0.49942,73384.259602,36649.56693043084
1695686400,2023-09-26,XRP/USD,0.50487,0.50658,0.49599,0.50111,105469.30123,52851.7215393653
1695600000,2023-09-25,XRP/USD,0.50249,0.50623,0.49165,0.50531,185903.152433,93938.72195591925
1695513600,2023-09-24,XRP/USD,0.50705,0.5108,0.50042,0.50241,93311.765627,46880.76416866107
1695427200,2023-09-23,XRP/USD,0.5124,0.51274,0.50623,0.50695,25227.689607,12789.177246268651
1695340800,2023-09-22,XRP/USD,0.50711,0.51652,0.50456,0.51228,103200.796303,52867.70393010083
1695254400,2023-09-21,XRP/USD,0.52101,0.52101,0.50083,0.50708,147251.092629,74668.08405031331
1695168000,2023-09-20,XRP/USD,0.51331,0.52471,0.50712,0.52102,269061.778044,140186.56759648488
1695081600,2023-09-19,XRP/USD,0.50303,0.51605,0.50102,0.51385,188682.116365,96954.30549415525
1694995200,2023-09-18,XRP/USD,0.49245,0.50707,0.48777,0.50281,167017.727752,83978.18369098312
1694908800,2023-09-17,XRP/USD,0.49913,0.49982,0.49076,0.49235,65493.820246,32245.8823981181
1694822400,2023-09-16,XRP/USD,0.50051,0.50248,0.4977,0.49922,48613.729197,24268.94588972634
1694736000,2023-09-15,XRP/USD,0.48947,0.50796,0.48843,0.5005,237317.265387,118777.29132619349
1694649600,2023-09-14,XRP/USD,0.48377,0.49326,0.48017,0.48969,101511.592383,49709.21167403127
1694563200,2023-09-13,XRP/USD,0.48067,0.48883,0.47222,0.48378,205265.391638,99303.29116663164
1694476800,2023-09-12,XRP/USD,0.47438,0.48599,0.47053,0.48068,206866.848257,99436.75662017477
1694390400,2023-09-11,XRP/USD,0.49729,0.4973,0.46391,0.47437,358651.20732,170133.3732163884
1694304000,2023-09-10,XRP/USD,0.50378,0.50378,0.49418,0.49739,89780.354149,44655.85035017111
1694217600,2023-09-09,XRP/USD,0.50436,0.50436,0.50183,0.5038,11611.089986,5849.667134946801
1694131200,2023-09-08,XRP/USD,0.50485,0.50653,0.49468,0.50445,73491.034139,37072.552171418545
1694044800,2023-09-07,XRP/USD,0.50302,0.50603,0.49686,0.50486,49330.740528,24905.11766296608
1693958400,2023-09-06,XRP/USD,0.50537,0.50537,0.49292,0.50307,79821.168134,40155.63505317138
1693872000,2023-09-05,XRP/USD,0.50803,0.50803,0.49978,0.50538,72172.574392,36474.575646228965
1693785600,2023-09-04,XRP/USD,0.50463,0.51255,0.49743,0.5078,132004.730667,67032.00223270261
1693699200,2023-09-03,XRP/USD,0.49878,0.51024,0.49792,0.50461,92025.928131,46437.203594183906
1693612800,2023-09-02,XRP/USD,0.49762,0.50175,0.49499,0.4988,62862.181423,31355.6560937924
1693526400,2023-09-01,XRP/USD,0.51082,0.51103,0.48859,0.49787,172187.791667,85727.1358372493
1693440000,2023-08-31,XRP/USD,0.52804,0.52804,0.50051,0.51081,194825.236193,99518.67889974632
1693353600,2023-08-30,XRP/USD,0.53983,0.53983,0.5227,0.52768,126192.894195,66589.4664088176
1693267200,2023-08-29,XRP/USD,0.52342,0.54827,0.5135,0.53984,338090.056516,182514.53610959745
1693180800,2023-08-28,XRP/USD,0.52327,0.52362,0.51213,0.52352,115142.324257,60279.309595024635
1693094400,2023-08-27,XRP/USD,0.52373,0.5301,0.52,0.52328,58736.462101,30735.615888211276
1693008000,2023-08-26,XRP/USD,0.52564,0.52708,0.51839,0.5239,94739.657832,49634.106738184804
1692921600,2023-08-25,XRP/USD,0.51867,0.53056,0.50913,0.52574,244698.568564,128647.82543683735
1692835200,2023-08-24,XRP/USD,0.52934,0.53088,0.5123,0.51867,124117.604882,64376.07812414694
1692748800,2023-08-23,XRP/USD,0.52062,0.53554,0.51637,0.52934,172899.392955,91522.5646667997
1692662400,2023-08-22,XRP/USD,0.52435,0.5249,0.50501,0.52051,289532.343911,150704.48032911462
1692576000,2023-08-21,XRP/USD,0.53895,0.53895,0.5,0.52424,399491.10127,209429.2149297848
1692489600,2023-08-20,XRP/USD,0.51998,0.55693,0.51676,0.53906,448688.672622,241870.1158636153
1692403200,2023-08-19,XRP/USD,0.50566,0.52324,0.50068,0.52008,272096.532228,141511.96448113825
1692316800,2023-08-18,XRP/USD,0.5071,0.52164,0.48504,0.50556,796995.104733,402928.8451488155
1692230400,2023-08-17,XRP/USD,0.58798,0.59332,0.45711,0.5073,1617560.733096,820588.5598996008
1692144000,2023-08-16,XRP/USD,0.60912,0.61505,0.57878,0.58789,271012.798875,159325.71433062374
1692057600,2023-08-15,XRP/USD,0.6346,0.6346,0.58501,0.60885,204102.973394,124268.0953509369
1691971200,2023-08-14,XRP/USD,0.62579,0.63545,0.62576,0.63502,42886.02353,27233.4826620206
1691884800,2023-08-13,XRP/USD,0.62711,0.6369,0.62486,0.6255,86859.596715,54330.6777452325
1691798400,2023-08-12,XRP/USD,0.63194,0.63194,0.62498,0.62678,20269.15883,12704.3033714674
1691712000,2023-08-11,XRP/USD,0.63202,0.63842,0.62754,0.63205,33877.239868,21412.109458569397
1691625600,2023-08-10,XRP/USD,0.64375,0.64375,0.62556,0.63199,82781.740442,52317.23214193958
1691539200,2023-08-09,XRP/USD,0.64212,0.66566,0.63257,0.64416,232827.532869,149978.183572895
1691452800,2023-08-08,XRP/USD,0.62141,0.64621,0.61508,0.64177,109318.546244,70157.36342301188
1691366400,2023-08-07,XRP/USD,0.6228,0.62796,0.6029,0.62129,172692.625967,107292.20158703743
1691280000,2023-08-06,XRP/USD,0.62779,0.63632,0.62314,0.62314,65058.177253,40540.35257343442
1691193600,2023-08-05,XRP/USD,0.63637,0.63637,0.61216,0.62807,101262.85037,63600.1584318859
1691107200,2023-08-04,XRP/USD,0.66468,0.66628,0.62851,0.63646,193945.07184,123438.2804232864
1691020800,2023-08-03,XRP/USD,0.6855,0.6868,0.65667,0.66519,190853.285329,126953.69686799751
1690934400,2023-08-02,XRP/USD,0.70663,0.70663,0.67815,0.68596,106317.848343,72929.79124936428
1690848000,2023-08-01,XRP/USD,0.69858,0.70631,0.68047,0.70631,255246.44838,180283.11895527778
1690761600,2023-07-31,XRP/USD,0.70457,0.72213,0.69098,0.69904,246996.96611,172660.7591895344
1690675200,2023-07-30,XRP/USD,0.722,0.7229,0.68832,0.70469,131592.376827,92731.83202621863
1690588800,2023-07-29,XRP/USD,0.7119,0.714,0.7094,0.7127,20574.252719,14663.2699128313
1690502400,2023-07-28,XRP/USD,0.70889,0.7125,0.705,0.71,34558.337369,24536.41953199
1690416000,2023-07-27,XRP/USD,0.7141,0.731,0.708,0.70889,25867.71215,18337.3624660135
1690329600,2023-07-26,XRP/USD,0.707,0.72105,0.69812,0.718,34645.775628,24875.666900904
1690243200,2023-07-25,XRP/USD,0.7013,0.71112,0.6791,0.71112,29433.579145,20930.8068015924
1690156800,2023-07-24,XRP/USD,0.73125,0.73125,0.685,0.70745,53742.587769,38020.19371717905
1690070400,2023-07-23,XRP/USD,0.727,0.748,0.71895,0.7429,42080.401709,31261.530429616098
1689984000,2023-07-22,XRP/USD,0.77,0.77568,0.72917,0.74435,53594.054876,39892.7347469506
1689897600,2023-07-21,XRP/USD,0.7979,0.7979,0.764,0.775,12068.979993,9353.459494575001
1689811200,2023-07-20,XRP/USD,0.83002,0.84974,0.774,0.7763,74406.971749,57762.1321687487
1689724800,2023-07-19,XRP/USD,0.785,0.847,0.76513,0.8202,263003.712094,215715.64465949882
1689638400,2023-07-18,XRP/USD,0.7392,0.7779,0.73489,0.7779,123775.983721,96285.3377365659
1689552000,2023-07-17,XRP/USD,0.751,0.76,0.7145,0.72,73576.204169,52974.86700168
1689465600,2023-07-16,XRP/USD,0.724,0.7831,0.705,0.753,89694.467423,67539.933969519
