https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1695340800000,2023-09-22 00:00:00,BTC/USD,26578.0,26736.8,26487.01,26581.05,221.9797538,5900454.93474549
1695254400000,2023-09-21 00:00:00,BTC/USD,27128.71,27146.59,26387.72,26578.0,302.66345598,8044189.3330364395
1695168000000,2023-09-20 00:00:00,BTC/USD,27213.04,27499.99,26814.28,27128.71,422.59079863,11464343.224701667
1695081600000,2023-09-19 00:00:00,BTC/USD,26767.44,27489.57,26680.28,27213.04,453.24579118,12334195.845212989
1694995200000,2023-09-18 00:00:00,BTC/USD,26535.26,27416.28,26394.6,26767.44,482.7224161,12921243.309611782
1694908800000,2023-09-17 00:00:00,BTC/USD,26558.6,26623.77,26421.26,26535.26,58.50889057,1552548.623586498
1694822400000,2023-09-16 00:00:00,BTC/USD,26605.46,26779.44,26463.68,26558.6,96.8983382,2573484.2049185196
1694736000000,2023-09-15 00:00:00,BTC/USD,26532.34,26885.23,26235.95,26605.46,414.62375615,11031255.75929858
1694649600000,2023-09-14 00:00:00,BTC/USD,26228.01,26850.0,26142.27,26532.34,413.9494829,10983048.423126986
1694563200000,2023-09-13 00:00:00,BTC/USD,25846.09,26406.79,25772.54,26228.01,436.88938162,11458739.070023175
1694476800000,2023-09-12 00:00:00,BTC/USD,25161.59,26536.51,25127.37,25846.09,630.0552173,16284463.851305356
1694390400000,2023-09-11 00:00:00,BTC/USD,25827.13,25889.64,24915.0,25161.59,432.99059318,10894731.779451957
1694304000000,2023-09-10 00:00:00,BTC/USD,25898.47,26017.17,25570.0,25827.13,174.04496523,4495081.94284069
1694217600000,2023-09-09 00:00:00,BTC/USD,25908.81,25931.82,25799.9,25898.47,107.90468142,2794566.1546154274
1694131200000,2023-09-08 00:00:00,BTC/USD,26248.67,26429.88,25647.26,25908.81,320.17692731,8295403.176058602
1694044800000,2023-09-07 00:00:00,BTC/USD,25752.41,26426.3,25615.96,26248.67,305.33607253,8014665.806936035
1693958400000,2023-09-06 00:00:00,BTC/USD,25782.7,26039.05,25373.57,25752.41,384.72137304,9907502.534289027
1693872000000,2023-09-05 00:00:00,BTC/USD,25813.54,25871.62,25563.71,25782.7,249.9558385,6444536.39729395
1693785600000,2023-09-04 00:00:00,BTC/USD,25965.54,26080.96,25627.48,25813.54,143.20972144,3696749.872780298
1693699200000,2023-09-03 00:00:00,BTC/USD,25864.1,26117.8,25804.27,25965.54,86.09067915,2235390.973096491
1693612800000,2023-09-02 00:00:00,BTC/USD,25798.11,25964.88,25750.01,25864.1,82.32245335,2129196.1656897347
1693526400000,2023-09-01 00:00:00,BTC/USD,25931.59,26130.65,25325.0,25798.11,601.16611659,15508949.604061645
1693440000000,2023-08-31 00:00:00,BTC/USD,27292.39,27549.29,25680.53,25931.59,500.19993676,12970979.67808625
1693353600000,2023-08-30 00:00:00,BTC/USD,27718.13,27762.81,27008.0,27292.39,448.31659967,12235631.481667511
1693267200000,2023-08-29 00:00:00,BTC/USD,26111.79,28127.34,25911.08,27718.13,1201.75940432,33310523.39766432
1693180800000,2023-08-28 00:00:00,BTC/USD,26094.1,26233.3,25865.23,26111.79,242.84545729,6341129.58321045
1693094400000,2023-08-27 00:00:00,BTC/USD,26006.3,26171.03,25958.18,26094.1,98.51993756,2570789.102684396
1693008000000,2023-08-26 00:00:00,BTC/USD,26054.63,26100.0,25986.62,26006.3,56.96846557,1481539.0061530909
1692921600000,2023-08-25 00:00:00,BTC/USD,26180.07,26277.42,25768.29,26054.63,281.27642951,7328553.298604132
1692835200000,2023-08-24 00:00:00,BTC/USD,26428.87,26568.83,25869.0,26180.07,300.55995501,7868680.661358651
1692748800000,2023-08-23 00:00:00,BTC/USD,26043.37,26800.0,25803.52,26428.87,714.91762547,18894464.984255318
1692662400000,2023-08-22 00:00:00,BTC/USD,26120.3,26140.65,25368.23,26043.37,303.61541069,7907168.478301625
1692576000000,2023-08-21 00:00:00,BTC/USD,26187.84,26237.78,25826.7,26120.3,348.49171438,9102708.127119914
1692489600000,2023-08-20 00:00:00,BTC/USD,26101.01,26288.0,25990.0,26187.84,70.48065802,1845736.195322477
1692403200000,2023-08-19 00:00:00,BTC/USD,26052.31,26264.13,25811.4,26101.01,121.76495704,3178188.3613506104
1692316800000,2023-08-18 00:00:00,BTC/USD,26638.33,26829.47,25647.26,26052.31,672.54361144,17521314.653754424
1692230400000,2023-08-17 00:00:00,BTC/USD,28700.99,28751.52,25150.0,26638.33,956.332847,25475109.968225513
1692144000000,2023-08-16 00:00:00,BTC/USD,29176.91,29226.31,28700.0,28700.99,327.42069873,9397298.200042743
1692057600000,2023-08-15 00:00:00,BTC/USD,29409.95,29457.9,29059.0,29176.91,238.12750102,6947824.665785449
1691971200000,2023-08-14 00:00:00,BTC/USD,29277.61,29650.0,29081.01,29409.95,334.12702807,9826659.189187296
1691884800000,2023-08-13 00:00:00,BTC/USD,29417.82,29442.95,29258.24,29277.61,51.3857578,1504452.1764228581
1691798400000,2023-08-12 00:00:00,BTC/USD,29405.78,29470.26,29367.51,29417.82,62.61392777,1841965.2566308612
1691712000000,2023-08-11 00:00:00,BTC/USD,29429.13,29537.36,29208.7,29405.78,290.02579819,8528434.815899538
1691625600000,2023-08-10 00:00:00,BTC/USD,29565.98,29707.84,29325.0,29429.13,268.89164003,7913247.030356075
1691539200000,2023-08-09 00:00:00,BTC/USD,29770.14,30117.08,29361.31,29565.98,285.63782355,8445162.17832283
1691452800000,2023-08-08 00:00:00,BTC/USD,29177.31,30187.0,29107.63,29770.14,585.94511837,17443668.206191473
1691366400000,2023-08-07 00:00:00,BTC/USD,29040.8,29245.24,28672.2,29177.31,370.03537344,10796636.801824646
1691280000000,2023-08-06 00:00:00,BTC/USD,29051.37,29163.87,28961.02,29040.8,130.10326851,3778303.0001452076
1691193600000,2023-08-05 00:00:00,BTC/USD,29083.9,29142.14,28959.52,29051.37,102.3645777,2973831.2216564487
1691107200000,2023-08-04 00:00:00,BTC/USD,29191.59,29300.0,28800.0,29083.9,261.15868743,7595513.1493453765
1691020800000,2023-08-03 00:00:00,BTC/USD,29160.85,29398.14,28941.56,29191.59,217.47882484,6348552.688411095
1690934400000,2023-08-02 00:00:00,BTC/USD,29710.8,30027.37,28921.66,29160.85,403.33854863,11761694.915817134
1690848000000,2023-08-01 00:00:00,BTC/USD,29231.36,29710.8,28575.0,29710.8,413.02042951,12271167.377085708
1690761600000,2023-07-31 00:00:00,BTC/USD,29279.53,29509.63,29120.85,29231.36,252.02826752,7367129.018053427
1690675200000,2023-07-30 00:00:00,BTC/USD,29360.35,29446.53,29050.0,29279.53,104.53356566,3060693.6717489394
1690588800000,2023-07-29 00:00:00,BTC/USD,29322.06,29404.45,29264.76,29360.35,58.46195389,1716463.4278942614
1690502400000,2023-07-28 00:00:00,BTC/USD,29222.89,29537.47,29129.95,29322.06,245.81886674,7207915.5596822845
1690416000000,2023-07-27 00:00:00,BTC/USD,29350.0,29573.0,29094.91,29222.89,159.54429269,4662345.315407674
1690329600000,2023-07-26 00:00:00,BTC/USD,29240.34,29696.67,29100.0,29350.0,242.10462185,7105770.6512975
1690243200000,2023-07-25 00:00:00,BTC/USD,29180.0,29370.0,29058.95,29240.34,230.49043745,6739618.757786733
1690156800000,2023-07-24 00:00:00,BTC/USD,30091.38,30104.0,28870.0,29180.0,431.68678441,12596620.3690838
1690070400000,2023-07-23 00:00:00,BTC/USD,29794.88,30343.0,29746.84,30091.38,146.67296522,4413591.932161804
1689984000000,2023-07-22 00:00:00,BTC/USD,29909.75,30002.18,29642.95,29794.88,101.60455187,3027295.4304204257
1689897600000,2023-07-21 00:00:00,BTC/USD,29808.88,30057.36,29751.13,29909.75,182.16422973,5448486.570166867
1689811200000,2023-07-20 00:00:00,BTC/USD,29918.87,30419.13,29588.0,29808.88,487.70044979,14537804.183736136
1689724800000,2023-07-19 00:00:00,BTC/USD,29869.79,30193.85,29777.83,29918.87,330.47743913,9887511.539263383
1689638400000,2023-07-18 00:00:00,BTC/USD,30146.57,30253.98,29548.77,29869.79,320.96229021,9587076.206491755
1689552000000,2023-07-17 00:00:00,BTC/USD,30242.46,30337.0,29655.3,30146.57,449.30458639,13544992.164927183
1689465600000,2023-07-16 00:00:00,BTC/USD,30314.16,30449.01,30100.0,30242.46,80.58045342,2436951.139336213
1689379200000,2023-07-15 00:00:00,BTC/USD,30336.28,30415.62,30270.64,30314.16,87.73074133,2659483.729596233
1689292800000,2023-07-14 00:00:00,BTC/USD,31476.8,31628.61,29949.95,30336.28,483.25461262,14660147.239731852
1689206400000,2023-07-13 00:00:00,BTC/USD,30385.01,31837.71,30269.0,31476.8,534.15876528,16813608.622965503
1689120000000,2023-07-12 00:00:00,BTC/USD,30620.56,30971.0,30225.0,30385.01,330.33081462,10037105.105536846
1689033600000,2023-07-11 00:00:00,BTC/USD,30425.19,30811.07,30304.8,30620.56,267.11262209,8179138.071464171
1688947200000,2023-07-10 00:00:00,BTC/USD,30171.36,31050.0,29962.77,30425.19,506.58927507,15413074.945967013
1688860800000,2023-07-09 00:00:00,BTC/USD,30291.66,30430.26,30073.62,30171.36,81.61453997,2462421.6666692593
1688774400000,2023-07-08 00:00:00,BTC/USD,30356.53,30389.0,30050.0,30291.66,97.4904274,2953146.880055484
1688688000000,2023-07-07 00:00:00,BTC/USD,29930.1,30459.1,29850.0,30356.53,426.00133086,12931922.180291515
1688601600000,2023-07-06 00:00:00,BTC/USD,30511.45,31506.62,29900.0,29930.1,740.17411381,22153485.24374468
1688515200000,2023-07-05 00:00:00,BTC/USD,30777.2,30878.0,30212.17,30511.45,447.71864821,13660545.148927005
1688428800000,2023-07-04 00:00:00,BTC/USD,31150.55,31330.03,30641.89,30777.2,256.03780507,7880126.734200404
1688342400000,2023-07-03 00:00:00,BTC/USD,30619.22,31396.86,30577.69,31150.55,394.81832952,12298808.114629237
1688256000000,2023-07-02 00:00:00,BTC/USD,30587.76,30800.0,30180.14,30619.22,162.72397167,4982481.087837498
1688169600000,2023-07-01 00:00:00,BTC/USD,30469.21,30659.43,30333.33,30587.76,184.65198526,5648090.608656418
1688083200000,2023-06-30 00:00:00,BTC/USD,30455.0,31250.0,29432.7,30469.21,903.61380844,27532398.88825813
