https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume OP,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1687910400000,2023-06-28 00:00:00,OP/USDT,1.3086,1.4999,1.1915,1.2221,40126.2678,31037.114,19700.331,15233.6583,4867,1.293
1687824000000,2023-06-27 00:00:00,OP/USDT,1.3217,1.3964,1.2852,1.3251,9976.8406,7466.4649,4877.2134,3647.9041,1248,1.3364
1687737600000,2023-06-26 00:00:00,OP/USDT,1.3437,1.4128,1.2485,1.3062,6679.0733,5024.3343,3404.0554,2551.9144,731,1.3298
1687651200000,2023-06-25 00:00:00,OP/USDT,1.3537,1.5145,1.3017,1.3508,21119.7191,15363.0725,10872.5464,7909.0214,2565,1.3756
1687564800000,2023-06-24 00:00:00,OP/USDT,1.4002,1.5085,1.2845,1.3536,35593.3013,25811.8231,17721.9599,12847.7284,4455,1.3794
1687478400000,2023-06-23 00:00:00,OP/USDT,1.4179,1.575,1.3676,1.4002,7947.5265,5618.9407,3870.9306,2732.4978,942,1.4149
1687392000000,2023-06-22 00:00:00,OP/USDT,1.4316,1.6819,1.2824,1.4252,5247.4851,3677.2295,2436.069,1701.9053,618,1.4288
1687305600000,2023-06-21 00:00:00,OP/USDT,1.3198,1.6189,1.2901,1.4467,8191.6971,5840.0129,4507.5355,3208.4945,1009,1.4038
1687219200000,2023-06-20 00:00:00,OP/USDT,1.1002,1.4031,1.1002,1.3201,13636.4099,11454.6796,6721.3708,5631.4414,1582,1.1929
1687132800000,2023-06-19 00:00:00,OP/USDT,1.1156,1.1561,1.0664,1.0893,5217.3811,4727.9252,2594.1324,2349.1546,639,1.1038
1687046400000,2023-06-18 00:00:00,OP/USDT,1.1446,1.2118,1.0696,1.0937,7796.4052,6982.1589,3942.955,3527.5693,976,1.1169
1686960000000,2023-06-17 00:00:00,OP/USDT,1.1181,1.25,1.0695,1.1431,7523.1168,6574.4455,3922.092,3428.8876,814,1.1445
1686873600000,2023-06-16 00:00:00,OP/USDT,1.1108,1.1718,1.0497,1.1148,9562.0844,8606.4372,4618.8517,4158.9133,1209,1.1112
1686787200000,2023-06-15 00:00:00,OP/USDT,1.0808,1.172,1.027,1.1184,6040.9431,5532.3189,3270.3578,2993.4612,696,1.0923
1686700800000,2023-06-14 00:00:00,OP/USDT,1.1527,1.1997,1.0483,1.07,9339.0789,8200.2471,4524.9875,3967.8264,1163,1.1394
