https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1702080000000,2023-12-09 00:00:00,DOGE/USDT,0.092244,0.097716,0.0921,0.094731,5693314.3763,60484884.609,2921486.17121,31038723.656,120164,0.094137
1701993600000,2023-12-08 00:00:00,DOGE/USDT,0.090263,0.092244,0.088657,0.092243,10611002.29079,117139607.192,5345229.14776,59009272.184,264328,0.090588
1701907200000,2023-12-07 00:00:00,DOGE/USDT,0.087461,0.090993,0.081621,0.090263,14194102.14011,159009662.374,7076527.34601,79278010.988,379246,0.089282
1701820800000,2023-12-06 00:00:00,DOGE/USDT,0.087385,0.0966,0.08266,0.087385,10845064.75505,119498826.167,5571669.32695,61421118.1,280463,0.090793
1701734400000,2023-12-05 00:00:00,DOGE/USDT,0.085,0.089679,0.082658,0.087405,13997587.31523,162548063.739,7012574.7481,81428755.531,338847,0.086138
1701648000000,2023-12-04 00:00:00,DOGE/USDT,0.082976,0.085,0.08,0.084998,12598197.24884,151252280.984,6294666.60873,75571719.819,329804,0.083297
1701561600000,2023-12-03 00:00:00,DOGE/USDT,0.083747,0.084,0.080986,0.082976,15557805.54226,188250134.309,8063258.72947,97557295.702,380944,0.082655
1701475200000,2023-12-02 00:00:00,DOGE/USDT,0.082368,0.0838,0.081808,0.083764,10167624.06601,122922120.704,5255444.98254,63533155.026,242113,0.082718
1701388800000,2023-12-01 00:00:00,DOGE/USDT,0.083139,0.083788,0.081347,0.082368,13628443.04889,165274498.637,6963511.86094,84444318.941,345230,0.082462
1701302400000,2023-11-30 00:00:00,DOGE/USDT,0.079264,0.08358,0.079064,0.083096,12559949.20667,155586325.833,6557838.59911,81253722.531,313534,0.080752
1701216000000,2023-11-29 00:00:00,DOGE/USDT,0.08,0.0802,0.078477,0.079291,13247624.42636,166440122.284,6951171.23439,87338636.573,333550,0.079596
1701129600000,2023-11-28 00:00:00,DOGE/USDT,0.0787,0.08,0.076632,0.08,18133040.47564,231480067.245,9355205.08525,119414052.678,458272,0.078348
1701043200000,2023-11-27 00:00:00,DOGE/USDT,0.078172,0.081276,0.076771,0.078704,16691416.34076,212548555.346,8905944.46671,113406946.92,439486,0.078543
1700956800000,2023-11-26 00:00:00,DOGE/USDT,0.078126,0.078614,0.075549,0.078171,12674711.86967,164126748.602,6695901.4251,86706334.377,322846,0.077228
1700870400000,2023-11-25 00:00:00,DOGE/USDT,0.077608,0.0784,0.076649,0.078118,16277900.60927,209753048.319,8676418.33434,111802075.512,430771,0.077606
1700784000000,2023-11-24 00:00:00,DOGE/USDT,0.075959,0.07776,0.075796,0.077598,13273466.2401,172804650.886,7073690.79463,92090951.092,332312,0.076813
1700697600000,2023-11-23 00:00:00,DOGE/USDT,0.075499,0.076194,0.074949,0.075948,17912573.35167,236499994.779,9613976.62547,126932168.339,464359,0.07574
1700611200000,2023-11-22 00:00:00,DOGE/USDT,0.0718,0.0761,0.071543,0.075512,18524871.55611,248423998.544,10062414.56627,134936805.048,482170,0.074576
1700524800000,2023-11-21 00:00:00,DOGE/USDT,0.077703,0.0786,0.070825,0.071779,18267453.27231,240204020.545,9909987.041,130280210.803,471738,0.07608
1700438400000,2023-11-20 00:00:00,DOGE/USDT,0.080392,0.082072,0.076941,0.077709,14815629.61358,185191889.574,8121269.32217,101516669.141,385209,0.080012
1700352000000,2023-11-19 00:00:00,DOGE/USDT,0.080273,0.080581,0.07761,0.080392,12196103.42232,154722147.268,6491735.14018,82361017.829,303927,0.078831
1700265600000,2023-11-18 00:00:00,DOGE/USDT,0.086355,0.086513,0.079281,0.080296,18775114.6259,226875205.547,10061268.62746,121579887.097,488540,0.082804
1700179200000,2023-11-17 00:00:00,DOGE/USDT,0.079453,0.087234,0.079065,0.086354,20241056.50126,244849136.768,10882345.62904,131644836.828,514164,0.0827
1700092800000,2023-11-16 00:00:00,DOGE/USDT,0.076213,0.082719,0.07594,0.079519,19300933.74795,246611288.991,10524445.61338,134462759.958,490988,0.078294
1700006400000,2023-11-15 00:00:00,DOGE/USDT,0.072427,0.076469,0.072263,0.076218,18457176.84317,249512468.859,9948280.33963,134473295.881,467732,0.073985
1699920000000,2023-11-14 00:00:00,DOGE/USDT,0.074463,0.075405,0.070233,0.072421,18384693.6449,248871649.808,9863880.6916,133404114.718,443966,0.073893
1699833600000,2023-11-13 00:00:00,DOGE/USDT,0.077859,0.079,0.073658,0.074491,11618025.93154,150142575.872,6139720.9519,79333953.924,304239,0.077389
1699747200000,2023-11-12 00:00:00,DOGE/USDT,0.078239,0.079871,0.075464,0.077856,18151538.43706,232340866.066,9313088.38827,119189362.189,474943,0.078131
1699660800000,2023-11-11 00:00:00,DOGE/USDT,0.075385,0.081255,0.074686,0.078279,18832431.52092,239549757.972,9452517.69815,120182433.571,469508,0.078654
