https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USD
1698710400,2023-10-31,XLM/USD,0.11931,0.11931,0.1193,0.1193,7654.6355465,913.19802069745
1698624000,2023-10-30,XLM/USD,0.118,0.1186,0.118,0.1186,2350.2281615,278.73705995390003
1698451200,2023-10-28,XLM/USD,0.11403,0.11403,0.11403,0.11403,930.0,106.04790000000001
1698364800,2023-10-27,XLM/USD,0.113,0.113,0.111,0.111,945.0,104.895
1698278400,2023-10-26,XLM/USD,0.11101,0.11101,0.111,0.111,14016.821637,1555.8672017069998
1698192000,2023-10-25,XLM/USD,0.11431,0.11431,0.11344,0.11344,6551.0,743.14544
1698105600,2023-10-24,XLM/USD,0.11278,0.11278,0.1125,0.1125,2564.8497628,288.545598315
1698019200,2023-10-23,XLM/USD,0.1122,0.1122,0.1122,0.1122,3074.4819883,344.95687908726
1696982400,2023-10-11,XLM/USD,0.10346,0.10346,0.1024,0.1024,10662.308,1091.8203392
1696809600,2023-10-09,XLM/USD,0.11,0.11,0.10547,0.1058,8447.7375427,893.7706320176601
1696550400,2023-10-06,XLM/USD,0.11,0.11,0.11,0.11,2120.0,233.2
1696464000,2023-10-05,XLM/USD,0.1107,0.1107,0.1107,0.1107,180.0,19.926000000000002
1696291200,2023-10-03,XLM/USD,0.11299,0.116,0.11299,0.116,17962.3274582,2083.6299851512003
1696118400,2023-10-01,XLM/USD,0.11344,0.11344,0.11344,0.11344,2111.86,239.5693984
1695945600,2023-09-29,XLM/USD,0.115,0.1164,0.113,0.113,1371.5938798,154.9901084174
1695772800,2023-09-27,XLM/USD,0.1117,0.1117,0.1117,0.1117,8930.2259123,997.50623440391
1695168000,2023-09-20,XLM/USD,0.1174,0.1174,0.11001,0.11001,2559.9454026,281.61959374002595
1694822400,2023-09-16,XLM/USD,0.1207,0.1207,0.119,0.119,1485.0,176.715
1694736000,2023-09-15,XLM/USD,0.11916,0.11916,0.11916,0.11916,740.0,88.1784
1694649600,2023-09-14,XLM/USD,0.12,0.12,0.1195,0.1195,3066.3497059,366.42878985505
1694476800,2023-09-12,XLM/USD,0.12364,0.12364,0.12364,0.12364,332.5271615,41.113658247859995
1694390400,2023-09-11,XLM/USD,0.1261,0.1273,0.126,0.1273,22420.9665967,2854.18904775991
1694304000,2023-09-10,XLM/USD,0.129,0.132,0.129,0.132,2116.6666664,279.39999996480003
1694217600,2023-09-09,XLM/USD,0.13057,0.13057,0.1301,0.1301,3096.923,402.90968229999993
1694131200,2023-09-08,XLM/USD,0.12504,0.127,0.1225,0.1225,13200.8998723,1617.11023435675
