https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume GALA,Volume USDT,tradecount
1680307200000,2023-04-01,GALAUSDT,0.04139,0.04194,0.04027,0.04147,533834235.0,21973519.13482,60729
1680220800000,2023-03-31,GALAUSDT,0.04075,0.04188,0.03935,0.0414,768128758.0,31332342.76655,83466
1680134400000,2023-03-30,GALAUSDT,0.04193,0.04283,0.03967,0.04076,1202614077.0,49431836.6204,129247
1680048000000,2023-03-29,GALAUSDT,0.03893,0.04218,0.03882,0.04192,1223677827.0,49908713.41178,125218
1679961600000,2023-03-28,GALAUSDT,0.0375,0.03948,0.03712,0.03893,888426026.0,34020026.75888,92334
1679875200000,2023-03-27,GALAUSDT,0.0399,0.0403,0.03603,0.0375,1105943172.0,42117672.53646,109508
1679788800000,2023-03-26,GALAUSDT,0.03826,0.04073,0.03785,0.03991,644238913.0,25504585.83192,72884
1679702400000,2023-03-25,GALAUSDT,0.03965,0.04012,0.03784,0.03826,686692866.0,26823482.07925,79317
1679616000000,2023-03-24,GALAUSDT,0.04238,0.04246,0.03887,0.03965,946850819.0,38401333.71902,108986
1679529600000,2023-03-23,GALAUSDT,0.04051,0.04353,0.0397,0.04237,1179430540.0,49031886.44811,145025
1679443200000,2023-03-22,GALAUSDT,0.04341,0.04481,0.03916,0.04051,2224813041.0,93997937.4041,275396
1679356800000,2023-03-21,GALAUSDT,0.04298,0.0447,0.04033,0.04341,1631484779.0,69346789.65568,229166
1679270400000,2023-03-20,GALAUSDT,0.04633,0.048,0.04247,0.04297,1556335658.0,70213667.11169,233844
1679184000000,2023-03-19,GALAUSDT,0.04584,0.04935,0.0458,0.04633,1517981658.0,72193432.39922,223300
1679097600000,2023-03-18,GALAUSDT,0.04404,0.051,0.04301,0.04585,2630229911.0,125353862.65605,422641
1679011200000,2023-03-17,GALAUSDT,0.03987,0.04426,0.03898,0.04404,1449589163.0,60250595.99199,185874
1678924800000,2023-03-16,GALAUSDT,0.03797,0.04065,0.03704,0.03987,1573879108.0,61306613.84035,172135
1678838400000,2023-03-15,GALAUSDT,0.04289,0.04515,0.03597,0.03797,2020534100.0,81771680.70155,268273
1678752000000,2023-03-14,GALAUSDT,0.0379,0.04419,0.03652,0.0429,2103718552.0,85961969.22575,268110
1678665600000,2023-03-13,GALAUSDT,0.03504,0.03848,0.03408,0.0379,1691604214.0,61532036.36749,216997
1678579200000,2023-03-12,GALAUSDT,0.03127,0.03507,0.0303,0.03505,897488719.0,28537111.83961,111278
1678492800000,2023-03-11,GALAUSDT,0.03278,0.034,0.02993,0.03129,793778599.0,25031861.8088,100319
1678406400000,2023-03-10,GALAUSDT,0.0323,0.03356,0.03014,0.03278,1056938108.0,33906442.07231,129210
1678320000000,2023-03-09,GALAUSDT,0.0337,0.0367,0.03089,0.0323,1029797897.0,34444717.16429,113164
1678233600000,2023-03-08,GALAUSDT,0.03701,0.03736,0.033,0.0337,875380333.0,30842124.76665,114462
1678147200000,2023-03-07,GALAUSDT,0.03889,0.03999,0.03622,0.03701,925054293.0,35060524.23495,121234
1678060800000,2023-03-06,GALAUSDT,0.03623,0.03999,0.03579,0.0389,1120857320.0,42897153.38153,136350
1677974400000,2023-03-05,GALAUSDT,0.03504,0.03769,0.03488,0.03625,637952888.0,23190860.01369,70021
1677888000000,2023-03-04,GALAUSDT,0.03748,0.03786,0.034,0.03504,518128027.0,18621845.83698,57666
1677801600000,2023-03-03,GALAUSDT,0.04002,0.04006,0.035,0.03748,801322759.0,29715975.35632,99603
1677715200000,2023-03-02,GALAUSDT,0.04159,0.04189,0.03904,0.04002,470239032.0,18865994.95509,56913
1677628800000,2023-03-01,GALAUSDT,0.03954,0.04216,0.03923,0.04162,627985268.0,25752334.51116,76545
1677542400000,2023-02-28,GALAUSDT,0.0407,0.04115,0.0388,0.03953,543150737.0,21785584.24806,68637
1677456000000,2023-02-27,GALAUSDT,0.04117,0.04276,0.03952,0.0407,566131650.0,23058332.33664,74257
1677369600000,2023-02-26,GALAUSDT,0.04036,0.04174,0.03977,0.04117,430301815.0,17506433.71996,55441
1677283200000,2023-02-25,GALAUSDT,0.04126,0.04152,0.03801,0.04037,685456808.0,27494994.25554,95888
1677196800000,2023-02-24,GALAUSDT,0.04415,0.04437,0.04013,0.04126,849114113.0,35804369.66355,112311
1677110400000,2023-02-23,GALAUSDT,0.04524,0.04622,0.04343,0.04415,674079004.0,30256301.73336,85131
1677024000000,2023-02-22,GALAUSDT,0.04616,0.04643,0.04321,0.04523,840901429.0,37349066.07416,104389
1676937600000,2023-02-21,GALAUSDT,0.04822,0.0488,0.04526,0.04616,1015806764.0,47785545.11072,121505
1676851200000,2023-02-20,GALAUSDT,0.04716,0.04928,0.0462,0.04821,1283143563.0,61773489.12905,157849
1676764800000,2023-02-19,GALAUSDT,0.04765,0.04939,0.04616,0.04716,870602532.0,41621080.01012,113435
1676678400000,2023-02-18,GALAUSDT,0.0479,0.04863,0.04702,0.04764,512360119.0,24525552.82701,67256
1676592000000,2023-02-17,GALAUSDT,0.04581,0.0494,0.0455,0.04791,992509213.0,47284704.13252,133216
1676505600000,2023-02-16,GALAUSDT,0.04943,0.053,0.04559,0.04582,2024886792.0,101000039.82783,249832
1676419200000,2023-02-15,GALAUSDT,0.04418,0.04979,0.04296,0.04943,1315764539.0,60699863.72491,161911
1676332800000,2023-02-14,GALAUSDT,0.04212,0.04439,0.041,0.04418,829214910.0,35622603.61088,115162
1676246400000,2023-02-13,GALAUSDT,0.04363,0.04412,0.0404,0.0421,783922623.0,32917038.89639,124434
1676160000000,2023-02-12,GALAUSDT,0.04548,0.04603,0.04278,0.04361,487676533.0,21887366.36051,76540
1676073600000,2023-02-11,GALAUSDT,0.04428,0.04589,0.04308,0.04549,599571205.0,26726116.08589,89328
1675987200000,2023-02-10,GALAUSDT,0.04451,0.04498,0.04286,0.0443,788077997.0,34682418.71473,128870
1675900800000,2023-02-09,GALAUSDT,0.05215,0.05258,0.04232,0.0445,1161619417.0,55285069.18588,196158
1675814400000,2023-02-08,GALAUSDT,0.05553,0.05725,0.05071,0.05212,1050684977.0,56634003.25934,151394
1675728000000,2023-02-07,GALAUSDT,0.05188,0.05618,0.0512,0.05554,1106261776.0,58916580.97232,155067
1675641600000,2023-02-06,GALAUSDT,0.05402,0.05469,0.05106,0.05188,729331967.0,38558355.41805,122205
1675555200000,2023-02-05,GALAUSDT,0.05564,0.05834,0.0523,0.05403,1499476852.0,82630175.74291,210211
1675468800000,2023-02-04,GALAUSDT,0.05606,0.05742,0.05454,0.05564,804503351.0,44914777.58892,113755
1675382400000,2023-02-03,GALAUSDT,0.05409,0.05772,0.05321,0.05607,1250104687.0,69147306.67632,171817
1675296000000,2023-02-02,GALAUSDT,0.05682,0.0584,0.0535,0.05408,1127152708.0,63415454.48725,173181
1675209600000,2023-02-01,GALAUSDT,0.05418,0.05865,0.05035,0.05683,1359532108.0,73578876.01589,209846
1675123200000,2023-01-31,GALAUSDT,0.05381,0.05565,0.05254,0.05417,884644440.0,47720931.63062,134407
1675036800000,2023-01-30,GALAUSDT,0.05911,0.05954,0.0514,0.05379,1516273751.0,84565076.50078,221915
1674950400000,2023-01-29,GALAUSDT,0.05702,0.06058,0.0546,0.05911,1912744901.0,111879867.56052,255104
1674864000000,2023-01-28,GALAUSDT,0.05298,0.06293,0.05281,0.05703,3700997739.0,214668294.85088,530567
1674777600000,2023-01-27,GALAUSDT,0.04872,0.0544,0.04688,0.05299,1507135941.0,76326048.93111,207067
1674691200000,2023-01-26,GALAUSDT,0.04952,0.05171,0.048,0.04874,1055215547.0,52455301.61795,152875
1674604800000,2023-01-25,GALAUSDT,0.0477,0.05097,0.0459,0.04951,1178976114.0,56881113.09259,170297
1674518400000,2023-01-24,GALAUSDT,0.05294,0.05421,0.04687,0.0477,1363728451.0,69325575.63001,183646
1674432000000,2023-01-23,GALAUSDT,0.04878,0.05695,0.04863,0.05295,3215636584.0,168147173.82576,402206
1674345600000,2023-01-22,GALAUSDT,0.04691,0.05095,0.04666,0.04878,1457234129.0,71387139.13578,183208
1674259200000,2023-01-21,GALAUSDT,0.049,0.05306,0.04605,0.04689,1840839302.0,91094158.99946,232049
1674172800000,2023-01-20,GALAUSDT,0.04559,0.05,0.04401,0.04901,1602049791.0,75029455.48911,197034
1674086400000,2023-01-19,GALAUSDT,0.04458,0.04669,0.04328,0.04559,1054923908.0,47555887.07282,156646
1674000000000,2023-01-18,GALAUSDT,0.04963,0.05184,0.04271,0.0446,2456465208.0,117425932.50092,321089
1673913600000,2023-01-17,GALAUSDT,0.04672,0.05556,0.04526,0.04964,2885349467.0,149068520.01051,363741
1673827200000,2023-01-16,GALAUSDT,0.04889,0.05026,0.0448,0.04672,1678619838.0,80249947.37671,226043
1673740800000,2023-01-15,GALAUSDT,0.04974,0.05095,0.04524,0.04889,2476383415.0,118853020.96594,289661
1673654400000,2023-01-14,GALAUSDT,0.05064,0.05573,0.047,0.04977,4654500233.0,233045649.0057,520465
1673568000000,2023-01-13,GALAUSDT,0.04043,0.05305,0.03839,0.05062,4790468658.0,218588129.03698,531843
1673481600000,2023-01-12,GALAUSDT,0.03832,0.04521,0.03807,0.04042,3867782845.0,160143298.35901,447785
1673395200000,2023-01-11,GALAUSDT,0.0416,0.04238,0.03609,0.03831,3270381605.0,126064251.25899,333072
1673308800000,2023-01-10,GALAUSDT,0.0405,0.04674,0.04002,0.04161,4334867878.0,185519073.62486,509194
1673222400000,2023-01-09,GALAUSDT,0.03442,0.0508,0.03144,0.0405,8628695377.0,353053504.89123,927474
1673136000000,2023-01-08,GALAUSDT,0.02332,0.04075,0.02309,0.03443,4454307769.0,136999916.34608,431266
1673049600000,2023-01-07,GALAUSDT,0.02344,0.02539,0.02306,0.02333,2034490788.0,49000917.7564,196267
1672963200000,2023-01-06,GALAUSDT,0.01806,0.0252,0.01801,0.02344,2446531705.0,51572409.44643,197889
1672876800000,2023-01-05,GALAUSDT,0.01792,0.01859,0.01768,0.01806,490811584.0,8909334.71697,36272
1672790400000,2023-01-04,GALAUSDT,0.01759,0.01861,0.01752,0.01791,382259006.0,6882530.85958,30152
