https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1693958400000,2023-09-06 00:00:00,AVAX/USDT,9.917,10.055,9.787,9.945,1997881.06,201407.098225,1003727.52,101182.367374,30025,9.919
1693872000000,2023-09-05 00:00:00,AVAX/USDT,9.811,9.963,9.669,9.919,2201336.22,223822.392348,1111557.04,113018.707009,32743,9.835
1693785600000,2023-09-04 00:00:00,AVAX/USDT,9.869,10.043,9.688,9.811,4717890.26,477130.550757,2375516.43,240239.538484,66568,9.888
1693699200000,2023-09-03 00:00:00,AVAX/USDT,9.91,9.991,9.821,9.87,8597516.18,867984.467912,4203249.05,424341.245386,120550,9.905
1693612800000,2023-09-02 00:00:00,AVAX/USDT,9.928,9.968,9.758,9.907,8177872.08,827844.672888,4118527.53,416928.134757,113928,9.878
1693526400000,2023-09-01 00:00:00,AVAX/USDT,9.985,10.064,9.76,9.927,8149654.68,818012.161865,3862670.57,387749.278542,113295,9.963
1693440000000,2023-08-31 00:00:00,AVAX/USDT,10.404,11.224,9.832,9.982,8793304.25,858233.81223,3970569.11,387421.778734,122181,10.248
1693353600000,2023-08-30 00:00:00,AVAX/USDT,10.814,10.827,10.332,10.403,9892196.3,941578.81255,4911898.67,467452.001829,136884,10.507
1693267200000,2023-08-29 00:00:00,AVAX/USDT,10.373,11.184,10.331,10.814,5549077.78,523472.1956,2924609.85,275764.993812,78165,10.604
1693180800000,2023-08-28 00:00:00,AVAX/USDT,10.205,10.44,9.919,10.375,6415562.22,630893.776923,3136161.95,308271.774805,90090,10.171
1693094400000,2023-08-27 00:00:00,AVAX/USDT,10.096,10.274,10.068,10.205,7236069.88,711397.411257,3770378.28,370692.600751,120739,10.171
1693008000000,2023-08-26 00:00:00,AVAX/USDT,10.047,10.132,10.01,10.1,4678466.49,465511.069882,2540044.7,252740.609378,119319,10.05
1692921600000,2023-08-25 00:00:00,AVAX/USDT,10.122,10.132,9.893,10.052,4875419.18,486612.062177,2289584.5,228521.890956,123832,10.019
1692835200000,2023-08-24 00:00:00,AVAX/USDT,10.343,10.366,9.983,10.126,4941733.58,483637.30633,2463005.75,241046.544575,126523,10.218
1692748800000,2023-08-23 00:00:00,AVAX/USDT,10.143,10.472,10.049,10.343,4978997.31,486594.159805,2481267.45,242494.343417,127569,10.233
1692662400000,2023-08-22 00:00:00,AVAX/USDT,10.349,10.375,9.741,10.143,4945108.8,487345.765238,2471310.12,243557.235337,127420,10.149
1692576000000,2023-08-21 00:00:00,AVAX/USDT,10.864,10.878,10.174,10.348,4897414.77,463873.877572,2453276.43,232364.646751,125170,10.561
1692489600000,2023-08-20 00:00:00,AVAX/USDT,10.81,10.922,10.73,10.868,4973150.5,459111.779546,2491125.51,229975.995328,127464,10.832
1692403200000,2023-08-19 00:00:00,AVAX/USDT,10.798,10.892,10.556,10.809,4880697.78,454070.286889,2458812.25,228752.014962,126127,10.749
1692316800000,2023-08-18 00:00:00,AVAX/USDT,10.576,10.994,10.532,10.808,4400256.85,408170.76382,2211725.66,205155.693623,121979,10.781
1692230400000,2023-08-17 00:00:00,AVAX/USDT,11.375,11.505,10.014,10.584,4324225.08,383788.175001,2166360.04,192240.345141,115351,11.274
1692144000000,2023-08-16 00:00:00,AVAX/USDT,11.823,11.862,11.069,11.375,3386704.41,292079.383386,1698015.8,146441.760353,88705,11.597
1692057600000,2023-08-15 00:00:00,AVAX/USDT,12.37,12.602,11.508,11.821,3552535.64,291175.035349,1790543.88,146745.082534,91764,12.204
1691971200000,2023-08-14 00:00:00,AVAX/USDT,12.261,12.457,12.168,12.37,5324779.07,431831.443512,2666500.31,216245.528922,143711,12.33
1691884800000,2023-08-13 00:00:00,AVAX/USDT,12.397,12.425,12.207,12.27,7928149.26,642422.597512,3969453.58,321645.329643,212656,12.341
1691798400000,2023-08-12 00:00:00,AVAX/USDT,12.454,12.495,12.355,12.397,7494712.09,602222.48278,3748825.95,301228.92648,201560,12.445
1691712000000,2023-08-11 00:00:00,AVAX/USDT,12.477,12.541,12.352,12.454,7495547.51,601878.752621,3765506.68,302363.52086,204662,12.453
1691625600000,2023-08-10 00:00:00,AVAX/USDT,12.616,12.655,12.46,12.483,7710498.56,615197.446576,3873595.78,309064.188951,209832,12.533
1691539200000,2023-08-09 00:00:00,AVAX/USDT,12.686,12.795,12.501,12.621,7519179.83,594691.521736,3754628.62,296951.082396,206196,12.644
