https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ATOM,Volume USDT,tradecount
1626566400000,2021-07-18,ATOMUSDT,11.02,11.557,10.737,10.972,2459958.639,27407174.228375,58938
1626480000000,2021-07-17,ATOMUSDT,11.149,11.508,10.713,11.022,4463621.218,49496771.984384,95958
1626393600000,2021-07-16,ATOMUSDT,11.468,13.19,10.976,11.149,7049125.757,85246288.769615,196243
1626307200000,2021-07-15,ATOMUSDT,11.749,12.065,10.653,11.474,2879500.503,32360266.785174,75480
1626220800000,2021-07-14,ATOMUSDT,12.087,12.231,11.019,11.747,3729554.939,43454788.356032,90878
1626134400000,2021-07-13,ATOMUSDT,12.982,13.729,11.807,12.092,3131096.246,40001709.249405,86305
1626048000000,2021-07-12,ATOMUSDT,14.078,14.129,12.752,12.981,2138171.787,28804061.034712,65475
1625961600000,2021-07-11,ATOMUSDT,14.429,14.8,13.871,14.077,2766943.338,39796684.776599,96694
1625875200000,2021-07-10,ATOMUSDT,13.183,14.541,12.958,14.425,3111063.546,42375642.830668,111882
1625788800000,2021-07-09,ATOMUSDT,11.92,13.699,11.411,13.181,4075187.053,51903229.500542,122084
1625702400000,2021-07-08,ATOMUSDT,12.945,12.974,11.661,11.916,2076085.477,25246723.73556,62350
1625616000000,2021-07-07,ATOMUSDT,13.143,13.51,12.82,12.939,1637466.77,21632263.220524,57513
1625529600000,2021-07-06,ATOMUSDT,13.541,14.049,12.812,13.136,2631196.476,35106475.372554,84076
1625443200000,2021-07-05,ATOMUSDT,12.312,13.966,11.927,13.531,5547395.975,72157032.969167,167853
1625356800000,2021-07-04,ATOMUSDT,11.804,12.452,11.515,12.307,1476353.215,17997394.06201,48496
1625270400000,2021-07-03,ATOMUSDT,11.795,12.2,11.526,11.8,1803444.076,21395816.145142,55839
1625184000000,2021-07-02,ATOMUSDT,11.036,11.81,10.522,11.795,2147051.238,23851097.252995,61733
1625097600000,2021-07-01,ATOMUSDT,12.045,12.078,10.713,11.033,1862697.849,20969951.4044,52006
1625011200000,2021-06-30,ATOMUSDT,11.638,12.052,11.034,12.045,2470921.749,28639567.738617,68252
1624924800000,2021-06-29,ATOMUSDT,10.899,12.875,10.825,11.65,4117510.115,48770697.588535,131360
1624838400000,2021-06-28,ATOMUSDT,10.08,10.9,9.917,10.89,1884182.909,19356791.397355,55010
1624752000000,2021-06-27,ATOMUSDT,9.59,10.087,9.417,10.087,2119873.714,20552438.841514,59971
1624665600000,2021-06-26,ATOMUSDT,9.066,9.6,8.647,9.596,2216941.42,20089078.098643,58739
1624579200000,2021-06-25,ATOMUSDT,10.386,10.703,8.85,9.066,3817236.091,36933298.158757,94983
1624492800000,2021-06-24,ATOMUSDT,9.605,10.713,9.01,10.386,2896156.006,28566288.466027,73211
1624406400000,2021-06-23,ATOMUSDT,8.992,10.489,8.565,9.613,3272473.739,31988385.93774,92953
1624320000000,2021-06-22,ATOMUSDT,9.517,10.57,7.83,9.002,6291115.057,57254466.297942,150413
1624233600000,2021-06-21,ATOMUSDT,11.983,12.109,9.473,9.519,4060092.917,42846562.361241,114103
