https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1676332800000,2023-02-14 00:00:00,UNI/USDT,6.24,6.5593,6.2182,6.5571,36791.541,5799.13425,18745.985,2953.86073,11393,6.3455
1676246400000,2023-02-13 00:00:00,UNI/USDT,6.3794,6.402,6.1468,6.2579,39719.504,6338.26933,19501.579,3111.61972,11847,6.2673
1676160000000,2023-02-12 00:00:00,UNI/USDT,6.5192,6.5612,6.3423,6.38,43421.943,6671.67963,21534.887,3308.31156,13527,6.5087
1676073600000,2023-02-11 00:00:00,UNI/USDT,6.3465,6.6531,6.3246,6.528,56473.031536341,8800.9969,28506.561604171,4440.58734,17710,6.41694036112524641
1675987200000,2023-02-10 00:00:00,UNI/USDT,6.3414,6.5784,6.2496,6.3458,52189.026780677,8193.19116,26444.053032096,4150.66113,16673,6.370127799619798486
1675900800000,2023-02-09 00:00:00,UNI/USDT,6.7917,6.8684,6.2159,6.3415,54623.222343812,8249.72633,26901.577266359,4063.40433,17529,6.623833102405603983
1675814400000,2023-02-08 00:00:00,UNI/USDT,6.9804,7.0583,6.63,6.7896,52391.319501783,7628.1824,26083.091269679,3797.98632,17070,6.870071212658621243
1675728000000,2023-02-07 00:00:00,UNI/USDT,6.6699,7.0183,6.6627,6.9723,53899.98600592,7918.53655,27046.304693368,3973.77793,16468,6.807734147990717574
1675641600000,2023-02-06 00:00:00,UNI/USDT,6.8734,6.9831,6.6508,6.6542,58945.161397931,8627.19981,28851.653605798,4222.26057,16432,6.832785633131679096
1675555200000,2023-02-05 00:00:00,UNI/USDT,7.2081,7.3059,6.7457,6.8824,47550.000466132,6723.25314,23552.570490524,3329.2453,14589,7.076491078334147572
1675468800000,2023-02-04 00:00:00,UNI/USDT,7.0569,7.33,7.0047,7.2082,48842.270581416,6792.73962,24666.33960896,3431.24257,15644,7.191395159574278638
1675382400000,2023-02-03 00:00:00,UNI/USDT,7.1192,7.2778,6.9631,7.0794,49866.982659828,7018.70695,24839.734960082,3495.54166,15214,7.105536326262585751
1675296000000,2023-02-02 00:00:00,UNI/USDT,6.8067,7.5068,6.7844,7.119,38476.708260785,5420.132,18557.54061056,2615.3328,12193,7.102659750476189124
1675209600000,2023-02-01 00:00:00,UNI/USDT,6.5447,6.8548,6.3168,6.8066,47461.156907613,7252.92243,23278.523794568,3558.7269,14165,6.545918792586602853
1675123200000,2023-01-31 00:00:00,UNI/USDT,6.4863,6.6367,6.4096,6.5531,44885.239573266,6875.22688,23109.69495195,3539.20465,14700,6.528853079090752843
1675036800000,2023-01-30 00:00:00,UNI/USDT,6.911,6.9973,6.3692,6.4855,56949.999765478,8535.62037,27863.349402264,4174.18699,17127,6.67650871929307295
1674950400000,2023-01-29 00:00:00,UNI/USDT,6.6179,6.9708,6.5428,6.9109,59711.864497487,8731.77953,29557.65496265,4321.7546,18159,6.839652843154429584
1674864000000,2023-01-28 00:00:00,UNI/USDT,6.8604,6.8995,6.5516,6.6179,63091.568641796,9373.55011,31573.743983244,4690.77748,19297,6.732360753505630805
1674777600000,2023-01-27 00:00:00,UNI/USDT,6.7394,6.9056,6.5844,6.8603,61162.694672951,9093.2199,31021.027008709,4612.30332,18542,6.726976007621972527
1674691200000,2023-01-26 00:00:00,UNI/USDT,6.584,6.7731,6.4704,6.7394,56111.748406989,8506.93503,27402.629748667,4153.72314,17206,6.596659042564120764
1674604800000,2023-01-25 00:00:00,UNI/USDT,6.2842,7.4988,6.1152,6.5914,52899.258886877,8329.38839,27583.255237306,4337.44508,15897,6.354240656251678144
1674518400000,2023-01-24 00:00:00,UNI/USDT,6.7055,6.8262,6.2413,6.2841,55945.27455474,8429.13753,26954.771096597,4054.66613,16857,6.639818707085857737
1674432000000,2023-01-23 00:00:00,UNI/USDT,6.8769,6.9723,6.6808,6.706,56340.755977953,8268.77743,27545.862113004,4040.93986,16414,6.814294835343932302
1674345600000,2023-01-22 00:00:00,UNI/USDT,6.6813,7.0775,6.593,6.8673,63433.621035042,9295.45296,31737.065016896,4650.70051,19181,6.826171272561330339
1674259200000,2023-01-21 00:00:00,UNI/USDT,6.6489,6.8189,6.5279,6.6635,63569.264571579,9500.98654,31647.512423114,4729.06374,18424,6.691187122996486187
