https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USD
1670112000,2022-12-04,BNB/USD,306.9108,306.9108,288.0001,299.9999,1.097578,329.2732902422
1670025600,2022-12-03,BNB/USD,300.0,306.9109,288.0001,288.0001,6.229579,1794.1193749579
1669939200,2022-12-02,BNB/USD,308.0363,320.9111,286.0101,299.9999,31.943434,9583.0270056566
1669852800,2022-12-01,BNB/USD,315.1881,315.1881,286.0101,286.0101,18.716261,5353.0396802361
1669766400,2022-11-30,BNB/USD,302.0,315.9999,286.0,310.0,7.324573,2270.61763
1669680000,2022-11-29,BNB/USD,297.8457,328.9999,285.0001,302.0,11.532022,3482.670644
1669593600,2022-11-28,BNB/USD,308.4091,315.4698,281.0001,311.7324,6.674768,2080.7414480832
1669507200,2022-11-27,BNB/USD,328.9119,328.9139,280.0003,317.0,3.822818,1211.833306
1669420800,2022-11-26,BNB/USD,319.91,330.0,304.7938,328.9149,6.502699,2138.8345913150997
1669334400,2022-11-25,BNB/USD,303.1629,320.1911,280.0001,319.91,18.452515,5903.14407365
1669248000,2022-11-24,BNB/USD,299.7826,332.6757,260.3516,303.1629,15.282753,4633.1637194637
1669161600,2022-11-23,BNB/USD,259.6274,306.3301,259.6274,295.4163,28.259187,8348.224464548099
1669075200,2022-11-22,BNB/USD,256.6983,279.9999,251.0719,279.9999,16.635795,4658.020936420501
1668988800,2022-11-21,BNB/USD,265.0,274.0859,251.8594,252.957,17.687459,4474.166566263
1668902400,2022-11-20,BNB/USD,274.6455,287.8881,265.0,265.0,7.955726,2108.26739
1668816000,2022-11-19,BNB/USD,269.8571,288.4718,269.079,274.5798,14.410725,3956.8939883549997
1668729600,2022-11-18,BNB/USD,270.3243,297.1781,265.0002,273.5924,14.196257,3883.9880236468
1668643200,2022-11-17,BNB/USD,271.7002,277.3876,265.0001,272.8035,16.636124,4538.392853633999
1668556800,2022-11-16,BNB/USD,293.3199,298.9999,270.0,271.7002,27.032175,7344.647353935
1668470400,2022-11-15,BNB/USD,287.1922,309.9999,275.0,279.7061,8.311393,2324.7473215973
1668384000,2022-11-14,BNB/USD,298.0068,306.2536,266.4111,276.4434,11.704937,3235.7525810658
1668297600,2022-11-13,BNB/USD,291.4704,317.3713,272.5833,275.1469,20.632933,5677.087552857701
1668211200,2022-11-12,BNB/USD,292.6336,294.2152,266.3995,281.5945,9.250422,2604.8679578789997
1668124800,2022-11-11,BNB/USD,304.7697,317.9638,280.0,288.1834,23.04664,6641.659073776
1668038400,2022-11-10,BNB/USD,278.2784,324.9656,257.7242,324.9656,60.614892,19697.7547477152
1667952000,2022-11-09,BNB/USD,327.9074,332.662,255.5101,268.0146,110.990339,29747.031310949398
1667865600,2022-11-08,BNB/USD,337.2929,394.0,302.0,310.8737,82.873806,25763.286704302198
1667779200,2022-11-07,BNB/USD,336.3588,348.1323,326.1245,340.8703,17.345438,5912.5446546914
1667692800,2022-11-06,BNB/USD,352.0,360.8999,342.8054,344.7415,7.756195,2673.8822985925
1667606400,2022-11-05,BNB/USD,354.5808,360.8656,345.0002,348.5886,40.446703,14099.2595733858
1667520000,2022-11-04,BNB/USD,334.026,358.0,324.5001,352.0132,23.476483,8264.0319055756
1667433600,2022-11-03,BNB/USD,319.6598,337.4783,317.0001,331.2951,61.573872,20399.1220816272
1667347200,2022-11-02,BNB/USD,325.764,335.0,317.0,325.0265,16.431735,5340.7493159774995
