https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XRP
1699142400000,2023-11-05 00:00:00,XRP/USD,0.61659,0.66378,0.61473,0.66142,4186942.868288159,6330233.23801542
1699056000000,2023-11-04 00:00:00,XRP/USD,0.61283,0.61862,0.6093,0.61561,651460.8240940677,1058236.26012259
1698969600000,2023-11-03 00:00:00,XRP/USD,0.60564,0.61594,0.5916,0.61368,1548019.4465079927,2522518.97814495
1698883200000,2023-11-02 00:00:00,XRP/USD,0.60929,0.62661,0.5873,0.606,2402393.328200153,3964345.42607286
1698796800000,2023-11-01 00:00:00,XRP/USD,0.59978,0.61723,0.58085,0.6093,2373357.685205156,3895220.22846735
1698710400000,2023-10-31 00:00:00,XRP/USD,0.57826,0.6218,0.56279,0.59985,3910881.837841502,6519766.337987
1698624000000,2023-10-30 00:00:00,XRP/USD,0.55695,0.58403,0.55003,0.57841,2568659.240627137,4440897.01185515
1698537600000,2023-10-29 00:00:00,XRP/USD,0.54504,0.56128,0.54116,0.55651,708614.9595072257,1273319.36444489
1698451200000,2023-10-28 00:00:00,XRP/USD,0.54346,0.55122,0.54119,0.54525,410432.20659782476,752741.32342563
1698364800000,2023-10-27 00:00:00,XRP/USD,0.55345,0.55915,0.534,0.54355,1760839.1195417722,3239516.36379684
1698278400000,2023-10-26 00:00:00,XRP/USD,0.55552,0.57044,0.5429,0.5538,1925497.546403695,3476882.53232881
1698192000000,2023-10-25 00:00:00,XRP/USD,0.55933,0.56357,0.54144,0.55573,1838914.6963258649,3309007.42505509
1698105600000,2023-10-24 00:00:00,XRP/USD,0.54772,0.58659,0.53349,0.55929,5078916.012263233,9081006.29774041
1698019200000,2023-10-23 00:00:00,XRP/USD,0.52298,0.55296,0.52067,0.5476,2882420.0220360975,5263732.69181172
1697932800000,2023-10-22 00:00:00,XRP/USD,0.52116,0.52413,0.51268,0.52287,682348.8274367431,1305006.65067176
1697846400000,2023-10-21 00:00:00,XRP/USD,0.5154,0.53269,0.51121,0.52123,674374.340968182,1293813.36639906
1697760000000,2023-10-20 00:00:00,XRP/USD,0.52045,0.53155,0.50914,0.51589,1603956.531796149,3109105.68492537
1697673600000,2023-10-19 00:00:00,XRP/USD,0.48803,0.52478,0.47658,0.52021,2212099.7296915418,4252320.6583717
1697587200000,2023-10-18 00:00:00,XRP/USD,0.49118,0.49272,0.4863,0.48803,650087.494277312,1332064.61544846
1697500800000,2023-10-17 00:00:00,XRP/USD,0.49814,0.49814,0.48468,0.49168,763156.0293672219,1552139.66272214
1697414400000,2023-10-16 00:00:00,XRP/USD,0.48774,0.51153,0.48468,0.49799,1308502.8818994719,2627568.58952885
1697328000000,2023-10-15 00:00:00,XRP/USD,0.48664,0.49059,0.48529,0.48761,280646.1104226053,575554.46037326
1697241600000,2023-10-14 00:00:00,XRP/USD,0.48529,0.4887,0.48363,0.48692,244163.3385021629,501444.46418747
1697155200000,2023-10-13 00:00:00,XRP/USD,0.48297,0.49108,0.47908,0.48548,714262.2256694647,1471249.53792013
1697068800000,2023-10-12 00:00:00,XRP/USD,0.48878,0.48878,0.4733,0.48345,967333.4205092766,2000896.51568782
1696982400000,2023-10-11 00:00:00,XRP/USD,0.49692,0.49799,0.47909,0.48922,1339031.2888116785,2737073.890707
1696896000000,2023-10-10 00:00:00,XRP/USD,0.50302,0.5033,0.492,0.49692,937650.2711354807,1886923.9940744601
1696809600000,2023-10-09 00:00:00,XRP/USD,0.51772,0.52013,0.48713,0.50335,1830579.0495273804,3636791.59536581
1696723200000,2023-10-08 00:00:00,XRP/USD,0.52179,0.52359,0.51512,0.51794,1376146.8601525926,2656961.92638644
1696636800000,2023-10-07 00:00:00,XRP/USD,0.52614,0.52614,0.52001,0.52166,270514.52801734034,518564.82769877
1696550400000,2023-10-06 00:00:00,XRP/USD,0.52304,0.52962,0.5168,0.52554,680719.1834211036,1295275.68485958
1696464000000,2023-10-05 00:00:00,XRP/USD,0.53302,0.53302,0.51634,0.52304,1200217.1565894661,2294694.77781712
1696377600000,2023-10-04 00:00:00,XRP/USD,0.53899,0.54247,0.51915,0.53304,2321903.6360583478,4355965.09841353
1696291200000,2023-10-03 00:00:00,XRP/USD,0.51252,0.54969,0.5054,0.53889,2148255.143154477,3986444.62349362
1696204800000,2023-10-02 00:00:00,XRP/USD,0.5248,0.52696,0.506,0.51271,1483216.7721460694,2892896.12479973
1696118400000,2023-10-01 00:00:00,XRP/USD,0.51497,0.52648,0.51384,0.52432,596202.5883276089,1137096.78884576
1696032000000,2023-09-30 00:00:00,XRP/USD,0.52209,0.52209,0.51401,0.51484,737975.689881725,1433407.83521429
1695945600000,2023-09-29 00:00:00,XRP/USD,0.51037,0.55,0.50665,0.52202,3913319.3708073,7496493.18188441
1695859200000,2023-09-28 00:00:00,XRP/USD,0.49977,0.5104,0.49558,0.51039,839677.0154070762,1645167.45117866
1695772800000,2023-09-27 00:00:00,XRP/USD,0.50218,0.50795,0.49735,0.49976,966741.303280159,1934411.12389979
1695686400000,2023-09-26 00:00:00,XRP/USD,0.50602,0.5081,0.49711,0.5025,862548.2628149214,1716513.95585059
1695600000000,2023-09-25 00:00:00,XRP/USD,0.50289,0.5075,0.49185,0.506,1355058.5018624228,2677981.22897712
1695513600000,2023-09-24 00:00:00,XRP/USD,0.50813,0.5123,0.4994,0.50312,393010.14419194014,781145.93773243
1695427200000,2023-09-23 00:00:00,XRP/USD,0.51315,0.5141,0.50601,0.50849,303961.90591991553,597773.61584282
1695340800000,2023-09-22 00:00:00,XRP/USD,0.50745,0.51774,0.50473,0.51281,644849.4714057249,1257482.24762724
1695254400000,2023-09-21 00:00:00,XRP/USD,0.52141,0.52141,0.50101,0.50751,963867.0273702465,1899207.95131179
1695168000000,2023-09-20 00:00:00,XRP/USD,0.51467,0.52578,0.5073,0.52135,1412439.804619271,2709196.90154267
1695081600000,2023-09-19 00:00:00,XRP/USD,0.50319,0.5171,0.50113,0.51445,1104283.605281582,2146532.42352334
1694995200000,2023-09-18 00:00:00,XRP/USD,0.49291,0.5086,0.4875,0.50363,1212560.528978798,2407641.58008617
1694908800000,2023-09-17 00:00:00,XRP/USD,0.50002,0.50077,0.4898,0.49307,516300.48398231925,1047113.96755495
1694822400000,2023-09-16 00:00:00,XRP/USD,0.50078,0.50384,0.49728,0.49981,430274.66013736784,860876.453327
1694736000000,2023-09-15 00:00:00,XRP/USD,0.48962,0.5087,0.4879,0.50092,1126293.8604696111,2248450.57188695
1694649600000,2023-09-14 00:00:00,XRP/USD,0.48352,0.49436,0.48023,0.48961,865394.7941167947,1767518.62526663
1694563200000,2023-09-13 00:00:00,XRP/USD,0.48073,0.49159,0.47323,0.48353,1441231.0927411462,2980644.61924006
1694476800000,2023-09-12 00:00:00,XRP/USD,0.47467,0.4879,0.47046,0.48062,1333162.6076401677,2773839.22358655
1694390400000,2023-09-11 00:00:00,XRP/USD,0.49739,0.49807,0.4593,0.4746,1979233.4029768158,4170319.01175056
1694304000000,2023-09-10 00:00:00,XRP/USD,0.50419,0.5042,0.4927,0.49705,642306.2222601139,1292236.64070036
1694217600000,2023-09-09 00:00:00,XRP/USD,0.50465,0.50476,0.50152,0.50395,221644.57989213808,439814.62425268
1694131200000,2023-09-08 00:00:00,XRP/USD,0.50531,0.50784,0.49398,0.50513,565317.4931935781,1119152.48192263
1694044800000,2023-09-07 00:00:00,XRP/USD,0.50362,0.50707,0.49692,0.50525,476693.7689396852,943480.98751051
1693958400000,2023-09-06 00:00:00,XRP/USD,0.50517,0.50596,0.49163,0.50402,768068.519330152,1523885.0032343
1693872000000,2023-09-05 00:00:00,XRP/USD,0.5084,0.5084,0.49921,0.50567,480903.50578203186,951022.4173513
1693785600000,2023-09-04 00:00:00,XRP/USD,0.50498,0.51299,0.49652,0.50846,818005.1853352946,1608789.64979604
1693699200000,2023-09-03 00:00:00,XRP/USD,0.49862,0.51112,0.4972,0.50499,1830138.5045887472,3624108.4072729102
1693612800000,2023-09-02 00:00:00,XRP/USD,0.49805,0.50294,0.49441,0.49903,563973.5188234458,1130139.50829298
1693526400000,2023-09-01 00:00:00,XRP/USD,0.5113,0.51222,0.48635,0.49804,1362483.884674116,2735691.68073672
1693440000000,2023-08-31 00:00:00,XRP/USD,0.52852,0.5291,0.4968,0.51156,1447582.0961281965,2829740.58981976
1693353600000,2023-08-30 00:00:00,XRP/USD,0.54067,0.54085,0.52206,0.52894,1017829.158886415,1924280.93713165
1693267200000,2023-08-29 00:00:00,XRP/USD,0.52367,0.55017,0.51338,0.54022,1785798.3693751618,3305687.25588679
1693180800000,2023-08-28 00:00:00,XRP/USD,0.52413,0.52505,0.51073,0.52361,855244.4284790343,1633361.52571386
1693094400000,2023-08-27 00:00:00,XRP/USD,0.52367,0.53071,0.51725,0.5246,786845.648125425,1499896.39368171
1693008000000,2023-08-26 00:00:00,XRP/USD,0.52642,0.5288,0.5185,0.52371,460053.48371092,878450.82910565
1692921600000,2023-08-25 00:00:00,XRP/USD,0.51876,0.5325,0.50831,0.52633,1239355.5935534127,2354712.0505261202
1692835200000,2023-08-24 00:00:00,XRP/USD,0.53042,0.53232,0.5117,0.5192,821874.212537198,1582962.65896995
1692748800000,2023-08-23 00:00:00,XRP/USD,0.52068,0.5369,0.51611,0.53041,1336052.1767074629,2518904.57703939
1692662400000,2023-08-22 00:00:00,XRP/USD,0.52503,0.52583,0.50078,0.52091,2636009.5153564815,5060393.37957897
1692576000000,2023-08-21 00:00:00,XRP/USD,0.53881,0.54018,0.50338,0.52534,2295234.386576379,4369045.54493543
1692489600000,2023-08-20 00:00:00,XRP/USD,0.52003,0.55781,0.51617,0.53916,2752586.0801030966,5105323.24375528
1692403200000,2023-08-19 00:00:00,XRP/USD,0.5064,0.5248,0.50086,0.52028,1995409.4718978442,3835260.76708281
1692316800000,2023-08-18 00:00:00,XRP/USD,0.50694,0.52211,0.48317,0.50667,5284411.709680119,10429691.33692565
1692230400000,2023-08-17 00:00:00,XRP/USD,0.58791,0.59468,0.4201,0.50658,6467251.2341994485,12766495.38907862
