https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume SHIB
1664064000000,2022-09-25 00:00:00,SHIB/USDT,1.135e-05,1.152e-05,1.094e-05,1.094e-05,2235.7412281349457,204363914.82037896
1663977600000,2022-09-24 00:00:00,SHIB/USDT,1.106e-05,1.215e-05,1.106e-05,1.128e-05,3886.4561634810534,344543986.12420684
1663891200000,2022-09-23 00:00:00,SHIB/USDT,1.086e-05,1.15e-05,1.051e-05,1.095e-05,2576.5957896362424,235305551.56495363
1663804800000,2022-09-22 00:00:00,SHIB/USDT,1.043e-05,1.089e-05,1.01e-05,1.087e-05,1817.4908342054318,167202468.6481538
1663718400000,2022-09-21 00:00:00,SHIB/USDT,1.067e-05,1.116e-05,1.018e-05,1.031e-05,6181.9585913681285,599608010.8019524
1663632000000,2022-09-20 00:00:00,SHIB/USDT,1.097e-05,1.101e-05,1.053e-05,1.061e-05,1868.6676897992854,176123250.6879628
1663545600000,2022-09-19 00:00:00,SHIB/USDT,1.106e-05,1.13e-05,1.052e-05,1.096e-05,2248.511860415733,205156191.64377126
1663459200000,2022-09-18 00:00:00,SHIB/USDT,1.183e-05,1.193e-05,1.11e-05,1.112e-05,1831.1417088185908,164671016.9800891
1663372800000,2022-09-17 00:00:00,SHIB/USDT,1.164e-05,1.195e-05,1.16e-05,1.191e-05,2001.08098451897,168016875.2744727
1663286400000,2022-09-16 00:00:00,SHIB/USDT,1.166e-05,1.182e-05,1.133e-05,1.151e-05,1208.8358485758463,105024834.8024193
1663200000000,2022-09-15 00:00:00,SHIB/USDT,1.208e-05,1.217e-05,1.156e-05,1.17e-05,3764.6777906134057,321767332.53106034
1663113600000,2022-09-14 00:00:00,SHIB/USDT,1.225e-05,1.249e-05,1.195e-05,1.213e-05,1303.7441034479987,107480964.83495454
1663027200000,2022-09-13 00:00:00,SHIB/USDT,1.266e-05,1.34e-05,1.197e-05,1.212e-05,4322.365825167212,356630843.6606611
1662940800000,2022-09-12 00:00:00,SHIB/USDT,1.295e-05,1.318e-05,1.258e-05,1.286e-05,1801.7451322319412,140104598.1517839
1662854400000,2022-09-11 00:00:00,SHIB/USDT,1.339e-05,1.339e-05,1.251e-05,1.292e-05,2386.0046220168456,184675280.34186113
1662768000000,2022-09-10 00:00:00,SHIB/USDT,1.277e-05,1.347e-05,1.277e-05,1.337e-05,3380.97347977666,252877597.58987734
1662681600000,2022-09-09 00:00:00,SHIB/USDT,1.227e-05,1.331e-05,1.111e-05,1.279e-05,7219.93104762161,564498127.2573581
1662595200000,2022-09-08 00:00:00,SHIB/USDT,1.224e-05,1.243e-05,1.187e-05,1.223e-05,924.6868932275603,75608086.11836143
1662508800000,2022-09-07 00:00:00,SHIB/USDT,1.197e-05,1.278e-05,1.122e-05,1.221e-05,3641.995243233196,298279708.70050746
1662422400000,2022-09-06 00:00:00,SHIB/USDT,1.271e-05,1.283e-05,1.177e-05,1.198e-05,1940.590153866908,161985822.52645308
1662336000000,2022-09-05 00:00:00,SHIB/USDT,1.262e-05,1.275e-05,1.22e-05,1.257e-05,2080.1604294641807,165486112.12921086
1662249600000,2022-09-04 00:00:00,SHIB/USDT,1.235e-05,1.31e-05,1.19e-05,1.286e-05,1413.1365634355793,109886202.4444463
1662163200000,2022-09-03 00:00:00,SHIB/USDT,1.219e-05,1.245e-05,1.21e-05,1.222e-05,1147.513121421137,93904510.75459386
1662076800000,2022-09-02 00:00:00,SHIB/USDT,1.221e-05,1.25e-05,1.19e-05,1.221e-05,2329.3795690174707,190776377.47890833
1661990400000,2022-09-01 00:00:00,SHIB/USDT,1.207e-05,1.24e-05,1.191e-05,1.24e-05,1327.9910718958513,107096054.1851493
1661904000000,2022-08-31 00:00:00,SHIB/USDT,1.235e-05,1.247e-05,1.202e-05,1.202e-05,1174.5276460937857,97714446.43043143
1661817600000,2022-08-30 00:00:00,SHIB/USDT,1.241e-05,1.281e-05,1.189e-05,1.222e-05,2927.285651499344,239548743.98521638
1661731200000,2022-08-29 00:00:00,SHIB/USDT,1.179e-05,1.249e-05,1.175e-05,1.245e-05,1630.4967394330108,130963593.5287559
1661644800000,2022-08-28 00:00:00,SHIB/USDT,1.227e-05,1.248e-05,1.179e-05,1.179e-05,1280.436385700032,108603595.05513418
1661558400000,2022-08-27 00:00:00,SHIB/USDT,1.258e-05,1.258e-05,1.19e-05,1.214e-05,2781.3004046457463,229102175.01200545
1661472000000,2022-08-26 00:00:00,SHIB/USDT,1.343e-05,1.343e-05,1.221e-05,1.238e-05,1765.245193554137,142588464.7458915
1661385600000,2022-08-25 00:00:00,SHIB/USDT,1.247e-05,1.462e-05,1.211e-05,1.286e-05,1378.5925318134553,107200041.35407893
1661299200000,2022-08-24 00:00:00,SHIB/USDT,1.331e-05,1.348e-05,1.228e-05,1.321e-05,3163.0949804385446,239447008.3602229
1661212800000,2022-08-23 00:00:00,SHIB/USDT,1.265e-05,1.401e-05,1.2e-05,1.327e-05,6166.642845920651,464705564.87721556
1661126400000,2022-08-22 00:00:00,SHIB/USDT,1.223e-05,1.224e-05,1.223e-05,1.224e-05,76.0875899262152,6216306.36652085
1661040000000,2022-08-21 00:00:00,SHIB/USDT,1.183e-05,1.256e-05,1.107e-05,1.148e-05,1346.937185377951,117329023.11654626
1660953600000,2022-08-20 00:00:00,SHIB/USDT,1.234e-05,1.353e-05,8.01e-06,1.218e-05,4202.669135959256,345046727.0902509
1660867200000,2022-08-19 00:00:00,SHIB/USDT,1.35e-05,1.414e-05,1.208e-05,1.234e-05,6157.212090753572,498963702.6542603
1660780800000,2022-08-18 00:00:00,SHIB/USDT,1.478e-05,1.568e-05,1.201e-05,1.344e-05,9107.195642344048,677618723.388694
1660694400000,2022-08-17 00:00:00,SHIB/USDT,1.6e-05,1.659e-05,1.462e-05,1.486e-05,5967.195736538639,401560951.3148478
1660608000000,2022-08-16 00:00:00,SHIB/USDT,1.548e-05,1.736e-05,1.52e-05,1.583e-05,6379.676884260576,403011805.70186836
1660521600000,2022-08-15 00:00:00,SHIB/USDT,1.672e-05,1.718e-05,1.46e-05,1.53e-05,8516.360102711073,556624843.3144492
1660435200000,2022-08-14 00:00:00,SHIB/USDT,1.276e-05,1.945e-05,1.276e-05,1.68e-05,25892.04766354223,1541193313.3060853
1660348800000,2022-08-13 00:00:00,SHIB/USDT,1.271e-05,1.289e-05,1.246e-05,1.246e-05,2258.316568667173,181245310.48693204
1660262400000,2022-08-12 00:00:00,SHIB/USDT,1.23e-05,1.26e-05,1.221e-05,1.251e-05,574.2159320115969,45900554.11763364
1660176000000,2022-08-11 00:00:00,SHIB/USDT,1.244e-05,1.324e-05,1.222e-05,1.222e-05,4011.1097087089793,328241383.69140583
1660089600000,2022-08-10 00:00:00,SHIB/USDT,1.206e-05,1.324e-05,1.16e-05,1.241e-05,3855.559547668491,310681671.8508051
1659916800000,2022-08-08 00:00:00,SHIB/USDT,1.209e-05,1.246e-05,1.122e-05,1.227e-05,1851.3737978512343,150886210.09382513
1659830400000,2022-08-07 00:00:00,SHIB/USDT,1.202e-05,1.214e-05,1.184e-05,1.208e-05,1453.4854484565608,120321643.08415239
1659744000000,2022-08-06 00:00:00,SHIB/USDT,1.205e-05,1.217e-05,1.176e-05,1.201e-05,204.94943076056202,17064898.48131241
1659657600000,2022-08-05 00:00:00,SHIB/USDT,1.187e-05,1.215e-05,1.164e-05,1.205e-05,1260.406180605383,104598023.28675379
1659571200000,2022-08-04 00:00:00,SHIB/USDT,1.193e-05,1.193e-05,1.167e-05,1.179e-05,996.1924048783418,84494690.8293759
1659484800000,2022-08-03 00:00:00,SHIB/USDT,1.171e-05,1.215e-05,1.133e-05,1.189e-05,1642.597725211805,138149514.3155429
1659398400000,2022-08-02 00:00:00,SHIB/USDT,1.186e-05,1.2e-05,1.121e-05,1.179e-05,5603.1043058053365,475242095.48815405
1659312000000,2022-08-01 00:00:00,SHIB/USDT,1.193e-05,1.266e-05,1.176e-05,1.188e-05,4707.633827194545,396265473.6695745
1659225600000,2022-07-31 00:00:00,SHIB/USDT,1.195e-05,1.231e-05,1.172e-05,1.173e-05,1769.0845060465242,150817093.4396014
1659139200000,2022-07-30 00:00:00,SHIB/USDT,1.187e-05,1.256e-05,1.157e-05,1.187e-05,5061.111026460263,426378351.0076043
1659052800000,2022-07-29 00:00:00,SHIB/USDT,1.179e-05,1.249e-05,1.148e-05,1.19e-05,4839.465297129185,406677756.0612761
1658966400000,2022-07-28 00:00:00,SHIB/USDT,1.138e-05,1.215e-05,1.108e-05,1.2e-05,10552.522320828979,879376860.0690815
1658880000000,2022-07-27 00:00:00,SHIB/USDT,1.084e-05,1.147e-05,1.055e-05,1.147e-05,3360.0818526048615,292945235.62378913
1658793600000,2022-07-26 00:00:00,SHIB/USDT,1.072e-05,1.083e-05,1.031e-05,1.083e-05,4293.697031050974,396463253.09796625
1658707200000,2022-07-25 00:00:00,SHIB/USDT,1.166e-05,1.195e-05,1.072e-05,1.072e-05,2674.012964857839,249441507.9158432
1658620800000,2022-07-24 00:00:00,SHIB/USDT,1.165e-05,1.19e-05,1.158e-05,1.164e-05,2820.1619490255066,242281954.3836346
1658534400000,2022-07-23 00:00:00,SHIB/USDT,1.164e-05,1.212e-05,1.131e-05,1.152e-05,2671.631127062681,231912424.22419107
1658448000000,2022-07-22 00:00:00,SHIB/USDT,1.199e-05,1.259e-05,1.16e-05,1.165e-05,7771.322796191395,667066334.4370296
1658361600000,2022-07-21 00:00:00,SHIB/USDT,1.194e-05,1.22e-05,1.152e-05,1.193e-05,3938.1795166844763,330107252.0271984
1658275200000,2022-07-20 00:00:00,SHIB/USDT,1.216e-05,1.325e-05,1.17e-05,1.195e-05,8408.483645694469,703638798.8028843
1658188800000,2022-07-19 00:00:00,SHIB/USDT,1.183e-05,1.256e-05,1.145e-05,1.213e-05,6265.395123089976,516520620.2052741
1658102400000,2022-07-18 00:00:00,SHIB/USDT,1.083e-05,1.255e-05,1.067e-05,1.197e-05,9590.981676501407,801251602.0469011
1658016000000,2022-07-17 00:00:00,SHIB/USDT,1.099e-05,1.18e-05,1.077e-05,1.083e-05,8251.861897887213,761944773.5814601
1657929600000,2022-07-16 00:00:00,SHIB/USDT,1.084e-05,1.163e-05,1.054e-05,1.097e-05,4782.1282724717275,435927827.93725866
1657843200000,2022-07-15 00:00:00,SHIB/USDT,1.051e-05,1.11e-05,1.051e-05,1.087e-05,647.9173098815376,59606008.26877071
1657756800000,2022-07-14 00:00:00,SHIB/USDT,1.056e-05,1.072e-05,1.013e-05,1.059e-05,1023.2020258768546,96619643.61443385
1657670400000,2022-07-13 00:00:00,SHIB/USDT,9.86e-06,1.058e-05,9.83e-06,1.058e-05,1526.3486709355957,144267360.20185214
1657584000000,2022-07-12 00:00:00,SHIB/USDT,1.034e-05,1.051e-05,9.91e-06,9.91e-06,1377.7311764891797,139024336.67902923
1657497600000,2022-07-11 00:00:00,SHIB/USDT,1.114e-05,1.118e-05,1.028e-05,1.034e-05,2812.3637868812816,271988760.82024
1657411200000,2022-07-10 00:00:00,SHIB/USDT,1.166e-05,1.166e-05,1.143e-05,1.143e-05,63.30479218400994,5538477.00647506
1657324800000,2022-07-09 00:00:00,SHIB/USDT,1.12e-05,1.184e-05,1.112e-05,1.166e-05,2432.961658137565,208658804.29996267
1657238400000,2022-07-08 00:00:00,SHIB/USDT,1.122e-05,1.155e-05,1.058e-05,1.12e-05,3735.3102237215894,333509841.40371335
1657152000000,2022-07-07 00:00:00,SHIB/USDT,1.042e-05,1.143e-05,1.042e-05,1.126e-05,2433.976420341251,216161316.19371676
1657065600000,2022-07-06 00:00:00,SHIB/USDT,1.03e-05,1.072e-05,9.58e-06,1.04e-05,1132.6768696894767,108911237.47014198
1656979200000,2022-07-05 00:00:00,SHIB/USDT,1.043e-05,1.1e-05,1.002e-05,1.042e-05,4464.926439453068,428495819.52524644
1656892800000,2022-07-04 00:00:00,SHIB/USDT,1.001e-05,1.046e-05,9.97e-06,1.046e-05,1410.0505089628955,134804063.95438772
