https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume UNI,Volume USDT,tradecount
1694908800000,2023-09-17,UNIUSDT,4.336,4.393,4.231,4.282,1081116.04,4662358.32823,25293
1694822400000,2023-09-16,UNIUSDT,4.351,4.418,4.299,4.336,1068917.66,4659648.49705,25048
1694736000000,2023-09-15,UNIUSDT,4.271,4.379,4.225,4.351,965469.81,4147360.62497,30466
1694649600000,2023-09-14,UNIUSDT,4.256,4.355,4.248,4.27,1021380.96,4385221.56329,31965
1694563200000,2023-09-13,UNIUSDT,4.196,4.311,4.18,4.255,882981.17,3757558.13729,19444
1694476800000,2023-09-12,UNIUSDT,4.11,4.325,4.089,4.196,1375680.17,5779132.22657,25849
1694390400000,2023-09-11,UNIUSDT,4.22,4.251,4.032,4.112,1551580.91,6411347.76449,32511
1694304000000,2023-09-10,UNIUSDT,4.32,4.44,4.12,4.22,1487497.73,6285753.8569,30072
1694217600000,2023-09-09,UNIUSDT,4.363,4.375,4.303,4.321,380462.74,1650844.06562,8380
1694131200000,2023-09-08,UNIUSDT,4.477,4.491,4.3,4.366,698763.03,3069794.4067,15527
1694044800000,2023-09-07,UNIUSDT,4.461,4.537,4.41,4.477,953633.1,4260883.68675,17043
1693958400000,2023-09-06,UNIUSDT,4.38,4.499,4.346,4.461,1136268.05,5016313.29081,24004
1693872000000,2023-09-05,UNIUSDT,4.443,4.455,4.273,4.38,1376788.54,5975340.57555,28383
1693785600000,2023-09-04,UNIUSDT,4.413,4.503,4.36,4.443,1148639.85,5087688.72957,23878
1693699200000,2023-09-03,UNIUSDT,4.401,4.472,4.364,4.411,807639.64,3567185.54814,18816
1693612800000,2023-09-02,UNIUSDT,4.265,4.403,4.25,4.4,1008417.14,4382397.32628,21829
1693526400000,2023-09-01,UNIUSDT,4.372,4.425,4.237,4.262,1238047.07,5380578.36438,23478
1693440000000,2023-08-31,UNIUSDT,4.638,4.681,4.312,4.372,1796736.4,8083340.7439,31425
1693353600000,2023-08-30,UNIUSDT,4.799,4.807,4.635,4.64,1241340.19,5841368.45816,22494
1693267200000,2023-08-29,UNIUSDT,4.672,4.871,4.566,4.799,2027680.67,9599644.78168,36592
1693180800000,2023-08-28,UNIUSDT,4.685,4.737,4.565,4.672,1314491.31,6096075.68901,21891
1693094400000,2023-08-27,UNIUSDT,4.601,4.708,4.601,4.685,909567.86,4226965.82422,16074
1693008000000,2023-08-26,UNIUSDT,4.555,4.646,4.532,4.601,752418.71,3445398.33739,11519
1692921600000,2023-08-25,UNIUSDT,4.661,4.672,4.516,4.551,1618970.22,7434091.00386,27189
1692835200000,2023-08-24,UNIUSDT,4.765,4.818,4.598,4.659,1425667.92,6738260.27466,30587
1692748800000,2023-08-23,UNIUSDT,4.671,4.861,4.647,4.765,2780353.82,13138580.16484,42487
1692662400000,2023-08-22,UNIUSDT,4.765,4.782,4.5,4.67,2174339.53,10180711.37046,43549
1692576000000,2023-08-21,UNIUSDT,4.903,4.921,4.719,4.765,986593.69,4751494.57194,23317
1692489600000,2023-08-20,UNIUSDT,4.909,4.937,4.86,4.903,711046.12,3480326.50321,18222
1692403200000,2023-08-19,UNIUSDT,4.906,5.002,4.858,4.909,919502.63,4522541.08114,22096
1692316800000,2023-08-18,UNIUSDT,4.989,5.052,4.843,4.907,1907190.56,9468379.44284,40724
1692230400000,2023-08-17,UNIUSDT,5.459,5.506,4.517,4.989,4030998.38,20912782.61305,87035
1692144000000,2023-08-16,UNIUSDT,5.952,5.952,5.3,5.459,3263787.31,18342570.63168,85850
1692057600000,2023-08-15,UNIUSDT,6.263,6.299,5.937,5.953,1539997.26,9413322.85159,48014
1691971200000,2023-08-14,UNIUSDT,6.086,6.37,6.076,6.261,914278.85,5697489.55708,35358
1691884800000,2023-08-13,UNIUSDT,6.224,6.233,6.054,6.086,459350.4,2821195.41828,19078
1691798400000,2023-08-12,UNIUSDT,6.201,6.256,6.118,6.224,663245.88,4098412.28706,22359
1691712000000,2023-08-11,UNIUSDT,6.192,6.219,6.103,6.201,762325.03,4691333.01627,25714
1691625600000,2023-08-10,UNIUSDT,6.25,6.35,6.152,6.191,1287553.74,8056850.77971,38036
1691539200000,2023-08-09,UNIUSDT,6.081,6.309,6.035,6.249,1179524.32,7249144.9444,36991
1691452800000,2023-08-08,UNIUSDT,5.875,6.148,5.818,6.081,1201188.82,7187835.74313,33370
1691366400000,2023-08-07,UNIUSDT,5.954,6.017,5.733,5.876,1091795.47,6424475.71917,35191
1691280000000,2023-08-06,UNIUSDT,6.092,6.165,5.939,5.954,982752.09,5940936.55695,29566
1691193600000,2023-08-05,UNIUSDT,6.07,6.096,5.938,6.091,935436.6,5618570.73605,29676
1691107200000,2023-08-04,UNIUSDT,6.096,6.221,6.006,6.07,1219850.59,7458384.43365,33752
1691020800000,2023-08-03,UNIUSDT,6.157,6.265,6.052,6.098,1748019.93,10771526.1071,57660
1690934400000,2023-08-02,UNIUSDT,6.688,6.695,6.128,6.158,2587753.27,16503643.16412,81467
