https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USD
1688169600,2023-07-01 00:00:00,LINK/USD,6.33,6.50,6.12,6.46,36629.10445672,236624.0147904112
1688083200,2023-06-30 00:00:00,LINK/USD,5.90,6.41,5.75,6.31,76874.84718160,485080.28571589594
1687996800,2023-06-29 00:00:00,LINK/USD,5.82,6.17,5.79,5.89,31303.30892080,184376.48954351197
1687910400,2023-06-28 00:00:00,LINK/USD,6.19,6.19,5.71,5.81,30473.92196699,177053.4866282119
1687824000,2023-06-27 00:00:00,LINK/USD,6.06,6.25,6.05,6.20,38213.81962209,236925.681656958
1687737600,2023-06-26 00:00:00,LINK/USD,6.15,6.26,6.01,6.06,28922.25954059,175268.89281597539
1687651200,2023-06-25 00:00:00,LINK/USD,6.14,6.37,6.07,6.16,22828.58836745,140624.104343492
1687564800,2023-06-24 00:00:00,LINK/USD,6.08,6.19,5.94,6.13,12972.66309716,79522.4247855908
1687478400,2023-06-23 00:00:00,LINK/USD,5.57,6.15,5.55,6.07,69417.44399210,421363.88503204705
1687392000,2023-06-22 00:00:00,LINK/USD,5.56,5.82,5.52,5.57,36753.16565594,204715.1327035858
1687305600,2023-06-21 00:00:00,LINK/USD,5.26,5.57,5.25,5.56,35089.24700360,195096.213340016
1687219200,2023-06-20 00:00:00,LINK/USD,5.13,5.28,5.00,5.26,27159.25178870,142857.66440856198
1687132800,2023-06-19 00:00:00,LINK/USD,5.15,5.18,4.98,5.13,17761.56611205,91116.8341548165
1687046400,2023-06-18 00:00:00,LINK/USD,5.28,5.30,5.09,5.16,17219.92939523,88854.8356793868
1686960000,2023-06-17 00:00:00,LINK/USD,5.31,5.38,5.22,5.28,27192.83919301,143578.1909390928
1686873600,2023-06-16 00:00:00,LINK/USD,5.30,5.38,5.15,5.32,32660.85564923,173755.75205390362
1686787200,2023-06-15 00:00:00,LINK/USD,5.27,5.41,5.16,5.30,70855.99170532,375536.75603819604
1686700800,2023-06-14 00:00:00,LINK/USD,5.30,5.50,5.16,5.25,32068.66029587,168360.4665533175
1686614400,2023-06-13 00:00:00,LINK/USD,5.15,5.40,5.12,5.30,23639.70948529,125290.460272037
1686528000,2023-06-12 00:00:00,LINK/USD,5.17,5.19,5.03,5.16,27282.13359990,140775.809375484
1686441600,2023-06-11 00:00:00,LINK/USD,5.23,5.23,5.10,5.16,15888.71726858,81985.7811058728
1686355200,2023-06-10 00:00:00,LINK/USD,6.00,6.00,4.83,5.24,74877.29071271,392357.0033346004
1686268800,2023-06-09 00:00:00,LINK/USD,5.99,6.07,5.93,5.99,12328.89717921,73850.0941034679
1686182400,2023-06-08 00:00:00,LINK/USD,5.91,6.03,5.91,5.99,9746.97476855,58384.378863614504
1686096000,2023-06-07 00:00:00,LINK/USD,6.24,6.27,5.85,5.92,17546.30781316,103874.14225390721
1686009600,2023-06-06 00:00:00,LINK/USD,6.06,6.31,6.01,6.25,6776.87851501,42355.4907188125
1685923200,2023-06-05 00:00:00,LINK/USD,6.45,6.49,5.97,6.06,24736.44447434,149902.8535145004
1685836800,2023-06-04 00:00:00,LINK/USD,6.42,6.53,6.40,6.45,11010.75101869,71019.3440705505
1685750400,2023-06-03 00:00:00,LINK/USD,6.46,6.46,6.37,6.42,8548.68445185,54882.554180877
1685664000,2023-06-02 00:00:00,LINK/USD,6.35,6.48,6.32,6.46,14323.08371752,92527.1208151792
1685577600,2023-06-01 00:00:00,LINK/USD,6.49,6.51,6.33,6.33,17991.45933467,113885.93758846109
1685491200,2023-05-31 00:00:00,LINK/USD,6.61,6.63,6.42,6.48,10908.58310597,70687.6185266856
1685404800,2023-05-30 00:00:00,LINK/USD,6.65,6.66,6.54,6.61,16096.34066076,106396.81176762361
1685318400,2023-05-29 00:00:00,LINK/USD,6.63,6.67,6.53,6.66,14089.35756721,93835.1213976186
1685232000,2023-05-28 00:00:00,LINK/USD,6.43,6.65,6.43,6.64,16261.65144492,107977.36559426879
1685145600,2023-05-27 00:00:00,LINK/USD,6.36,6.44,6.34,6.44,3875.84619197,24960.4494762868
1685059200,2023-05-26 00:00:00,LINK/USD,6.27,6.38,6.24,6.36,14332.74956960,91156.28726265601
1684972800,2023-05-25 00:00:00,LINK/USD,6.32,6.34,6.17,6.28,20731.09562579,130191.28052996121
1684886400,2023-05-24 00:00:00,LINK/USD,6.50,6.50,6.22,6.32,34752.15410138,219633.61392072163
