https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USDT,tradecount
1696809600000,2023-10-09,LTCUSDT,65.34,65.36,61.51,63.07,448896.385,28442348.3394,78363
1696723200000,2023-10-08,LTCUSDT,65.45,65.98,64.97,65.34,316323.185,20728331.17345,41006
1696636800000,2023-10-07,LTCUSDT,65.5,66.27,64.95,65.45,177304.899,11636429.8603,38019
1696550400000,2023-10-06,LTCUSDT,64.81,65.98,64.37,65.5,258989.347,16908743.92521,49795
1696464000000,2023-10-05,LTCUSDT,64.39,65.28,63.72,64.8,371850.64,23993968.95115,60543
1696377600000,2023-10-04,LTCUSDT,65.5,65.52,63.01,64.4,389378.985,24986773.04746,73848
1696291200000,2023-10-03,LTCUSDT,65.98,66.93,65.26,65.5,264841.857,17467936.29002,58822
1696204800000,2023-10-02,LTCUSDT,68.19,68.42,65.11,65.97,558987.867,37505378.80276,98191
1696118400000,2023-10-01,LTCUSDT,65.98,68.85,65.83,68.19,430058.027,28884188.33851,79911
1696032000000,2023-09-30,LTCUSDT,65.55,66.6,65.34,65.97,179434.202,11837048.07704,42398
1695945600000,2023-09-29,LTCUSDT,65.22,66.5,64.91,65.55,350400.956,23023210.74839,64373
1695859200000,2023-09-28,LTCUSDT,63.53,65.54,63.14,65.21,446339.742,28712038.56658,68741
1695772800000,2023-09-27,LTCUSDT,63.8,65.56,63.04,63.53,351266.028,22527804.57883,62067
1695686400000,2023-09-26,LTCUSDT,64.34,65.08,63.02,63.8,371056.263,23862340.07245,52547
1695600000000,2023-09-25,LTCUSDT,63.58,65.06,62.56,64.33,258415.693,16594760.84727,50384
1695513600000,2023-09-24,LTCUSDT,65.06,65.1,63.25,63.58,207773.25,13399437.45659,39764
1695427200000,2023-09-23,LTCUSDT,64.37,65.26,64.37,65.07,387901.571,25136184.65909,48895
1695340800000,2023-09-22,LTCUSDT,64.69,65.88,63.89,64.37,442545.403,28701999.76244,67811
1695254400000,2023-09-21,LTCUSDT,64.55,65.01,62.92,64.69,449081.78,28811761.06338,72803
1695168000000,2023-09-20,LTCUSDT,67.28,67.87,63.24,64.55,931126.906,60915587.81808,117196
1695081600000,2023-09-19,LTCUSDT,65.87,68.41,65.59,67.28,527023.356,35437054.35133,80330
1694995200000,2023-09-18,LTCUSDT,63.57,67.9,62.9,65.89,790412.337,52151105.29169,110345
1694908800000,2023-09-17,LTCUSDT,65.38,65.42,62.75,63.55,497205.276,31775820.99628,67802
1694822400000,2023-09-16,LTCUSDT,65.89,67.05,64.41,65.38,391265.329,25664428.75732,62729
1694736000000,2023-09-15,LTCUSDT,62.83,66.27,62.55,65.89,540624.758,34582934.67382,80559
1694649600000,2023-09-14,LTCUSDT,61.98,63.44,61.95,62.83,638084.848,39941930.68376,71663
1694563200000,2023-09-13,LTCUSDT,59.96,62.85,59.63,61.98,511853.421,31381027.42472,83374
1694476800000,2023-09-12,LTCUSDT,58.85,61.53,58.65,59.96,617319.813,37129719.73179,82657
1694390400000,2023-09-11,LTCUSDT,61.12,61.66,57.68,58.85,792927.547,47531436.34168,101543
1694304000000,2023-09-10,LTCUSDT,63.06,63.06,60.02,61.11,486962.352,29825923.22286,71331
1694217600000,2023-09-09,LTCUSDT,62.6,63.3,62.52,63.06,153119.403,9629129.48804,32269
1694131200000,2023-09-08,LTCUSDT,63.71,64.24,61.51,62.61,370397.71,23306316.05826,55130
1694044800000,2023-09-07,LTCUSDT,62.88,64.49,62.48,63.71,372442.946,23544495.83475,55329
1693958400000,2023-09-06,LTCUSDT,63.15,63.91,61.36,62.87,463879.229,29171915.8151,69018
1693872000000,2023-09-05,LTCUSDT,63.75,63.79,62.58,63.15,475655.47,30021806.99205,65705
1693785600000,2023-09-04,LTCUSDT,63.93,65.01,63.0,63.75,389301.433,24953470.48276,54348
1693699200000,2023-09-03,LTCUSDT,64.58,64.91,63.57,63.93,257480.232,16523979.18454,45470
1693612800000,2023-09-02,LTCUSDT,62.98,64.75,62.95,64.59,295503.141,18915350.82735,51813
1693526400000,2023-09-01,LTCUSDT,63.88,64.25,61.83,62.98,569049.852,36085014.45748,79933
1693440000000,2023-08-31,LTCUSDT,67.65,68.36,63.13,63.89,688058.059,45337596.31026,107911
1693353600000,2023-08-30,LTCUSDT,68.85,69.03,66.5,67.65,422458.336,28563989.08084,74994
