https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SOL
1692576000000,2023-08-21 00:00:00,SOL/USD,21.748,21.794,20.32,21.212,361147.31668716396,17025.61364733
1692489600000,2023-08-20 00:00:00,SOL/USD,21.901,22.055,21.58,21.793,87700.40690958124,4024.24663468
1692403200000,2023-08-19 00:00:00,SOL/USD,21.315,22.178,21.315,21.885,179499.11241456165,8201.92425929
1692316800000,2023-08-18 00:00:00,SOL/USD,21.635,22.2,20.88,21.356,1108462.1170444693,51904.01372188
1692230400000,2023-08-17 00:00:00,SOL/USD,22.74,23.437,19.861,21.651,1836808.3609127596,84837.11426321
1692144000000,2023-08-16 00:00:00,SOL/USD,23.931,24.005,22.373,22.824,1178163.0764734522,51619.48284584
1692057600000,2023-08-15 00:00:00,SOL/USD,25.244,25.387,23.739,23.922,783458.6286038745,32750.54880879
1691971200000,2023-08-14 00:00:00,SOL/USD,24.233,25.289,24.064,25.162,1035050.5023171139,41135.462297
1691884800000,2023-08-13 00:00:00,SOL/USD,24.863,24.958,24.231,24.235,267140.6810636324,11022.92886584
1691798400000,2023-08-12 00:00:00,SOL/USD,24.631,25.256,24.405,24.938,358702.45563954255,14383.76997512
1691712000000,2023-08-11 00:00:00,SOL/USD,24.706,24.933,24.339,24.613,242861.74483858584,9867.21427045
1691625600000,2023-08-10 00:00:00,SOL/USD,24.428,24.907,24.145,24.6,705003.187621608,28658.66616348
1691539200000,2023-08-09 00:00:00,SOL/USD,24.242,25.019,24.113,24.413,457873.80239919946,18755.32717811
1691452800000,2023-08-08 00:00:00,SOL/USD,23.146,24.78,23.035,24.25,1367387.7553837374,56387.12393335
1691366400000,2023-08-07 00:00:00,SOL/USD,23.211,23.642,22.365,23.14,311861.75940408057,13477.17197079
1691280000000,2023-08-06 00:00:00,SOL/USD,22.638,23.513,22.581,23.218,560865.169666456,24156.48073333
1691193600000,2023-08-05 00:00:00,SOL/USD,22.745,22.958,22.234,22.639,245488.16123144524,10843.59561957
1691107200000,2023-08-04 00:00:00,SOL/USD,22.646,23.569,22.48,22.818,242315.92613567997,10619.50767533
1691020800000,2023-08-03 00:00:00,SOL/USD,23.122,23.406,22.492,22.653,474348.6217286494,20939.77052614
1690934400000,2023-08-02 00:00:00,SOL/USD,24.13,24.26,22.85,23.163,499446.6027360111,21562.25889289
1690848000000,2023-08-01 00:00:00,SOL/USD,23.746,24.07,22.85,24.042,923934.9358065439,38430.03642819
1690761600000,2023-07-31 00:00:00,SOL/USD,24.236,24.81,23.542,23.728,577203.2240150858,24325.82704042
1690675200000,2023-07-30 00:00:00,SOL/USD,25.219,25.239,23.556,24.279,697671.0754713026,28735.5770613
1690588800000,2023-07-29 00:00:00,SOL/USD,24.806,25.433,24.767,25.219,256466.38777135866,10169.57007698
1690502400000,2023-07-28 00:00:00,SOL/USD,25.076,25.572,24.566,24.83,523634.674766957,21088.7907679
1690416000000,2023-07-27 00:00:00,SOL/USD,25.204,25.66,24.704,25.114,657757.5123501401,26190.87012623
1690329600000,2023-07-26 00:00:00,SOL/USD,23.33,25.7,23.215,25.204,1598911.7346850014,63438.80870834
1690243200000,2023-07-25 00:00:00,SOL/USD,23.36,23.645,22.81,23.324,675499.9470640003,28961.58236426
1690156800000,2023-07-24 00:00:00,SOL/USD,24.727,24.85,22.932,23.372,806364.1816465212,34501.29135917
1690070400000,2023-07-23 00:00:00,SOL/USD,24.525,25.27,24.168,24.806,255622.68544905356,10304.87323426
1689984000000,2023-07-22 00:00:00,SOL/USD,25.556,26.01,24.155,24.555,617150.5094544545,25133.39480572
1689897600000,2023-07-21 00:00:00,SOL/USD,25.335,26.018,25.095,25.515,363389.38152500655,14242.18622477
1689811200000,2023-07-20 00:00:00,SOL/USD,26.362,27.374,25.076,25.36,799344.998325952,31519.9131832
1689724800000,2023-07-19 00:00:00,SOL/USD,25.535,27.0,25.391,26.407,608851.4303446987,23056.44072953
1689638400000,2023-07-18 00:00:00,SOL/USD,26.905,27.114,24.782,25.614,802347.6289467815,31324.57362953
1689552000000,2023-07-17 00:00:00,SOL/USD,27.444,28.512,25.635,26.935,1282527.2647992733,47615.64005195
1689465600000,2023-07-16 00:00:00,SOL/USD,27.548,28.658,26.54,27.415,1558021.084158568,56830.97151773
1689379200000,2023-07-15 00:00:00,SOL/USD,26.71,29.125,26.502,27.3,1916567.82488262,70203.9496294
1689292800000,2023-07-14 00:00:00,SOL/USD,26.044,32.5,25.292,26.704,5120003.461098001,191731.70540361
1689206400000,2023-07-13 00:00:00,SOL/USD,21.964,26.8,21.483,26.018,3912149.838411684,150363.20387469
1689120000000,2023-07-12 00:00:00,SOL/USD,22.091,22.921,21.765,21.962,1211649.2115004817,55170.25824153
1689033600000,2023-07-11 00:00:00,SOL/USD,21.365,22.382,21.222,22.091,873116.6741917599,39523.63741758
1688947200000,2023-07-10 00:00:00,SOL/USD,21.32,21.812,20.51,21.346,1584778.0554863375,74242.3899319
1688860800000,2023-07-09 00:00:00,SOL/USD,21.868,22.441,21.02,21.341,1010219.295857383,47337.01775256
1688774400000,2023-07-08 00:00:00,SOL/USD,21.522,22.478,21.33,21.848,1350046.261074455,61792.67031648
1688688000000,2023-07-07 00:00:00,SOL/USD,19.608,21.78,19.295,21.515,2144439.1438623774,99671.81705147
1688601600000,2023-07-06 00:00:00,SOL/USD,19.001,20.988,18.845,19.685,1877281.9595285717,95366.11427628
1688515200000,2023-07-05 00:00:00,SOL/USD,19.183,19.383,18.368,19.001,393078.6972308025,20687.26368248
1688428800000,2023-07-04 00:00:00,SOL/USD,19.302,19.947,19.095,19.148,360651.81374988845,18834.95998276
1688342400000,2023-07-03 00:00:00,SOL/USD,19.493,19.67,18.883,19.281,230981.7395977693,11979.75932772
1688256000000,2023-07-02 00:00:00,SOL/USD,18.728,19.775,18.541,19.496,568257.5994381261,29147.39430848
1688169600000,2023-07-01 00:00:00,SOL/USD,18.876,19.025,17.926,18.748,371935.7253762064,19838.6881468
1688083200000,2023-06-30 00:00:00,SOL/USD,17.999,20.026,17.113,18.866,1750713.2869201533,92797.26952826
1687996800000,2023-06-29 00:00:00,SOL/USD,15.963,18.28,15.875,17.961,1060242.6736235148,59030.26967449
1687910400000,2023-06-28 00:00:00,SOL/USD,16.594,16.647,15.614,15.975,1012178.5219147814,63360.15786634
1687824000000,2023-06-27 00:00:00,SOL/USD,16.283,16.926,16.148,16.638,281215.4755379628,16901.99997223
1687737600000,2023-06-26 00:00:00,SOL/USD,16.897,17.112,15.911,16.307,322716.80014032585,19790.07788927
1687651200000,2023-06-25 00:00:00,SOL/USD,16.651,17.378,16.586,16.973,179493.29415719063,10575.22501368
1687564800000,2023-06-24 00:00:00,SOL/USD,17.12,17.572,16.39,16.683,378961.1279789781,22715.40658029
