https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1635724800000,2021-11-01 00:00:00,BNB/USDT,524.69647746,551.9668407,511.8,551.20789075,821483.53946631,1533.68199755,0,0,0,535.62833806
1635638400000,2021-10-31 00:00:00,BNB/USDT,529.02521688,537,509.37190745,524.7456655,639657.59694585,1225.8386498,0,0,0,521.81222793
1635552000000,2021-10-30 00:00:00,BNB/USDT,530.41585588,539.97436043,511.01,527.5680236,413139.62891071,787.55793153,0,0,0,524.58316064
1635465600000,2021-10-29 00:00:00,BNB/USDT,491.57270698,533.47899999,488.898,529.26588292,918752.03962857,1782.56934149,0,0,0,515.40886418
1635379200000,2021-10-28 00:00:00,BNB/USDT,449.2117494,494.46404775,446.832,492,716659.84538938,1489.74111458,0,0,0,481.06334609
1635292800000,2021-10-27 00:00:00,BNB/USDT,478.88541085,486.28272531,438.50914944,448.76977714,738143.94872124,1616.68748472,0,0,0,456.57800638
1635206400000,2021-10-26 00:00:00,BNB/USDT,484.42066294,489.19476199,474.1588,478.86621063,379657.24848065,786.97628728,0,0,0,482.42527077
1635120000000,2021-10-25 00:00:00,BNB/USDT,477.4456049,488.78325775,477.4456049,485.03763668,226560.88812517,468.11716234,0,0,0,483.98329809
1635033600000,2021-10-24 00:00:00,BNB/USDT,485.51659015,486.09628308,468.82653061,476.2864436,150294.33785675,315.28534043,0,0,0,476.69307317
1634947200000,2021-10-23 00:00:00,BNB/USDT,478.9611746,485.20490149,473.2992,484.87021487,167207.83494797,346.7203762,0,0,0,482.25557661
1634860800000,2021-10-22 00:00:00,BNB/USDT,472.42907641,497.62977715,471.46898067,478.9611746,299204.9461884,619.64791803,0,0,0,482.8628282
1634774400000,2021-10-21 00:00:00,BNB/USDT,500.56689214,504.39245036,466.89486953,470.99940255,746690.74335552,1529.81680782,0,0,0,488.09160648
1634688000000,2021-10-20 00:00:00,BNB/USDT,486.72300334,505.47087743,481.5,501.54463193,508066.16638138,1019.69350262,0,0,0,498.25380379
1634601600000,2021-10-19 00:00:00,BNB/USDT,484.10136538,497.13185135,481.12614068,487.96958365,869273.17345079,1782.30074016,0,0,0,487.72530575
1634515200000,2021-10-18 00:00:00,BNB/USDT,470.35191802,487.38196169,467.82161021,484.757,370044.34484518,778.02918481,0,0,0,475.61756302
1634428800000,2021-10-17 00:00:00,BNB/USDT,465.47331798,471.83206834,456.228,470.322,278621.0819988,599.01243756,0,0,0,465.13405152
1634342400000,2021-10-16 00:00:00,BNB/USDT,474.50884721,484.416,463.5305359,465.58608126,549721.01437195,1162.05709486,0,0,0,473.05852423
1634256000000,2021-10-15 00:00:00,BNB/USDT,471.5820636,477.04697285,453.13895561,474.5114324,1101249.62754645,2358.00326442,0,0,0,467.02633714
1634169600000,2021-10-14 00:00:00,BNB/USDT,470.724915,482.92294459,461.78785163,472.13381989,473447.98633213,1002.23919947,0,0,0,472.39021042
1634083200000,2021-10-13 00:00:00,BNB/USDT,443.66222071,471.56245247,433.65317995,467.85314714,1332276.77706973,2924.40154618,0,0,0,455.57244996
1633996800000,2021-10-12 00:00:00,BNB/USDT,412.40611803,444.15685384,392.57289473,444.11146896,864410.23060412,2065.27783429,0,0,0,418.54428312
1633910400000,2021-10-11 00:00:00,BNB/USDT,403.80140314,423.58796047,400.39976141,412.94319022,640760.18011127,1554.10798577,0,0,0,412.30093788
1633824000000,2021-10-10 00:00:00,BNB/USDT,420.72520659,421.75268975,402.77813742,404.72534459,414107.4704099,1006.39776969,0,0,0,411.47494845
1633737600000,2021-10-09 00:00:00,BNB/USDT,417.06892084,425.53084305,417.06892084,422.00769378,216834.12697739,513.37296479,0,0,0,422.37153463
1633651200000,2021-10-08 00:00:00,BNB/USDT,436.86299664,440.78325111,415,418.85411969,543197.06479913,1273.67385678,0,0,0,426.48050119
1633564800000,2021-10-07 00:00:00,BNB/USDT,434.30415473,449.99999999,424.32428693,438.57789736,334093.16576478,758.90131717,0,0,0,440.23268665
1633478400000,2021-10-06 00:00:00,BNB/USDT,441.98048932,442.38242238,415.1614919,434.67884281,471456.54323292,1090.52927709,0,0,0,432.3190153
1633392000000,2021-10-05 00:00:00,BNB/USDT,427,443.91898873,424.43760629,442.49872055,277337.28819365,635.3071767,0,0,0,436.54046163
1633305600000,2021-10-04 00:00:00,BNB/USDT,429.4978572,430.60758573,411.7723253,426.44178268,270493.69650196,639.78041181,0,0,0,422.7914633
