https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1698710400000,2023-10-31 00:00:00,XRP/USDT,0.5781,0.6189,0.5632,0.5995,17074263.4452,28790319.7066,9201728.9146,15512572.6914,452536,0.5932
1698624000000,2023-10-30 00:00:00,XRP/USDT,0.5562,0.5838,0.5542,0.5779,2409317.265,4177687.0029,1240491.1927,2151498.9743,55583,0.5767
1698537600000,2023-10-29 00:00:00,XRP/USDT,0.5446,0.5613,0.5411,0.5559,2195232.3082,3980842.0608,1137983.0508,2063876.4236,51511,0.5515
1698451200000,2023-10-28 00:00:00,XRP/USDT,0.5431,0.58,0.5403,0.5447,3087192.0662,5657931.1842,1678864.8243,3075918.1811,67198,0.5456
1698364800000,2023-10-27 00:00:00,XRP/USDT,0.5533,0.5587,0.5361,0.5438,4023520.5861,7326164.3817,2055187.8345,3741816.6027,91425,0.5492
1698278400000,2023-10-26 00:00:00,XRP/USDT,0.5549,0.569,0.5433,0.5534,4440777.1809,8014659.0314,2269361.0765,4096553.8504,98686,0.5541
1698192000000,2023-10-25 00:00:00,XRP/USDT,0.5587,0.5637,0.5406,0.5549,4038013.7312,7292366.6012,2070073.2494,3738507.9777,91389,0.5537
1698105600000,2023-10-24 00:00:00,XRP/USDT,0.547,0.586,0.5357,0.5588,4620738.9803,8318206.1244,2375473.1965,4273237.9027,93794,0.5557
1698019200000,2023-10-23 00:00:00,XRP/USDT,0.5222,0.5554,0.5201,0.547,3410713.0426,6416807.4689,1784338.1383,3356210.39,73617,0.5316
1697932800000,2023-10-22 00:00:00,XRP/USDT,0.5207,0.5238,0.5129,0.5223,156063.0774,302018.2594,93921.8899,181896.6733,1272,0.5167
1697846400000,2023-10-21 00:00:00,XRP/USDT,0.5151,0.5311,0.5112,0.5209,979834.3109,1903999.3365,494550.9457,960798.3425,21965,0.5146
1697760000000,2023-10-20 00:00:00,XRP/USDT,0.5197,0.53,0.5085,0.5155,3353108.1665,6472762.2459,1710804.9604,3302250.874,71568,0.518
1697673600000,2023-10-19 00:00:00,XRP/USDT,0.4877,0.5238,0.4774,0.5198,2267014.3276,4627313.8584,1130834.3218,2304012.466,48552,0.4902
1697587200000,2023-10-18 00:00:00,XRP/USDT,0.4911,0.4923,0.4864,0.4877,2069549.475,4228968.3064,1054355.3026,2154480.2016,46377,0.4893
1697500800000,2023-10-17 00:00:00,XRP/USDT,0.4979,0.4979,0.485,0.4913,2032763.5372,4140978.4519,1036461.2143,2111422.4167,46017,0.4908
1697414400000,2023-10-16 00:00:00,XRP/USDT,0.4873,0.5086,0.4853,0.4978,342851.5754,694759.5391,131260.1782,265727.6139,3343,0.4935
1697328000000,2023-10-15 00:00:00,XRP/USDT,0.4865,0.4901,0.4849,0.4873,175644.8789,360651.6398,69175.6857,142045.2694,2615,0.487
1697241600000,2023-10-14 00:00:00,XRP/USDT,0.4852,0.4885,0.4833,0.4864,813153.7638,1676417.7655,417921.6904,861610.1199,16860,0.485
1697155200000,2023-10-13 00:00:00,XRP/USDT,0.4831,0.4909,0.4787,0.4854,1659396.5023,3435524.5821,810295.8502,1678370.2277,36029,0.483
1697068800000,2023-10-12 00:00:00,XRP/USDT,0.4887,0.4888,0.474,0.4831,1862939.472,3867911.6989,954857.2986,1982300.2339,41232,0.4816
1696982400000,2023-10-11 00:00:00,XRP/USDT,0.4963,0.4977,0.4795,0.4889,2216873.9559,4548394.1022,1095798.9837,2248188.5481,49149,0.4874
1696896000000,2023-10-10 00:00:00,XRP/USDT,0.5023,0.5027,0.492,0.4965,2826500.4555,5675703.9921,1402816.0278,2816765.0214,60402,0.498
1696809600000,2023-10-09 00:00:00,XRP/USDT,0.5174,0.52,0.49,0.5026,3535791.3261,6971995.4586,1840948.8812,3629391.5578,78508,0.5072
1696723200000,2023-10-08 00:00:00,XRP/USDT,0.5216,0.5234,0.5161,0.5176,3548856.9315,6828256.2004,1758743.9489,3383886.6806,77982,0.5197
1696636800000,2023-10-07 00:00:00,XRP/USDT,0.5255,0.5256,0.5199,0.5216,4743907.1278,9076246.8544,2345546.9502,4487639.2527,105853,0.5226
1696550400000,2023-10-06 00:00:00,XRP/USDT,0.523,0.5293,0.5172,0.5254,5787569.8612,11066671.6288,2925350.1394,5593485.0401,126349,0.5229
1696464000000,2023-10-05 00:00:00,XRP/USDT,0.5326,0.5327,0.5162,0.5229,5299598.2221,10103348.28,2639322.5129,5032162.2758,118760,0.5245
1696377600000,2023-10-04 00:00:00,XRP/USDT,0.539,0.5423,0.5195,0.5327,6369536.3726,11968499.1318,3278220.0942,6160012.19,142444,0.5322
1696291200000,2023-10-03 00:00:00,XRP/USDT,0.5122,0.5475,0.5059,0.5389,7616900.3084,14868972.7413,3884402.2713,7582399.3984,164364,0.5123
1696204800000,2023-10-02 00:00:00,XRP/USDT,0.524,0.5258,0.509,0.5123,3362325.8217,6474221.6876,1716147.0689,3304189.4213,76802,0.5193
1696118400000,2023-10-01 00:00:00,XRP/USDT,0.5148,0.5258,0.5137,0.524,1760671.2685,3395692.2715,867912.7473,1674067.8932,36557,0.5185
1696032000000,2023-09-30 00:00:00,XRP/USDT,0.522,0.5222,0.514,0.5147,2220566.5761,4295142.6121,1090597.5088,2109590.4857,45112,0.5169
1695945600000,2023-09-29 00:00:00,XRP/USDT,0.5097,0.5467,0.5061,0.522,4606726.0356,8827499.1034,2204170.6682,4216363.2627,64219,0.522
