https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume NEAR
1664668800000,2022-10-02 00:00:00,NEAR/USDT,3.5525,3.621,3.4683,3.4818,1286.6221998813119,369.52788784
1664582400000,2022-10-01 00:00:00,NEAR/USDT,3.5574,3.5947,3.5302,3.5553,1485.952751744517,417.95425189
1664496000000,2022-09-30 00:00:00,NEAR/USDT,3.5946,3.6396,3.512,3.5588,2468.833192632996,693.72631017
1664409600000,2022-09-29 00:00:00,NEAR/USDT,3.5757,3.81,3.5045,3.5884,2011.2740196742523,560.49326153
1664323200000,2022-09-28 00:00:00,NEAR/USDT,3.6172,3.6624,3.447,3.573,4660.21056443553,1304.28507261
1664236800000,2022-09-27 00:00:00,NEAR/USDT,3.6827,3.8179,3.5537,3.6214,6002.553597296252,1657.52294618
1664150400000,2022-09-26 00:00:00,NEAR/USDT,3.6457,3.7271,3.555,3.6819,6480.7368333965105,1760.1610129
1664064000000,2022-09-25 00:00:00,NEAR/USDT,3.6998,3.8044,3.6131,3.644,1516.9120222652402,416.27662521
1663977600000,2022-09-24 00:00:00,NEAR/USDT,3.809,3.8719,3.6689,3.6963,2184.404995711701,590.97069927
1663891200000,2022-09-23 00:00:00,NEAR/USDT,3.8616,3.9462,3.6227,3.8028,2107.906704699612,554.30385629
1663804800000,2022-09-22 00:00:00,NEAR/USDT,3.6565,3.8966,3.6289,3.8609,4529.519242461634,1173.17704226
1663718400000,2022-09-21 00:00:00,NEAR/USDT,3.8304,4.022,3.5001,3.6539,26709.6504990996,7309.90188541
1663632000000,2022-09-20 00:00:00,NEAR/USDT,4.0569,4.1085,3.8054,3.8191,2655.1931945874244,695.24055264
1663545600000,2022-09-19 00:00:00,NEAR/USDT,3.9956,4.1999,3.8522,4.0545,3159.969588842265,779.37343417
1663459200000,2022-09-18 00:00:00,NEAR/USDT,4.3827,4.4193,3.9211,3.9637,5158.4024427549375,1301.41091474
1663372800000,2022-09-17 00:00:00,NEAR/USDT,4.206,4.3866,4.205,4.3766,4569.129339351523,1043.99061814
1663286400000,2022-09-16 00:00:00,NEAR/USDT,4.1772,4.2612,4.1161,4.2073,3554.0285156986033,844.72904611
1663200000000,2022-09-15 00:00:00,NEAR/USDT,4.4647,4.4723,4.1318,4.1798,2504.04321340609,599.08206455
1663113600000,2022-09-14 00:00:00,NEAR/USDT,4.3942,4.543,4.3409,4.5006,7338.513039640225,1630.56326704
1663027200000,2022-09-13 00:00:00,NEAR/USDT,5.0889,5.1228,4.3981,4.4167,5622.413412021021,1272.98965563
1662940800000,2022-09-12 00:00:00,NEAR/USDT,4.8938,5.2559,4.7108,5.0945,5168.018858747465,1014.43102537
1662854400000,2022-09-11 00:00:00,NEAR/USDT,4.8206,5.0283,4.6303,4.882,5996.2811572492,1228.2427606
1662768000000,2022-09-10 00:00:00,NEAR/USDT,4.8204,4.9054,4.608,4.8144,14250.000782756448,2959.87055142
1662681600000,2022-09-09 00:00:00,NEAR/USDT,4.6821,4.8771,4.6162,4.8091,15612.156430614617,3246.37799809
1662595200000,2022-09-08 00:00:00,NEAR/USDT,4.3897,4.7062,4.3897,4.6891,6149.559649040509,1311.45841399
1662508800000,2022-09-07 00:00:00,NEAR/USDT,4.0766,4.4233,4.0335,4.3784,3459.7469571338956,790.18521769
1662422400000,2022-09-06 00:00:00,NEAR/USDT,4.2341,4.5311,3.9773,4.0664,4755.3294514430645,1169.41999101
1662336000000,2022-09-05 00:00:00,NEAR/USDT,4.236,4.2781,4.1175,4.2252,2815.5673165472163,666.37492108
1662249600000,2022-09-04 00:00:00,NEAR/USDT,4.1722,4.2442,4.102,4.2359,2529.1150262468336,597.06674526
1662163200000,2022-09-03 00:00:00,NEAR/USDT,4.1803,4.2352,4.124,4.1706,1814.5913399940061,435.09119551
1662076800000,2022-09-02 00:00:00,NEAR/USDT,4.3414,4.3861,4.1181,4.1802,2305.436325841134,551.51340267
1661990400000,2022-09-01 00:00:00,NEAR/USDT,4.3728,4.441,4.1884,4.3397,1867.7288944192808,430.38202973
1661904000000,2022-08-31 00:00:00,NEAR/USDT,4.199,4.4793,4.1895,4.3601,6910.824009674082,1585.01502481
1661817600000,2022-08-30 00:00:00,NEAR/USDT,4.0291,4.2589,3.9558,4.1969,4045.7373827758424,963.98231618
1661731200000,2022-08-29 00:00:00,NEAR/USDT,3.7649,4.0476,3.7,4.0312,3284.272154220312,814.71327501
1661644800000,2022-08-28 00:00:00,NEAR/USDT,3.9112,3.9511,3.7431,3.753,5594.33188329624,1490.62933208
1661558400000,2022-08-27 00:00:00,NEAR/USDT,3.9346,3.9958,3.83,3.9106,2011.394193766682,514.34413997
1661472000000,2022-08-26 00:00:00,NEAR/USDT,4.308,4.4266,3.9,3.9295,8125.833532165095,2067.90521241
1661385600000,2022-08-25 00:00:00,NEAR/USDT,4.2643,4.4477,4.2042,4.3128,3805.7822297557923,882.43884014
1661299200000,2022-08-24 00:00:00,NEAR/USDT,4.3087,4.3953,4.1472,4.2685,9841.468235534005,2305.60342873
1661212800000,2022-08-23 00:00:00,NEAR/USDT,4.1217,4.4075,4.0095,4.2991,3228.108163375342,750.87998962
1661126400000,2022-08-22 00:00:00,NEAR/USDT,4.2523,4.2555,4.1961,4.2151,80.87961826112999,19.1880663
1661040000000,2022-08-21 00:00:00,NEAR/USDT,4.1502,4.3702,4.0799,4.2539,7246.220741045356,1703.42996804
1660953600000,2022-08-20 00:00:00,NEAR/USDT,4.2593,4.4409,4.0244,4.1494,3875.402946523486,933.96706669
1660867200000,2022-08-19 00:00:00,NEAR/USDT,4.8997,4.9538,4.2,4.2486,5422.854997411211,1276.38633842
1660780800000,2022-08-18 00:00:00,NEAR/USDT,4.9871,5.1899,4.856,4.872,2867.3978178333596,588.54635013
1660694400000,2022-08-17 00:00:00,NEAR/USDT,5.2557,5.503,4.9273,4.9772,3791.8244325736437,761.83887177
1660608000000,2022-08-16 00:00:00,NEAR/USDT,5.4075,5.5756,5.2483,5.2644,2282.770338109668,433.62402897
1660521600000,2022-08-15 00:00:00,NEAR/USDT,5.6245,5.828,5.309,5.4087,15421.216689202995,2851.18728885
1660435200000,2022-08-14 00:00:00,NEAR/USDT,5.88,5.9321,5.5199,5.6132,6348.282317038076,1130.95601743
1660348800000,2022-08-13 00:00:00,NEAR/USDT,5.9719,6.0879,5.825,5.8774,3530.707517075498,600.72608927
1660262400000,2022-08-12 00:00:00,NEAR/USDT,5.7556,6.0527,5.632,5.9746,5474.544329968217,916.30307133
1660176000000,2022-08-11 00:00:00,NEAR/USDT,5.8998,5.9612,5.6627,5.7556,6344.669037999869,1102.34711203
1660089600000,2022-08-10 00:00:00,NEAR/USDT,5.368,6.0704,5.2852,5.9048,11739.314487197527,1988.09688511
1660003200000,2022-08-09 00:00:00,NEAR/USDT,5.4654,5.5938,5.3853,5.4285,521.070558726795,95.98794487
