https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume TRX
1602460800,2020-10-12 00:00:00,TRX/USD,0.02665,0.02785,0.02591,0.0273,23794.94,896113.27
1602374400,2020-10-11 00:00:00,TRX/USD,0.02655,0.027,0.02622,0.02665,43023.84,1623501.46
1602288000,2020-10-10 00:00:00,TRX/USD,0.02629,0.02747,0.02628,0.02655,41576.86,1544075.95
1602201600,2020-10-09 00:00:00,TRX/USD,0.02593,0.02653,0.02565,0.02629,34949.84,1335496.48
1602115200,2020-10-08 00:00:00,TRX/USD,0.02557,0.026,0.02509,0.02593,34182.88,1335501.97
1602028800,2020-10-07 00:00:00,TRX/USD,0.02561,0.02626,0.0251,0.02557,34003.56,1332522.34
1601942400,2020-10-06 00:00:00,TRX/USD,0.02651,0.0267,0.02541,0.02561,36851.02,1408534.83
1601856000,2020-10-05 00:00:00,TRX/USD,0.02645,0.0268,0.02605,0.02651,35684.62,1352344.16
1601769600,2020-10-04 00:00:00,TRX/USD,0.02724,0.02739,0.02602,0.02645,40144.15,1511391.78
1601683200,2020-10-03 00:00:00,TRX/USD,0.02609,0.0287,0.02583,0.02724,49046.09,1788545.65
1601596800,2020-10-02 00:00:00,TRX/USD,0.02567,0.0264,0.02431,0.02609,41339.9,1623107.92
1601510400,2020-10-01 00:00:00,TRX/USD,0.0264,0.02699,0.02523,0.02567,37293.8,1422551.78
1601424000,2020-09-30 00:00:00,TRX/USD,0.02628,0.0266,0.02574,0.0264,33732.18,1288291.28
1601337600,2020-09-29 00:00:00,TRX/USD,0.02639,0.02661,0.0255,0.02628,35609.82,1358765.59
1601251200,2020-09-28 00:00:00,TRX/USD,0.02662,0.0273,0.02625,0.02639,36700.94,1368079.93
1601164800,2020-09-27 00:00:00,TRX/USD,0.0273,0.02747,0.026,0.02662,41365.38,1552042.99
1601078400,2020-09-26 00:00:00,TRX/USD,0.02708,0.02886,0.02706,0.0273,46768.15,1673656.44
1600992000,2020-09-25 00:00:00,TRX/USD,0.0263,0.02765,0.02563,0.02708,42326.09,1600438.9
1600905600,2020-09-24 00:00:00,TRX/USD,0.02477,0.02663,0.02454,0.0263,35650.46,1402694.78
1600819200,2020-09-23 00:00:00,TRX/USD,0.02489,0.02614,0.0246,0.02477,35965.69,1421876.88
1600732800,2020-09-22 00:00:00,TRX/USD,0.02525,0.0259,0.02454,0.02489,38524.84,1540374.26
1600646400,2020-09-21 00:00:00,TRX/USD,0.02743,0.02787,0.02471,0.02525,40027.95,1528391.31
1600560000,2020-09-20 00:00:00,TRX/USD,0.02778,0.02821,0.02653,0.02743,36721.21,1344991.24
1600473600,2020-09-19 00:00:00,TRX/USD,0.0291,0.0295,0.02778,0.02778,40117.69,1409256.18
1600387200,2020-09-18 00:00:00,TRX/USD,0.0282,0.02987,0.02774,0.0291,51672.61,1779425.51
1600300800,2020-09-17 00:00:00,TRX/USD,0.02678,0.029,0.02637,0.0282,50365.3,1844414.32
1600214400,2020-09-16 00:00:00,TRX/USD,0.02803,0.02955,0.0262,0.02678,45636.73,1665786.18
1600128000,2020-09-15 00:00:00,TRX/USD,0.03048,0.031,0.0276,0.02803,52296.25,1781995.5
1600041600,2020-09-14 00:00:00,TRX/USD,0.03045,0.03152,0.03,0.03048,46853.96,1518898.33
1599955200,2020-09-13 00:00:00,TRX/USD,0.03287,0.03326,0.02951,0.03045,50640.95,1604740.73
1599868800,2020-09-12 00:00:00,TRX/USD,0.03375,0.03375,0.0321,0.03287,35088.03,1071322.64
1599782400,2020-09-11 00:00:00,TRX/USD,0.03309,0.03412,0.03151,0.03375,24160.65,739382.24
1599696000,2020-09-10 00:00:00,TRX/USD,0.0342,0.035,0.0325,0.03309,22886.56,674896.13
1599609600,2020-09-09 00:00:00,TRX/USD,0.035,0.03582,0.03372,0.0342,22681.45,652924.02
1599523200,2020-09-08 00:00:00,TRX/USD,0.0323,0.03556,0.03154,0.035,54888.02,1626419.33
