https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALA,Volume USD
1695686400000,2023-09-26 00:00:00,GALA/USD,0.01375,0.01397,0.01326,0.01346,529312.526224,7124.5466029750405
1695600000000,2023-09-25 00:00:00,GALA/USD,0.01365,0.01375,0.01334,0.01375,700143.348902,9626.9710474025
1695513600000,2023-09-24 00:00:00,GALA/USD,0.01343,0.01378,0.01326,0.01365,189718.759188,2589.6610629162
1695427200000,2023-09-23 00:00:00,GALA/USD,0.01377,0.0141,0.01304,0.01343,890637.543831,11961.262213650329
1695340800000,2023-09-22 00:00:00,GALA/USD,0.01352,0.01393,0.01307,0.01377,616452.80067,8488.5550652259
1695254400000,2023-09-21 00:00:00,GALA/USD,0.01378,0.01434,0.013,0.01352,1337544.848802,18083.60635580304
1695168000000,2023-09-20 00:00:00,GALA/USD,0.01457,0.01457,0.01367,0.01378,619755.653463,8540.23290472014
1695081600000,2023-09-19 00:00:00,GALA/USD,0.01455,0.01462,0.01393,0.01457,792174.390364,11541.980867603479
1694995200000,2023-09-18 00:00:00,GALA/USD,0.01418,0.01477,0.01392,0.01455,567317.628337,8254.47149230335
1694908800000,2023-09-17 00:00:00,GALA/USD,0.0148,0.01504,0.01384,0.01418,1389039.129617,19696.57485796906
1694822400000,2023-09-16 00:00:00,GALA/USD,0.01479,0.01504,0.01442,0.0148,2418796.097933,35798.182249408404
1694736000000,2023-09-15 00:00:00,GALA/USD,0.01427,0.01492,0.01412,0.01479,697055.754338,10309.45460665902
1694649600000,2023-09-14 00:00:00,GALA/USD,0.01409,0.01515,0.01409,0.01427,1252558.071863,17874.00368548501
1694563200000,2023-09-13 00:00:00,GALA/USD,0.0138,0.0146,0.01371,0.01409,977747.397719,13776.46083386071
1694476800000,2023-09-12 00:00:00,GALA/USD,0.01407,0.01531,0.0138,0.0138,1805900.684331,24921.4294437678
1694390400000,2023-09-11 00:00:00,GALA/USD,0.01495,0.01537,0.01361,0.01407,2323029.502803,32685.02510443821
