https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1699315200000,2023-11-07 00:00:00,SOL/USDT,42.126,44.602,40.085,42.942,5772536.02,137714.632736,2984275.55,71216.608938,75136,41.943
1699228800000,2023-11-06 00:00:00,SOL/USDT,41.182,42.212,39.657,42.181,5725252.7,141225.780848,2790270.95,68801.605908,69570,40.546
1699142400000,2023-11-05 00:00:00,SOL/USDT,42.428,42.868,40.28,41.152,6058585.6,146230.856326,2986824.28,72085.804402,58189,41.439
1699056000000,2023-11-04 00:00:00,SOL/USDT,39.447,42.705,39.027,42.389,6078213.07,146918.083336,2974201.14,71940.967393,61059,41.386
1698969600000,2023-11-03 00:00:00,SOL/USDT,40.216,40.218,36.119,39.444,7936270.83,203167.096444,3817438.04,97653.981077,89411,39.069
1698883200000,2023-11-02 00:00:00,SOL/USDT,41.261,44.553,38.712,40.242,8332340.32,199342.268142,4332646.7,103647.885815,97188,41.846
1698796800000,2023-11-01 00:00:00,SOL/USDT,38.402,46.579,37.906,41.272,5647464.58,140193.874528,2815826.09,69905.354203,56505,40.392
1698710400000,2023-10-31 00:00:00,SOL/USDT,34.934,38.625,34.851,38.424,10849779.12,297947.265382,5859052.51,160924.241544,128598,36.425
1698624000000,2023-10-30 00:00:00,SOL/USDT,32.824,35.12,32.511,34.94,2558552.53,73788.05829,1285559.89,37063.561263,14947,34.684
1698537600000,2023-10-29 00:00:00,SOL/USDT,31.628,33.169,31.313,32.813,1894338.73,58549.452413,883611.21,27298.624934,12586,32.36
1698451200000,2023-10-28 00:00:00,SOL/USDT,31.759,32.492,31.389,31.634,1850153.62,57764.783823,900677.2,28115.576391,17274,32.03
1698364800000,2023-10-27 00:00:00,SOL/USDT,32.812,33.333,31.393,31.759,2072795.29,64096.77834,1004797.48,31076.396143,22390,32.342
1698278400000,2023-10-26 00:00:00,SOL/USDT,32.43,33.26,30.77,32.905,2584225.78,80700.995769,1298021.97,40554.412031,26662,32.032
1698192000000,2023-10-25 00:00:00,SOL/USDT,30.148,33.825,30.007,32.455,2415797.72,75373.27223,1245207.41,38855.626955,27191,32.074
1698105600000,2023-10-24 00:00:00,SOL/USDT,31.881,34,29.548,30.157,2680094.77,85896.63232,1340563.72,42955.314925,27258,31.215
1698019200000,2023-10-23 00:00:00,SOL/USDT,29.057,32.799,28.762,31.932,2194771.6,73333.766175,1148868.84,38379.813677,22585,29.946
1697932800000,2023-10-22 00:00:00,SOL/USDT,29.342,29.982,28.11,29.042,1414258.69,48869.162446,711050.57,24575.862597,15563,28.946
1697846400000,2023-10-21 00:00:00,SOL/USDT,27.056,30.238,26.655,29.363,1752276.53,61871.437641,860504.19,30260.532035,16773,28.365
