https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRX,Volume USD
1694649600,2023-09-14,TRX/USD,0.081183,0.083865,0.081042,0.083865,33308.471452,2793.4149583219796
1694563200,2023-09-13,TRX/USD,0.080778,0.081898,0.080381,0.081081,118215.371724,9585.020554753644
1694476800,2023-09-12,TRX/USD,0.07758,0.082479,0.07758,0.080878,65503.416479,5297.785317988562
1694390400,2023-09-11,TRX/USD,0.078346,0.078635,0.077181,0.077494,18011.129398,1395.754461568612
1694304000,2023-09-10,TRX/USD,0.078936,0.078936,0.077973,0.078248,11968.737149,936.529744434952
1694217600,2023-09-09,TRX/USD,0.079072,0.079072,0.078888,0.079036,2918.495263,230.66619160646798
1694131200,2023-09-08,TRX/USD,0.079048,0.079138,0.078604,0.078972,7911.378623,624.777392615556
1694044800,2023-09-07,TRX/USD,0.078699,0.07921,0.078699,0.079025,9517.467592,752.1178764578001
1693958400,2023-09-06,TRX/USD,0.077473,0.078625,0.077186,0.078625,26058.461785,2048.846557845625
1693872000,2023-09-05,TRX/USD,0.077343,0.077431,0.077343,0.077376,4224.154139,326.84815065926404
1693785600,2023-09-04,TRX/USD,0.076994,0.078374,0.076994,0.077223,5722.150742,441.881646749466
1693699200,2023-09-03,TRX/USD,0.077103,0.077103,0.076797,0.076901,4958.178295,381.28886906379495
1693612800,2023-09-02,TRX/USD,0.076181,0.077126,0.076164,0.077006,10327.93052,795.31261762312
1693526400,2023-09-01,TRX/USD,0.076837,0.077216,0.075787,0.076085,20922.232583,1591.868066077555
1693440000,2023-08-31,TRX/USD,0.07574,0.076815,0.075432,0.076815,26018.84636,1998.6376831433997
1693353600,2023-08-30,TRX/USD,0.077175,0.077175,0.075568,0.075645,18224.999546,1378.63009065717
1693267200,2023-08-29,TRX/USD,0.076332,0.077996,0.076,0.077198,39877.329714,3078.450099261372
1693180800,2023-08-28,TRX/USD,0.077403,0.077403,0.076332,0.076356,14864.393481,1134.9856286352358
1693094400,2023-08-27,TRX/USD,0.077408,0.077546,0.077313,0.077403,4497.391851,348.11162144295304
1693008000,2023-08-26,TRX/USD,0.077106,0.077528,0.077106,0.07743,3614.283574,279.85397713482
1692921600,2023-08-25,TRX/USD,0.076472,0.0772,0.076447,0.077093,16907.080958,1303.4175922950938
1692835200,2023-08-24,TRX/USD,0.077684,0.077684,0.076353,0.07645,10619.819186,811.8851767697001
1692748800,2023-08-23,TRX/USD,0.075459,0.07775,0.075459,0.077564,24513.988482,1901.403002617848
1692662400,2023-08-22,TRX/USD,0.075053,0.075366,0.074375,0.075366,22768.994844,1716.0080654129042
1692576000,2023-08-21,TRX/USD,0.075877,0.075877,0.074308,0.075085,29595.783207,2222.199382097595
1692489600,2023-08-20,TRX/USD,0.073996,0.076299,0.073996,0.075899,53956.131302,4095.2164096904976
1692403200,2023-08-19,TRX/USD,0.072998,0.074123,0.072998,0.07394,15014.025868,1110.13707267992
1692316800,2023-08-18,TRX/USD,0.072802,0.073188,0.072081,0.07296,30161.98801,2200.6186452096
1692230400,2023-08-17,TRX/USD,0.074393,0.075212,0.072259,0.072835,594051.673527,43267.75364133904
1692144000,2023-08-16,TRX/USD,0.076438,0.076619,0.074104,0.074478,174869.072769,13023.898801689582
1692057600,2023-08-15,TRX/USD,0.077471,0.077471,0.076236,0.076398,55231.83375,4219.601634832499
1691971200,2023-08-14,TRX/USD,0.077271,0.077503,0.077238,0.077503,6640.427785,514.653074620855
1691884800,2023-08-13,TRX/USD,0.077366,0.078,0.077246,0.077246,11249.492393,868.978289389678
1691798400,2023-08-12,TRX/USD,0.077164,0.077435,0.077164,0.077435,2074.472983,160.63681543860503
1691712000,2023-08-11,TRX/USD,0.077331,0.077331,0.076949,0.077069,3830.411506,295.205984355914
1691625600,2023-08-10,TRX/USD,0.076479,0.077324,0.076479,0.077244,9091.294609,702.247960777596
1691539200,2023-08-09,TRX/USD,0.077008,0.077131,0.076166,0.076398,15487.186077,1183.190041910646
1691452800,2023-08-08,TRX/USD,0.0767,0.077113,0.076354,0.077113,11054.820069,852.470339980797
1691366400,2023-08-07,TRX/USD,0.076817,0.076817,0.076169,0.0767,10971.505955,841.5145067485001
1691280000,2023-08-06,TRX/USD,0.077386,0.077386,0.076488,0.076842,8596.660984,660.5846233325279
1691193600,2023-08-05,TRX/USD,0.076597,0.077448,0.076019,0.077448,14031.92036,1086.74416804128
1691107200,2023-08-04,TRX/USD,0.076983,0.077714,0.076463,0.076697,19935.522411,1528.9947623564672
1691020800,2023-08-03,TRX/USD,0.076481,0.07733,0.076481,0.076889,12757.588994,980.9182601596659
1690934400,2023-08-02,TRX/USD,0.078452,0.078549,0.076405,0.076422,26631.194148,2035.209119178456
1690848000,2023-08-01,TRX/USD,0.078054,0.078399,0.076542,0.078399,117393.639791,9203.543965974608
1690761600,2023-07-31,TRX/USD,0.079971,0.08007,0.07766,0.078072,43849.556048,3423.422539779456
1690675200,2023-07-30,TRX/USD,0.083353,0.083456,0.079325,0.079873,86100.600403,6877.113255988819
1690588800,2023-07-29,TRX/USD,0.085169,0.085169,0.083335,0.083335,21390.937048,1782.6137388950801
1690502400,2023-07-28,TRX/USD,0.082499,0.085196,0.082499,0.085196,28818.829515,2455.2489993599397
1690416000,2023-07-27,TRX/USD,0.082533,0.082653,0.082431,0.082463,6653.491654,548.666882263802
1690329600,2023-07-26,TRX/USD,0.081741,0.082804,0.080824,0.082634,41336.702833,3415.8171019021224
1690243200,2023-07-25,TRX/USD,0.0815,0.082048,0.080462,0.081722,27720.643783,2265.386451234326
1690156800,2023-07-24,TRX/USD,0.083134,0.083134,0.080596,0.081542,49174.674083,4009.801274075986
1690070400,2023-07-23,TRX/USD,0.083939,0.085099,0.083116,0.083244,60119.070705,5004.55192176702
1689984000,2023-07-22,TRX/USD,0.080588,0.094072,0.080489,0.083884,1238113.195886,103857.88732370123
1689897600,2023-07-21,TRX/USD,0.080609,0.081363,0.080609,0.080687,16887.203249,1362.5777685520627
1689811200,2023-07-20,TRX/USD,0.080445,0.081078,0.080281,0.080609,25018.375191,2016.706205771319
1689724800,2023-07-19,TRX/USD,0.079654,0.080444,0.079093,0.080444,30029.041542,2415.656217804648
1689638400,2023-07-18,TRX/USD,0.079751,0.081419,0.079053,0.079573,53397.817441,4249.024527232693
1689552000,2023-07-17,TRX/USD,0.07985,0.080401,0.07929,0.079714,20486.683159,1633.075461336526
1689465600,2023-07-16,TRX/USD,0.080727,0.080727,0.079234,0.079847,20897.038795,1668.5658566643651
1689379200,2023-07-15,TRX/USD,0.079772,0.082212,0.079772,0.080819,49697.239213,4016.4811759554473
