https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM,Volume USD
1652659200,2022-05-16,ATOM/USD,12.1242,12.2276,10.9999,11.0,1775.146386,19526.610246
1652572800,2022-05-15,ATOM/USD,10.7816,12.3788,10.4338,12.3788,1357.903227,16809.212466387602
1652486400,2022-05-14,ATOM/USD,10.31,11.8423,8.0,10.8797,2303.669803,25063.236355699097
1652400000,2022-05-13,ATOM/USD,9.77,11.9342,9.1936,10.3132,6872.362393,70876.04783148761
1652313600,2022-05-12,ATOM/USD,10.9319,16.0,8.3498,9.77,11282.978593,110234.70085360999
1652227200,2022-05-11,ATOM/USD,13.5026,13.9564,9.4,10.7785,6255.816769,67428.32104466649
1652140800,2022-05-10,ATOM/USD,12.5094,15.2897,12.1004,13.6611,3713.117203,50725.26542190329
1652054400,2022-05-09,ATOM/USD,15.8263,15.9369,12.5348,12.5348,2226.136889,27904.1806762372
1651968000,2022-05-08,ATOM/USD,16.4936,16.4936,15.6881,15.6944,442.655865,6947.218207656
1651881600,2022-05-07,ATOM/USD,17.7101,17.7101,16.1482,16.4937,870.782709,14362.428767433299
1651795200,2022-05-06,ATOM/USD,17.9299,18.15,17.0933,17.7173,1814.738559,32152.267471370702
1651708800,2022-05-05,ATOM/USD,19.8996,20.3005,17.3281,17.7804,765.88852,13617.804241008
1651622400,2022-05-04,ATOM/USD,17.651,22.0,17.651,19.8694,1423.115173,28276.444618406196
1651536000,2022-05-03,ATOM/USD,17.8612,18.9381,17.5771,17.6502,177.885655,3139.7173878810004
1651449600,2022-05-02,ATOM/USD,18.0633,18.36,17.21,17.8924,313.171703,5603.3933787572
1651363200,2022-05-01,ATOM/USD,18.0707,18.6511,17.2,18.0631,783.72692,14156.537728651998
1651276800,2022-04-30,ATOM/USD,19.5493,19.5493,17.2971,17.92,843.228657,15110.657533440002
1651190400,2022-04-29,ATOM/USD,20.8422,20.8422,19.3534,19.4423,916.203708,17813.1073520484
1651104000,2022-04-28,ATOM/USD,21.426,21.4422,20.4648,20.7672,564.697921,11727.194664991199
1651017600,2022-04-27,ATOM/USD,20.2908,21.8143,20.2752,21.4611,1317.911569,28283.8319734659
1650931200,2022-04-26,ATOM/USD,22.1791,22.264,20.1243,20.2816,982.397423,19924.5915743168
1650844800,2022-04-25,ATOM/USD,22.4106,22.4106,20.9609,22.1458,925.731351,20501.0613529758
1650758400,2022-04-24,ATOM/USD,23.291,23.291,22.4448,22.4448,120.91144,2713.833088512
1650672000,2022-04-23,ATOM/USD,23.1041,23.4354,22.8718,23.3108,339.383643,7911.3042252444
1650585600,2022-04-22,ATOM/USD,23.3196,23.8232,22.9808,22.9808,241.143911,5541.6799899088
1650499200,2022-04-21,ATOM/USD,24.4456,24.9121,23.0,23.3195,714.624321,16664.6818535595
1650412800,2022-04-20,ATOM/USD,24.6522,25.0112,24.1811,24.4254,319.661496,7807.8599043983995
1650326400,2022-04-19,ATOM/USD,24.0727,24.72,23.8778,24.6328,451.250893,11115.5729970904
1650240000,2022-04-18,ATOM/USD,23.2472,24.0362,22.5425,24.0362,397.18764,9546.881552568
1650153600,2022-04-17,ATOM/USD,24.2475,24.4484,23.2338,23.2338,410.501005,9537.498249969
1650067200,2022-04-16,ATOM/USD,24.1638,24.4107,23.9796,24.2845,284.798668,6916.193253046001
1649980800,2022-04-15,ATOM/USD,23.9402,24.4026,23.923,24.1,170.465791,4108.2255631
1649894400,2022-04-14,ATOM/USD,24.8162,25.072,23.8737,24.0227,606.614299,14572.513320587299
1649808000,2022-04-13,ATOM/USD,24.7409,25.1615,24.1619,24.6844,370.470727,9144.8476135588
1649721600,2022-04-12,ATOM/USD,23.8691,25.4086,23.8366,24.7033,683.503571,16884.793765484297
1649635200,2022-04-11,ATOM/USD,26.6277,26.6277,23.4361,23.83,1147.257247,27339.140196009997
1649548800,2022-04-10,ATOM/USD,27.2894,27.5051,26.6021,26.6656,391.595044,10442.1168052864
1649462400,2022-04-09,ATOM/USD,26.8962,27.4309,26.7827,27.2742,259.008181,7064.240930230199
1649376000,2022-04-08,ATOM/USD,27.6965,28.8434,26.7887,26.8607,1730.472623,46481.70598461611
1649289600,2022-04-07,ATOM/USD,26.9836,27.771,26.5148,27.771,1159.510555,32200.767622905
1649203200,2022-04-06,ATOM/USD,29.236,29.252,26.9112,26.9621,3832.166761,103323.2634267581
1649116800,2022-04-05,ATOM/USD,30.9306,31.0988,29.2383,29.3173,1550.108445,45444.9943145985
1649030400,2022-04-04,ATOM/USD,31.9769,32.4366,30.1614,30.8477,1304.917829,40253.7137136433
1648944000,2022-04-03,ATOM/USD,31.3898,33.3692,30.7213,31.8906,1626.522769,51870.787017071394
1648857600,2022-04-02,ATOM/USD,29.3882,32.745,29.3882,31.3057,2266.795786,70963.62883778021
1648771200,2022-04-01,ATOM/USD,28.8467,29.6267,27.7188,29.3494,1290.842613,37885.4561859822
1648684800,2022-03-31,ATOM/USD,29.9937,31.2373,28.5,28.824,2206.552876,63601.680097824006
1648598400,2022-03-30,ATOM/USD,30.0911,31.253,29.4649,30.0333,2217.398269,66595.7874323577
1648512000,2022-03-29,ATOM/USD,29.5303,31.5836,29.5303,30.2059,1315.087665,39723.4065002235
1648425600,2022-03-28,ATOM/USD,29.8806,31.3861,29.243,29.4851,2928.197751,86338.2035080101
1648339200,2022-03-27,ATOM/USD,28.7699,29.8382,28.2307,29.8382,457.732355,13657.909554961
1648252800,2022-03-26,ATOM/USD,28.1781,28.8725,28.0654,28.7577,360.022013,10353.4050432501
1648166400,2022-03-25,ATOM/USD,29.1802,29.9621,27.8,28.1409,1110.931653,31262.6165539077
1648080000,2022-03-24,ATOM/USD,28.2883,29.3351,28.0072,29.15,679.835437,19817.202988549998
1647993600,2022-03-23,ATOM/USD,28.0311,28.2873,27.3066,28.2873,1600.404048,45271.1094269904
1647907200,2022-03-22,ATOM/USD,27.926,28.973,27.6615,28.0682,574.410623,16122.6722484886
1647820800,2022-03-21,ATOM/USD,27.8798,28.3893,27.6716,27.9736,733.708803,20524.4765716008
1647734400,2022-03-20,ATOM/USD,28.7454,28.7454,27.6418,27.843,757.763836,21098.418485748
1647648000,2022-03-19,ATOM/USD,28.7787,29.4314,28.4074,28.7159,394.384803,11325.1145644677
