https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOT
1699228800000,2023-11-06 00:00:00,DOT/USD,4.7672,4.99,4.6806,4.9671,211624.0585486836,42605.15362056
1699142400000,2023-11-05 00:00:00,DOT/USD,4.6919,4.9088,4.664,4.7763,280068.40342903143,58637.10475243
1699056000000,2023-11-04 00:00:00,DOT/USD,4.6134,4.7826,4.5927,4.6964,121986.41123507929,25974.45090603
1698969600000,2023-11-03 00:00:00,DOT/USD,4.6053,4.6452,4.4668,4.6209,86325.34560278116,18681.50048752
1698883200000,2023-11-02 00:00:00,DOT/USD,4.7369,4.8035,4.5097,4.635,236327.90061251924,50987.68082255
1698796800000,2023-11-01 00:00:00,DOT/USD,4.4524,4.8144,4.3282,4.737,201451.91773965984,42527.32061213
1698710400000,2023-10-31 00:00:00,DOT/USD,4.5186,4.6014,4.2862,4.4515,131423.82904770042,29523.49299061
1698624000000,2023-10-30 00:00:00,DOT/USD,4.3233,4.5325,4.2372,4.5314,106458.41765818543,23493.49376753
1698537600000,2023-10-29 00:00:00,DOT/USD,4.1822,4.358,4.1368,4.3146,93594.52568860108,21692.51510884
1698451200000,2023-10-28 00:00:00,DOT/USD,4.1359,4.2302,4.1324,4.1781,53524.54908731502,12810.73911283
1698364800000,2023-10-27 00:00:00,DOT/USD,4.2371,4.2371,4.0521,4.1415,95280.85737480386,23006.36420978
1698278400000,2023-10-26 00:00:00,DOT/USD,4.2887,4.4537,4.1638,4.2401,223247.9457613454,52651.5756141
1698192000000,2023-10-25 00:00:00,DOT/USD,4.1833,4.3434,4.15,4.2911,85465.13000273584,19916.83484485
1698105600000,2023-10-24 00:00:00,DOT/USD,4.3618,4.4225,4.1068,4.1902,254901.651314618,60832.81259
1698019200000,2023-10-23 00:00:00,DOT/USD,3.9711,4.3682,3.9256,4.363,798866.6248825417,183100.3036632
1697932800000,2023-10-22 00:00:00,DOT/USD,3.9059,3.9771,3.811,3.9708,214348.12397710897,53981.09297298
1697846400000,2023-10-21 00:00:00,DOT/USD,3.7307,3.9785,3.7093,3.9052,379727.11380944244,97236.27824681
1697760000000,2023-10-20 00:00:00,DOT/USD,3.652,3.805,3.6454,3.7197,137808.80938418696,37048.36663822
1697673600000,2023-10-19 00:00:00,DOT/USD,3.6518,3.6609,3.5661,3.6499,120532.61665497956,33023.5394545
