https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1695600000000,2023-09-25 00:00:00,DOGE/USD,0.06072,0.06122,0.06025,0.06088,884760.689335,53864.2307667148
1695513600000,2023-09-24 00:00:00,DOGE/USD,0.06153,0.06172,0.0605,0.06072,526875.194982,31991.861839307043
1695427200000,2023-09-23 00:00:00,DOGE/USD,0.06154,0.06197,0.06123,0.06153,2611831.59528,160705.9980575784
1695340800000,2023-09-22 00:00:00,DOGE/USD,0.06133,0.06187,0.06067,0.06154,498967.144452,30706.438069576077
1695254400000,2023-09-21 00:00:00,DOGE/USD,0.06266,0.06346,0.06107,0.06133,654808.874174,40159.42825309142
1695168000000,2023-09-20 00:00:00,DOGE/USD,0.06264,0.06301,0.06159,0.06266,904031.936316,56646.64112956055
1695081600000,2023-09-19 00:00:00,DOGE/USD,0.06197,0.06326,0.06195,0.06264,1832722.855281,114801.75965480185
1694995200000,2023-09-18 00:00:00,DOGE/USD,0.06152,0.06318,0.0611,0.06197,1503385.998833,93164.83034768101
1694908800000,2023-09-17 00:00:00,DOGE/USD,0.06203,0.0625,0.06101,0.06152,445568.357481,27411.36535223112
1694822400000,2023-09-16 00:00:00,DOGE/USD,0.06253,0.06294,0.06185,0.06203,437094.672607,27112.98254181221
1694736000000,2023-09-15 00:00:00,DOGE/USD,0.06205,0.06291,0.06141,0.06253,1870411.544304,116956.83386532913
1694649600000,2023-09-14 00:00:00,DOGE/USD,0.06122,0.0625,0.06115,0.06205,1478213.321539,91723.13660149495
1694563200000,2023-09-13 00:00:00,DOGE/USD,0.06096,0.06171,0.06056,0.06122,878176.108355,53761.9413534931
1694476800000,2023-09-12 00:00:00,DOGE/USD,0.06054,0.06234,0.06041,0.06096,1198738.763141,73075.11500107536
1694390400000,2023-09-11 00:00:00,DOGE/USD,0.06129,0.0619,0.0593,0.06054,1978128.499091,119755.89933496913
1694304000000,2023-09-10 00:00:00,DOGE/USD,0.06331,0.06331,0.05948,0.06129,990947.972151,60735.20121313479
1694217600000,2023-09-09 00:00:00,DOGE/USD,0.06368,0.06385,0.06331,0.06331,961816.239907,60892.58614851217
1694131200000,2023-09-08 00:00:00,DOGE/USD,0.06349,0.06392,0.06245,0.06368,685861.729094,43675.674908705914
1694044800000,2023-09-07 00:00:00,DOGE/USD,0.06356,0.06377,0.06277,0.06349,291967.362479,18537.00784379171
1693958400000,2023-09-06 00:00:00,DOGE/USD,0.06396,0.06465,0.06253,0.06356,1328545.938695,84442.3798634542
1693872000000,2023-09-05 00:00:00,DOGE/USD,0.06325,0.06428,0.06292,0.06396,1225290.053326,78369.55181073096
1693785600000,2023-09-04 00:00:00,DOGE/USD,0.06309,0.06363,0.06213,0.06325,443149.910594,28029.231845070502
1693699200000,2023-09-03 00:00:00,DOGE/USD,0.06345,0.06375,0.0628,0.06309,1458454.891633,92013.91911312596
1693612800000,2023-09-02 00:00:00,DOGE/USD,0.06386,0.06488,0.06269,0.06345,1412508.808641,89623.68390827146
1693526400000,2023-09-01 00:00:00,DOGE/USD,0.0638,0.0642,0.06243,0.06386,2209587.554395,141104.2612236647
1693440000000,2023-08-31 00:00:00,DOGE/USD,0.06591,0.06686,0.06285,0.0638,1404671.003418,89618.0100180684
1693353600000,2023-08-30 00:00:00,DOGE/USD,0.06639,0.06648,0.0645,0.06591,2069910.523,136427.80257092998
1693267200000,2023-08-29 00:00:00,DOGE/USD,0.06341,0.0685,0.0624,0.06639,2605612.071622,172986.5854349846
1693180800000,2023-08-28 00:00:00,DOGE/USD,0.0631,0.06355,0.06194,0.06341,734463.85586,46572.3531000826
1693094400000,2023-08-27 00:00:00,DOGE/USD,0.06281,0.06377,0.06274,0.0631,589788.323229,37215.6431957499
1693008000000,2023-08-26 00:00:00,DOGE/USD,0.06309,0.0633,0.06261,0.06281,672198.333929,42220.77735408049
1692921600000,2023-08-25 00:00:00,DOGE/USD,0.06303,0.06309,0.06179,0.06309,611362.811911,38570.87980346499
1692835200000,2023-08-24 00:00:00,DOGE/USD,0.06369,0.06398,0.06191,0.06303,859730.727668,54188.827764914044
1692748800000,2023-08-23 00:00:00,DOGE/USD,0.06256,0.06526,0.06241,0.06369,3853564.43397,245433.5187995493
1692662400000,2023-08-22 00:00:00,DOGE/USD,0.06249,0.06324,0.06039,0.06256,2252662.062506,140926.53863037538
1692576000000,2023-08-21 00:00:00,DOGE/USD,0.06382,0.06403,0.0605,0.06249,841360.22378,52576.6003840122
1692489600000,2023-08-20 00:00:00,DOGE/USD,0.06381,0.06461,0.06344,0.06382,384346.271766,24528.979064106123
1692403200000,2023-08-19 00:00:00,DOGE/USD,0.06322,0.06443,0.06311,0.06381,808127.494476,51566.61542251356
1692316800000,2023-08-18 00:00:00,DOGE/USD,0.06112,0.06385,0.06003,0.06322,5781436.618068,365502.422994259
1692230400000,2023-08-17 00:00:00,DOGE/USD,0.06721,0.06831,0.05678,0.06112,8440129.280023,515860.7015950057
1692144000000,2023-08-16 00:00:00,DOGE/USD,0.07076,0.0712,0.06613,0.06721,4332204.576942,291167.46961627185
1692057600000,2023-08-15 00:00:00,DOGE/USD,0.07461,0.07487,0.06822,0.07076,2769997.619729,196005.03157202405
1691971200000,2023-08-14 00:00:00,DOGE/USD,0.07477,0.07694,0.07368,0.07461,1676761.386213,125103.16702535191
1691884800000,2023-08-13 00:00:00,DOGE/USD,0.07667,0.07678,0.07424,0.07477,1751081.345817,130928.35222673709
1691798400000,2023-08-12 00:00:00,DOGE/USD,0.07571,0.07732,0.07563,0.07667,1898604.170647,145565.9817635055
1691712000000,2023-08-11 00:00:00,DOGE/USD,0.07577,0.07647,0.07484,0.07571,973867.310727,73731.49409514117
1691625600000,2023-08-10 00:00:00,DOGE/USD,0.07546,0.07685,0.07508,0.07577,1732729.186775,131288.89048194175
1691539200000,2023-08-09 00:00:00,DOGE/USD,0.0749,0.07622,0.07424,0.07546,1234078.398703,93123.55596612838
1691452800000,2023-08-08 00:00:00,DOGE/USD,0.07339,0.07546,0.07313,0.0749,4442717.678193,332759.5540966557
1691366400000,2023-08-07 00:00:00,DOGE/USD,0.07422,0.07551,0.07154,0.07339,2237947.09947,164242.9376301033
1691280000000,2023-08-06 00:00:00,DOGE/USD,0.07559,0.07633,0.07405,0.07422,1202538.498892,89252.40738776422
1691193600000,2023-08-05 00:00:00,DOGE/USD,0.07349,0.07698,0.07283,0.07559,2400355.463427,181442.86948044697
1691107200000,2023-08-04 00:00:00,DOGE/USD,0.07357,0.07493,0.07247,0.07349,1572125.934234,115535.53490685666
1691020800000,2023-08-03 00:00:00,DOGE/USD,0.07418,0.07495,0.07258,0.07357,3734802.893468,274769.4488724407
1690934400000,2023-08-02 00:00:00,DOGE/USD,0.07807,0.07826,0.07378,0.07418,2210466.497793,163972.40480628476
1690848000000,2023-08-01 00:00:00,DOGE/USD,0.07773,0.07818,0.07536,0.07807,1496635.736893,116842.35197923651
1690761600000,2023-07-31 00:00:00,DOGE/USD,0.07803,0.07971,0.07679,0.07773,1511657.145565,117501.10992476743
1690675200000,2023-07-30 00:00:00,DOGE/USD,0.08015,0.08049,0.07627,0.07803,2817597.952009,219857.16819526226
1690588800000,2023-07-29 00:00:00,DOGE/USD,0.07726,0.08254,0.07691,0.08015,4083798.140203,327316.42093727045
1690502400000,2023-07-28 00:00:00,DOGE/USD,0.07756,0.0779,0.07603,0.07726,2633150.301241,203437.19227387966
1690416000000,2023-07-27 00:00:00,DOGE/USD,0.07797,0.07989,0.07661,0.07756,3972564.63102,308112.1127819112
1690329600000,2023-07-26 00:00:00,DOGE/USD,0.08193,0.0823,0.07665,0.07797,5909519.478491,460765.2337379432
1690243200000,2023-07-25 00:00:00,DOGE/USD,0.07427,0.08399,0.07368,0.08193,9829030.832902,805292.4961396608
1690156800000,2023-07-24 00:00:00,DOGE/USD,0.07183,0.07785,0.07025,0.07427,11211123.71322,832650.1581808494
1690070400000,2023-07-23 00:00:00,DOGE/USD,0.07049,0.07294,0.07014,0.07183,1573607.783815,113032.24711143145
1689984000000,2023-07-22 00:00:00,DOGE/USD,0.07319,0.07327,0.06965,0.07049,2110514.828978,148770.19029465923
1689897600000,2023-07-21 00:00:00,DOGE/USD,0.07059,0.07681,0.07039,0.07319,5076074.06994,371517.8611789086
1689811200000,2023-07-20 00:00:00,DOGE/USD,0.07003,0.07379,0.06935,0.07059,3801589.863714,268354.2284795713
1689724800000,2023-07-19 00:00:00,DOGE/USD,0.06864,0.07244,0.06833,0.07003,3832933.745884,268420.3502242565
1689638400000,2023-07-18 00:00:00,DOGE/USD,0.06995,0.0703,0.06708,0.06864,3061382.598139,210133.301536261
1689552000000,2023-07-17 00:00:00,DOGE/USD,0.06959,0.07324,0.06789,0.06995,3908262.020887,273382.92836104566
1689465600000,2023-07-16 00:00:00,DOGE/USD,0.07187,0.07223,0.069,0.06959,2106495.365568,146591.01248987712
1689379200000,2023-07-15 00:00:00,DOGE/USD,0.06861,0.07512,0.06785,0.07187,5949319.146681,427577.56707196345
1689292800000,2023-07-14 00:00:00,DOGE/USD,0.07037,0.07305,0.06628,0.06861,6871215.75314,471434.1128229354
1689206400000,2023-07-13 00:00:00,DOGE/USD,0.06506,0.07164,0.06458,0.07037,11573989.649447,814461.6516315854
1689120000000,2023-07-12 00:00:00,DOGE/USD,0.06525,0.06555,0.06373,0.06506,876692.131153,57037.59005281419
1689033600000,2023-07-11 00:00:00,DOGE/USD,0.06516,0.06544,0.06443,0.06525,411809.073434,26870.542041568504
1688947200000,2023-07-10 00:00:00,DOGE/USD,0.06532,0.06616,0.06343,0.06516,1402968.242789,91417.41070013124
1688860800000,2023-07-09 00:00:00,DOGE/USD,0.06569,0.06626,0.06522,0.06532,510651.615649,33355.76353419268
1688774400000,2023-07-08 00:00:00,DOGE/USD,0.06535,0.06605,0.06494,0.06569,570386.924754,37468.71708709026
1688688000000,2023-07-07 00:00:00,DOGE/USD,0.06486,0.0664,0.0642,0.06535,1009511.322133,65971.56490139155
1688601600000,2023-07-06 00:00:00,DOGE/USD,0.06711,0.06854,0.06471,0.06486,1941872.217399,125949.83202049913
1688515200000,2023-07-05 00:00:00,DOGE/USD,0.06896,0.06926,0.06567,0.06711,2008261.685435,134774.44170954285
1688428800000,2023-07-04 00:00:00,DOGE/USD,0.06842,0.07181,0.06771,0.06896,1990944.050656,137295.50173323773
1688342400000,2023-07-03 00:00:00,DOGE/USD,0.06801,0.06875,0.06731,0.06842,1624958.957372,111179.69186339223
1688256000000,2023-07-02 00:00:00,DOGE/USD,0.06842,0.06907,0.06605,0.06801,1196823.671481,81395.97789742281
1688169600000,2023-07-01 00:00:00,DOGE/USD,0.06652,0.07129,0.06643,0.06842,2625116.471602,179610.46898700882
1688083200000,2023-06-30 00:00:00,DOGE/USD,0.06334,0.06686,0.06113,0.06652,1674962.783635,111418.5243674002
1687996800000,2023-06-29 00:00:00,DOGE/USD,0.06259,0.06403,0.06243,0.06334,1810204.506134,114658.35341852755
1687910400000,2023-06-28 00:00:00,DOGE/USD,0.06559,0.06764,0.0602,0.06259,2161237.600018,135271.86138512666
1687824000000,2023-06-27 00:00:00,DOGE/USD,0.06471,0.06577,0.0645,0.06559,1452072.923477,95241.46305085643
1687737600000,2023-06-26 00:00:00,DOGE/USD,0.06674,0.06674,0.06328,0.06471,1539904.587326,99647.22584586547
1687651200000,2023-06-25 00:00:00,DOGE/USD,0.0667,0.068,0.06644,0.06674,300792.195688,20074.871140217117
1687564800000,2023-06-24 00:00:00,DOGE/USD,0.06822,0.06833,0.06517,0.0667,1224828.483616,81696.0598571872
1687478400000,2023-06-23 00:00:00,DOGE/USD,0.06561,0.07014,0.0655,0.06822,1913500.446191,130539.00043915003
1687392000000,2023-06-22 00:00:00,DOGE/USD,0.06566,0.06933,0.06513,0.06561,2625745.450063,172275.15897863344
1687305600000,2023-06-21 00:00:00,DOGE/USD,0.06309,0.0667,0.06286,0.06566,1551077.045076,101843.71877969016
1687219200000,2023-06-20 00:00:00,DOGE/USD,0.06236,0.06309,0.06076,0.06309,1709608.864316,107859.22324969643
1687132800000,2023-06-19 00:00:00,DOGE/USD,0.06212,0.06267,0.06172,0.06236,1163444.010366,72552.36848642376
1687046400000,2023-06-18 00:00:00,DOGE/USD,0.0622,0.06391,0.06109,0.06212,3599541.467814,223603.51598060568
1686960000000,2023-06-17 00:00:00,DOGE/USD,0.06207,0.06285,0.0617,0.0622,1583926.329306,98520.21768283319
1686873600000,2023-06-16 00:00:00,DOGE/USD,0.06151,0.06274,0.06079,0.06207,3541232.849199,219804.32294978193
1686787200000,2023-06-15 00:00:00,DOGE/USD,0.06043,0.0619,0.05966,0.06151,1645222.597199,101197.6419537105
1686700800000,2023-06-14 00:00:00,DOGE/USD,0.06167,0.06215,0.05869,0.06043,6887125.215897,416188.97679665574
1686614400000,2023-06-13 00:00:00,DOGE/USD,0.06144,0.06263,0.0605,0.06167,1625627.18763,100252.42866114211
1686528000000,2023-06-12 00:00:00,DOGE/USD,0.06155,0.0617,0.05994,0.06144,1750073.431867,107524.51165390848
1686441600000,2023-06-11 00:00:00,DOGE/USD,0.06181,0.06292,0.06107,0.06155,1891924.78667,116447.97061953851
1686355200000,2023-06-10 00:00:00,DOGE/USD,0.06945,0.07142,0.05523,0.06181,13153115.732192,812994.0834067875
1686268800000,2023-06-09 00:00:00,DOGE/USD,0.06794,0.07106,0.06754,0.06945,1953069.918657,135640.70585072864
1686182400000,2023-06-08 00:00:00,DOGE/USD,0.06735,0.06843,0.06721,0.06794,1458397.397915,99083.51921434511
1686096000000,2023-06-07 00:00:00,DOGE/USD,0.07037,0.07037,0.0668,0.06735,1896380.682457,127721.23896347894
1686009600000,2023-06-06 00:00:00,DOGE/USD,0.06666,0.07194,0.0659,0.07037,15100981.462125,1062656.0654897362
1685923200000,2023-06-05 00:00:00,DOGE/USD,0.0724,0.07257,0.06374,0.06666,14370775.359698,957955.8854774686
