https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BNB,Volume USDT,tradecount
1677888000000,2023-03-04,BNBUSDT,290.5,291.5,285.8,289.6,127846.865,36979790.81,127605
1677801600000,2023-03-03,BNBUSDT,299.8,300.0,286.6,290.4,266627.564,77375815.2097,231651
1677715200000,2023-03-02,BNBUSDT,302.6,303.8,295.8,299.8,200964.842,60082927.5113,167725
1677628800000,2023-03-01,BNBUSDT,301.5,306.4,300.5,302.7,200883.893,60900584.0673,172485
1677542400000,2023-02-28,BNBUSDT,304.7,305.7,300.0,301.4,186649.192,56536923.3419,172220
1677456000000,2023-02-27,BNBUSDT,308.7,309.4,300.5,304.6,234405.821,71433037.0652,187654
1677369600000,2023-02-26,BNBUSDT,302.5,309.8,300.7,308.7,151419.166,46179503.1808,141711
1677283200000,2023-02-25,BNBUSDT,302.3,303.0,295.5,302.4,178538.408,53640769.2159,166704
1677196800000,2023-02-24,BNBUSDT,308.3,312.1,298.6,302.3,328726.4,100468727.7221,249902
1677110400000,2023-02-23,BNBUSDT,312.5,315.3,305.8,308.3,300641.241,93188074.383,225358
1677024000000,2023-02-22,BNBUSDT,311.5,312.9,303.2,312.4,368344.986,113217908.5172,285011
1676937600000,2023-02-21,BNBUSDT,315.5,317.4,309.3,311.5,385161.297,120775804.8529,299905
1676851200000,2023-02-20,BNBUSDT,311.5,319.8,308.0,315.4,514483.797,162561577.7291,332108
1676764800000,2023-02-19,BNBUSDT,316.6,318.9,310.3,311.5,336004.274,105898919.4869,271165
1676678400000,2023-02-18,BNBUSDT,313.0,319.2,312.9,316.5,282485.39,89264567.9837,210115
1676592000000,2023-02-17,BNBUSDT,304.4,317.5,302.8,313.0,508736.193,157933829.2178,314781
1676505600000,2023-02-16,BNBUSDT,317.5,327.8,303.9,304.4,858141.89,273631508.4029,477037
1676419200000,2023-02-15,BNBUSDT,296.2,317.7,294.0,317.4,465921.943,142051141.657,261857
1676332800000,2023-02-14,BNBUSDT,294.3,301.7,289.8,296.2,494698.654,145777145.5391,271930
1676246400000,2023-02-13,BNBUSDT,312.6,315.7,282.8,294.3,1065985.594,314960864.8088,466340
1676160000000,2023-02-12,BNBUSDT,310.5,321.0,306.0,312.6,291500.27,91485948.2107,197310
1676073600000,2023-02-11,BNBUSDT,305.9,311.4,305.1,310.4,154488.761,47628388.9448,134396
1675987200000,2023-02-10,BNBUSDT,306.2,309.2,302.5,305.8,295784.976,90651947.9341,216851
1675900800000,2023-02-09,BNBUSDT,328.2,329.3,302.0,306.2,564612.572,178897753.6956,347884
1675814400000,2023-02-08,BNBUSDT,333.1,335.8,323.6,328.2,286865.867,94531270.4592,253535
1675728000000,2023-02-07,BNBUSDT,324.4,333.7,323.2,333.0,265904.833,87505720.4959,253444
1675641600000,2023-02-06,BNBUSDT,327.8,331.5,320.7,324.3,290965.0,95098301.3522,223884
1675555200000,2023-02-05,BNBUSDT,330.4,337.8,324.0,327.8,396514.711,130706234.816,303406
1675468800000,2023-02-04,BNBUSDT,332.3,334.1,327.0,330.4,212109.626,70050858.8377,194840
1675382400000,2023-02-03,BNBUSDT,323.5,335.5,318.3,332.2,579577.162,190507194.7902,341331
1675296000000,2023-02-02,BNBUSDT,317.1,334.4,316.3,323.5,587655.881,192390747.6579,380701
1675209600000,2023-02-01,BNBUSDT,312.1,319.4,305.6,317.0,390978.523,121820323.1709,286200
1675123200000,2023-01-31,BNBUSDT,307.2,314.4,305.3,312.0,278061.958,86537029.2093,225513
1675036800000,2023-01-30,BNBUSDT,317.1,320.8,302.0,307.2,413716.212,128037381.1261,310394
1674950400000,2023-01-29,BNBUSDT,306.2,320.5,304.8,317.2,430698.673,135402894.4623,262551
1674864000000,2023-01-28,BNBUSDT,308.0,313.6,303.6,306.1,229517.8,70543615.9629,186520
1674777600000,2023-01-27,BNBUSDT,304.8,310.5,298.8,308.0,271326.79,82710629.2353,240434
1674691200000,2023-01-26,BNBUSDT,306.9,309.5,301.6,304.7,342344.705,104832628.0488,263764
1674604800000,2023-01-25,BNBUSDT,300.3,314.0,293.4,306.9,447238.539,135182951.9563,317506
1674518400000,2023-01-24,BNBUSDT,305.2,323.5,299.2,300.3,629758.279,197286790.1894,403898
1674432000000,2023-01-23,BNBUSDT,303.1,307.8,300.8,305.1,301946.005,92048016.7507,263527
1674345600000,2023-01-22,BNBUSDT,299.1,311.4,298.5,303.0,388815.192,118074364.3441,296818
1674259200000,2023-01-21,BNBUSDT,305.1,309.9,298.4,299.0,508000.024,154262036.4891,335988
1674172800000,2023-01-20,BNBUSDT,294.6,305.4,286.6,305.1,423829.136,124835179.1299,273051
1674086400000,2023-01-19,BNBUSDT,286.7,295.5,286.1,294.6,215522.146,62586318.1561,188757
1674000000000,2023-01-18,BNBUSDT,299.4,305.3,281.1,286.7,621064.665,182302178.0608,424163
1673913600000,2023-01-17,BNBUSDT,299.0,305.8,294.9,299.4,279993.876,84301030.8981,242595
1673827200000,2023-01-16,BNBUSDT,302.2,308.1,293.1,299.0,350990.993,105546343.5522,282785
1673740800000,2023-01-15,BNBUSDT,305.2,306.1,291.8,302.2,288696.868,86365136.017,269807
1673654400000,2023-01-14,BNBUSDT,293.7,314.4,293.1,305.1,706402.087,215777694.13,544551
1673568000000,2023-01-13,BNBUSDT,287.8,296.0,284.9,293.7,313541.811,90714499.3465,254385
1673481600000,2023-01-12,BNBUSDT,284.9,288.6,278.5,287.7,391553.641,111464592.0418,279121
1673395200000,2023-01-11,BNBUSDT,277.2,287.7,274.1,284.8,266107.304,74166049.4177,185244
1673308800000,2023-01-10,BNBUSDT,272.6,278.8,270.2,277.1,259938.562,71544603.7047,193227
1673222400000,2023-01-09,BNBUSDT,274.9,283.5,271.3,272.6,437828.428,121659068.738,296847
1673136000000,2023-01-08,BNBUSDT,261.3,276.5,260.1,274.9,237308.89,63256842.6863,159558
1673049600000,2023-01-07,BNBUSDT,259.9,263.9,259.4,261.3,115152.77,30088933.4458,101015
1672963200000,2023-01-06,BNBUSDT,256.7,260.7,254.2,259.9,199497.076,51368774.9927,133584
1672876800000,2023-01-05,BNBUSDT,258.9,259.2,255.2,256.7,145297.963,37361134.4044,110069
1672790400000,2023-01-04,BNBUSDT,246.2,261.0,245.6,258.9,370055.082,94459376.8191,193907
1672704000000,2023-01-03,BNBUSDT,245.3,247.0,244.4,246.1,115059.991,28259473.5323,98320
1672617600000,2023-01-02,BNBUSDT,244.5,247.9,240.7,245.2,173452.9,42566621.7265,118257
1672531200000,2023-01-01,BNBUSDT,246.3,246.7,243.4,244.4,109450.117,26767261.7192,79606
1672444800000,2022-12-31,BNBUSDT,245.8,248.0,244.8,246.3,134141.311,33031138.6588,87386
1672358400000,2022-12-30,BNBUSDT,246.3,246.7,242.7,245.8,128406.533,31413152.0195,105503
1672272000000,2022-12-29,BNBUSDT,244.6,246.9,243.3,246.3,161959.266,39764426.9632,113446
1672185600000,2022-12-28,BNBUSDT,246.7,247.4,241.5,244.5,208632.342,50890930.807,137193
1672099200000,2022-12-27,BNBUSDT,244.3,248.9,242.1,246.7,196642.12,48123719.9723,112213
1672012800000,2022-12-26,BNBUSDT,243.2,244.9,242.0,244.3,117117.968,28483521.2211,80435
1671926400000,2022-12-25,BNBUSDT,244.6,245.8,241.4,243.2,125016.877,30456150.2055,85421
1671840000000,2022-12-24,BNBUSDT,246.2,246.3,243.4,244.5,96773.731,23688074.9905,73104
1671753600000,2022-12-23,BNBUSDT,245.9,248.7,243.7,246.2,175280.013,43130222.3537,107007
1671667200000,2022-12-22,BNBUSDT,246.2,248.3,240.1,245.8,246104.196,60207564.1979,142323
1671580800000,2022-12-21,BNBUSDT,251.4,251.5,245.2,246.2,195051.385,48447186.3344,129860
1671494400000,2022-12-20,BNBUSDT,240.3,253.5,239.1,251.4,320509.026,79574286.8066,174192
1671408000000,2022-12-19,BNBUSDT,251.1,253.3,236.8,240.4,408787.202,100662869.9923,224923
1671321600000,2022-12-18,BNBUSDT,242.1,254.6,239.5,251.0,526139.427,130305766.1496,250104
