https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UNI
1698364800000,2023-10-27 00:00:00,UNI/USD,4.1047,4.1471,3.9605,4.0323,440286.5007998504,109189.91662323
1698278400000,2023-10-26 00:00:00,UNI/USD,4.1694,4.3755,4.0071,4.1121,150704.6884544328,36649.08160172
1698192000000,2023-10-25 00:00:00,UNI/USD,4.217,4.3368,4.1343,4.1693,113480.70504329875,27218.16732864
1698105600000,2023-10-24 00:00:00,UNI/USD,4.3778,4.4938,4.1313,4.2263,802418.5825935443,189863.13858305
1698019200000,2023-10-23 00:00:00,UNI/USD,4.2204,4.4169,4.21,4.3724,403200.24301332096,92214.85751837
1697932800000,2023-10-22 00:00:00,UNI/USD,4.1356,4.2499,4.1,4.2133,49713.50911360197,11799.1857009
1697846400000,2023-10-21 00:00:00,UNI/USD,4.0049,4.1581,3.9663,4.1422,30925.467875450435,7465.95236238
1697760000000,2023-10-20 00:00:00,UNI/USD,3.9318,4.1143,3.9273,3.9993,16026.969954666069,4007.44379133
1697673600000,2023-10-19 00:00:00,UNI/USD,3.9278,3.9421,3.8748,3.9302,17033.326767483166,4333.95928133
1697587200000,2023-10-18 00:00:00,UNI/USD,3.8862,3.9718,3.8522,3.9376,65959.19411924072,16751.11593845
1697500800000,2023-10-17 00:00:00,UNI/USD,4.1251,4.1268,3.8355,3.8878,101140.21701418883,26014.76851026
1697414400000,2023-10-16 00:00:00,UNI/USD,4.1092,4.2715,4.1078,4.131,45916.144399802884,11115.01922048
1697328000000,2023-10-15 00:00:00,UNI/USD,4.0774,4.1468,4.0733,4.1045,12046.368835857975,2934.91748955
1697241600000,2023-10-14 00:00:00,UNI/USD,4.0374,4.1051,4.0322,4.0865,4216.505369401325,1031.81337805
1697155200000,2023-10-13 00:00:00,UNI/USD,3.9963,4.074,3.9818,4.0311,5500.277650436374,1364.46073043
1697068800000,2023-10-12 00:00:00,UNI/USD,4.123,4.1415,3.9823,4.0076,99315.30774560756,24781.74162731
1696982400000,2023-10-11 00:00:00,UNI/USD,4.1235,4.1514,4.059,4.1222,15604.946162866177,3785.58686208
1696896000000,2023-10-10 00:00:00,UNI/USD,4.1477,4.1695,4.0735,4.1191,25809.54603257642,6265.82166798
1696809600000,2023-10-09 00:00:00,UNI/USD,4.333,4.3617,4.0608,4.1447,185566.54669570172,44772.00923968
1696723200000,2023-10-08 00:00:00,UNI/USD,4.3772,4.3795,4.2885,4.3398,3477.074243152122,801.20610239
1696636800000,2023-10-07 00:00:00,UNI/USD,4.4018,4.4206,4.3453,4.3692,1680.5156460428161,384.62776848
1696550400000,2023-10-06 00:00:00,UNI/USD,4.3034,4.4222,4.2986,4.3948,9953.479707908271,2264.83109764
1696464000000,2023-10-05 00:00:00,UNI/USD,4.309,4.3331,4.266,4.3101,3334.2498173871545,773.58989754
1696377600000,2023-10-04 00:00:00,UNI/USD,4.3418,4.3555,4.2376,4.3084,8548.211569431576,1984.08030114
1696291200000,2023-10-03 00:00:00,UNI/USD,4.461,4.5179,4.3375,4.3613,5669.797169832383,1300.02457291
1696204800000,2023-10-02 00:00:00,UNI/USD,4.6542,4.6912,4.4332,4.4724,37390.513535472615,8360.27938813
1696118400000,2023-10-01 00:00:00,UNI/USD,4.4575,4.6741,4.4516,4.6621,15117.418538173804,3242.61996486
1696032000000,2023-09-30 00:00:00,UNI/USD,4.4098,4.4793,4.4007,4.4584,2122.1921262286883,475.99859282
1695945600000,2023-09-29 00:00:00,UNI/USD,4.4281,4.5049,4.3381,4.4021,115763.46366573653,26297.32710882
1695859200000,2023-09-28 00:00:00,UNI/USD,4.2473,4.4799,4.2473,4.4183,15272.841050930321,3456.72341193
1695772800000,2023-09-27 00:00:00,UNI/USD,4.2632,4.4208,4.2126,4.253,41588.433943577234,9778.61131991
1695686400000,2023-09-26 00:00:00,UNI/USD,4.2762,4.3177,4.2241,4.2599,8621.798930454903,2023.94397297
1695600000000,2023-09-25 00:00:00,UNI/USD,4.2412,4.306,4.2124,4.274,19353.2609879728,4528.1378072
1695513600000,2023-09-24 00:00:00,UNI/USD,4.2826,4.3087,4.2309,4.2309,11156.858167480894,2636.99405977
1695427200000,2023-09-23 00:00:00,UNI/USD,4.2718,4.3047,4.2423,4.281,7738.01889384612,1807.52602052
1695340800000,2023-09-22 00:00:00,UNI/USD,4.2493,4.2782,4.216,4.2681,15246.393098524186,3572.17335548
1695254400000,2023-09-21 00:00:00,UNI/USD,4.3728,4.3875,4.2237,4.2462,27041.838203674604,6368.47962971
1695168000000,2023-09-20 00:00:00,UNI/USD,4.4205,4.429,4.3193,4.3681,5562.610938297842,1273.46236082
1695081600000,2023-09-19 00:00:00,UNI/USD,4.3782,4.4773,4.3513,4.4143,78007.505729133,17671.54605014
1694995200000,2023-09-18 00:00:00,UNI/USD,4.2919,4.4596,4.2509,4.3635,15518.10315289251,3556.34310826
1694908800000,2023-09-17 00:00:00,UNI/USD,4.3302,4.3866,4.2446,4.2899,38400.98434997644,8951.48706263
1694822400000,2023-09-16 00:00:00,UNI/USD,4.3411,4.4176,4.3145,4.3481,4058.8415766934127,933.47475373
1694736000000,2023-09-15 00:00:00,UNI/USD,4.2622,4.3823,4.2486,4.3518,11413.318953763355,2622.66624242
1694649600000,2023-09-14 00:00:00,UNI/USD,4.258,4.35,4.2507,4.269,4007.99507906253,938.86040737
1694563200000,2023-09-13 00:00:00,UNI/USD,4.1918,4.3076,4.1895,4.2556,9577.992692990245,2250.67973799
1694476800000,2023-09-12 00:00:00,UNI/USD,4.1064,4.3215,4.0966,4.1997,25062.662105805728,5967.72676758
1694390400000,2023-09-11 00:00:00,UNI/USD,4.2313,4.2499,4.0394,4.1139,6810.2829211979515,1655.43229568
1694304000000,2023-09-10 00:00:00,UNI/USD,4.3209,4.3209,4.1485,4.2205,10316.12423198346,2444.28959412
1694217600000,2023-09-09 00:00:00,UNI/USD,4.3573,4.3708,4.3072,4.3247,593.547034254468,137.24582844
1694131200000,2023-09-08 00:00:00,UNI/USD,4.4633,4.4879,4.3195,4.3654,16953.12980293894,3883.5226561
1694044800000,2023-09-07 00:00:00,UNI/USD,4.4535,4.523,4.4105,4.4766,4355.2051435438025,972.88235347
1693958400000,2023-09-06 00:00:00,UNI/USD,4.3831,4.4948,4.3535,4.4605,5137.36658453931,1151.74679622
1693872000000,2023-09-05 00:00:00,UNI/USD,4.4398,4.4514,4.2751,4.3761,71207.48811936232,16271.90606233
1693785600000,2023-09-04 00:00:00,UNI/USD,4.422,4.4949,4.3845,4.4453,2577.2532142921254,579.77036742
1693699200000,2023-09-03 00:00:00,UNI/USD,4.3971,4.4631,4.3668,4.417,2973.8652657204398,673.27717132
1693612800000,2023-09-02 00:00:00,UNI/USD,4.2508,4.3997,4.2508,4.3908,15513.58610358883,3533.20262904
1693526400000,2023-09-01 00:00:00,UNI/USD,4.373,4.4263,4.2381,4.2684,12273.49285045531,2875.43174268
1693440000000,2023-08-31 00:00:00,UNI/USD,4.6298,4.6651,4.3473,4.3683,35251.65805372694,8069.88028609
1693353600000,2023-08-30 00:00:00,UNI/USD,4.7933,4.7933,4.6421,4.6423,1944.0623419532508,418.77137237
1693267200000,2023-08-29 00:00:00,UNI/USD,4.6803,4.8716,4.5717,4.8063,20520.475426447665,4269.49533455
1693180800000,2023-08-28 00:00:00,UNI/USD,4.6767,4.7206,4.5744,4.6779,28674.232096701195,6129.72318705
1693094400000,2023-08-27 00:00:00,UNI/USD,4.6159,4.709,4.6083,4.6867,1504.928231073536,321.10615808
1693008000000,2023-08-26 00:00:00,UNI/USD,4.5436,4.6446,4.5364,4.6053,5157.279134133273,1119.85736741
1692921600000,2023-08-25 00:00:00,UNI/USD,4.6522,4.6562,4.5252,4.5572,7119.410970259676,1562.23360183
1692835200000,2023-08-24 00:00:00,UNI/USD,4.7702,4.8158,4.6137,4.6625,9202.661530890624,1973.76118625
1692748800000,2023-08-23 00:00:00,UNI/USD,4.6851,4.8531,4.6603,4.7641,17693.785422987916,3713.98279276
1692662400000,2023-08-22 00:00:00,UNI/USD,4.7728,4.7781,4.5126,4.6729,15068.208818957251,3224.5947525
1692576000000,2023-08-21 00:00:00,UNI/USD,4.8937,4.9172,4.725,4.7682,30042.477171812683,6300.59082501
1692489600000,2023-08-20 00:00:00,UNI/USD,4.9174,4.9379,4.8646,4.9037,7255.474237918868,1479.59178537
1692403200000,2023-08-19 00:00:00,UNI/USD,4.9099,4.9927,4.8698,4.9076,9460.494478152701,1927.7232207499999
1692316800000,2023-08-18 00:00:00,UNI/USD,4.9794,5.0442,4.8445,4.903,44581.87478433825,9092.77478775
1692230400000,2023-08-17 00:00:00,UNI/USD,5.4538,5.4963,4.5811,4.9911,168696.88198565954,33799.53957758
1692144000000,2023-08-16 00:00:00,UNI/USD,5.9431,5.9431,5.3103,5.452,257880.1143155104,47300.0943352
1692057600000,2023-08-15 00:00:00,UNI/USD,6.2766,6.294,5.9459,5.9725,159809.76624355855,26757.60004078
1691971200000,2023-08-14 00:00:00,UNI/USD,6.0837,6.3621,6.0837,6.2663,78286.85582551433,12493.31436821
1691884800000,2023-08-13 00:00:00,UNI/USD,6.208,6.208,6.0602,6.0936,9956.583489458377,1633.94110041
1691798400000,2023-08-12 00:00:00,UNI/USD,6.184,6.2506,6.1273,6.2237,18555.285048000034,2981.3913022799998
1691712000000,2023-08-11 00:00:00,UNI/USD,6.18,6.207,6.1062,6.1998,6542.934974840772,1055.34613614
1691625600000,2023-08-10 00:00:00,UNI/USD,6.2546,6.3503,6.1637,6.1948,48412.30094021042,7814.99014338
1691539200000,2023-08-09 00:00:00,UNI/USD,6.0835,6.2846,6.0452,6.2554,92254.55888091422,14747.98716004
1691452800000,2023-08-08 00:00:00,UNI/USD,5.8704,6.1438,5.8218,6.0939,24631.645612188895,4042.01670723
1691366400000,2023-08-07 00:00:00,UNI/USD,5.95,6.0109,5.7431,5.8797,95277.1720032692,16204.42743733
1691280000000,2023-08-06 00:00:00,UNI/USD,6.0858,6.1588,5.9432,5.9432,10720.147426826665,1803.76689777
1691193600000,2023-08-05 00:00:00,UNI/USD,6.0748,6.089,5.9475,6.089,50083.361833191215,8225.21954889
1691107200000,2023-08-04 00:00:00,UNI/USD,6.1027,6.2122,6.0134,6.0646,383188.0498051856,63184.38970504
