https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1685577600,2023-06-01 00:00:00,BTC/USDT,27223,27351,26620,26813,49.49428953,1327090.38516789
1685491200,2023-05-31 00:00:00,BTC/USDT,27692,27827,26843,27220,77.09735745,2098590.0697890003
1685404800,2023-05-30 00:00:00,BTC/USDT,27739,28037,27554,27684,38.68108322,1070847.10786248
1685318400,2023-05-29 00:00:00,BTC/USDT,28082,28432,27542,27750,55.76401318,1547451.365745
1685232000,2023-05-28 00:00:00,BTC/USDT,26844,28249,26793,28077,63.70123551,1788539.58941427
1685145600,2023-05-27 00:00:00,BTC/USDT,26702,26886,26578,26857,6.62582175,177949.69473975
1685059200,2023-05-26 00:00:00,BTC/USDT,26482,26921,26334,26713,20.20304829,539684.0289707701
1684972800,2023-05-25 00:00:00,BTC/USDT,26319,26621,25897,26474,34.15863467,904315.69425358
1684886400,2023-05-24 00:00:00,BTC/USDT,27203,27203,26085,26339,63.55954254,1674094.79096106
1684800000,2023-05-23 00:00:00,BTC/USDT,26847,27479,26817,27235,32.03784056,872550.5876516
1684713600,2023-05-22 00:00:00,BTC/USDT,26695,27073,26543,26848,22.24644290,597272.4989792
1684627200,2023-05-21 00:00:00,BTC/USDT,27100,27253,26674,26782,9.37337527,251037.73648114002
1684540800,2023-05-20 00:00:00,BTC/USDT,26885,27144,26844,27088,6.30899886,170898.16111968
1684454400,2023-05-19 00:00:00,BTC/USDT,26816,27165,26653,26875,11.95962607,321414.95063125
1684368000,2023-05-18 00:00:00,BTC/USDT,27408,27468,26372,26818,47.19337259,1265631.8661186201
1684281600,2023-05-17 00:00:00,BTC/USDT,27036,27487,26561,27408,41.07549062,1125797.04691296
1684195200,2023-05-16 00:00:00,BTC/USDT,27153,27288,26881,27022,37.06440184,1001554.26652048
1684108800,2023-05-15 00:00:00,BTC/USDT,26927,27651,26733,27180,97.60245407,2652834.7016225997
1684022400,2023-05-14 00:00:00,BTC/USDT,26779,27183,26582,26900,25.34934098,681897.2723620001
