https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1695340800,2023-09-22,MATIC/USD,0.51992,0.52345,0.5159,0.52028,13417.461324,6980.836777650719
1695254400,2023-09-21,MATIC/USD,0.54105,0.54231,0.51906,0.52027,21001.877442,10926.646776749341
1695168000,2023-09-20,MATIC/USD,0.54472,0.54854,0.53624,0.5411,26503.564782,14341.078903540201
1695081600,2023-09-19,MATIC/USD,0.5263,0.54497,0.52489,0.54497,34810.644371,18970.75686286387
1694995200,2023-09-18,MATIC/USD,0.5169,0.53352,0.51268,0.52653,35959.35469,18933.679024925703
1694908800,2023-09-17,MATIC/USD,0.5278,0.5278,0.51385,0.51655,17476.404878,9027.4369397309
1694822400,2023-09-16,MATIC/USD,0.52926,0.53484,0.52503,0.52816,13694.981168,7233.141253690879
1694736000,2023-09-15,MATIC/USD,0.5221,0.53278,0.51602,0.52955,21309.762315,11284.584633908249
1694649600,2023-09-14,MATIC/USD,0.51405,0.52659,0.51405,0.52175,41843.289508,21831.736300799002
1694563200,2023-09-13,MATIC/USD,0.50647,0.52084,0.5059,0.51398,60813.857608,31257.106533359838
1694476800,2023-09-12,MATIC/USD,0.50288,0.51716,0.50026,0.50681,59791.464147,30302.911944341067
1694390400,2023-09-11,MATIC/USD,0.52353,0.52353,0.493,0.50265,83236.044421,41838.59772821565
1694304000,2023-09-10,MATIC/USD,0.5401,0.5401,0.51442,0.5233,57162.240916,29913.0006713428
1694217600,2023-09-09,MATIC/USD,0.54264,0.54264,0.54007,0.54046,3541.623717,1914.1059540898202
1694131200,2023-09-08,MATIC/USD,0.55503,0.5565,0.53431,0.54239,17689.285883,9594.49177008037
1694044800,2023-09-07,MATIC/USD,0.55851,0.56454,0.55093,0.55478,21792.439399,12090.00952977722
1693958400,2023-09-06,MATIC/USD,0.55852,0.56797,0.54331,0.55826,115547.236842,64505.400439414916
1693872000,2023-09-05,MATIC/USD,0.55317,0.56477,0.55029,0.55827,52836.006539,29496.75737052753
1693785600,2023-09-04,MATIC/USD,0.54224,0.55402,0.54097,0.55279,71507.063874,39528.38983890846
1693699200,2023-09-03,MATIC/USD,0.54061,0.54484,0.53925,0.54187,11850.278173,6421.31023360351
1693612800,2023-09-02,MATIC/USD,0.54031,0.54604,0.5375,0.54054,15888.419375,8588.3262089625
1693526400,2023-09-01,MATIC/USD,0.54863,0.55268,0.53263,0.54033,27099.40392,14642.6209200936
1693440000,2023-08-31,MATIC/USD,0.57427,0.58642,0.54444,0.54888,53539.872139,29386.965019654323
1693353600,2023-08-30,MATIC/USD,0.59293,0.5936,0.56904,0.57401,18480.749307,10608.134909711069
1693267200,2023-08-29,MATIC/USD,0.56249,0.61771,0.55216,0.59253,124055.051135,73506.33944902156
1693180800,2023-08-28,MATIC/USD,0.55585,0.56632,0.54752,0.56223,41346.750413,23246.383484700993
1693094400,2023-08-27,MATIC/USD,0.54774,0.56937,0.5456,0.55596,49427.096255,27479.488433929797
1693008000,2023-08-26,MATIC/USD,0.54645,0.54794,0.54437,0.54762,7479.029813,4095.66630619506
1692921600,2023-08-25,MATIC/USD,0.54767,0.55546,0.53596,0.54645,122532.331282,66957.7924290489
1692835200,2023-08-24,MATIC/USD,0.55616,0.55932,0.53866,0.54804,28456.815909,15595.47339076836
1692748800,2023-08-23,MATIC/USD,0.54814,0.56955,0.54543,0.55579,52401.586102,29124.27753963058
1692662400,2023-08-22,MATIC/USD,0.55763,0.55763,0.53047,0.54838,55542.988585,30458.6640802423
1692576000,2023-08-21,MATIC/USD,0.57962,0.57962,0.55051,0.558,50602.237257,28236.048389406
1692489600,2023-08-20,MATIC/USD,0.57646,0.57988,0.5758,0.57936,8537.63735,4946.365575096001
1692403200,2023-08-19,MATIC/USD,0.57696,0.58741,0.5761,0.57641,57213.683264,32978.53917020224
1692316800,2023-08-18,MATIC/USD,0.57278,0.58395,0.56608,0.57722,91324.405697,52714.273456422336
1692230400,2023-08-17,MATIC/USD,0.62266,0.62619,0.54017,0.57252,486937.069689,278781.2111383463
1692144000,2023-08-16,MATIC/USD,0.63905,0.63905,0.61121,0.62238,53565.501339,33338.09672336683
1692057600,2023-08-15,MATIC/USD,0.67919,0.67919,0.6349,0.63871,29802.71593,19035.2926916503
1691971200,2023-08-14,MATIC/USD,0.67634,0.68388,0.6722,0.67964,34638.401055,23541.642893020202
1691884800,2023-08-13,MATIC/USD,0.68172,0.68993,0.67453,0.67665,9092.490854,6152.4339363591
1691798400,2023-08-12,MATIC/USD,0.67836,0.68264,0.67836,0.68218,2449.368081,1670.90991749658
1691712000,2023-08-11,MATIC/USD,0.68574,0.69029,0.67596,0.67831,14379.04361,9753.4490710991
1691625600,2023-08-10,MATIC/USD,0.68952,0.7008,0.68566,0.68612,14009.323525,9612.077056973
1691539200,2023-08-09,MATIC/USD,0.68471,0.69687,0.68222,0.68899,11065.662642,7624.13090371158
1691452800,2023-08-08,MATIC/USD,0.66495,0.69788,0.66405,0.68509,17692.630051,12121.04392163959
1691366400,2023-08-07,MATIC/USD,0.66653,0.68256,0.64837,0.66444,43516.598788,28914.168898698725
1691280000,2023-08-06,MATIC/USD,0.66484,0.67432,0.66484,0.66689,7702.157108,5136.49155375412
1691193600,2023-08-05,MATIC/USD,0.66404,0.66647,0.65853,0.6644,12208.482219,8111.3155863036
1691107200,2023-08-04,MATIC/USD,0.66919,0.67688,0.65853,0.66359,25627.308098,17006.02538075182
1691020800,2023-08-03,MATIC/USD,0.68035,0.68295,0.66388,0.66921,37650.913445,25196.367786528448
1690934400,2023-08-02,MATIC/USD,0.70133,0.70212,0.67739,0.6808,32168.040567,21900.002018013598
1690848000,2023-08-01,MATIC/USD,0.68845,0.70212,0.66172,0.70086,64239.921966,45023.19170909077
1690761600,2023-07-31,MATIC/USD,0.69704,0.70642,0.68317,0.68813,32488.126405,22356.05442307265
1690675200,2023-07-30,MATIC/USD,0.71881,0.71881,0.68382,0.69673,42795.530083,29816.929674728588
1690588800,2023-07-29,MATIC/USD,0.71029,0.72364,0.708,0.71929,16770.36975,12062.7592574775
1690502400,2023-07-28,MATIC/USD,0.71589,0.71958,0.7055,0.71077,26577.827132,18890.72219061164
1690416000,2023-07-27,MATIC/USD,0.72138,0.73608,0.71144,0.71534,25243.097322,18057.39723831948
1690329600,2023-07-26,MATIC/USD,0.70791,0.73089,0.6983,0.72105,195759.185517,141152.16071703285
1690243200,2023-07-25,MATIC/USD,0.72757,0.72772,0.70273,0.70759,40671.921966,28779.045263921944
1690156800,2023-07-24,MATIC/USD,0.75747,0.76052,0.71334,0.72724,52030.994404,37839.02037036496
1690070400,2023-07-23,MATIC/USD,0.74606,0.76662,0.74108,0.75712,31962.513796,24199.45844522752
1689984000,2023-07-22,MATIC/USD,0.76981,0.77471,0.74243,0.74556,31561.055359,23530.66043345604
1689897600,2023-07-21,MATIC/USD,0.76757,0.78115,0.7594,0.77016,47176.581933,36333.51634151928
1689811200,2023-07-20,MATIC/USD,0.74445,0.80019,0.74313,0.76809,69862.52914,53660.7100071426
1689724800,2023-07-19,MATIC/USD,0.73813,0.7558,0.72935,0.74478,62388.933958,46466.03023323924
