https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume USD
1635292800,2021-10-27,DOT/USD,44.85,45.643,40.252,40.492,67279.860968,2724296.1303162556
1635206400,2021-10-26,DOT/USD,44.473,45.964,43.531,44.851,34918.890042,1566147.137273742
1635120000,2021-10-25,DOT/USD,42.353,44.637,42.289,44.478,21613.663038,961332.5046041639
1635033600,2021-10-24,DOT/USD,43.907,44.039,41.463,42.345,24989.563983,1058183.086860135
1634947200,2021-10-23,DOT/USD,43.524,44.643,43.123,43.898,19589.177839,859925.7287764221
1634860800,2021-10-22,DOT/USD,42.887,46.139,42.792,43.514,49100.817477,2136572.971694178
1634774400,2021-10-21,DOT/USD,44.212,45.2,42.0,42.891,59394.62136,2547494.70475176
1634688000,2021-10-20,DOT/USD,41.326,44.937,41.17,44.212,41910.499054,1852946.984175448
1634601600,2021-10-19,DOT/USD,41.111,41.657,40.163,41.318,25195.432687,1041024.887761466
1634515200,2021-10-18,DOT/USD,41.935,43.024,40.423,41.119,33123.729431,1362014.630473289
1634428800,2021-10-17,DOT/USD,41.752,42.755,40.012,41.952,30998.98606,1300469.46318912
1634342400,2021-10-16,DOT/USD,43.241,44.629,41.369,41.76,41385.433262,1728255.6930211198
1634256000,2021-10-15,DOT/USD,40.742,44.048,39.576,43.238,74348.991249,3214701.683624262
1634169600,2021-10-14,DOT/USD,41.634,42.262,39.413,40.749,61763.378282,2516795.9016132182
1634083200,2021-10-13,DOT/USD,35.09,43.05,33.711,41.64,105799.158499,4405476.95989836
1633996800,2021-10-12,DOT/USD,34.143,35.329,32.184,35.083,57424.946123,2014639.384833209
1633910400,2021-10-11,DOT/USD,34.415,35.986,33.363,34.15,40193.740618,1372616.2421047
1633824000,2021-10-10,DOT/USD,36.311,37.266,34.2,34.421,46577.606407,1603247.790135347
1633737600,2021-10-09,DOT/USD,33.309,36.83,33.131,36.311,37912.731503,1376649.193605433
1633651200,2021-10-08,DOT/USD,33.914,34.519,33.158,33.31,42567.020179,1417907.44216249
1633564800,2021-10-07,DOT/USD,32.269,35.206,31.02,33.92,80620.022828,2734631.17432576
1633478400,2021-10-06,DOT/USD,31.423,33.056,29.21,32.268,56836.104475,1833987.4191993
1633392000,2021-10-05,DOT/USD,31.2,32.078,30.677,31.407,26718.237651,839139.689904957
1633305600,2021-10-04,DOT/USD,32.118,32.118,30.145,31.215,43886.031302,1369902.46709193
1633219200,2021-10-03,DOT/USD,32.099,32.587,31.314,32.118,39641.648636,1273210.470891048
1633132800,2021-10-02,DOT/USD,31.908,33.27,31.592,32.084,38806.861969,1245079.359413396
1633046400,2021-10-01,DOT/USD,28.555,32.195,28.542,31.905,58976.547899,1881646.760717595
1632960000,2021-09-30,DOT/USD,27.221,28.898,27.186,28.549,37346.892149,1066216.423961801
1632873600,2021-09-29,DOT/USD,26.341,28.508,26.27,27.224,51554.708889,1403525.394794136
1632787200,2021-09-28,DOT/USD,27.752,28.308,26.3,26.338,62787.607167,1653699.9975644462
1632700800,2021-09-27,DOT/USD,28.809,30.145,27.722,27.767,62046.832337,1722854.393501479
1632614400,2021-09-26,DOT/USD,29.862,29.922,26.975,28.798,103237.646307,2973037.738348986
1632528000,2021-09-25,DOT/USD,30.8,32.135,29.533,29.867,90257.749778,2695728.212619526
1632441600,2021-09-24,DOT/USD,33.493,33.557,28.216,30.793,164359.15569,5061111.48116217
1632355200,2021-09-23,DOT/USD,31.557,33.5,30.514,33.49,79630.924681,2666839.66756669
