https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume DOT,Volume USDT,tradecount
1700870400000,2023-11-25,DOTUSDT,5.242,5.389,5.213,5.328,3228936.41,17149340.52702,47182
1700784000000,2023-11-24,DOTUSDT,5.139,5.294,5.118,5.242,5725071.98,29871738.04532,72080
1700697600000,2023-11-23,DOTUSDT,5.174,5.219,5.082,5.139,3046432.52,15705264.04514,45475
1700611200000,2023-11-22,DOTUSDT,4.857,5.287,4.843,5.174,6324028.79,32294735.85124,86430
1700524800000,2023-11-21,DOTUSDT,5.302,5.326,4.819,4.858,9809122.53,49864453.78504,176482
1700438400000,2023-11-20,DOTUSDT,5.433,5.569,5.255,5.302,6191396.11,33640063.65081,106286
1700352000000,2023-11-19,DOTUSDT,5.29,5.481,5.176,5.434,5288348.36,28216210.49659,80080
1700265600000,2023-11-18,DOTUSDT,5.243,5.29,4.991,5.289,5049686.4,26048707.11029,84493
1700179200000,2023-11-17,DOTUSDT,5.352,5.486,5.05,5.244,6627256.73,35031701.05371,123309
1700092800000,2023-11-16,DOTUSDT,5.563,5.809,5.271,5.352,11216571.93,62470014.19829,190284
1700006400000,2023-11-15,DOTUSDT,5.198,5.64,5.185,5.564,8603942.41,46586629.06352,122296
1699920000000,2023-11-14,DOTUSDT,5.349,5.522,5.0,5.197,8881631.37,47138880.6139,166104
1699833600000,2023-11-13,DOTUSDT,5.709,5.89,5.331,5.348,10036536.86,56140483.98795,188902
1699747200000,2023-11-12,DOTUSDT,5.557,5.859,5.344,5.709,12507667.74,71207434.17292,211929
1699660800000,2023-11-11,DOTUSDT,5.3,5.682,5.086,5.557,13408385.78,72677623.83128,216513
1699574400000,2023-11-10,DOTUSDT,5.093,5.317,4.964,5.3,8809057.17,45266282.88241,136983
1699488000000,2023-11-09,DOTUSDT,5.032,5.265,4.457,5.09,11953209.53,60077445.92479,205229
1699401600000,2023-11-08,DOTUSDT,4.927,5.094,4.86,5.033,7479657.7,37278437.4998,97493
1699315200000,2023-11-07,DOTUSDT,4.967,5.05,4.719,4.927,6434501.97,31553000.29115,119345
1699228800000,2023-11-06,DOTUSDT,4.763,4.994,4.677,4.967,8062202.56,38964896.4073,105324
1699142400000,2023-11-05,DOTUSDT,4.682,4.91,4.653,4.762,8339719.52,39869755.91436,117123
1699056000000,2023-11-04,DOTUSDT,4.611,4.78,4.585,4.681,3730420.45,17419732.73705,63670
1698969600000,2023-11-03,DOTUSDT,4.63,4.646,4.456,4.61,4994752.05,22742132.02135,80813
1698883200000,2023-11-02,DOTUSDT,4.728,4.795,4.51,4.629,7516552.17,35112787.84654,124610
1698796800000,2023-11-01,DOTUSDT,4.448,4.804,4.322,4.727,8664657.37,39458501.036,134761
1698710400000,2023-10-31,DOTUSDT,4.525,4.603,4.272,4.449,7122930.14,31744062.69581,111873
1698624000000,2023-10-30,DOTUSDT,4.315,4.532,4.233,4.525,6732331.76,29375074.67199,94722
1698537600000,2023-10-29,DOTUSDT,4.181,4.355,4.126,4.315,3308326.4,14026977.19323,47573
1698451200000,2023-10-28,DOTUSDT,4.134,4.225,4.13,4.181,2924361.17,12218842.0417,44119
1698364800000,2023-10-27,DOTUSDT,4.234,4.236,4.01,4.135,5100506.33,21131617.49514,81113
1698278400000,2023-10-26,DOTUSDT,4.292,4.451,4.15,4.234,5741821.06,24687037.00595,97741
1698192000000,2023-10-25,DOTUSDT,4.189,4.355,4.137,4.291,5030468.8,21378819.08155,85704
1698105600000,2023-10-24,DOTUSDT,4.358,4.425,4.096,4.19,9440500.3,40351174.10011,169236
1698019200000,2023-10-23,DOTUSDT,3.967,4.368,3.918,4.357,8758003.44,35916903.19402,148940
1697932800000,2023-10-22,DOTUSDT,3.909,3.973,3.795,3.967,3393543.88,13169997.16344,54967
1697846400000,2023-10-21,DOTUSDT,3.72,3.98,3.706,3.909,3652845.43,14089089.84129,51390
1697760000000,2023-10-20,DOTUSDT,3.649,3.805,3.638,3.718,3760071.55,14031643.99854,44357
1697673600000,2023-10-19,DOTUSDT,3.653,3.66,3.562,3.649,2373829.06,8602261.05146,31261
1697587200000,2023-10-18,DOTUSDT,3.669,3.723,3.629,3.654,1660166.05,6100004.31785,27422
1697500800000,2023-10-17,DOTUSDT,3.776,3.779,3.636,3.67,2232638.47,8280168.64072,34499
1697414400000,2023-10-16,DOTUSDT,3.753,3.9,3.736,3.776,3758880.85,14263082.96055,50431
1697328000000,2023-10-15,DOTUSDT,3.734,3.782,3.707,3.753,1572397.09,5891732.34454,20789
1697241600000,2023-10-14,DOTUSDT,3.721,3.762,3.717,3.735,1024225.4,3829484.71787,14197
1697155200000,2023-10-13,DOTUSDT,3.676,3.776,3.667,3.721,1628293.29,6029608.55335,24070
1697068800000,2023-10-12,DOTUSDT,3.739,3.741,3.621,3.676,2722797.38,10005920.105955,39203
1696982400000,2023-10-11,DOTUSDT,3.812,3.823,3.7,3.74,2158166.14,8094485.92667,39065
1696896000000,2023-10-10,DOTUSDT,3.88,3.895,3.77,3.811,1997871.04,7655982.04065,33168
1696809600000,2023-10-09,DOTUSDT,4.012,4.03,3.756,3.881,3725371.284,14459329.2627,58930
1696723200000,2023-10-08,DOTUSDT,4.052,4.072,4.0,4.012,1327658.78,5350518.21164,18282
1696636800000,2023-10-07,DOTUSDT,4.069,4.114,4.044,4.051,1027727.79,4194858.61128,15096
1696550400000,2023-10-06,DOTUSDT,4.024,4.094,3.998,4.068,1399327.65,5668381.7345,20338
1696464000000,2023-10-05,DOTUSDT,4.042,4.088,4.0,4.024,1725328.6,6971097.24625,25232
1696377600000,2023-10-04,DOTUSDT,4.076,4.076,3.958,4.042,2554470.06,10275846.9608,37281
1696291200000,2023-10-03,DOTUSDT,4.121,4.162,4.05,4.077,1564379.73,6423871.33002,28487
1696204800000,2023-10-02,DOTUSDT,4.264,4.31,4.058,4.12,3854026.25,16249824.47385,51439
1696118400000,2023-10-01,DOTUSDT,4.104,4.289,4.102,4.263,2265876.1,9492383.19123,36536
1696032000000,2023-09-30,DOTUSDT,4.074,4.119,4.071,4.103,1275233.11,5221662.81202,19571
1695945600000,2023-09-29,DOTUSDT,4.074,4.12,4.055,4.074,2088662.26,8532896.08882,26133
1695859200000,2023-09-28,DOTUSDT,3.993,4.101,3.981,4.073,2423443.08,9806686.06823,28492
1695772800000,2023-09-27,DOTUSDT,4.013,4.075,3.967,3.993,2220464.79,8926675.66983,28592
1695686400000,2023-09-26,DOTUSDT,4.067,4.092,3.974,4.013,2176205.87,8764670.43868,24684
1695600000000,2023-09-25,DOTUSDT,3.99,4.09,3.947,4.068,2354682.85,9515793.90153,30349
1695513600000,2023-09-24,DOTUSDT,4.033,4.058,3.971,3.993,1093945.04,4401848.51682,16443
1695427200000,2023-09-23,DOTUSDT,4.019,4.038,3.998,4.033,1005804.33,4040857.63165,14169
1695340800000,2023-09-22,DOTUSDT,4.012,4.038,3.976,4.019,1633445.47,6558618.25053,20792
1695254400000,2023-09-21,DOTUSDT,4.139,4.166,4.001,4.012,1780734.04,7238889.41874,27995
1695168000000,2023-09-20,DOTUSDT,4.154,4.168,4.065,4.138,1646018.87,6774731.63244,28476
1695081600000,2023-09-19,DOTUSDT,4.106,4.17,4.079,4.152,2631215.34,10843602.12733,36490
1694995200000,2023-09-18,DOTUSDT,4.07,4.22,4.014,4.106,2979553.42,12323576.23253,42208
1694908800000,2023-09-17,DOTUSDT,4.187,4.189,4.046,4.07,1800037.06,7405396.41595,30518
1694822400000,2023-09-16,DOTUSDT,4.138,4.225,4.134,4.185,1814021.69,7578854.79715,29207
1694736000000,2023-09-15,DOTUSDT,4.059,4.172,4.046,4.139,2403258.06,9851951.34152,34544
1694649600000,2023-09-14,DOTUSDT,3.999,4.088,3.973,4.058,2826450.26,11391568.14754,40892
1694563200000,2023-09-13,DOTUSDT,3.987,4.1,3.95,3.998,2434240.08,9754689.0371,37523
1694476800000,2023-09-12,DOTUSDT,3.988,4.097,3.953,3.986,3322442.65,13323304.11008,45036
1694390400000,2023-09-11,DOTUSDT,4.149,4.155,3.908,3.989,4954332.39,19985747.510456,64003
1694304000000,2023-09-10,DOTUSDT,4.236,4.238,4.103,4.149,2602755.63,10835267.98042,34489
1694217600000,2023-09-09,DOTUSDT,4.253,4.278,4.236,4.236,810888.38,3451861.96685,11287
1694131200000,2023-09-08,DOTUSDT,4.294,4.332,4.204,4.253,1911730.39,8144093.90405,25072
1694044800000,2023-09-07,DOTUSDT,4.273,4.31,4.235,4.294,2015368.19,8599737.02256,23035
1693958400000,2023-09-06,DOTUSDT,4.257,4.289,4.171,4.272,2292602.88,9719427.87181,27780
1693872000000,2023-09-05,DOTUSDT,4.26,4.303,4.198,4.257,1833680.97,7795510.07104,23036
1693785600000,2023-09-04,DOTUSDT,4.26,4.321,4.193,4.26,2592614.46,11038320.0049,32068
1693699200000,2023-09-03,DOTUSDT,4.262,4.3,4.226,4.259,1249649.68,5335636.47445,20201
1693612800000,2023-09-02,DOTUSDT,4.218,4.274,4.201,4.261,1385184.88,5872241.04466,22525
1693526400000,2023-09-01,DOTUSDT,4.271,4.295,4.136,4.218,3247599.73,13743506.21637,44792
1693440000000,2023-08-31,DOTUSDT,4.535,4.535,4.234,4.271,5159773.24,22561944.00046,61398
1693353600000,2023-08-30,DOTUSDT,4.678,4.68,4.5,4.534,2107999.59,9663345.87508,32163
1693267200000,2023-08-29,DOTUSDT,4.61,4.806,4.54,4.678,4406290.23,20487812.91336,66821
