https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ETH
1666742400000,2022-10-26 00:00:00,ETH/USDT,1460.4104,1594.0,1457.9846,1566.2624,2599453.379401638,1659.65382263
1666656000000,2022-10-25 00:00:00,ETH/USDT,1343.8674,1522.2754,1335.3554,1459.4915,1819222.6306972825,1246.47703032
1666569600000,2022-10-24 00:00:00,ETH/USDT,1364.0896,1369.2265,1325.0601,1343.7485,1209160.931871203,899.84169796
1666483200000,2022-10-23 00:00:00,ETH/USDT,1314.0174,1370.0,1300.6763,1363.5835,1324553.3225739917,971.37676026
1666396800000,2022-10-22 00:00:00,ETH/USDT,1300.5639,1319.3022,1293.876,1313.6304,1192086.355357779,907.47470168
1666310400000,2022-10-21 00:00:00,ETH/USDT,1282.2319,1307.0679,1255.2221,1299.81,1212576.1515441367,932.88723086
1666224000000,2022-10-20 00:00:00,ETH/USDT,1285.1637,1310.0,1272.1701,1282.9333,1150974.6621484058,897.1430254
1666137600000,2022-10-19 00:00:00,ETH/USDT,1310.9174,1312.6461,1280.0,1284.9529,1135033.301607932,883.32677533
1666051200000,2022-10-18 00:00:00,ETH/USDT,1332.4933,1341.3987,1288.28,1310.5611,1219916.6192704432,930.83536454
1665964800000,2022-10-17 00:00:00,ETH/USDT,1305.9548,1337.3801,1296.0,1331.3153,1200461.789960204,901.71110477
1665878400000,2022-10-16 00:00:00,ETH/USDT,1274.9344,1314.8685,1274.9344,1305.915,1204440.382316566,922.29615428
1665792000000,2022-10-15 00:00:00,ETH/USDT,1296.8794,1301.7682,1264.374,1275.1827,1164958.179303002,913.56178162
1665705600000,2022-10-14 00:00:00,ETH/USDT,1286.9395,1342.3458,1284.2874,1296.8702,1532561.8780232843,1181.73883402
1665619200000,2022-10-13 00:00:00,ETH/USDT,1294.5034,1299.0,1193.6025,1287.3054,1603279.810111855,1245.45411688
1665532800000,2022-10-12 00:00:00,ETH/USDT,1280.1133,1305.9999,1275.8875,1294.5734,1159704.095862463,895.81949997
1665446400000,2022-10-11 00:00:00,ETH/USDT,1289.8173,1297.5768,1268.4,1279.488,1168177.0520456603,913.00352332
1665360000000,2022-10-10 00:00:00,ETH/USDT,1322.7185,1337.7481,1289.2809,1289.7856,1164674.0246134265,902.99816079
1665273600000,2022-10-09 00:00:00,ETH/USDT,1315.3708,1328.6717,1307.8241,1322.9028,1170741.833383905,884.97948102
1665187200000,2022-10-08 00:00:00,ETH/USDT,1330.9265,1337.1527,1304.0184,1315.0947,1175467.3187490217,893.827128
1665100800000,2022-10-07 00:00:00,ETH/USDT,1351.7421,1360.8664,1320.0,1331.1736,1389209.4120596626,1043.59747824
1665014400000,2022-10-06 00:00:00,ETH/USDT,1352.3028,1381.7323,1346.0,1352.3372,1390234.5331055424,1028.02358251
1664928000000,2022-10-05 00:00:00,ETH/USDT,1360.1893,1362.8,1316.5992,1352.1416,1283015.0060805487,948.87621687
1664841600000,2022-10-04 00:00:00,ETH/USDT,1322.8355,1367.4029,1318.6764,1361.0827,1427943.7241557157,1049.12341047
1664755200000,2022-10-03 00:00:00,ETH/USDT,1276.6082,1328.4,1264.3682,1322.9603,1260787.6675222463,953.00491445
1664668800000,2022-10-02 00:00:00,ETH/USDT,1311.0937,1317.3655,1269.33,1276.7439,1248495.2078635711,977.87442561
1664582400000,2022-10-01 00:00:00,ETH/USDT,1328.2299,1333.49,1303.1769,1311.5045,1147251.211819531,874.75964575
1664496000000,2022-09-30 00:00:00,ETH/USDT,1335.6462,1371.0,1312.41,1328.4753,1501246.9716231455,1130.05260363
1664409600000,2022-09-29 00:00:00,ETH/USDT,1336.0837,1351.7602,1288.3019,1335.3389,1501637.9184392507,1124.53693848
1664323200000,2022-09-28 00:00:00,ETH/USDT,1330.3639,1354.8645,1255.4027,1336.9583,1569903.7300780136,1174.23537449
1664236800000,2022-09-27 00:00:00,ETH/USDT,1335.5029,1398.8902,1305.2094,1327.7526,2124790.31258567,1600.29083173
1664150400000,2022-09-26 00:00:00,ETH/USDT,1294.2572,1339.4653,1278.649,1336.6224,1660566.639787563,1242.36032539
