https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SHIB,Volume USDT,tradecount
1701734400000,2023-12-05,SHIBUSDT,9.21e-06,9.58e-06,8.87e-06,9.49e-06,10604291938972.0,98147335.8340198,187967
1701648000000,2023-12-04,SHIBUSDT,9.02e-06,9.65e-06,8.65e-06,9.21e-06,12874083045748.0,117285231.7815632,220543
1701561600000,2023-12-03,SHIBUSDT,8.52e-06,9.49e-06,8.36e-06,9.02e-06,10241916990509.0,91727128.7511726,190817
1701475200000,2023-12-02,SHIBUSDT,8.37e-06,8.57e-06,8.34e-06,8.52e-06,2084686451224.0,17620534.43079604,43849
1701388800000,2023-12-01,SHIBUSDT,8.29e-06,8.39e-06,8.25e-06,8.37e-06,2044919651886.0,17041748.62492364,37317
1701302400000,2023-11-30,SHIBUSDT,8.22e-06,8.3e-06,8.12e-06,8.3e-06,1656723776201.0,13611503.70779979,33101
1701216000000,2023-11-29,SHIBUSDT,8.31e-06,8.39e-06,8.16e-06,8.22e-06,2177891442111.0,18059590.46812015,44126
1701129600000,2023-11-28,SHIBUSDT,8.2e-06,8.33e-06,8.03e-06,8.31e-06,2616861609657.0,21446771.27927619,46443
1701043200000,2023-11-27,SHIBUSDT,8.3e-06,8.66e-06,8.02e-06,8.19e-06,5729919332551.0,47674739.73174735,103288
1700956800000,2023-11-26,SHIBUSDT,8.47e-06,8.48e-06,8.05e-06,8.29e-06,3108804528755.0,25721659.5091712,52853
1700870400000,2023-11-25,SHIBUSDT,8.18e-06,8.59e-06,8.15e-06,8.48e-06,2436822279095.0,20456202.44094103,51106
1700784000000,2023-11-24,SHIBUSDT,8.11e-06,8.3e-06,8.08e-06,8.19e-06,2481247800567.0,20355332.87330506,47607
1700697600000,2023-11-23,SHIBUSDT,8.09e-06,8.19e-06,8e-06,8.11e-06,1485627926566.0,12038853.57305633,33900
