https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume DOT
1660953600000,2022-08-20 00:00:00,DOT/USDT,7.3409,7.5196,7.0404,7.2189,6493.772520498159,899.55152731
1660867200000,2022-08-19 00:00:00,DOT/USDT,8.0912,8.0912,7.2665,7.3131,9645.108071116987,1318.88092206
1660780800000,2022-08-18 00:00:00,DOT/USDT,8.3629,8.5687,8.0466,8.1003,4822.40607052039,595.33672463
1660694400000,2022-08-17 00:00:00,DOT/USDT,8.8284,9.2263,8.3244,8.3518,6137.995577260464,734.93086248
1660608000000,2022-08-16 00:00:00,DOT/USDT,8.7793,8.9258,8.6305,8.8456,6154.69427735756,695.79161135
1660521600000,2022-08-15 00:00:00,DOT/USDT,8.9721,9.3703,8.655,8.8088,7751.392723290216,879.96012207
1660435200000,2022-08-14 00:00:00,DOT/USDT,9.2957,9.5521,8.8447,8.9534,7564.7454624928905,844.90198835
1660348800000,2022-08-13 00:00:00,DOT/USDT,9.4767,9.6613,9.2687,9.2937,52130.440354682156,5609.22349061
1660262400000,2022-08-12 00:00:00,DOT/USDT,9.2027,9.4885,9.0519,9.4789,6390.17226276131,674.1470279
1660176000000,2022-08-11 00:00:00,DOT/USDT,9.5183,9.6366,9.1259,9.1926,5790.000451788054,629.85449729
1660089600000,2022-08-10 00:00:00,DOT/USDT,8.9194,9.6241,8.5696,9.5111,13282.62745105995,1396.53956441
1660003200000,2022-08-09 00:00:00,DOT/USDT,9.2738,9.4325,9.1823,9.1948,356.558263949864,38.77825118
1659916800000,2022-08-08 00:00:00,DOT/USDT,8.6479,9.3744,8.647,9.2569,11652.816127203207,1258.82489032
1659830400000,2022-08-07 00:00:00,DOT/USDT,8.5081,8.8762,8.3461,8.6525,4337.15200515715,501.25998326
1659744000000,2022-08-06 00:00:00,DOT/USDT,8.8025,8.8649,8.4863,8.5069,4656.799677776048,547.41441392
1659657600000,2022-08-05 00:00:00,DOT/USDT,8.0829,8.8061,8.075,8.8007,9557.299630722548,1085.97039221
1659571200000,2022-08-04 00:00:00,DOT/USDT,7.9987,8.2637,7.885,8.0786,3802.65946273084,470.7077294
1659484800000,2022-08-03 00:00:00,DOT/USDT,7.935,8.4185,7.6984,7.9874,4890.419420499106,612.26674769
1659398400000,2022-08-02 00:00:00,DOT/USDT,8.1747,8.2658,7.6612,7.9291,12623.44927932838,1592.04061991
